F6 门：电极位置随格集合的跳幅（判「跳幅不超门 b 阈值」，不是「不跳」）　W08 片0　盘径 30.220～30.250 与 30.550～30.570 每 0.001（舌半宽 30）　导航 vs 判决等温电流场　写码 2026-09-23，F6（F6 审查后改名）
开跑 2026-09-23 20:28:51　门槛（跑前写死）：相隔 0.01 的两点 |e(R+0.01) − e(R)| ≤ 0.2 %（门 b 原阈值与原间距，10 种相位全判）；相邻 0.001 步只印。改回整格钉必须红（门不空守）。
R	口径	R导航µΩ	R判决µΩ	e%	相邻0.001步Δe%	相隔0.01的Δe%	判读
30.220	面上	316.1745	316.1397	+0.0110	—	—	—
30.220	改回整格钉	312.5853	314.5623	-0.6285	—	—	—
30.221	面上	316.2025	316.1659	+0.0116	+0.0006	—	—
30.221	改回整格钉	312.5971	314.5740	-0.6284	+0.0001	—	—
30.222	面上	316.2306	316.1924	+0.0121	+0.0005	—	—
30.222	改回整格钉	312.6090	314.5859	-0.6284	+0.0000	—	—
30.223	面上	316.2586	316.2191	+0.0125	+0.0004	—	—
30.223	改回整格钉	312.6208	314.5979	-0.6284	+0.0000	—	—
30.224	面上	316.4451	316.2844	+0.0508	+0.0384	—	—
30.224	改回整格钉	312.9702	314.7049	-0.5512	+0.0772	—	—
30.225	面上	316.4726	316.3110	+0.0511	+0.0003	—	—
30.225	改回整格钉	312.9818	314.7168	-0.5513	-0.0001	—	—
30.226	面上	316.5000	316.3402	+0.0505	-0.0005	—	—
30.226	改回整格钉	312.9933	314.7366	-0.5539	-0.0026	—	—
30.227	面上	316.5274	316.3669	+0.0508	+0.0002	—	—
30.227	改回整格钉	313.0048	314.7485	-0.5540	-0.0001	—	—
30.228	面上	316.5549	316.3936	+0.0510	+0.0002	—	—
30.228	改回整格钉	313.0163	314.7604	-0.5541	-0.0001	—	—
30.229	面上	316.5823	316.4204	+0.0512	+0.0002	—	—
30.229	改回整格钉	313.0278	314.7722	-0.5542	-0.0001	—	—
30.230	面上	316.6097	316.4472	+0.0513	+0.0002	+0.0403	过
30.230	改回整格钉	313.0393	314.7841	-0.5543	-0.0001	+0.0742	过
30.231	面上	316.7156	316.4896	+0.0714	+0.0200	+0.0598	过
30.231	改回整格钉	313.5650	314.9286	-0.4330	+0.1213	+0.1955	过
30.232	面上	316.7381	316.5146	+0.0706	-0.0008	+0.0585	过
30.232	改回整格钉	313.5745	314.9397	-0.4335	-0.0005	+0.1949	过
30.233	面上	316.7614	316.5402	+0.0699	-0.0007	+0.0574	过
30.233	改回整格钉	313.5843	314.9510	-0.4340	-0.0005	+0.1945	过
30.234	面上	316.7854	316.5661	+0.0693	-0.0006	+0.0185	过
30.234	改回整格钉	313.5943	314.9625	-0.4344	-0.0004	+0.1168	过
30.235	面上	316.8098	316.5921	+0.0688	-0.0005	+0.0177	过
30.235	改回整格钉	313.6045	314.9740	-0.4348	-0.0004	+0.1165	过
30.236	面上	316.8346	316.6184	+0.0683	-0.0004	+0.0178	过
30.236	改回整格钉	313.6148	314.9856	-0.4352	-0.0004	+0.1187	过
30.237	面上	316.8598	316.6447	+0.0679	-0.0004	+0.0172	过
30.237	改回整格钉	313.6253	314.9972	-0.4355	-0.0003	+0.1185	过
30.238	面上	317.0460	316.7228	+0.1020	+0.0341	+0.0511	过
30.238	改回整格钉	314.1435	315.2649	-0.3557	+0.0798	+0.1984	过
