F6b 门：弧面距离的单点通量误差界　写码 2026-09-23，F6　开跑 2026-09-23 03:16:29
门槛（跑前写死）：每条弧面 ln(1+x)/x·（x·rh/d）∈ [1 − x/2 − 1e-12, 1 + 1e-12]（x = (|C|−rh)/rh）；改回直线距离必须有面出界。
设计	R	档	口径	弧面	形心在孔内	触下限	比值最小	该面 x	该面下界	出界面数
W08	30.24	导航	法向距	100	0	0	0.979158	4.287E-002	0.978565	0
W08	30.24	导航	改回直线距	100	0	0	0.043581	7.745E-004	0.999613	90
W08	30.24	判决	法向距	204	0	0	0.989520	2.126E-002	0.989371	0
W08	30.24	判决	改回直线距	204	0	0	0.027676	1.974E-004	0.999901	196
W08	30.56	导航	法向距	100	0	0	0.979158	4.287E-002	0.978565	0
W08	30.56	导航	改回直线距	100	0	0	0.092779	9.405E-004	0.999530	90
W08	30.56	判决	法向距	204	0	0	0.989347	2.161E-002	0.989193	0
W08	30.56	判决	改回直线距	204	0	0	0.251881	5.397E-004	0.999730	196
W08	31.00	导航	法向距	100	0	0	0.979158	4.287E-002	0.978565	0
W08	31.00	导航	改回直线距	100	0	0	0.057394	7.955E-004	0.999602	90
W08	31.00	判决	法向距	204	0	0	0.989455	2.139E-002	0.989305	0
W08	31.00	判决	改回直线距	204	0	0	0.080538	3.021E-004	0.999849	194
W06	默认	导航	法向距	100	0	0	0.975859	4.988E-002	0.975060	0
W06	默认	导航	改回直线距	100	0	0	0.361681	2.186E-002	0.989068	96
W06	默认	判决	法向距	204	0	0	0.988918	2.250E-002	0.988752	0
W06	默认	判决	改回直线距	204	0	0	0.363337	1.087E-002	0.994563	192
── 法向距：出界 0 组　改回直线距：出界面 1144 条，比值最小 0.0277
