F3 归因（只印不判）　W08 片0　等温电流 1214 A／1150 °C　单片冻结热解：管根 1150 °C，保温／铜排／分区按 LineRunner.PlateThermalInputs（本几何的整线算例）
开跑 2026-09-23 14:47:37　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC2　写码 2026-09-23，F3（C2）
开 = 生产（热场发热吃发热等效 J；盘／舌峰处报出的 J 与局部热稳定用重构 J）；关 = 改回（热场全吃重构 J）。不是三条硬判据（那要整线，见整线归因档），是同一片板在同一边界下对发热口径的响应。
R	w	档	单元	发热 开	发热 关	Δ发热W	抽热 开	抽热 关	Δ抽热W	最高温 开	Δ最高温K	盘区峰 开	Δ盘区峰K	舌区峰 开	Δ舌区峰K	热稳定裕度 开	关	热稳定报出J 开	关	耗时s
30.50	30.00	导航	1162	422.770	421.720	+1.050	-11.7048	-10.9291	-0.7757	1164.783	+0.538	1160.979	+0.079	1164.783	+0.538	7.134	7.133	11.901	11.901	5.5
30.50	30.00	判决	4334	421.402	421.329	+0.073	-11.0821	-10.9456	-0.1365	1164.160	+0.138	1162.998	+0.077	1164.160	+0.138	7.697	7.697	12.127	12.127	7.5
30.75	30.00	导航	1196	430.207	429.214	+0.993	-14.2111	-13.5167	-0.6944	1166.971	+0.610	1164.527	+0.160	1166.971	+0.610	6.197	6.195	11.663	11.663	5.0
30.75	30.00	判决	4366	428.964	428.669	+0.295	-13.5994	-13.3611	-0.2383	1166.497	+0.230	1164.906	+0.120	1166.497	+0.230	7.454	7.453	12.058	12.058	4.2
31.00	30.00	导航	1184	437.686	436.217	+1.469	-16.9258	-16.0299	-0.8959	1169.418	+0.591	1167.811	+0.279	1169.418	+0.591	5.640	5.638	11.542	11.542	3.9
31.00	30.00	判决	4450	434.764	435.083	-0.319	-15.5922	-15.5316	-0.0606	1168.481	+0.042	1166.294	-0.020	1168.481	+0.042	7.400	7.400	12.043	12.043	6.0
31.01	30.00	导航	1184	437.844	436.325	+1.518	-16.9367	-15.9981	-0.9386	1169.471	+0.617	1167.869	+0.313	1169.471	+0.617	5.614	5.613	11.546	11.546	5.9
31.01	30.00	判决	4454	435.077	435.453	-0.376	-15.7345	-15.7271	-0.0074	1168.601	+0.033	1166.444	-0.026	1168.601	+0.033	7.356	7.355	12.045	12.045	4.0
31.25	30.00	导航	1204	442.956	441.368	+1.588	-18.3833	-17.4365	-0.9468	1171.453	+0.865	1167.081	+0.345	1171.453	+0.865	6.204	6.203	11.665	11.665	2.4
31.25	30.00	判决	4548	440.412	440.715	-0.304	-17.4075	-17.3393	-0.0682	1170.506	+0.081	1167.473	+0.019	1170.506	+0.081	7.461	7.460	12.060	12.060	6.7
30.00	29.50	导航	1146	423.414	422.261	+1.153	-13.7951	-12.9354	-0.8597	1165.689	+0.627	1161.231	+0.247	1165.689	+0.627	7.181	7.180	11.902	11.902	2.8
30.00	29.50	判决	4280	422.191	422.109	+0.082	-13.3155	-13.1690	-0.1465	1165.134	+0.174	1163.367	+0.083	1165.134	+0.174	8.935	8.934	12.293	12.293	7.8
30.00	29.55	导航	1132	421.071	420.130	+0.940	-12.7843	-12.1003	-0.6841	1164.756	+0.498	1160.336	+0.105	1164.756	+0.498	7.440	7.439	11.959	11.959	5.4
30.00	29.55	判决	4250	419.553	419.367	+0.186	-12.0242	-11.7746	-0.2496	1164.104	+0.155	1162.334	+0.052	1164.104	+0.155	9.274	9.274	12.251	12.251	3.8
30.00	29.70	导航	1146	414.850	414.162	+0.688	-10.1078	-9.4047	-0.7031	1162.538	+0.128	1160.887	-0.081	1162.538	+0.128	6.546	6.546	11.746	11.746	2.0
30.00	29.70	判决	4248	413.743	413.705	+0.038	-9.4595	-9.2594	-0.2001	1162.257	+0.090	1161.234	+0.033	1162.257	+0.090	9.170	9.170	12.255	12.255	4.1
30.00	29.80	导航	1132	410.825	410.192	+0.633	-8.3010	-7.6659	-0.6351	1161.509	+0.357	1159.246	+0.179	1161.509	+0.357	7.154	7.153	11.926	11.926	3.5
30.00	29.80	判决	4194	410.042	410.107	-0.065	-7.9741	-7.8714	-0.1027	1161.234	+0.086	1160.767	+0.059	1161.234	+0.086	8.901	8.901	12.320	12.320	7.4
── 总耗时 88 s　2026-09-23，F3（C2）
