F3 门1 面发热闭合　W08 片0　等温 1214 A／1150 °C　18 例 = R48NMeshGateTests「带格与闭合」的 9 个几何 × 导航／判决
开跑 2026-09-23 14:49:22　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC2　写码 2026-09-23，F3（C2）
门槛（跑前写死）：|新 P_gen/P_net − 1| ≤ 1e-6（数学：Σ面 g·ΔV² = I_in − Σ自由格 V·r，只留线性残差与舍入）；热场口径同；表达不了的发热 = 0；改回逐位。旧闭合 [0.99, 1.01] 只印（旧门在 R48NMeshGateTests，不收紧）。
P_net = I²·ρ/CurrentInA；旧 P_gen = Σ ρ·J重构²·t·A（TotalGenW）；新 P_gen = Σ 面发热（FaceGenTotalW）；热场口径 = Σ ρ(T解)·1e3·J等效²·t·A（ShellThermal 的式子）；残差界 = max|V|·Σ|r|/I_in。
R	w	档	单元	P_net W	旧P_gen W	旧闭合	新P_gen W	新闭合−1	残差界	热场口径闭合−1	新−旧 W	|J等效/J重构−1|最大(J重构≥5%Jmax)	该格(x,z)	表达不了W	改回逐位	判读
30.50	30.00	导航	1162	476.7019	476.7282	1.00006	476.7019	3.31E-014	8.48E-008	3.31E-014	-0.0263	0.8686	(-25.37,-5.34)	0	是	过
30.50	30.00	判决	4334	476.5731	476.6657	1.00019	476.5731	-4.61E-014	1.41E-007	-4.61E-014	-0.0926	0.8660	(-25.44,4.65)	0	是	过
30.75	30.00	导航	1196	483.8071	483.9008	1.00019	483.8071	4.44E-015	8.29E-008	4.44E-015	-0.0938	0.2800	(-6.26,-30.05)	0	是	过
30.75	30.00	判决	4366	483.6308	483.6753	1.00009	483.6308	6.86E-014	1.61E-007	6.86E-014	-0.0444	1.0636	(-25.71,-2.61)	0	是	过
31.00	30.00	导航	1184	490.2501	490.4291	1.00037	490.2501	-1.14E-014	7.77E-008	-1.14E-014	-0.1790	2.8841	(-25.78,-1.36)	0	是	过
31.00	30.00	判决	4450	489.7009	489.7568	1.00011	489.7009	6.55E-014	4.14E-007	6.55E-014	-0.0559	2.9761	(-25.80,0.60)	0	是	过
31.01	30.00	导航	1184	490.4006	490.5333	1.00027	490.4006	3.42E-014	7.84E-008	3.44E-014	-0.1327	1.7120	(-25.81,1.17)	0	是	过
31.01	30.00	判决	4454	489.9978	490.1090	1.00023	489.9978	-1.03E-013	4.22E-007	-1.03E-013	-0.1112	1.2726	(-25.82,-0.53)	0	是	过
31.25	30.00	导航	1204	495.2201	495.3119	1.00019	495.2201	3.06E-014	8.65E-008	3.04E-014	-0.0918	0.2461	(-24.42,-9.21)	0	是	过
31.25	30.00	判决	4548	495.0424	495.0867	1.00009	495.0424	-1.82E-014	4.37E-007	-1.82E-014	-0.0443	1.0636	(-25.71,-2.61)	0	是	过
30.00	29.50	导航	1146	476.6649	476.6067	0.99988	476.6649	4.15E-014	1.14E-007	4.13E-014	+0.0582	0.2174	(-25.12,-7.15)	0	是	过
30.00	29.50	判决	4280	476.6898	476.7743	1.00018	476.6898	-9.57E-014	1.33E-007	-9.57E-014	-0.0845	0.5144	(-7.10,24.90)	0	是	过
30.00	29.55	导航	1132	474.5501	474.6848	1.00028	474.5501	-6.11E-015	1.08E-007	-6.11E-015	-0.1347	0.4634	(-24.96,7.27)	0	是	过
30.00	29.55	判决	4250	474.2810	474.2615	0.99996	474.2810	9.33E-015	1.25E-007	9.33E-015	+0.0195	0.3764	(-25.06,6.60)	0	是	过
30.00	29.70	导航	1146	469.3156	469.1991	0.99975	469.3156	-2.56E-014	1.04E-007	-2.58E-014	+0.1165	0.3492	(-26.00,-1.03)	0	是	过
30.00	29.70	判决	4248	469.0145	468.9975	0.99996	469.0145	2.42E-014	1.40E-007	2.42E-014	+0.0170	0.3167	(-24.08,9.63)	0	是	过
30.00	29.80	导航	1132	465.4789	465.4257	0.99989	465.4789	8.66E-015	8.24E-008	8.44E-015	+0.0531	0.2154	(-25.12,-7.15)	0	是	过
30.00	29.80	判决	4194	465.5016	465.5862	1.00018	465.5016	-1.28E-013	1.48E-007	-1.28E-013	-0.0845	0.5070	(-7.11,-24.90)	0	是	过
── 不过 0／18　耗时 28 s　2026-09-23，F3（C2）
出处：网格 = R48NMeshGateTests.Build（LineRunner.PlateMeshAnalytic 生产配方）；电流 = ShellCurrent.Solve（开 = 缺省，关 = faceHeat: false）。
