F4 门(a) 和账　W08 片0　R48NMeshGateTests 带格与闭合门的 18 例　等温 1214 A／1150 °C 电流场 → 片 0 壳热解（LineRunner.PlateThermalInputs／SolvePlateThermal，管根 1140 °C）
开跑 2026-09-23 15:44:47　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC3　写码 2026-09-23，F4（C3）
门槛（跑前写死）：逐格逐项 |x·f + x·(1−f) − x| ≤ 4u·|x|（u = 2⁻⁵³，界 3u + O(u²)）；两区合计对 Σ 自由格 ≤ (3n+4)u·Σ|x|；Solve 八本账 = 逐格同序重加（逐位）；决 28 两区峰逐位；改回：温度场、总账、两区峰取大逐位不变；圆盘区体积对精确参考 ≤ 0.1 %。
R	w	档	单元	自由格	切开格	盘发热 开	盘发热 关	舌发热 开	舌发热 关	盘散热 开	盘散热 关	舌散热 开	舌散热 关	盘面积 开	盘面积 关	盘体积 开	盘体积 关	盘体积参考	Δ开%	Δ关%	盘峰 开	盘峰 关	舌峰 开	舌峰 关	盘峰r 开	盘峰r 关	舌峰r 开	舌峰r 关	逐格最大误差(u)	合计最大误差(界的倍数)	判读
30.50	30.00	导航	1162	1042	70	28.1798	26.4736	392.3325	394.0387	17.5162	16.6372	198.0534	198.9324	831.297	815.738	1105.004	1073.418	1104.816	+0.017	-2.842	1154.725	1151.641	1155.708	1155.708	30.52	29.35	32.52	32.52	1.65	0.018	过
30.50	30.00	判决	4334	3854	144	28.1401	27.9325	391.9815	392.1891	16.9441	16.7413	198.4830	198.6859	831.297	829.738	1105.005	1101.838	1104.816	+0.017	-0.270	1153.864	1153.864	1155.469	1155.469	30.00	30.00	33.00	33.00	1.97	0.010	过
30.75	30.00	导航	1196	1076	74	29.7054	30.5817	398.2920	397.4157	18.3662	18.6589	201.8197	201.5270	879.402	893.887	1152.019	1181.417	1151.808	+0.018	+2.571	1155.254	1155.254	1158.058	1158.058	29.77	29.77	33.76	33.76	1.81	0.020	过
30.75	30.00	判决	4366	3886	136	29.4839	29.5744	397.9684	397.8779	17.8912	17.7669	202.1456	202.2698	879.402	879.887	1152.019	1152.997	1151.808	+0.018	+0.103	1155.777	1155.777	1157.865	1157.865	30.25	30.25	33.25	33.25	2.00	0.008	过
31.00	30.00	导航	1184	1064	64	31.6104	32.0373	403.3811	402.9542	19.4352	19.2705	204.8102	204.9749	927.901	929.434	1200.294	1203.399	1200.074	+0.018	+0.277	1158.651	1158.651	1160.443	1160.443	30.83	30.83	34.82	34.82	1.52	0.026	过
31.00	30.00	判决	4450	3970	124	30.9774	31.1021	402.8804	402.7557	18.8542	18.7179	205.2097	205.3460	927.901	927.434	1200.294	1199.339	1200.074	+0.018	-0.061	1158.706	1157.314	1160.119	1160.119	31.31	30.31	34.31	34.31	1.97	0.009	过
31.01	30.00	导航	1184	1064	70	31.5577	32.1340	403.5421	402.9657	19.4705	19.3679	204.9106	205.0132	929.849	932.942	1202.242	1208.514	1202.031	+0.018	+0.539	1158.678	1158.678	1160.474	1160.474	30.87	30.87	34.86	34.86	2.00	0.017	过
31.01	30.00	判决	4454	3974	132	31.1541	30.9732	403.0737	403.2546	18.8901	18.5814	205.3340	205.6428	929.849	924.942	1202.242	1192.274	1202.031	+0.018	-0.812	1158.857	1157.478	1160.249	1160.249	31.35	30.35	34.35	34.35	1.97	0.007	过
31.25	30.00	导航	1204	1084	66	32.6423	32.3117	407.4946	407.8251	20.2912	19.6049	207.4686	208.1549	976.792	966.461	1263.809	1242.828	1263.585	+0.018	-1.643	1160.952	1157.654	1162.274	1162.274	31.77	30.17	33.76	33.76	1.31	0.019	过
31.25	30.00	判决	4548	4068	126	32.4166	31.8874	407.0671	407.5963	19.8485	19.6146	207.7860	208.0198	976.792	974.461	1263.809	1259.068	1263.585	+0.018	-0.357	1160.132	1158.437	1162.200	1162.200	31.25	30.25	34.25	34.25	1.97	0.029	过
