F4 门(b) 圆盘区体积　W08／W06 × R48NMeshGateTests 门 a 快门的几何（盘径 28／29／30／30.25／30.75／31／31.01／32／34 × 舌半宽 30／28 × 片 0／1 × 导航／判决）
开跑 2026-09-23 20:27:07　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtMRG　写码 2026-09-23，F4（C3）
门槛（跑前写死）：圆盘区体积 Σ 份额·面积·厚度（份额 = ShellThermal.DiscZoneShare，Solve 的分区账用的同一个函数）对参考积分 VolInDisc ≤ 0.1 %（= §0.-15N 门 a 的 VolTolPct）；逐格面积／体积和账 ≤ 4u；改回按格心的圆盘区体积至少一张网格超 0.1 %（否则本门空守，判红）。
舌半宽 > 盘半径的几何不进门（与门 a 同一规矩）。
★ 审查后（F4-M1）：每个 0 < 份额 < 1 的格独立判料（R48NMeshGateTests.CellVolExact）圆内、圆外各 > 1e-9 × 格有料体积；不收整的 DiscZoneShareRaw 在这一扫描上至少一格是舍入产物（否则空守，判红）。逐格和账 4u 是算术自检，按构造不会红，不算牙。
设计	R	w	片	档	单元	切开格	参考 VolInDisc	份额账	Δ%	格心账	Δ格心%	逐格最大误差(u，自检)	不收整切开格	其中舍入产物	独立判料最小一侧份额	判读
W08	28.00	28.00	0	导航	904	54	561.443	561.585	+0.0253	562.661	+0.217	2.00	66	12	7.507e-3	过
W08	28.00	28.00	0	判决	3272	110	561.443	561.585	+0.0253	571.341	+1.763	2.00	126	16	3.401e-4	过
W08	28.00	28.00	1	导航	904	54	988.887	989.148	+0.0264	991.011	+0.215	1.10	64	10	7.507e-3	过
W08	28.00	28.00	1	判决	3272	110	988.887	989.148	+0.0264	1006.052	+1.736	2.00	128	18	3.401e-4	过
W08	29.00	28.00	0	导航	964	50	754.763	754.951	+0.0249	789.356	+4.583	1.00	54	4	5.308e-3	过
W08	29.00	28.00	0	判决	3522	100	754.763	754.951	+0.0249	750.296	-0.592	2.00	122	22	2.186e-4	过
W08	29.00	28.00	1	导航	964	50	1326.319	1326.667	+0.0263	1386.281	+4.521	1.06	54	4	5.308e-3	过
W08	29.00	28.00	1	判决	3522	100	1326.319	1326.667	+0.0263	1318.601	-0.582	2.00	122	22	2.186e-4	过
W08	30.00	30.00	0	导航	1026	54	1038.305	1038.462	+0.0152	1075.577	+3.590	2.00	64	10	1.116e-2	过
W08	30.00	30.00	0	判决	3864	114	1038.305	1038.462	+0.0152	1039.038	+0.071	2.00	130	16	3.042e-4	过
W08	30.00	30.00	1	导航	1026	54	1811.533	1811.821	+0.0159	1875.995	+3.558	2.00	62	8	1.116e-2	过
