R48 L 路 升温三候选量探针　场转储（每片按 x 列的廓线：x 区间 / 有料面积 / 面积加权平均温度）　开跑 2026-09-17 00:00:28　2026-09-16 Opus 5
── 设定点 300 °C　夹头 100 °C　片 0「入口」　T管根 335.1355 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	116.539989
5	-96.165678	-85.165678	660	175.679144
6	-85.165678	-75.51206	579.21708	239.255419
7	-75.51206	-68.0862	445.5516	279.207438
8	-68.0862	-62.374	342.732	303.115789
9	-62.374	-57.98	263.64	317.753879
10	-57.98	-54.6	202.8	326.908288
11	-54.6	-52	156	332.749228
12	-52	-50	120	336.54904
13	-50	-48	120	339.396983
14	-48	-46	120	341.794226
15	-46	-44	120	343.744969
16	-44	-42	120	345.251996
17	-42	-40	120	346.316392
18	-40	-38	120	346.937142
19	-38	-36	120	347.110519
20	-36	-34	120	346.829169
21	-34	-32	120	346.080704
22	-32	-30	120	344.845488
23	-30	-28	120	343.092333
24	-28	-26	120	340.658181
25	-26	-24	94.875	338.792335
26	-24	-22	73.125	337.4291
27	-22	-20	60.125	336.2598
28	-20	-18	51	335.367365
29	-18	-16	43	334.72462
30	-16	-14	36.25	334.318709
31	-14	-12	30.625	334.126859
32	-12	-10	26.5	334.111745
33	-10	-8	23.125	334.234815
34	-8	-6	20.75	334.401964
35	-6	-4	19	334.580723
36	-4	-2	16	334.712451
37	-2	0	16	334.816793
38	0	2	15.125	334.881464
39	2	4	15	334.891024
40	4	6	17.25	334.893635
41	6	8	17.5	334.886284
42	8	10	17.375	334.888339
43	10	12	17.625	334.881799
44	12	14	18.875	334.882452
45	14	16	19.375	334.892376
46	16	18	22	334.881189
47	18	20	23.875	334.879796
48	20	22	25	334.884538
49	22	24	30	334.888969
50	24	26	41	334.905769
51	26	28	51.375	334.888711
52	28	30	27.375	334.830026
── 设定点 300 °C　夹头 100 °C　片 1「HC1|HC2」　T管根 284.2833 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	109.316032
5	-96.165678	-85.165678	660	143.452382
6	-85.165678	-75.51206	579.21708	183.413878
7	-75.51206	-68.0862	445.5516	211.031249
8	-68.0862	-62.374	342.732	229.139717
9	-62.374	-57.98	263.64	241.25459
10	-57.98	-54.6	202.8	249.518446
11	-54.6	-52	156	255.258884
12	-52	-50	120	259.313294
13	-50	-48	120	262.5987
14	-48	-46	120	265.645306
15	-46	-44	120	268.454159
16	-44	-42	120	271.026051
17	-42	-40	120	273.361418
18	-40	-38	120	275.460192
19	-38	-36	120	277.321588
20	-36	-34	120	278.94376
21	-34	-32	120	280.323285
22	-32	-30	120	281.454349
23	-30	-28	120	282.327206
24	-28	-26	120	282.887781
25	-26	-24	94.875	282.921347
26	-24	-22	73.125	282.93501
27	-22	-20	60.125	283.042417
28	-20	-18	51	283.193787
29	-18	-16	43	283.343993
30	-16	-14	36.25	283.497944
31	-14	-12	30.625	283.645751
32	-12	-10	26.5	283.787485
33	-10	-8	23.125	283.923242
34	-8	-6	20.75	284.029298
35	-6	-4	19	284.112004
36	-4	-2	16	284.16518
37	-2	0	16	284.201428
38	0	2	15.125	284.221699
39	2	4	15	284.22551
40	4	6	17.25	284.226756
41	6	8	17.5	284.225511
42	8	10	17.375	284.226572
43	10	12	17.625	284.225482
44	12	14	18.875	284.225613
45	14	16	19.375	284.227773
46	16	18	22	284.224792
47	18	20	23.875	284.22421
48	20	22	25	284.225589
49	22	24	30	284.226983
50	24	26	41	284.23115
51	26	28	51.375	284.226467
52	28	30	27.375	284.210849
── 设定点 300 °C　夹头 100 °C　片 2「出口」　T管根 364.4252 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	122.624908
5	-96.165678	-85.165678	660	202.792795
6	-85.165678	-75.51206	579.21708	285.631951
7	-75.51206	-68.0862	445.5516	335.03217
8	-68.0862	-62.374	342.732	362.948944
9	-62.374	-57.98	263.64	378.979093
10	-57.98	-54.6	202.8	388.287564
11	-54.6	-52	156	393.731827
12	-52	-50	120	396.929707
13	-50	-48	120	399.058002
14	-48	-46	120	400.539959
15	-46	-44	120	401.378997
16	-44	-42	120	401.575614
17	-42	-40	120	401.126963
18	-40	-38	120	400.026243
19	-38	-36	120	398.261793
20	-36	-34	120	395.815723
21	-34	-32	120	392.661824
22	-32	-30	120	388.762291
23	-30	-28	120	384.061332
24	-28	-26	120	378.311126
25	-26	-24	94.875	374.608035
26	-24	-22	73.125	371.938549
27	-22	-20	60.125	369.435412
28	-20	-18	51	367.365793
29	-18	-16	43	365.776671
30	-16	-14	36.25	364.634957
31	-14	-12	30.625	363.927305
32	-12	-10	26.5	363.577732
33	-10	-8	23.125	363.50846
34	-8	-6	20.75	363.593845
35	-6	-4	19	363.752123
36	-4	-2	16	363.883973
37	-2	0	16	364.001286
38	0	2	15.125	364.07981
39	2	4	15	364.088395
40	4	6	17.25	364.090058
41	6	8	17.5	364.078837
42	8	10	17.375	364.081025
43	10	12	17.625	364.071297
44	12	14	18.875	364.072261
45	14	16	19.375	364.08667
46	16	18	22	364.071784
47	18	20	23.875	364.070454
48	20	22	25	364.076764
49	22	24	30	364.081968
50	24	26	41	364.104765
51	26	28	51.375	364.080737
52	28	30	27.375	363.998794
── 设定点 450 °C　夹头 100 °C　片 0「入口」　T管根 501.7036 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	129.630731
5	-96.165678	-85.165678	660	235.534601
6	-85.165678	-75.51206	579.21708	347.443471
7	-75.51206	-68.0862	445.5516	415.719796
8	-68.0862	-62.374	342.732	455.473965
9	-62.374	-57.98	263.64	479.265773
10	-57.98	-54.6	202.8	493.866811
11	-54.6	-52	156	503.033456
12	-52	-50	120	508.911011
13	-50	-48	120	513.257524
14	-48	-46	120	516.85501
15	-46	-44	120	519.71532
16	-44	-42	120	521.846632
17	-42	-40	120	523.252878
18	-40	-38	120	523.932922
19	-38	-36	120	523.879352
20	-36	-34	120	523.076664
21	-34	-32	120	521.4985
22	-32	-30	120	519.103322
