格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
480	-99.291	-29.5	103.581	462.027	8.64838	3.02	4.5	1	7.61E-8	1	0	55.10266
481	-99.291	-28.5	103.301	462.027	8.64841	3.02	4.5	1	7.6101E-8	1	0	55.10247
482	-99.291	-27.5	103.029	462.027	8.64847	3.02	4.5	1	7.6102E-8	1	0	55.10208
483	-99.291	-26.5	102.767	462.027	8.64856	3.02	4.5	1	7.6104E-8	1	0	55.10151
484	-99.291	-25.5	102.514	462.027	8.64868	3.02	4.5	1	7.6106E-8	1	0	55.10076
485	-99.291	-24.5	102.269	462.028	8.64883	3.02	4.5	1	7.6108E-8	1	0	55.09983
486	-99.291	-23.5	102.034	462.028	8.649	3.02	4.5	1	7.6111E-8	1	0	55.09874
487	-99.291	-22.5	101.809	462.028	8.6492	3.02	4.5	1	7.6115E-8	1	0	55.0975
488	-99.291	-21.5	101.592	462.029	8.64941	3.02	4.5	1	7.6118E-8	1	0	55.09612
489	-99.291	-20.5	101.386	462.03	8.64965	3.02	4.5	1	7.6123E-8	1	0	55.09462
490	-99.291	-19.5	101.188	462.03	8.64991	3.02	4.5	1	7.6127E-8	1	0	55.09301
491	-99.291	-18.5	101	462.031	8.65017	3.02	4.5	1	7.6132E-8	1	0	55.09132
492	-99.291	-17.5	100.822	462.031	8.65045	3.02	4.5	1	7.6137E-8	1	0	55.08955
493	-99.291	-16.5	100.653	462.032	8.65074	3.02	4.5	1	7.6142E-8	1	0	55.08774
494	-99.291	-15.5	100.494	462.033	8.65103	3.02	4.5	1	7.6147E-8	1	0	55.08589
495	-99.291	-14.5	100.345	462.034	8.65132	3.02	4.5	1	7.6152E-8	1	0	55.08404
496	-99.291	-13.5	100.205	462.034	8.65161	3.02	4.5	1	7.6157E-8	1	0	55.08219
497	-99.291	-12.5	100.075	462.035	8.6519	3.02	4.5	1	7.6162E-8	1	0	55.08038
498	-99.291	-11.5	99.955	462.036	8.65218	3.02	4.5	1	7.6167E-8	1	0	55.07861
499	-99.291	-10.5	99.845	462.036	8.65244	3.02	4.5	1	7.6172E-8	1	0	55.07692
500	-99.291	-9.5	99.745	462.037	8.6527	3.02	4.5	1	7.6176E-8	1	0	55.07531
501	-99.291	-8.5	99.655	462.037	8.65294	3.02	4.5	1	7.618E-8	1	0	55.07381
502	-99.291	-7.5	99.574	462.038	8.65315	3.02	4.5	1	7.6184E-8	1	0	55.07243
503	-99.291	-6.5	99.504	462.038	8.65335	3.02	4.5	1	7.6187E-8	1	0	55.07119
504	-99.291	-5.5	99.444	462.039	8.65352	3.02	4.5	1	7.619E-8	1	0	55.0701
505	-99.291	-4.5	99.393	462.039	8.65367	3.02	4.5	1	7.6193E-8	1	0	55.06918
506	-99.291	-3.5	99.353	462.039	8.65379	3.02	4.5	1	7.6195E-8	1	0	55.06842
507	-99.291	-2.5	99.323	462.04	8.65388	3.02	4.5	1	7.6197E-8	1	0	55.06785
508	-99.291	-1.5	99.303	462.04	8.65394	3.02	4.5	1	7.6198E-8	1	0	55.06746
509	-99.291	-0.5	99.293	462.04	8.65397	3.02	4.5	1	7.6198E-8	1	0	55.06727
510	-99.291	0.5	99.293	462.04	8.65397	3.02	4.5	1	7.6198E-8	1	0	55.06727
511	-99.291	1.5	99.303	462.04	8.65394	3.02	4.5	1	7.6198E-8	1	0	55.06746
512	-99.291	2.5	99.323	462.04	8.65388	3.02	4.5	1	7.6197E-8	1	0	55.06785
513	-99.291	3.5	99.353	462.039	8.65379	3.02	4.5	1	7.6195E-8	1	0	55.06842
514	-99.291	4.5	99.393	462.039	8.65367	3.02	4.5	1	7.6193E-8	1	0	55.06918
515	-99.291	5.5	99.444	462.039	8.65352	3.02	4.5	1	7.619E-8	1	0	55.0701
516	-99.291	6.5	99.504	462.038	8.65335	3.02	4.5	1	7.6187E-8	1	0	55.07119
517	-99.291	7.5	99.574	462.038	8.65315	3.02	4.5	1	7.6184E-8	1	0	55.07243
518	-99.291	8.5	99.655	462.037	8.65294	3.02	4.5	1	7.618E-8	1	0	55.07381
