格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
480	-99.291	-29.5	103.581	461.925	8.39634	1.75	13.1	1	4.1566E-8	1	0	56.75459
481	-99.291	-28.5	103.301	461.926	8.39637	1.75	13.1	1	4.1567E-8	1	0	56.75439
482	-99.291	-27.5	103.029	461.926	8.39643	1.75	13.1	1	4.1567E-8	1	0	56.75399
483	-99.291	-26.5	102.767	461.926	8.39652	1.75	13.1	1	4.1568E-8	1	0	56.7534
484	-99.291	-25.5	102.514	461.926	8.39663	1.75	13.1	1	4.1569E-8	1	0	56.75262
485	-99.291	-24.5	102.269	461.926	8.39677	1.75	13.1	1	4.1571E-8	1	0	56.75167
486	-99.291	-23.5	102.034	461.927	8.39694	1.75	13.1	1	4.1572E-8	1	0	56.75054
487	-99.291	-22.5	101.809	461.927	8.39713	1.75	13.1	1	4.1574E-8	1	0	56.74926
488	-99.291	-21.5	101.592	461.928	8.39734	1.75	13.1	1	4.1576E-8	1	0	56.74784
489	-99.291	-20.5	101.386	461.928	8.39757	1.75	13.1	1	4.1579E-8	1	0	56.7463
490	-99.291	-19.5	101.188	461.929	8.39782	1.75	13.1	1	4.1581E-8	1	0	56.74464
491	-99.291	-18.5	101	461.929	8.39808	1.75	13.1	1	4.1584E-8	1	0	56.74289
492	-99.291	-17.5	100.822	461.93	8.39835	1.75	13.1	1	4.1586E-8	1	0	56.74108
493	-99.291	-16.5	100.653	461.931	8.39863	1.75	13.1	1	4.1589E-8	1	0	56.73921
494	-99.291	-15.5	100.494	461.931	8.39891	1.75	13.1	1	4.1592E-8	1	0	56.73731
495	-99.291	-14.5	100.345	461.932	8.39919	1.75	13.1	1	4.1595E-8	1	0	56.73539
496	-99.291	-13.5	100.205	461.932	8.39948	1.75	13.1	1	4.1597E-8	1	0	56.73349
497	-99.291	-12.5	100.075	461.933	8.39975	1.75	13.1	1	4.16E-8	1	0	56.73162
498	-99.291	-11.5	99.955	461.934	8.40003	1.75	13.1	1	4.1603E-8	1	0	56.72981
499	-99.291	-10.5	99.845	461.934	8.40028	1.75	13.1	1	4.1605E-8	1	0	56.72806
500	-99.291	-9.5	99.745	461.935	8.40053	1.75	13.1	1	4.1608E-8	1	0	56.72641
501	-99.291	-8.5	99.655	461.935	8.40076	1.75	13.1	1	4.161E-8	1	0	56.72486
502	-99.291	-7.5	99.574	461.936	8.40097	1.75	13.1	1	4.1612E-8	1	0	56.72344
