格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
120	-96.583	-29	100.843	507.661	8.64746	3.02	4.5	3.417	7.4899E-8	1	0	16.32245
121	-96.583	-27	100.286	507.663	8.6476	3.02	4.5	3.417	7.4901E-8	1	0	16.32219
122	-96.583	-25	99.766	507.666	8.64788	3.02	4.5	3.417	7.4906E-8	1	0	16.32167
123	-96.583	-23	99.284	507.67	8.64828	3.02	4.5	3.417	7.4913E-8	1	0	16.32092
124	-96.583	-21	98.839	507.675	8.6488	3.02	4.5	3.417	7.4922E-8	1	0	16.31997
125	-96.583	-19	98.434	507.681	8.64939	3.02	4.5	3.417	7.4932E-8	1	0	16.31887
126	-96.583	-17	98.068	507.687	8.65005	3.02	4.5	3.417	7.4943E-8	1	0	16.31766
127	-96.583	-15	97.741	507.694	8.65074	3.02	4.5	3.417	7.4955E-8	1	0	16.31639
128	-96.583	-13	97.454	507.701	8.65142	3.02	4.5	3.417	7.4967E-8	1	0	16.31512
129	-96.583	-11	97.207	507.707	8.65208	3.02	4.5	3.417	7.4978E-8	1	0	16.31391
130	-96.583	-9	97.001	507.713	8.65268	3.02	4.5	3.417	7.4988E-8	1	0	16.31281
131	-96.583	-7	96.836	507.718	8.65319	3.02	4.5	3.417	7.4997E-8	1	0	16.31186
132	-96.583	-5	96.712	507.722	8.65359	3.02	4.5	3.417	7.5004E-8	1	0	16.31111
133	-96.583	-3	96.629	507.725	8.65388	3.02	4.5	3.417	7.5008E-8	1	0	16.3106
134	-96.583	-1	96.588	507.727	8.65402	3.02	4.5	3.417	7.5011E-8	1	0	16.31033
135	-96.583	1	96.588	507.727	8.65402	3.02	4.5	3.417	7.5011E-8	1	0	16.31033
136	-96.583	3	96.629	507.725	8.65388	3.02	4.5	3.417	7.5008E-8	1	0	16.3106
137	-96.583	5	96.712	507.722	8.65359	3.02	4.5	3.417	7.5004E-8	1	0	16.31111
138	-96.583	7	96.836	507.718	8.65319	3.02	4.5	3.417	7.4997E-8	1	0	16.31186
139	-96.583	9	97.001	507.713	8.65268	3.02	4.5	3.417	7.4988E-8	1	0	16.31281
140	-96.583	11	97.207	507.707	8.65208	3.02	4.5	3.417	7.4978E-8	1	0	16.31391
141	-96.583	13	97.454	507.701	8.65142	3.02	4.5	3.417	7.4967E-8	1	0	16.31512
142	-96.583	15	97.741	507.694	8.65074	3.02	4.5	3.417	7.4955E-8	1	0	16.31639
143	-96.583	17	98.068	507.687	8.65005	3.02	4.5	3.417	7.4943E-8	1	0	16.31766
144	-96.583	19	98.434	507.681	8.64939	3.02	4.5	3.417	7.4932E-8	1	0	16.31887
145	-96.583	21	98.839	507.675	8.6488	3.02	4.5	3.417	7.4922E-8	1	0	16.31997
146	-96.583	23	99.284	507.67	8.64828	3.02	4.5	3.417	7.4913E-8	1	0	16.32092
147	-96.583	25	99.766	507.666	8.64788	3.02	4.5	3.417	7.4906E-8	1	0	16.32167
148	-96.583	27	100.286	507.663	8.6476	3.02	4.5	3.417	7.4901E-8	1	0	16.32219
149	-96.583	29	100.843	507.661	8.64746	3.02	4.5	3.417	7.4899E-8	1	0	16.32245
150	-88.339	-29	92.977	631.846	8.64497	3.02	4.5	11.661	7.1633E-8	1	0	5.00646
151	-88.339	-27	92.373	631.851	8.64523	3.02	4.5	11.661	7.1637E-8	1	0	5.00632
152	-88.339	-25	91.808	631.861	8.64572	3.02	4.5	11.661	7.1645E-8	1	0	5.00605
153	-88.339	-23	91.284	631.876	8.64643	3.02	4.5	11.661	7.1656E-8	1	0	5.00566
154	-88.339	-21	90.801	631.894	8.64733	3.02	4.5	11.661	7.167E-8	1	0	5.00516
155	-88.339	-19	90.359	631.915	8.64838	3.02	4.5	11.661	7.1687E-8	1	0	5.00459
156	-88.339	-17	89.96	631.939	8.64953	3.02	4.5	11.661	7.1706E-8	1	0	5.00395
157	-88.339	-15	89.603	631.963	8.65074	3.02	4.5	11.661	7.1725E-8	1	0	5.00329
158	-88.339	-13	89.29	631.987	8.65194	3.02	4.5	11.661	7.1745E-8	1	0	5.00262
159	-88.339	-11	89.021	632.011	8.65309	3.02	4.5	11.661	7.1763E-8	1	0	5.00199
160	-88.339	-9	88.796	632.032	8.65414	3.02	4.5	11.661	7.178E-8	1	0	5.00141
161	-88.339	-7	88.616	632.05	8.65505	3.02	4.5	11.661	7.1794E-8	1	0	5.00092
162	-88.339	-5	88.48	632.065	8.65576	3.02	4.5	11.661	7.1806E-8	1	0	5.00052
163	-88.339	-3	88.39	632.075	8.65625	3.02	4.5	11.661	7.1814E-8	1	0	5.00025
164	-88.339	-1	88.345	632.08	8.6565	3.02	4.5	11.661	7.1818E-8	1	0	5.00011
165	-88.339	1	88.345	632.08	8.6565	3.02	4.5	11.661	7.1818E-8	1	0	5.00011
166	-88.339	3	88.39	632.075	8.65625	3.02	4.5	11.661	7.1814E-8	1	0	5.00025
167	-88.339	5	88.48	632.065	8.65576	3.02	4.5	11.661	7.1806E-8	1	0	5.00052
168	-88.339	7	88.616	632.05	8.65505	3.02	4.5	11.661	7.1794E-8	1	0	5.00092
169	-88.339	9	88.796	632.032	8.65414	3.02	4.5	11.661	7.178E-8	1	0	5.00141
170	-88.339	11	89.021	632.011	8.65309	3.02	4.5	11.661	7.1763E-8	1	0	5.00199
171	-88.339	13	89.29	631.987	8.65194	3.02	4.5	11.661	7.1745E-8	1	0	5.00262
172	-88.339	15	89.603	631.963	8.65074	3.02	4.5	11.661	7.1725E-8	1	0	5.00329
173	-88.339	17	89.96	631.939	8.64953	3.02	4.5	11.661	7.1706E-8	1	0	5.00395
174	-88.339	19	90.359	631.915	8.64838	3.02	4.5	11.661	7.1687E-8	1	0	5.00459
175	-88.339	21	90.801	631.894	8.64733	3.02	4.5	11.661	7.167E-8	1	0	5.00516
176	-88.339	23	91.284	631.876	8.64643	3.02	4.5	11.661	7.1656E-8	1	0	5.00566
177	-88.339	25	91.808	631.861	8.64572	3.02	4.5	11.661	7.1645E-8	1	0	5.00605
178	-88.339	27	92.373	631.851	8.64523	3.02	4.5	11.661	7.1637E-8	1	0	5.00632
179	-88.339	29	92.977	631.846	8.64497	3.02	4.5	11.661	7.1633E-8	1	0	5.00646
180	-79.799	-29	84.905	743.167	8.63852	3.02	4.5	20.201	6.8641E-8	1	0	3.09092
181	-79.799	-27	84.243	743.179	8.63905	3.02	4.5	20.201	6.8649E-8	1	0	3.09074
182	-79.799	-25	83.624	743.203	8.64009	3.02	4.5	20.201	6.8665E-8	1	0	3.0904
183	-79.799	-23	83.048	743.237	8.6416	3.02	4.5	20.201	6.8688E-8	1	0	3.08989
184	-79.799	-21	82.516	743.28	8.64351	3.02	4.5	20.201	6.8717E-8	1	0	3.08925
