格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
120	-96.583	-29	100.843	507.174	8.39534	1.75	13.1	3.417	4.0915E-8	1	0	16.80753
121	-96.583	-27	100.286	507.175	8.39548	1.75	13.1	3.417	4.0916E-8	1	0	16.80726
122	-96.583	-25	99.766	507.178	8.39575	1.75	13.1	3.417	4.0919E-8	1	0	16.80673
123	-96.583	-23	99.284	507.182	8.39614	1.75	13.1	3.417	4.0922E-8	1	0	16.80595
124	-96.583	-21	98.839	507.186	8.39664	1.75	13.1	3.417	4.0927E-8	1	0	16.80498
125	-96.583	-19	98.434	507.192	8.39722	1.75	13.1	3.417	4.0933E-8	1	0	16.80384
126	-96.583	-17	98.068	507.198	8.39785	1.75	13.1	3.417	4.0939E-8	1	0	16.80259
127	-96.583	-15	97.741	507.204	8.39852	1.75	13.1	3.417	4.0945E-8	1	0	16.80128
128	-96.583	-13	97.454	507.21	8.39919	1.75	13.1	3.417	4.0952E-8	1	0	16.79998
129	-96.583	-11	97.207	507.216	8.39982	1.75	13.1	3.417	4.0958E-8	1	0	16.79873
130	-96.583	-9	97.001	507.222	8.4004	1.75	13.1	3.417	4.0963E-8	1	0	16.79759
131	-96.583	-7	96.836	507.227	8.4009	1.75	13.1	3.417	4.0968E-8	1	0	16.79661
132	-96.583	-5	96.712	507.23	8.4013	1.75	13.1	3.417	4.0972E-8	1	0	16.79584
133	-96.583	-3	96.629	507.233	8.40157	1.75	13.1	3.417	4.0975E-8	1	0	16.79531
134	-96.583	-1	96.588	507.234	8.40171	1.75	13.1	3.417	4.0976E-8	1	0	16.79503
135	-96.583	1	96.588	507.234	8.40171	1.75	13.1	3.417	4.0976E-8	1	0	16.79503
136	-96.583	3	96.629	507.233	8.40157	1.75	13.1	3.417	4.0975E-8	1	0	16.79531
137	-96.583	5	96.712	507.23	8.4013	1.75	13.1	3.417	4.0972E-8	1	0	16.79584
138	-96.583	7	96.836	507.227	8.4009	1.75	13.1	3.417	4.0968E-8	1	0	16.79661
139	-96.583	9	97.001	507.222	8.4004	1.75	13.1	3.417	4.0963E-8	1	0	16.79759
140	-96.583	11	97.207	507.216	8.39982	1.75	13.1	3.417	4.0958E-8	1	0	16.79873
141	-96.583	13	97.454	507.21	8.39919	1.75	13.1	3.417	4.0952E-8	1	0	16.79998
142	-96.583	15	97.741	507.204	8.39852	1.75	13.1	3.417	4.0945E-8	1	0	16.80128
143	-96.583	17	98.068	507.198	8.39785	1.75	13.1	3.417	4.0939E-8	1	0	16.80259
144	-96.583	19	98.434	507.192	8.39722	1.75	13.1	3.417	4.0933E-8	1	0	16.80384
145	-96.583	21	98.839	507.186	8.39664	1.75	13.1	3.417	4.0927E-8	1	0	16.80498
146	-96.583	23	99.284	507.182	8.39614	1.75	13.1	3.417	4.0922E-8	1	0	16.80595
147	-96.583	25	99.766	507.178	8.39575	1.75	13.1	3.417	4.0919E-8	1	0	16.80673
148	-96.583	27	100.286	507.175	8.39548	1.75	13.1	3.417	4.0916E-8	1	0	16.80726
149	-96.583	29	100.843	507.174	8.39534	1.75	13.1	3.417	4.0915E-8	1	0	16.80753
150	-88.339	-29	92.977	630.763	8.39293	1.75	13.1	11.661	3.9139E-8	1	0	5.13973
151	-88.339	-27	92.373	630.768	8.39317	1.75	13.1	11.661	3.9141E-8	1	0	5.13958
152	-88.339	-25	91.808	630.777	8.39365	1.75	13.1	11.661	3.9146E-8	1	0	5.1393
153	-88.339	-23	91.284	630.79	8.39434	1.75	13.1	11.661	3.9152E-8	1	0	5.1389
154	-88.339	-21	90.801	630.807	8.39521	1.75	13.1	11.661	3.916E-8	1	0	5.13839
155	-88.339	-19	90.359	630.827	8.39623	1.75	13.1	11.661	3.9169E-8	1	0	5.13779
156	-88.339	-17	89.96	630.848	8.39735	1.75	13.1	11.661	3.9179E-8	1	0	5.13714
157	-88.339	-15	89.603	630.87	8.39852	1.75	13.1	11.661	3.919E-8	1	0	5.13645
