格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
480	-99.291	-29.5	103.581	464.542	9.9607	2.03	5.1	1	6.7797E-8	1	0	47.87347
481	-99.291	-28.5	103.301	464.542	9.96074	2.03	5.1	1	6.7798E-8	1	0	47.8733
482	-99.291	-27.5	103.029	464.542	9.96081	2.03	5.1	1	6.7799E-8	1	0	47.87296
483	-99.291	-26.5	102.767	464.542	9.96091	2.03	5.1	1	6.78E-8	1	0	47.87245
484	-99.291	-25.5	102.514	464.543	9.96105	2.03	5.1	1	6.7802E-8	1	0	47.87179
485	-99.291	-24.5	102.269	464.543	9.96122	2.03	5.1	1	6.7804E-8	1	0	47.87097
486	-99.291	-23.5	102.034	464.544	9.96143	2.03	5.1	1	6.7807E-8	1	0	47.87001
487	-99.291	-22.5	101.809	464.544	9.96165	2.03	5.1	1	6.781E-8	1	0	47.86891
488	-99.291	-21.5	101.592	464.545	9.96191	2.03	5.1	1	6.7814E-8	1	0	47.8677
489	-99.291	-20.5	101.386	464.546	9.96219	2.03	5.1	1	6.7817E-8	1	0	47.86638
490	-99.291	-19.5	101.188	464.547	9.96248	2.03	5.1	1	6.7822E-8	1	0	47.86496
491	-99.291	-18.5	101	464.547	9.9628	2.03	5.1	1	6.7826E-8	1	0	47.86347
492	-99.291	-17.5	100.822	464.548	9.96312	2.03	5.1	1	6.783E-8	1	0	47.86191
493	-99.291	-16.5	100.653	464.549	9.96346	2.03	5.1	1	6.7835E-8	1	0	47.86031
494	-99.291	-15.5	100.494	464.55	9.9638	2.03	5.1	1	6.7839E-8	1	0	47.85868
495	-99.291	-14.5	100.345	464.551	9.96414	2.03	5.1	1	6.7844E-8	1	0	47.85705
496	-99.291	-13.5	100.205	464.552	9.96448	2.03	5.1	1	6.7849E-8	1	0	47.85542
497	-99.291	-12.5	100.075	464.553	9.96482	2.03	5.1	1	6.7853E-8	1	0	47.85382
498	-99.291	-11.5	99.955	464.554	9.96514	2.03	5.1	1	6.7858E-8	1	0	47.85227
499	-99.291	-10.5	99.845	464.555	9.96546	2.03	5.1	1	6.7862E-8	1	0	47.85078
500	-99.291	-9.5	99.745	464.556	9.96575	2.03	5.1	1	6.7866E-8	1	0	47.84936
501	-99.291	-8.5	99.655	464.556	9.96603	2.03	5.1	1	6.787E-8	1	0	47.84804
502	-99.291	-7.5	99.574	464.557	9.96629	2.03	5.1	1	6.7873E-8	1	0	47.84682
503	-99.291	-6.5	99.504	464.558	9.96651	2.03	5.1	1	6.7876E-8	1	0	47.84573
504	-99.291	-5.5	99.444	464.558	9.96672	2.03	5.1	1	6.7879E-8	1	0	47.84477
505	-99.291	-4.5	99.393	464.559	9.96689	2.03	5.1	1	6.7881E-8	1	0	47.84395
506	-99.291	-3.5	99.353	464.559	9.96703	2.03	5.1	1	6.7883E-8	1	0	47.84328
507	-99.291	-2.5	99.323	464.559	9.96713	2.03	5.1	1	6.7885E-8	1	0	47.84278
508	-99.291	-1.5	99.303	464.56	9.9672	2.03	5.1	1	6.7886E-8	1	0	47.84244
509	-99.291	-0.5	99.293	464.56	9.96724	2.03	5.1	1	6.7886E-8	1	0	47.84227
510	-99.291	0.5	99.293	464.56	9.96724	2.03	5.1	1	6.7886E-8	1	0	47.84227
511	-99.291	1.5	99.303	464.56	9.9672	2.03	5.1	1	6.7886E-8	1	0	47.84244
512	-99.291	2.5	99.323	464.559	9.96713	2.03	5.1	1	6.7885E-8	1	0	47.84278
513	-99.291	3.5	99.353	464.559	9.96703	2.03	5.1	1	6.7883E-8	1	0	47.84328
