格	x	z	r	T	J重构	厚	保温mm	L	proxy	区(0盘1舌)	前12	裕度
120	-96.583	-29	100.843	519.623	9.95995	2.03	5.1	3.417	6.6512E-8	1	0	14.21929
121	-96.583	-27	100.286	519.625	9.96012	2.03	5.1	3.417	6.6514E-8	1	0	14.21906
122	-96.583	-25	99.766	519.629	9.96045	2.03	5.1	3.417	6.6518E-8	1	0	14.2186
123	-96.583	-23	99.284	519.634	9.96092	2.03	5.1	3.417	6.6524E-8	1	0	14.21794
124	-96.583	-21	98.839	519.641	9.96152	2.03	5.1	3.417	6.6532E-8	1	0	14.21712
125	-96.583	-19	98.434	519.649	9.96222	2.03	5.1	3.417	6.6541E-8	1	0	14.21615
126	-96.583	-17	98.068	519.658	9.96298	2.03	5.1	3.417	6.6551E-8	1	0	14.21509
127	-96.583	-15	97.741	519.668	9.96378	2.03	5.1	3.417	6.6562E-8	1	0	14.21398
128	-96.583	-13	97.454	519.677	9.96458	2.03	5.1	3.417	6.6572E-8	1	0	14.21287
129	-96.583	-11	97.207	519.686	9.96535	2.03	5.1	3.417	6.6582E-8	1	0	14.2118
130	-96.583	-9	97.001	519.694	9.96605	2.03	5.1	3.417	6.6591E-8	1	0	14.21084
131	-96.583	-7	96.836	519.701	9.96665	2.03	5.1	3.417	6.6599E-8	1	0	14.21001
132	-96.583	-5	96.712	519.707	9.96712	2.03	5.1	3.417	6.6605E-8	1	0	14.20935
133	-96.583	-3	96.629	519.711	9.96745	2.03	5.1	3.417	6.661E-8	1	0	14.2089
134	-96.583	-1	96.588	519.713	9.96762	2.03	5.1	3.417	6.6612E-8	1	0	14.20867
135	-96.583	1	96.588	519.713	9.96762	2.03	5.1	3.417	6.6612E-8	1	0	14.20867
136	-96.583	3	96.629	519.711	9.96745	2.03	5.1	3.417	6.661E-8	1	0	14.2089
137	-96.583	5	96.712	519.707	9.96712	2.03	5.1	3.417	6.6605E-8	1	0	14.20935
138	-96.583	7	96.836	519.701	9.96665	2.03	5.1	3.417	6.6599E-8	1	0	14.21001
139	-96.583	9	97.001	519.694	9.96605	2.03	5.1	3.417	6.6591E-8	1	0	14.21084
140	-96.583	11	97.207	519.686	9.96535	2.03	5.1	3.417	6.6582E-8	1	0	14.2118
141	-96.583	13	97.454	519.677	9.96458	2.03	5.1	3.417	6.6572E-8	1	0	14.21287
142	-96.583	15	97.741	519.668	9.96378	2.03	5.1	3.417	6.6562E-8	1	0	14.21398
143	-96.583	17	98.068	519.658	9.96298	2.03	5.1	3.417	6.6551E-8	1	0	14.21509
144	-96.583	19	98.434	519.649	9.96222	2.03	5.1	3.417	6.6541E-8	1	0	14.21615
145	-96.583	21	98.839	519.641	9.96152	2.03	5.1	3.417	6.6532E-8	1	0	14.21712
146	-96.583	23	99.284	519.634	9.96092	2.03	5.1	3.417	6.6524E-8	1	0	14.21794
147	-96.583	25	99.766	519.629	9.96045	2.03	5.1	3.417	6.6518E-8	1	0	14.2186
148	-96.583	27	100.286	519.625	9.96012	2.03	5.1	3.417	6.6514E-8	1	0	14.21906
149	-96.583	29	100.843	519.623	9.95995	2.03	5.1	3.417	6.6512E-8	1	0	14.21929
150	-88.339	-29	92.977	667.788	9.95705	2.03	5.1	11.661	6.3044E-8	1	0	4.41686
151	-88.339	-27	92.373	667.795	9.95735	2.03	5.1	11.661	6.3047E-8	1	0	4.41673
152	-88.339	-25	91.808	667.808	9.95792	2.03	5.1	11.661	6.3054E-8	1	0	4.4165
153	-88.339	-23	91.284	667.828	9.95875	2.03	5.1	11.661	6.3064E-8	1	0	4.41615
154	-88.339	-21	90.801	667.853	9.9598	2.03	5.1	11.661	6.3077E-8	1	0	4.41572
155	-88.339	-19	90.359	667.883	9.96103	2.03	5.1	11.661	6.3092E-8	1	0	4.41521
156	-88.339	-17	89.96	667.915	9.96237	2.03	5.1	11.661	6.3108E-8	1	0	4.41465
157	-88.339	-15	89.603	667.948	9.96378	2.03	5.1	11.661	6.3125E-8	1	0	4.41407
158	-88.339	-13	89.29	667.982	9.96519	2.03	5.1	11.661	6.3142E-8	1	0	4.41349
159	-88.339	-11	89.021	668.014	9.96654	2.03	5.1	11.661	6.3159E-8	1	0	4.41294
160	-88.339	-9	88.796	668.043	9.96776	2.03	5.1	11.661	6.3173E-8	1	0	4.41243
161	-88.339	-7	88.616	668.068	9.96882	2.03	5.1	11.661	6.3186E-8	1	0	4.41199
162	-88.339	-5	88.48	668.088	9.96965	2.03	5.1	11.661	6.3196E-8	1	0	4.41165
163	-88.339	-3	88.39	668.102	9.97023	2.03	5.1	11.661	6.3203E-8	1	0	4.41141
164	-88.339	-1	88.345	668.109	9.97052	2.03	5.1	11.661	6.3207E-8	1	0	4.41129
165	-88.339	1	88.345	668.109	9.97052	2.03	5.1	11.661	6.3207E-8	1	0	4.41129
166	-88.339	3	88.39	668.102	9.97023	2.03	5.1	11.661	6.3203E-8	1	0	4.41141
167	-88.339	5	88.48	668.088	9.96965	2.03	5.1	11.661	6.3196E-8	1	0	4.41165
168	-88.339	7	88.616	668.068	9.96882	2.03	5.1	11.661	6.3186E-8	1	0	4.41199
169	-88.339	9	88.796	668.043	9.96776	2.03	5.1	11.661	6.3173E-8	1	0	4.41243
170	-88.339	11	89.021	668.014	9.96654	2.03	5.1	11.661	6.3159E-8	1	0	4.41294
171	-88.339	13	89.29	667.982	9.96519	2.03	5.1	11.661	6.3142E-8	1	0	4.41349
172	-88.339	15	89.603	667.948	9.96378	2.03	5.1	11.661	6.3125E-8	1	0	4.41407
173	-88.339	17	89.96	667.915	9.96237	2.03	5.1	11.661	6.3108E-8	1	0	4.41465
174	-88.339	19	90.359	667.883	9.96103	2.03	5.1	11.661	6.3092E-8	1	0	4.41521
175	-88.339	21	90.801	667.853	9.9598	2.03	5.1	11.661	6.3077E-8	1	0	4.41572
176	-88.339	23	91.284	667.828	9.95875	2.03	5.1	11.661	6.3064E-8	1	0	4.41615
177	-88.339	25	91.808	667.808	9.95792	2.03	5.1	11.661	6.3054E-8	1	0	4.4165
178	-88.339	27	92.373	667.795	9.95735	2.03	5.1	11.661	6.3047E-8	1	0	4.41673
179	-88.339	29	92.977	667.788	9.95705	2.03	5.1	11.661	6.3044E-8	1	0	4.41686
180	-79.799	-29	84.905	798.617	9.94951	2.03	5.1	20.201	5.9925E-8	1	0	2.78743
181	-79.799	-27	84.243	798.633	9.95013	2.03	5.1	20.201	5.9932E-8	1	0	2.78727
182	-79.799	-25	83.624	798.666	9.95135	2.03	5.1	20.201	5.9946E-8	1	0	2.78696
183	-79.799	-23	83.048	798.713	9.95311	2.03	5.1	20.201	5.9966E-8	1	0	2.78651
184	-79.799	-21	82.516	798.772	9.95534	2.03	5.1	20.201	5.9992E-8	1	0	2.78595
185	-79.799	-19	82.03	798.841	9.95794	2.03	5.1	20.201	6.0021E-8	1	0	2.78529
186	-79.799	-17	81.59	798.916	9.96079	2.03	5.1	20.201	6.0054E-8	1	0	2.78456
187	-79.799	-15	81.197	798.995	9.96378	2.03	5.1	20.201	6.0088E-8	1	0	2.78381
188	-79.799	-13	80.851	799.075	9.96677	2.03	5.1	20.201	6.0122E-8	1	0	2.78305
189	-79.799	-11	80.554	799.15	9.96963	2.03	5.1	20.201	6.0155E-8	1	0	2.78232
190	-79.799	-9	80.305	799.219	9.97223	2.03	5.1	20.201	6.0185E-8	1	0	2.78166
191	-79.799	-7	80.106	799.279	9.97447	2.03	5.1	20.201	6.021E-8	1	0	2.7811
192	-79.799	-5	79.956	799.326	9.97624	2.03	5.1	20.201	6.0231E-8	1	0	2.78065
193	-79.799	-3	79.856	799.358	9.97746	2.03	5.1	20.201	6.0245E-8	1	0	2.78034
194	-79.799	-1	79.805	799.375	9.97809	2.03	5.1	20.201	6.0252E-8	1	0	2.78018
195	-79.799	1	79.805	799.375	9.97809	2.03	5.1	20.201	6.0252E-8	1	0	2.78018
196	-79.799	3	79.856	799.358	9.97746	2.03	5.1	20.201	6.0245E-8	1	0	2.78034
197	-79.799	5	79.956	799.326	9.97624	2.03	5.1	20.201	6.0231E-8	1	0	2.78065
198	-79.799	7	80.106	799.279	9.97447	2.03	5.1	20.201	6.021E-8	1	0	2.7811
199	-79.799	9	80.305	799.219	9.97223	2.03	5.1	20.201	6.0185E-8	1	0	2.78166
200	-79.799	11	80.554	799.15	9.96963	2.03	5.1	20.201	6.0155E-8	1	0	2.78232
201	-79.799	13	80.851	799.075	9.96677	2.03	5.1	20.201	6.0122E-8	1	0	2.78305
202	-79.799	15	81.197	798.995	9.96378	2.03	5.1	20.201	6.0088E-8	1	0	2.78381
203	-79.799	17	81.59	798.916	9.96079	2.03	5.1	20.201	6.0054E-8	1	0	2.78456
204	-79.799	19	82.03	798.841	9.95794	2.03	5.1	20.201	6.0021E-8	1	0	2.78529
205	-79.799	21	82.516	798.772	9.95534	2.03	5.1	20.201	5.9992E-8	1	0	2.78595
206	-79.799	23	83.048	798.713	9.95311	2.03	5.1	20.201	5.9966E-8	1	0	2.78651
207	-79.799	25	83.624	798.666	9.95135	2.03	5.1	20.201	5.9946E-8	1	0	2.78696
208	-79.799	27	84.243	798.633	9.95013	2.03	5.1	20.201	5.9932E-8	1	0	2.78727
209	-79.799	29	84.905	798.617	9.94951	2.03	5.1	20.201	5.9925E-8	1	0	2.78743
210	-73.23	-29	78.763	883.182	9.93657	2.03	5.1	26.77	5.782E-8	1	0	2.29593
211	-73.23	-27	78.049	883.211	9.93776	2.03	5.1	26.77	5.7833E-8	1	0	2.29569
212	-73.23	-25	77.38	883.269	9.94008	2.03	5.1	26.77	5.7859E-8	1	0	2.29521
213	-73.23	-23	76.757	883.353	9.94344	2.03	5.1	26.77	5.7896E-8	1	0	2.29451
214	-73.23	-21	76.182	883.46	9.94768	2.03	5.1	26.77	5.7943E-8	1	0	2.29363
215	-73.23	-19	75.655	883.583	9.95263	2.03	5.1	26.77	5.7998E-8	1	0	2.2926
216	-73.23	-17	75.177	883.719	9.95808	2.03	5.1	26.77	5.8058E-8	1	0	2.29148
217	-73.23	-15	74.751	883.862	9.96377	2.03	5.1	26.77	5.8121E-8	1	0	2.2903
218	-73.23	-13	74.375	884.004	9.96947	2.03	5.1	26.77	5.8184E-8	1	0	2.28913
219	-73.23	-11	74.052	884.14	9.97493	2.03	5.1	26.77	5.8245E-8	1	0	2.288
220	-73.23	-9	73.781	884.264	9.9799	2.03	5.1	26.77	5.83E-8	1	0	2.28698
221	-73.23	-7	73.564	884.371	9.98417	2.03	5.1	26.77	5.8348E-8	1	0	2.2861
222	-73.23	-5	73.401	884.455	9.98755	2.03	5.1	26.77	5.8385E-8	1	0	2.2854
223	-73.23	-3	73.292	884.513	9.98989	2.03	5.1	26.77	5.8411E-8	1	0	2.28492
224	-73.23	-1	73.237	884.543	9.99109	2.03	5.1	26.77	5.8424E-8	1	0	2.28468
225	-73.23	1	73.237	884.543	9.99109	2.03	5.1	26.77	5.8424E-8	1	0	2.28468
226	-73.23	3	73.292	884.513	9.98989	2.03	5.1	26.77	5.8411E-8	1	0	2.28492
227	-73.23	5	73.401	884.455	9.98755	2.03	5.1	26.77	5.8385E-8	1	0	2.2854
228	-73.23	7	73.564	884.371	9.98417	2.03	5.1	26.77	5.8348E-8	1	0	2.2861
229	-73.23	9	73.781	884.264	9.9799	2.03	5.1	26.77	5.83E-8	1	0	2.28698
230	-73.23	11	74.052	884.14	9.97493	2.03	5.1	26.77	5.8245E-8	1	0	2.288
231	-73.23	13	74.375	884.004	9.96947	2.03	5.1	26.77	5.8184E-8	1	0	2.28913
232	-73.23	15	74.751	883.862	9.96377	2.03	5.1	26.77	5.8121E-8	1	0	2.2903
233	-73.23	17	75.177	883.719	9.95808	2.03	5.1	26.77	5.8058E-8	1	0	2.29148
234	-73.23	19	75.655	883.583	9.95263	2.03	5.1	26.77	5.7998E-8	1	0	2.2926
235	-73.23	21	76.182	883.46	9.94768	2.03	5.1	26.77	5.7943E-8	1	0	2.29363
236	-73.23	23	76.757	883.353	9.94344	2.03	5.1	26.77	5.7896E-8	1	0	2.29451
237	-73.23	25	77.38	883.269	9.94008	2.03	5.1	26.77	5.7859E-8	1	0	2.29521
238	-73.23	27	78.049	883.211	9.93776	2.03	5.1	26.77	5.7833E-8	1	0	2.29569
239	-73.23	29	78.763	883.182	9.93657	2.03	5.1	26.77	5.782E-8	1	0	2.29593
240	-68.177	-29	74.088	939.158	9.91844	2.03	5.1	31.823	5.6324E-8	1	0	2.08331
241	-68.177	-27	73.329	939.204	9.92041	2.03	5.1	31.823	5.6345E-8	1	0	2.08294
242	-68.177	-25	72.616	939.293	9.92427	2.03	5.1	31.823	5.6387E-8	1	0	2.08221
243	-68.177	-23	71.952	939.423	9.92986	2.03	5.1	31.823	5.6447E-8	1	0	2.08116
244	-68.177	-21	71.338	939.586	9.93694	2.03	5.1	31.823	5.6524E-8	1	0	2.07984
245	-68.177	-19	70.775	939.777	9.94519	2.03	5.1	31.823	5.6614E-8	1	0	2.07829
246	-68.177	-17	70.265	939.987	9.95426	2.03	5.1	31.823	5.6712E-8	1	0	2.07659
247	-68.177	-15	69.808	940.206	9.96376	2.03	5.1	31.823	5.6815E-8	1	0	2.07482
248	-68.177	-13	69.405	940.426	9.97328	2.03	5.1	31.823	5.6919E-8	1	0	2.07304
249	-68.177	-11	69.059	940.636	9.98238	2.03	5.1	31.823	5.7018E-8	1	0	2.07135
250	-68.177	-9	68.768	940.827	9.99069	2.03	5.1	31.823	5.7108E-8	1	0	2.06981
251	-68.177	-7	68.535	940.992	9.99782	2.03	5.1	31.823	5.7186E-8	1	0	2.06848
252	-68.177	-5	68.36	941.122	10.00347	2.03	5.1	31.823	5.7248E-8	1	0	2.06744
253	-68.177	-3	68.243	941.212	10.00738	2.03	5.1	31.823	5.729E-8	1	0	2.06671
254	-68.177	-1	68.184	941.258	10.00938	2.03	5.1	31.823	5.7312E-8	1	0	2.06634
255	-68.177	1	68.184	941.258	10.00938	2.03	5.1	31.823	5.7312E-8	1	0	2.06634
