轮	δ K	真残差 K	放大	max(δ,r)·放大 / 0.025	段电流 A（R）
1	6.609E+001	0.000E+000	35.873	94828.850	1213.7559726084332 1077.5914909277178 1024.2927937578545
2	2.966E+001	6.609E+001	35.873	94827.410	1213.619174291573 1077.7057868987672 1024.3619730616551
3	5.813E+000	6.873E+000	35.873	9861.741	1213.6459974909576 1077.6824081706181 1024.3465998762922
4	6.994E+000	1.839E+001	35.872	26383.248	1213.6164919716343 1077.7135798173158 1024.364535262855
5	1.195E+000	4.136E+000	35.872	5935.168	1213.6111273317574 1077.7187750918424 1024.367097459312
6	8.221E-001	1.747E+000	35.872	2507.292	1213.6084450118192 1077.721372727443 1024.3696596593709
7	5.760E-002	1.300E-001	35.872	186.524	1213.6084450118192 1077.7213727271906 1024.3696596595955
8	2.227E-002	6.002E-002	35.872	86.129	1213.6084450118192 1077.7239703695345 1024.372221866795
9	3.772E-003	6.374E-002	35.872	91.455	1213.6084450118192 1077.7239703695004 1024.3722218666644
10	1.193E-002	6.723E-002	35.872	96.470	1213.6084450118192 1077.7213727272456 1024.3696596598606
11	7.775E-003	6.600E-002	35.872	94.703	1213.6084450118192 1077.721372727175 1024.3696596595669
12	1.112E-002	6.664E-002	35.872	95.618	1213.6084450118192 1077.7239703694236 1024.3696596597301
13	4.999E-002	6.622E-002	35.872	95.018	1213.6084450118192 1077.7239703698506 1024.3722218684502
14	1.132E-002	6.482E-002	35.872	93.005	1213.6084450118192 1077.7239703697514 1024.372221867991
15	5.380E-002	6.728E-002	35.872	96.544	1213.6084450118192 1077.72137272717 1024.3696596595364
16	5.525E-002	6.511E-002	35.872	93.423	1213.6084450118192 1077.7239703697692 1024.3722218680937
17	4.595E-002	6.642E-002	35.872	95.301	1213.6084450118192 1077.7239703694827 1024.3696596598384
18	7.203E-002	7.340E-002	35.872	105.316	1213.6084450118192 1077.7213727266944 1024.369659657174
19	2.436E-001	7.378E-002	35.872	349.476	1213.6084450118192 1077.7291656553014 1024.3747840796682
20	3.287E-001	6.347E-002	35.872	471.639	1213.6111273317574 1077.7395562266852 1024.3799085051078
21	1.884E-002	4.728E-002	35.872	67.849	1213.6111273317574 1077.7395562268462 1024.3799085058781
22	2.036E-001	4.561E-002	35.872	292.093	1213.6084450118192 1077.7317632987142 1024.3773462920549
23	3.469E-001	5.241E-002	35.872	497.705	1213.6111273317574 1077.7447515123558 1024.3824707178492
24	3.153E-001	2.859E-002	35.872	452.375	1213.6111273317574 1077.755142083773 1024.3875951431578
25	5.107E-002	1.257E-002	35.872	73.283	1213.6111273317574 1077.7551420842206 1024.3875951453228
26	1.152E-002	9.230E-003	35.872	16.527	1213.613809651696 1077.7551420841883 1024.3875951453706
27	8.425E-002	8.379E-003	35.872	120.883	1213.613809651696 1077.7577397270884 1024.3901573552625
28	7.585E-002	3.421E-003	35.872	108.843	1213.613809651696 1077.7603373699012 1024.390157358389
29	1.108E-001	3.886E-003	35.872	159.003	1213.613809651696 1077.7577397267762 1024.3875951473392
30	6.337E-002	4.671E-003	35.872	90.929	1213.613809651696 1077.760337369492 1024.390157356288
31	8.768E-004	2.614E-003	35.872	3.751	1213.613809651696 1077.7603373694906 1024.390157356317
32	3.421E-002	2.568E-003	35.872	49.086	1213.613809651696 1077.7577397270284 1024.3901573551889
33	2.238E-002	3.054E-003	35.872	32.111	1213.613809651696 1077.7603373693814 1024.3901573558392
34	1.305E-002	2.338E-003	35.872	18.724	1213.613809651696 1077.7577397271148 1024.3901573556032
35	1.172E-003	2.442E-003	35.872	3.505	1213.613809651696 1077.7577397271225 1024.3901573556782
36	4.489E-004	2.362E-003	35.872	3.389	1213.613809651696 1077.7577397271189 1024.390157355661
37	2.792E-004	2.391E-003	35.872	3.431	1213.613809651696 1077.7577397271175 1024.3901573556632
38	6.595E-004	2.400E-003	35.872	3.443	1213.613809651696 1077.757739727122 1024.390157355695
39	6.478E-004	2.358E-003	35.872	3.383	1213.613809651696 1077.7577397271302 1024.3901573557223
40	5.121E-005	2.320E-003	35.872	3.330	1213.613809651696 1077.7577397271289 1024.390157355721
41	2.117E-004	2.320E-003	35.872	3.329	1213.613809651696 1077.7577397271298 1024.3901573557305
42	7.838E-003	2.308E-003	35.872	11.246	1213.613809651696 1077.7603373693441 1024.3901573557882
43	9.047E-003	2.134E-003	35.872	12.982	1213.613809651696 1077.7577397271211 1024.3901573556927
44	4.171E-004	2.394E-003	35.872	3.435	1213.613809651696 1077.7577397271175 1024.3901573556718
45	7.226E-004	2.415E-003	35.872	3.466	1213.613809651696 1077.757739727122 1024.3901573556982
46	1.453E-004	2.365E-003	35.872	3.393	1213.613809651696 1077.7577397271257 1024.3901573557073
47	2.293E-003	2.357E-003	35.872	3.382	1213.613809651696 1077.7577397271057 1024.3901573556168
48	3.821E-003	2.496E-003	35.872	5.483	1213.613809651696 1077.7577397271361 1024.3901573557632
49	7.709E-003	2.262E-003	35.872	11.062	1213.613809651696 1077.7603373693532 1024.3901573557805
50	1.396E-002	2.224E-003	35.872	20.025	1213.613809651696 1077.7577397270857 1024.3901573555358
51	6.161E-003	2.647E-003	35.872	8.840	1213.613809651696 1077.7577397271389 1024.3901573557605
52	5.852E-003	2.279E-003	35.872	8.397	1213.613809651696 1077.7603373693382 1024.390157355684
53	6.219E-003	2.217E-003	35.872	8.923	1213.613809651696 1077.7577397271325 1024.3901573556986
54	1.064E-002	2.264E-003	35.872	15.269	1213.613809651696 1077.7577397270384 1024.3901573552143
55	9.664E-004	2.836E-003	35.872	4.069	1213.613809651696 1077.7577397270315 1024.390157355152
56	4.861E-003	2.891E-003	35.872	6.975	1213.613809651696 1077.757739726987 1024.3901573548633
57	2.360E-003	3.116E-003	35.872	4.472	1213.613809651696 1077.757739727006 1024.3901573550038
58	1.142E-002	2.994E-003	35.872	16.389	1213.613809651696 1077.7577397271198 1024.3901573557814
59	4.625E-003	2.439E-003	35.872	6.636	1213.613809651696 1077.7577397271575 1024.3901573560051
60	1.558E-002	2.185E-003	35.872	22.352	1213.613809651696 1077.760337369442 1024.390157356379
61	1.913E-002	1.995E-003	35.872	27.444	1213.613809651696 1077.760337369618 1024.3901573575185
62	3.948E-002	1.675E-003	35.872	56.644	1213.613809651696 1077.7577397271111 1024.3901573555677
63	1.243E-002	2.432E-003	35.872	17.841	1213.613809651696 1077.7603373693705 1024.390157355916
64	7.215E-003	2.161E-003	35.872	10.353	1213.613809651696 1077.7603373694346 1024.3901573563098
65	3.684E-002	2.112E-003	35.872	52.867	1213.613809651696 1077.7603373697752 1024.39271956526
66	3.990E-002	1.248E-003	35.872	57.256	1213.613809651696 1077.760337369411 1024.3901573562484
67	1.162E-002	1.917E-003	35.872	16.670	1213.613809651696 1077.7577397271557 1024.3901573559683
68	4.080E-004	2.177E-003	35.872	3.124	1213.613809651696 1077.757739727147 1024.3901573559388
