轮	δ K	真残差 K	放大	max(δ,r)·放大 / 0.025	段电流 A（R）
1	6.635E+001	0.000E+000	35.921	95330.755	1213.9088648449247 1077.7109825569992 1024.454212976097
2	3.262E+001	6.635E+001	35.955	95419.775	1213.8605830860329 1077.918793656162 1024.6515027240525
3	8.447E-001	2.174E+000	35.960	3126.638	1213.8793593256019 1077.9343795235923 1024.674562620129
4	1.359E+000	3.334E+000	35.969	4797.213	1213.900817885109 1077.9759418118056 1024.7334934383184
5	6.243E-001	2.467E+000	35.968	3548.932	1213.900817885109 1077.9863323794611 1024.7488666940603
6	7.308E-001	1.788E+000	35.968	2572.480	1213.900817885109 1078.0019182315782 1024.7693643654884
7	4.187E-001	9.636E-001	35.968	1386.339	1213.900817885109 1078.012308801624 1024.784737623268
8	5.264E-002	6.847E-001	35.968	985.112	1213.900817885109 1078.0149064442612 1024.7872998332518
9	1.679E-001	6.755E-001	35.968	971.908	1213.900817885109 1078.007113516183 1024.7770509953816
10	3.619E-001	6.814E-001	35.968	980.362	1213.8981355651708 1077.9941253019533 1024.7591155246578
11	6.963E-001	7.228E-001	35.968	1039.966	1213.900817885109 1078.0201017303966 1024.7949864647821
12	8.910E+000	7.215E-001	35.966	12818.371	1213.9437350041244 1078.3603929432034 1025.2869307783417
13	3.080E+000	2.579E-001	35.966	4430.955	1213.9598289237551 1078.474689229403 1025.4560366438975
14	1.240E-002	2.069E-002	35.966	29.765	1213.9598289237551 1078.4746892292944 1025.453474436633
15	1.150E-002	2.102E-002	35.966	30.243	1213.9598289237551 1078.4746892293608 1025.456036643863
16	4.612E-003	2.035E-002	35.966	29.274	1213.9598289237551 1078.474689229398 1025.456036644218
17	1.408E-002	2.030E-002	35.966	29.204	1213.9598289237551 1078.4746892292521 1025.4534744364353
18	2.763E-002	1.987E-002	35.966	39.748	1213.9598289237551 1078.474689228958 1025.4534744342293
19	2.081E-002	1.808E-002	35.966	29.942	1213.9598289237551 1078.4746892291844 1025.4534744359187
20	7.861E-003	1.923E-002	35.966	27.663	1213.9598289237551 1078.4746892292721 1025.4534744365603
21	1.213E-002	1.964E-002	35.966	28.261	1213.9598289237551 1078.4746892291453 1025.4534744357113
22	3.164E-003	1.941E-002	35.966	27.924	1213.9598289237551 1078.474689229117 1025.4534744354585
23	1.047E-002	1.941E-002	35.966	27.917	1213.9598289237551 1078.4746892292103 1025.4534744361033
24	2.856E-002	1.978E-002	35.966	41.081	1213.9598289237551 1078.4746892294854 1025.4560366449678
25	3.092E-002	2.084E-002	35.966	44.481	1213.9598289237551 1078.4746892291507 1025.4534744356672
26	4.355E-002	1.917E-002	35.966	62.646	1213.9598289237551 1078.4720915865155 1025.4509122256839
27	5.312E-002	1.673E-002	35.966	76.421	1213.9598289237551 1078.474689229104 1025.4534744358073
28	3.764E-002	1.963E-002	35.966	54.144	1213.9598289237551 1078.4720915865319 1025.45091222643
29	7.304E-002	1.704E-002	35.966	105.079	1213.9598289237551 1078.4746892294904 1025.4560366445185
30	3.005E-002	2.103E-002	35.966	43.226	1213.9598289237551 1078.4746892291598 1025.4534744360928
31	3.464E-001	1.947E-002	35.966	498.296	1213.957146603817 1078.4642986568745 1025.445787799639
32	1.512E-001	1.814E-003	35.966	217.476	1213.9598289237551 1078.469493942699 1025.4509122202146
33	3.919E-002	8.333E-003	35.966	56.382	1213.957146603817 1078.4668963002784 1025.450912218834
34	1.481E-001	6.180E-003	35.966	213.106	1213.957146603817 1078.4617010143445 1025.4457877977022
35	1.386E-002	2.594E-003	35.966	19.946	1213.957146603817 1078.461701014489 1025.4457877980387
36	1.935E-002	2.562E-003	35.966	27.831	1213.957146603817 1078.46429865685 1025.4457877986158
37	6.092E-002	2.768E-003	35.966	87.639	1213.957146603817 1078.4617010140291 1025.4432255888275
38	1.597E-002	4.041E-003	35.966	22.974	1213.957146603817 1078.4617010142063 1025.4457877963193
39	3.377E-002	3.183E-003	35.966	48.588	1213.957146603817 1078.4617010145791 1025.4457877991956
40	4.601E-002	1.383E-003	35.966	66.195	1213.957146603817 1078.4642986572387 1025.4483500081935
41	3.196E-003	1.454E-003	35.966	4.598	1213.957146603817 1078.46429865727 1025.448350008461
42	1.392E-002	1.541E-003	35.966	20.027	1213.957146603817 1078.4642986571246 1025.448350008129
43	1.807E-003	7.898E-004	35.966	2.599	1213.957146603817 1078.4642986571032 1025.4483500080366
44	3.207E-003	6.917E-004	35.966	4.613	1213.957146603817 1078.4642986570673 1025.448350007851
45	1.213E-002	4.951E-004	35.966	17.452	1213.957146603817 1078.4642986569359 1025.4483500071608
46	2.295E-003	1.850E-004	35.966	3.301	1213.957146603817 1078.4642986569077 1025.448350007033
47	3.609E-003	3.099E-004	35.966	5.192	1213.957146603817 1078.4642986569477 1025.44835000724
48	1.465E-003	1.257E-004	35.966	2.108	1213.957146603817 1078.4642986569631 1025.4483500073286
49	1.635E-004	1.189E-004	35.966	0.235	1213.957146603817 1078.4642986569645 1025.4483500073318
