轮	δ K	真残差 K	放大	max(δ,r)·放大 / 0.025	段电流 A（R）
1	6.609E+001	0.000E+000	35.873	94828.077	1213.7560769301272 1077.591935206174 1024.2920505107043
2	2.965E+001	6.609E+001	35.873	94826.644	1213.6188984089783 1077.705171288894 1024.3608270490524
3	5.812E+000	6.890E+000	35.873	9886.257	1213.646569603984 1077.6833778596329 1024.347628913629
4	7.136E+000	1.840E+001	35.872	26404.349	1213.6160726387075 1077.7136163552864 1024.3657452055625
5	1.020E+000	3.864E+000	35.872	5544.766	1213.6114204533055 1077.717947974941 1024.3681986375914
6	8.583E-001	1.828E+000	35.872	2622.420	1213.6075777530157 1077.7218543914225 1024.3703784877032
7	6.231E-002	1.384E-001	35.872	198.541	1213.6074022019259 1077.722516234404 1024.3707949700115
8	2.285E-002	6.108E-002	35.872	87.645	1213.6075135119777 1077.7231632028183 1024.3711830622162
9	1.897E-002	6.440E-002	35.872	92.403	1213.6074210784348 1077.7225863385797 1024.3708346917672
10	2.655E-002	6.136E-002	35.872	88.041	1213.6075437114457 1077.7232933339276 1024.3712717303881
11	3.282E-003	7.442E-002	35.872	106.781	1213.6075587399866 1077.7233884177958 1024.3713308929866
12	7.896E-002	7.411E-002	35.872	113.294	1213.6078978949913 1077.7258243175227 1024.3728129382794
13	1.880E-001	6.100E-002	35.872	269.784	1213.6087685123578 1077.7317997590362 1024.3764415582136
14	1.787E-001	5.791E-002	35.872	256.425	1213.6096414428819 1077.7375556219192 1024.3799284741317
15	8.057E-002	4.488E-002	35.872	115.608	1213.6092479877577 1077.7349612234464 1024.3783571468437
16	5.898E-001	5.081E-002	35.872	846.370	1213.6121247309454 1077.7540203298838 1024.3898748479137
17	2.612E-001	1.177E-002	35.872	374.781	1213.6133928177228 1077.7624979232503 1024.3948992394967
18	7.418E-002	3.318E-003	35.872	106.441	1213.6130311176362 1077.7600827866577 1024.393421766498
19	3.215E-002	2.779E-003	35.872	46.131	1213.6128747042724 1077.7590358597854 1024.392775655764
20	7.534E-002	3.356E-003	35.872	108.111	1213.6132415593913 1077.7614688113233 1024.3941692417834
21	1.707E-002	2.201E-003	35.872	24.494	1213.6133241921502 1077.7620424812471 1024.39463404985
22	1.817E-002	2.349E-003	35.872	26.067	1213.6132368753742 1077.7614682601895 1024.394361502694
23	6.765E-003	2.479E-003	35.872	9.707	1213.6132686681228 1077.7616506383804 1024.3942900801037
24	1.828E-002	2.158E-003	35.872	26.229	1213.613274957952 1077.7615905764799 1024.3936696060973
25	1.665E-002	1.549E-003	35.872	23.894	1213.6132433160133 1077.76127427743 1024.392902846985
26	5.335E-003	1.175E-003	35.872	7.655	1213.613268917977 1077.7614500641205 1024.393026512498
27	1.098E-002	1.418E-003	35.872	15.754	1213.613321736018 1077.7617911291486 1024.3931464132827
28	4.785E-002	2.057E-003	35.872	68.656	1213.6130906846454 1077.7601663795217 1024.3917594582208
29	5.290E-003	6.930E-004	35.872	7.590	1213.613087811349 1077.7601767063795 1024.3919333791118
30	5.343E-003	6.812E-004	35.872	7.667	1213.6131135605576 1077.7603568886632 1024.39208105894
31	7.144E-003	3.687E-004	35.872	10.250	1213.6131480430154 1077.760590525081 1024.3922312869254
32	1.866E-003	4.722E-005	35.872	2.678	1213.6131392826271 1077.7605183089127 1024.392120029106
33	2.881E-005	8.175E-005	35.872	0.117	1213.6131389649008 1077.76051890255 1024.392120939534
