轮	δ K	真残差 K	放大	max(δ,r)·放大 / 0.025	段电流 A（R）
1	6.635E+001	0.000E+000	35.921	95329.960	1213.9092401086443 1077.7108659303492 1024.4552856159078
2	3.262E+001	6.635E+001	35.955	95418.985	1213.8617520657199 1077.9197769154307 1024.6510966504395
3	8.444E-001	2.175E+000	35.960	3127.854	1213.8789245874507 1077.9350251265155 1024.675439801089
4	1.358E+000	3.335E+000	35.969	4797.650	1213.9017802166254 1077.975402141251 1024.7336808246437
5	6.256E-001	2.467E+000	35.968	3549.080	1213.9002696021748 1077.987131493131 1024.7499662409216
6	7.283E-001	1.787E+000	35.968	2570.412	1213.8996418547874 1078.000985666993 1024.7689167468056
7	4.171E-001	9.642E-001	35.968	1387.259	1213.9004294518274 1078.0120565689224 1024.784303515319
8	5.671E-002	6.845E-001	35.968	984.804	1213.9007372765227 1078.014126930499 1024.7872674956216
9	1.721E-001	6.753E-001	35.968	971.529	1213.9000437752447 1078.0076849141112 1024.7779484756961
10	3.679E-001	6.814E-001	35.968	980.397	1213.89783486986 1077.993821497761 1024.7580729356193
11	7.774E-001	7.223E-001	35.968	1118.428	1213.9017130357768 1078.0228664596627 1024.8001410851152
12	9.255E+000	7.115E-001	35.966	13314.051	1213.9469896077314 1078.3759986635378 1025.3110612787375
13	2.636E+000	2.054E-001	35.966	3792.286	1213.9595947460743 1078.475524263066 1025.4550081619952
14	1.342E-002	2.062E-002	35.966	29.668	1213.9596741251737 1078.4758889530283 1025.4557072688815
15	7.845E-003	2.142E-002	35.966	30.818	1213.959660153589 1078.4756586846875 1025.4555883639418
16	1.917E-003	2.066E-002	35.966	29.718	1213.9596634965078 1078.475727915 1025.4556969331709
17	1.548E-002	2.090E-002	35.966	30.065	1213.9595999298524 1078.4752191783073 1025.4548194961096
18	1.996E-002	2.006E-002	35.966	28.865	1213.9596980660026 1078.4759822953504 1025.4559333405773
19	2.373E-002	2.134E-002	35.966	34.140	1213.9598153435518 1078.4768309848137 1025.456882733587
20	2.098E-002	2.257E-002	35.966	32.466	1213.959917500949 1078.477418528691 1025.4567251599972
21	1.011E-001	2.362E-002	35.966	145.399	1213.959423822271 1078.4744138299254 1025.456528362103
22	2.218E-001	1.797E-002	35.966	319.041	1213.958337711174 1078.4669304659926 1025.4505147745538
23	1.015E-001	5.728E-003	35.966	145.953	1213.9578441177955 1078.4635597247416 1025.4480583608834
24	2.593E-003	2.971E-004	35.966	3.731	1213.957833859549 1078.463460966134 1025.4479033967818
25	6.562E-003	4.024E-004	35.966	9.440	1213.9578671535014 1078.4636762461766 1025.4480386049802
26	6.248E-004	4.411E-005	35.966	0.899	1213.9578685021388 1078.4636879353397 1025.4480673042858
