轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
1	66.08369681729823	0	35.87323285799055	94825.43376175153	0.025	94825.43376175153	0.35		1213.7554442911687 1077.5914269162472 1024.2913952294698	344
2	22.63369836440188	66.08369681729823	35.87274062558367	94824.13262026593	0.025	94824.13262026593	0.35		1213.6503378483944 1077.6771790656665 1024.3433147839082	368
3	7.027860875705073	20.89171557389409	35.87245921693577	29977.488595853505	0.025	29977.488595853505	0.35		1213.618764707789 1077.7052127549762 1024.3601865960206	393
4	2.18884866772396	6.747783973525202	35.87230466365697	9682.342500113513	0.025	9682.342500113513	0.35		1213.609447446258 1077.7144897042308 1024.3657091976136	416
5	0.6881884605891173	2.2772211217209133	35.8722218159002	3267.5592480890264	0.025	3267.5592480890264	0.35		1213.606803266449 1077.717796929914 1024.3676237357865	441
6	0.22593312693061307	0.8357353290307401	35.87217769879668	1199.1858492861209	0.025	1199.1858492861209	0.35		1213.6061388411802 1077.7192842894842 1024.368405083133	466
7	0.08474879940035862	0.3559039009469416	35.872154265278496	510.6815855353234	0.025	510.6815855353234	0.35		1213.606049284379 1077.720248429177 1024.368914383613	488
8	0.04068671482150421	0.18791819310808933	35.87214160125307	269.64112130499996	0.025	269.64112130499996	0.35		1213.6061131201302 1077.7210245206643 1024.3693227653987	508
9	0.026753322416652736	0.12308749369753968	35.872134549124745	176.61644540930752	0.025	176.61644540930752	0.35		1213.6062120057709 1077.7217256072413 1024.3696897118007	526
10	0.022169541885205035	0.09443868924654453	35.872130412408474	135.50867906515853	0.025	135.50867906515853	0.35		1213.6063151404114 1077.722391136543 1024.3700366460594	542
11	0.020490675674636805	0.07973895300028744	35.872127801972	114.41623651286997	0.025	114.41623651286997	0.35		1213.6064157146495 1077.723035460975 1024.3703716072152	560
12	0.019717380356041758	0.07114325490238116	35.87212599374828	102.08239213854266	0.025	102.08239213854266	0.35		1213.606513115785 1077.723664242066 1024.3706978836174	577
13	0.0192295416345587	0.06560083512522397	35.87212460929986	94.12965328344677	0.025	94.12965328344677	0.35		1213.6066078418303 1077.7242798625934 1024.3710168764871	605
14	0.018835208125892677	0.06176404907250799	35.87212345861984	88.62430374533042	0.025	88.62430374533042	0.5249999999999999		1213.6067001283177 1077.7248832642613 1024.3713290889125	630
15	0.027710967875009374	0.05895436242872165	35.872121912923014	84.59272305367004	0.025	84.59272305367004	0.26249999999999996		1213.6068355780114 1077.725771060837 1024.3717878629225	656
16	0.013471870404373476	0.055709472284434014	35.87212122558207	79.93667772801686	0.025	79.93667772801686	0.26249999999999996		1213.6069013236258 1077.7262024405961 1024.372010377433	692
17	0.013284404584283038	0.05455760621407535	35.872120557052504	78.2838810966203	0.025	78.2838810966203	0.26249999999999996		1213.6069660485343 1077.726627709224 1024.372229510321	735
18	0.013099738151595375	0.053520639167118134	35.872119904473436	76.79595142267675	0.025	76.79595142267675	0.26249999999999996		1213.607029875867 1077.7270470342849 1024.3724453825303	772
19	0.012917356670868685	0.052571209537291	35.87211926460547	75.43362793625069	0.025	75.43362793625069	0.26249999999999996		1213.6070928116264 1077.7274604851807 1024.3726580289604	807
20	0.012737672290541013	0.05168862370464922	35.87211863663989	74.16721766791254	0.025	74.16721766791254	0.39374999999999993		1213.6071549170367 1077.727868183626 1024.3728675324987	834
21	0.018840911501001756	0.05085803227279939	35.872117711006496	72.97541280960108	0.025	72.97541280960108	0.19687499999999997		1213.607246769445 1077.7284711708562 1024.3731770923255	873
22	0.009223817738302387	0.04967359356646739	35.872117266465665	71.2758789385229	0.025	71.2758789385229	0.19687499999999997		1213.6072917192419 1077.7287663209415 1024.373328397443	899
23	0.009127594430765384	0.04911792257144043	35.87211681867056	70.47855425492507	0.025	70.47855425492507	0.19687499999999997		1213.6073361965805 1077.7290583713739 1024.3734779980275	920
24	0.009032375623974076	0.04857542599597764	35.872116376504025	69.70013337463875	0.025	69.70013337463875	0.19687499999999997		1213.6073801601078 1077.7293473211012 1024.3736258876197	931
