轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
1	66.08378906021403	0	35.87323262611943	94825.56551089857	0.025	94825.56551089857	0.35	Anderson：接受 0／丢弃 0／重启 0，末端深度 0	1213.7554499211722 1077.5913389632778 1024.2912983589058	351
2	29.725893718234374	66.08378906021403	35.87258584712896	94823.85584664358	0.025	94823.85584664358	0.35	Anderson：接受 1／丢弃 0／重启 0，末端深度 1	1213.6175484134246 1077.7044245294771 1024.3597709214816	378
3	5.9542882120686045	6.732905723172962	35.872609427417935	9661.075892760422	0.025	9661.075892760422	0.35	Anderson：接受 2／丢弃 0／重启 0，末端深度 2	1213.6458966138161 1077.6821982004874 1024.3462133244109	404
4	7.207441623156001	18.52795892900167	35.872147731303066	26585.507194426544	0.025	26585.507194426544	0.35	Anderson：接受 3／丢弃 0／重启 0，末端深度 3	1213.6148473443568 1077.7123212613847 1024.3641045516317	428
5	1.0217562573961914	3.8364464419078104	35.87213086241817	5504.860352431021	0.025	5504.860352431021	0.35	Anderson：接受 4／丢弃 0／重启 0，末端深度 4	1213.6101663767927 1077.7166008658048 1024.3664687835358	454
6	0.8398214597523292	1.7942127027929473	35.87212344529791	2574.4887824684088	0.025	2574.4887824684088	0.35	Anderson：接受 5／丢弃 0／重启 0，末端深度 4	1213.6063796797077 1077.7203493122827 1024.3684194641319	477
7	0.0633624731431155	0.13749725329785178	35.87212926159515	197.29276973659316	0.025	197.29276973659316	0.35	Anderson：接受 6／丢弃 0／重启 0，末端深度 4	1213.606194113892 1077.7209982071329 1024.3688000243815	502
8	0.022697785394939274	0.05776242367232953	35.87212849561392	82.88244336767585	0.025	82.88244336767585	0.35	Anderson：接受 7／丢弃 0／重启 0，末端深度 4	1213.606307338822 1077.721633339241 1024.3691444695446	519
9	0.020841132714849664	0.06147365407241523	35.87212919850547	88.20763444759643	0.025	88.20763444759643	0.35	Anderson：接受 8／丢弃 0／重启 0，末端深度 4	1213.6062042244 1077.721003930807 1024.368799092328	536
10	0.029585853482558377	0.05766955961530584	35.872129531345536	82.74919650143617	0.025	82.74919650143617	0.35	Anderson：接受 9／丢弃 0／重启 0，末端深度 4	1213.6063439723885 1077.721825009761 1024.3692547425608	554
11	0.014306111184396286	0.06914693110570624	35.87212846184647	99.21790381465368	0.025	99.21790381465368	0.35	Anderson：接受 10／丢弃 0／重启 0，末端深度 4	1213.6064068479077 1077.7222632952753 1024.3694940242044	573
12	0.12826505487282702	0.06620664356000816	35.87212107873004	184.04558314272012	0.025	184.04558314272012	0.35	Anderson：接受 11／丢弃 0／重启 0，末端深度 4	1213.606983218558 1077.726244548124 1024.3716745212091	598
13	0.1830867870748989	0.05567200200221123	35.87211140201931	262.7083848875425	0.025	262.7083848875425	0.35	Anderson：接受 12／丢弃 0／重启 0，末端深度 4	1213.6078634584112 1077.7321049067982 1024.3748717894196	621
14	0.5687372570635034	0.048184938817257716	35.87208197866004	816.0715803880097	0.025	816.0715803880097	0.35	Anderson：接受 13／丢弃 0／重启 0，末端深度 4	1213.6106336830753 1077.7503535273129 1024.3847977561395	646
15	0.25527080577262495	0.01388306004628248	35.87206900762848	366.28367841234115	0.025	366.28367841234115	0.35	Anderson：接受 14／丢弃 0／重启 0，末端深度 4	1213.6118769110208 1077.758523981681 1024.3892230353174	671
16	0.10259677025442215	0.003539697517226159	35.87207481826629	147.21436074716436	0.025	147.21436074716436	0.35	Anderson：接受 15／丢弃 0／重启 0，末端深度 4	1213.611378930478 1077.755209409424 1024.3873310996596	710
17	0.04545947667679684	0.0031706896616015	35.87207277538159	65.22902622723272	0.025	65.22902622723272	0.35	Anderson：接受 16／丢弃 0／重启 0，末端深度 4	1213.6116008922638 1077.7566571649922 1024.3880277385756	750
18	0.07896971077320813	0.0025322693300040555	35.87206770297299	113.31227245362871	0.025	113.31227245362871	0.35	Anderson：接受 17／丢弃 0／重启 0，末端深度 4	1213.6119865377298 1077.7592353964665 1024.3896640396251	785
19	0.08152549311057555	0.004331971806777801	35.872074985222845	116.97954408279338	0.025	116.97954408279338	0.35	Anderson：接受 18／丢弃 0／重启 0，末端深度 4	1213.6115878451155 1077.756479612517 1024.387407979527	819
20	0.013465548410522388	0.0016485430169268511	35.87207515651444	19.321486584237704	0.025	19.321486584237704	0.35	Anderson：接受 19／丢弃 0／重启 0，末端深度 4	1213.6116534557696 1077.7568707620305 1024.3873789831398	848
21	0.012856828047688396	0.0011283306921541225	35.872076665769725	18.448044856211865	0.025	18.448044856211865	0.35	Anderson：接受 20／丢弃 0／重启 0，末端深度 4	1213.6116532676106 1077.756794591385 1024.3869162307847	880
22	0.008970299519887703	0.000580407148845552	35.872078227088956	12.871331443913206	0.025	12.871331443913206	0.35	Anderson：接受 21／丢弃 0／重启 0，末端深度 4	1213.6116242353655 1077.756542213254 1024.3864400266323	900
23	0.004252353809079068	0.00019081202481174842	35.87207767342504	6.101630645366766	0.025	6.101630645366766	0.35	Anderson：接受 22／丢弃 0／重启 0，末端深度 4	1213.6116263596082 1077.7565818563435 1024.3866040274772	921
24	0.0009601802507859247	0.00022471652187050495	35.87207759080403	1.3777464182940147	0.025	1.3777464182940147	0.35	Anderson：接受 23／丢弃 0／重启 0，末端深度 4	1213.6116310951638 1077.7566131961598 1024.386624242543	932
25	0.0009820836744438566	0.00026848380957744666	35.87207765320708	1.4091752732638785	0.025	1.4091752732638785	0.35	Anderson：接受 24／丢弃 0／重启 0，末端深度 4	1213.6116262939504 1077.756581830935 1024.386608546539	944
26	0.0038394537336898793	0.00021290791937644826	35.872078410442036	5.509167415527512	0.025	5.509167415527512	0.35	Anderson：接受 25／丢弃 0／重启 0，末端深度 4	1213.6116109236664 1077.756453869085 1024.3863892793352	953
27	0.0013884250377032004	3.532130403982592E-05	35.87207820582762	1.9922276614167347	0.025	1.9922276614167347	0.35	Anderson：接受 26／丢弃 0／重启 0，末端深度 4	1213.611617659641 1077.7565036857786 1024.3864464807548	969
28	0.0003355277769969689	0.00010181168340750446	35.87207814655305	0.4814431454709797	0.025	0.4814431454709797	0.35	Anderson：接受 27／丢弃 0／重启 0，末端深度 4	1213.6116186380568 1077.7565123887925 1024.3864637315755	987
