轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
1	66.08378898801061	0	35.87323262589264	94825.56540669227	0.025	94825.56540669227	0.35	Anderson：接受 0／丢弃 0／重启 0，末端深度 0	1213.7554499630658 1077.5913389911047 1024.2912983849897	349
2	29.72589271490324	66.08378898801061	35.87258584702651	94823.85574276782	0.025	94823.85574276782	0.35	Anderson：接受 1／丢弃 0／重启 0，末端深度 1	1213.6175484721266 1077.704424562124 1024.3597709531246	375
3	5.95430380633411	6.73290768914876	35.87260942777086	9661.07871384275	0.025	9661.07871384275	0.35	Anderson：接受 2／丢弃 0／重启 0，末端深度 2	1213.6458967235048 1077.682198155802 1024.346213303967	400
4	7.208266213198158	18.527991716678343	35.8721476589667	26585.5541873919	0.025	26585.5541873919	0.35	Anderson：接受 3／丢弃 0／重启 0，末端深度 3	1213.6148440838876 1077.7123247541197 1024.3641066849968	426
5	1.0203674733270418	3.8348098176797976	35.87213086892631	5502.511985490126	0.025	5502.511985490126	0.35	Anderson：接受 4／丢弃 0／重启 0，末端深度 4	1213.6101690175478 1077.7165985097502 1024.3664673779351	453
6	0.840388568914932	1.79538322747635	35.87212344383279	2576.168350600742	0.025	2576.168350600742	0.35	Anderson：接受 5／丢弃 0／重启 0，末端深度 4	1213.6063797911816 1077.7203493084016 1024.3684194361606	477
7	0.06337952217131715	0.13752744317525867	35.87212925649425	197.33608871592185	0.025	197.33608871592185	0.35	Anderson：接受 6／丢弃 0／重启 0，末端深度 4	1213.6061940490947 1077.7209982230975 1024.3687999194317	503
8	0.022721874012177068	0.05775983987496147	35.87212849516658	82.87873591419456	0.025	82.87873591419456	0.35	Anderson：接受 7／丢弃 0／重启 0，末端深度 4	1213.6063074137624 1077.7216340202538 1024.3691447923813	520
9	0.020849111502457163	0.061487400154874194	35.87212922064438	88.22735855188465	0.025	88.22735855188465	0.35	Anderson：接受 8／丢弃 0／重启 0，末端深度 4	1213.6062041470043 1077.7210042702645 1024.3687991544232	539
10	0.029650852984559606	0.057688680620913146	35.87212951649533	82.77663291476522	0.025	82.77663291476522	0.35	Anderson：接受 9／丢弃 0／重启 0，末端深度 4	1213.6063443070336 1077.7218289832388 1024.3692569926116	555
11	0.01412052956379739	0.06906152870965343	35.87212842970045	99.09536109696532	0.025	99.09536109696532	0.35	Anderson：接受 10／丢弃 0／重启 0，末端深度 4	1213.606406891618 1077.7222639295617 1024.369494970633	575
12	0.12170012663455054	0.06630811027412165	35.8721214160959	174.62566875955375	0.025	174.62566875955375	0.35	Anderson：接受 11／丢弃 0／重启 0，末端深度 4	1213.606954450705 1077.7260462448573 1024.3715687548124	600
13	0.19554627056322715	0.054934494698045455	35.87211098239815	280.5863007935256	0.025	280.5863007935256	0.35	Anderson：接受 12／丢弃 0／重启 0，末端深度 4	1213.6078921382114 1077.7322973908788 1024.374983465749	628
14	0.5733722024754115	0.04764196415817423	35.87208127858123	822.7221700030836	0.025	822.7221700030836	0.35	Anderson：接受 13／丢弃 0／重启 0，末端深度 4	1213.6106865166391 1077.75070487065 1024.38500621128	653
15	0.3417617846325811	0.013528666580668869	35.872063905269	490.3880231487492	0.025	490.3880231487492	0.35	Anderson：接受 14／丢弃 0／重启 0，末端深度 4	1213.6123518425734 1077.7616450244698 1024.3909302593163	683
16	0.21424735810910533	0.008355463534144292	35.87207544415891	307.4198957520623	0.025	307.4198957520623	0.35	Anderson：接受 15／丢弃 0／重启 0，末端深度 4	1213.6113073832364 1077.754742589213 1024.3870899025274	718
17	0.05643731899112936	0.003790034324310909	35.87207378975991	80.98094685384042	0.025	80.98094685384042	0.35	Anderson：接受 16／丢弃 0／重启 0，末端深度 4	1213.6115832104304 1077.756500802952 1024.3877262653934	759
18	0.02180282373137743	0.0021995164952386403	35.872075384236915	31.284501459248027	0.025	31.284501459248027	0.35	Anderson：接受 17／丢弃 0／重启 0，末端深度 4	1213.611476932534 1077.755778400234 1024.387201530143	794
19	0.044206340019172785	0.0022751517235519714	35.87207681442047	63.43092899408622	0.025	63.43092899408622	0.35	Anderson：接受 18／丢弃 0／重启 0，末端深度 4	1213.6116928293443 1077.757021822385 1024.3868932825228	827
20	0.016310804223621744	0.0010731247316471126	35.8720787004278	23.404098111081172	0.025	23.404098111081172	0.35	Anderson：接受 19／丢弃 0／重启 0，末端深度 4	1213.6116127817568 1077.7564483686176 1024.3862991567319	862
21	0.0043139087897543504	0.00018649598268893897	35.872078739624065	6.189955031264976	0.025	6.189955031264976	0.35	Anderson：接受 20／丢弃 0／重启 0，末端深度 4	1213.61159176564 1077.7563203345537 1024.386281623455	892
22	0.0009765336071723141	0.00021266864951030584	35.872078918417174	1.4012116249188737	0.025	1.4012116249188737	0.35	Anderson：接受 21／丢弃 0／重启 0，末端深度 4	1213.6115880357604 1077.7562898080114 1024.3862274849525	917
23	0.00288471701560411	0.00023857237351876392	35.872078770179115	4.139231840537066	0.025	4.139231840537066	0.35	Anderson：接受 22／丢弃 0／重启 0，末端深度 4	1213.6116021708854 1077.7563821694343 1024.3862759148344	930
24	0.0010219029365998722	0.00012159919651821838	35.87207879416615	1.4663113064680156	0.025	1.4663113064680156	0.35	Anderson：接受 23／丢弃 0／重启 0，末端深度 4	1213.6116071305769 1077.7564113669262 1024.3862710310807	941
25	0.001179878268885659	0.00016708322004888032	35.872078796309275	1.6929874492607737	0.025	1.6929874492607737	0.35	Anderson：接受 24／丢弃 0／重启 0，末端深度 4	1213.611601383151 1077.7563763273847 1024.3862686999469	952
26	0.0014575418467757117	0.00012687261710198072	35.87207866718302	2.091402231529982	0.025	2.091402231529982	0.35	Anderson：接受 25／丢弃 0／重启 0，末端深度 4	1213.611608485898 1077.7564256902535 1024.3863098420234	970
27	0.0030818952347999584	0.00011861629582199384	35.87207821489346	4.422159476514063	0.025	4.422159476514063	0.35	Anderson：接受 26／丢弃 0／重启 0，末端深度 4	1213.611613072876 1077.7564757449913 1024.386445152305	989
28	0.002672218881343724	6.483329934781068E-05	35.87207858757301	3.83432182859034	0.025	3.83432182859034	0.35	Anderson：接受 27／丢弃 0／重启 0，末端深度 4	1213.6116106286677 1077.7564422901396 1024.3863354899033	1003
29	0.0018538143358455272	9.35304290123895E-05	35.87207830994381	2.6600069211018886	0.025	2.6600069211018886	0.35	Anderson：接受 28／丢弃 0／重启 0，末端深度 4	1213.6116121695627 1077.7564660002267 1024.3864119386421	1016
30	0.0003285380848865316	4.6651111006212886E-05	35.87207834089972	0.4714137567607529	0.025	0.4714137567607529	0.35	Anderson：接受 29／丢弃 0／重启 0，末端深度 4	1213.6116106981624 1077.756455003119 1024.3864029449683	1023
