轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
1	66.08379693444158	0	35.87323261320836	94825.57677572993	0.025	94825.57677572993	0.35	Anderson：接受 0／丢弃 0／重启 0，末端深度 0	1213.7554505880894 1077.5913298552007 1024.2912926888312	356
2	29.725950275834748	66.08379693444158	35.872585829504224	94823.86709881134	0.025	94823.86709881134	0.35	Anderson：接受 1／丢弃 0／重启 0，末端深度 1	1213.6175515150808 1077.7044204467952 1024.3597650592496	378
3	5.954316218995473	6.732801437965463	35.87260942979294	9660.926254099333	0.025	9660.926254099333	0.35	Anderson：接受 2／丢弃 0／重启 0，末端深度 2	1213.645899526925 1077.6821933546441 1024.3462101789441	406
4	7.208601480630932	18.527909995002574	35.87214760403697	26585.436885401767	0.025	26585.436885401767	0.35	Anderson：接受 3／丢弃 0／重启 0，末端深度 3	1213.6148467043488 1077.7123218138677 1024.3641016923887	432
5	1.019801151708407	3.8340534716860475	35.87213085012315	5501.4267129076325	0.025	5501.4267129076325	0.35	Anderson：接受 4／丢弃 0／重启 0，末端深度 4	1213.610174288647 1077.7165934452792 1024.366461183199	459
6	0.8405477298360893	1.7957685279861835	35.87212343571989	2576.721211916055	0.025	2576.721211916055	0.35	Anderson：接受 5／丢弃 0／重启 0，末端深度 4	1213.6063842682136 1077.7203449759568 1024.3684136391203	483
7	0.06342155163520147	0.1376001596779588	35.872129260421104	197.44042856889286	0.025	197.44042856889286	0.35	Anderson：接受 6／丢弃 0／重启 0，末端深度 4	1213.6061984064208 1077.7209942690768 1024.3687943450102	507
8	0.022719309095919016	0.057766268294926704	35.87212847632856	82.88795991494703	0.025	82.88795991494703	0.35	Anderson：接受 7／丢弃 0／重启 0，末端深度 4	1213.606311919184 1077.7216299712754 1024.3691392410835	524
9	0.02102471980970222	0.06149263270913252	35.87212920134354	88.23486661891062	0.025	88.23486661891062	0.35	Anderson：接受 8／丢弃 0／重启 0，末端深度 4	1213.6062078511404 1077.7209944701387 1024.3687901279302	544
10	0.030545901670848252	0.05762860864388131	35.872129454646185	82.69043638257808	0.025	82.69043638257808	0.35	Anderson：接受 9／丢弃 0／重启 0，末端深度 4	1213.6063523771043 1077.7218473542969 1024.369263404581	562
11	0.014783757586656066	0.06906994924929677	35.87212833788028	99.10744335046604	0.025	99.10744335046604	0.35	Anderson：接受 10／丢弃 0／重启 0，末端深度 4	1213.6064181989868 1077.7223030342523 1024.3695128208578	579
12	0.12333144088484005	0.06623249001859222	35.87212136005405	176.9664165972526	0.025	176.9664165972526	0.35	Anderson：接受 11／丢弃 0／重启 0，末端深度 4	1213.6069736744735 1077.7261367602957 1024.3716156562068	609
13	0.20891429613061518	0.05490018557111398	35.872110174551096	299.7678659134489	0.025	299.7678659134489	0.35	Anderson：接受 12／丢弃 0／重启 0，末端深度 4	1213.6079760569958 1077.7328162716644 1024.3752652377543	636
14	0.49442135544836674	0.047062971550531074	35.87208447056857	709.4369850678728	0.025	709.4369850678728	0.35	Anderson：接受 13／丢弃 0／重启 0，末端深度 4	1213.6103854034427 1077.7486874105498 1024.3839075098958	659
15	0.33429557510908126	0.017555863280904305	35.872067681191595	479.6749398334332	0.025	479.6749398334332	0.35	Anderson：接受 14／丢弃 0／重启 0，末端深度 4	1213.612014430993 1077.75937923465 1024.3896383173226	692
16	0.11081772511556665	0.005099911078787045	35.872074329321435	159.0104668940767	0.025	159.0104668940767	0.35	Anderson：接受 15／丢弃 0／重启 0，末端深度 4	1213.6114758554793 1077.755785697118 1024.387499765847	725
17	0.010286397727213625	0.002709945208607678	35.87207553154761	14.759777448725872	0.025	14.759777448725872	0.35	Anderson：接受 16／丢弃 0／重启 0，末端深度 4	1213.611425117116 1077.755425493346 1024.3871218696884	764
18	0.0063387642860561755	0.0025838149329047155	35.87207663696544	9.095385530122666	0.025	9.095385530122666	0.35	Anderson：接受 17／丢弃 0／重启 0，末端深度 4	1213.6113937267628 1077.7551858589252 1024.3867819983582	799
19	0.037509366684389533	0.002862077455574763	35.87207981462635	53.82155981994032	0.025	53.82155981994032	0.35	Anderson：接受 18／丢弃 0／重启 0，末端深度 4	1213.6114787836773 1077.7555615463261 1024.385894904218	830
20	0.026408386043158316	0.0015536703924681206	35.87207840742853	37.892947790152654	0.025	37.892947790152654	0.35	Anderson：接受 19／丢弃 0／重启 0，末端深度 4	1213.6116090658275 1077.7564121874202 1024.3863864317202	864
21	9.394404082740948E-05	0.0002729337402342935	35.87207838143585	0.3916280209049211	0.025	0.3916280209049211	0.35	Anderson：接受 19／丢弃 1／重启 0，末端深度 3	1213.6116090860962 1077.7564131272895 1024.3863867401608	892
