轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
1	66.0837968397243	0	35.87323260116909	94825.57660799331	0.025	94825.57660799331	0.35	Anderson：接受 0／丢弃 0／重启 0，末端深度 0	1213.7554505875207 1077.591329851958 1024.2912926746178	359
2	29.72577644979833	66.0837968397243	35.87258583504022	94823.86697753478	0.025	94823.86697753478	0.35	Anderson：接受 1／丢弃 0／重启 0，末端深度 1	1213.6175522049446 1077.7044196850763 1024.3597645697812	384
3	5.954205247692471	6.733147726507241	35.87260942951119	9661.42314496782	0.025	9661.42314496782	0.35	Anderson：接受 2／丢弃 0／重启 0，末端深度 2	1213.6458997678103 1077.6821930706276 1024.346209994402	409
4	7.208782198708377	18.528035017114007	35.87214758876322	26585.616266547466	0.025	26585.616266547466	0.35	Anderson：接受 3／丢弃 0／重启 0，末端深度 3	1213.6148462985832 1077.7123223569008 1024.3641020243645	433
5	1.0196314281865853	3.8338107326901536	35.87213084798441	5501.078409978727	0.025	5501.078409978727	0.35	Anderson：接受 4／丢弃 0／重启 0，末端深度 4	1213.6101745965782 1077.716593260119 1024.366461082627	459
6	0.8406058422365277	1.7958711126459548	35.87212343327712	2576.868408923696	0.025	2576.868408923696	0.35	Anderson：接受 5／丢弃 0／重启 0，末端深度 4	1213.6063843806933 1077.7203450805564 1024.3684137152616	486
7	0.06340671163707157	0.1375849687833579	35.872129245143896	197.41863129542813	0.025	197.41863129542813	0.35	Anderson：接受 6／丢弃 0／重启 0，末端深度 4	1213.6061984777598 1077.720994119949 1024.3687942528502	508
8	0.02271224014702966	0.05775563451356902	35.872128484924346	82.87270167996314	0.025	82.87270167996314	0.35	Anderson：接受 7／丢弃 0／重启 0，末端深度 4	1213.6063117166143 1077.721629702063 1024.3691389486878	526
9	0.02080360952436422	0.06148036018771563	35.87212920993277	88.21725698107767	0.025	88.21725698107767	0.35	Anderson：接受 8／丢弃 0／重启 0，末端深度 4	1213.6062086647846 1077.7210015180976 1024.3687942198517	543
10	0.029492511782109432	0.057686812114297936	35.87212951162697	82.7739518110795	0.025	82.7739518110795	0.35	Anderson：接受 9／丢弃 0／重启 0，末端深度 4	1213.6063480473558 1077.7218212399985 1024.3692493765354	564
11	0.013801478321965988	0.06905201410359041	35.87212844054518	99.0817087600933	0.025	99.0817087600933	0.35	Anderson：接受 10／丢弃 0／重启 0，末端深度 4	1213.606409442498 1077.7222470510003 1024.369482489561	583
12	0.12059987495263158	0.06638557830183345	35.87212148258314	173.0469346034054	0.025	173.0469346034054	0.35	Anderson：接受 11／丢弃 0／重启 0，末端深度 4	1213.6069526567392 1077.7259975440727 1024.3715392139702	613
