轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
1	66.08525415933991	0	35.87338733741769	94828.07678998775	0.025	94828.07678998775	0.35		1213.7560784734471 1077.5919363161806 1024.2920515560413	420
2	22.63522743655858	66.08525415933991	35.872973771119646	94826.98356463104	0.025	94826.98356463104	0.35		1213.651278313194 1077.6779611901247 1024.344332054326	451
3	7.029328687927318	20.894252457824905	35.87273242993085	29981.35710971911	0.025	29981.35710971911	0.35		1213.6198531939988 1077.7061566857753 1024.3614229492093	482
4	2.1902786531331913	6.750901897657286	35.87259824645772	9686.895663036354	0.025	9686.895663036354	0.35		1213.610608786968 1077.7155310128664 1024.367084705469	511
5	0.6895878534360236	2.28067629619909	35.87252569067942	3272.5447611010172	0.025	3272.5447611010172	0.35		1213.6080032399384 1077.7189145549949 1024.3691084083275	539
6	0.22730622594713168	0.8393816918019184	35.872486712357535	1204.42834343042	0.025	1204.42834343042	0.35		1213.6073605037138 1077.72046515531 1024.3699812131424	568
7	0.0860962748545262	0.3596479602988438	35.872465811555266	516.0583664006344	0.025	516.0583664006344	0.35		1213.6072861934265 1077.721487024497 1024.3705738210613	593
8	0.04200939513157209	0.19170000058920778	35.872454313762184	275.06998052338156	0.025	275.06998052338156	0.35		1213.607359109836 1077.7223155632898 1024.3710587655714	619
9	0.0280514061539634	0.12686899813525088	35.87244775230581	182.0440602797668	0.025	182.0440602797668	0.35		1213.607465575164 1077.7230671678522 1024.3714993453025	642
10	0.023443252832976214	0.09819536531995254	35.872443748463894	140.90030875199437	0.025	140.90030875199437	0.35		1213.607575513899 1077.7237818173253 1024.3719178075862	665
11	0.021740726119787723	0.08345509950709129	35.872441097089734	119.7495256527958	0.025	119.7495256527958	0.35		1213.6076825451776 1077.724474196292 1024.3723226789637	687
12	0.0209439509180811	0.07480938008143312	35.8724391678597	107.3437974462602	0.025	107.3437974462602	0.35		1213.6077875971978 1077.7251510790825 1024.372718387741	711
13	0.020433623651570088	0.06921094801805339	35.87243761065464	99.31061659007527	0.025	99.31061659007527	0.35		1213.6078874090636 1077.7258121805658 1024.3731038796495	737
14	0.020016729379449316	0.06531526624462458	35.872436259555776	93.72070900544841	0.025	93.72070900544841	0.5249999999999999		1213.6079851154411 1077.7264605229707 1024.3734816297645	761
15	0.0294505008384931	0.062444722590043966	35.87243442095013	89.601768641831	0.025	89.601768641831	0.26249999999999996		1213.608128878026 1077.7274147322407 1024.3740371568022	785
16	0.014317589787879115	0.059107727702667034	35.87243357851761	84.81352143964112	0.025	84.81352143964112	0.26249999999999996		1213.6081986631627 1077.7278783912489 1024.374306710017	810
17	0.014118470217226786	0.05790953896848805	35.872432766363936	83.0942417271288	0.025	83.0942417271288	0.26249999999999996		1213.6082674654986 1077.7283355615864 1024.3745723137797	832
18	0.013921853727197231	0.05682675520642988	35.87243196176767	81.54055639002729	0.025	81.54055639002729	0.26249999999999996		1213.6083353024544 1077.7287863278543 1024.374833995457	859
19	0.01372829913930218	0.055831585691976215	35.87243117442561	80.11258860377848	0.025	80.11258860377848	0.26249999999999996		1213.608402191758 1077.7292307922478 1024.3750918338853	883
