轮	δ K	真残差 K	放大	q=max(δ,r)·放大/0.025	当轮容差 K	qStop=max(δ,r)·放大/当轮容差	ω	Anderson	段电流 A（R）	开跑后 s
1	66.08525415933991	0	35.87338733741769	94828.07678998775	0.025	94828.07678998775	0.35	Anderson：接受 0／丢弃 0／重启 0，末端深度 0	1213.7560784734471 1077.5919363161806 1024.2920515560413	416
2	29.650676645703243	66.08525415933991	35.87284534594307	94826.64408421365	0.025	94826.64408421365	0.35	Anderson：接受 1／丢弃 0／重启 0，末端深度 1	1213.6189009505476 1077.7051730558387 1024.360828722815	452
3	5.8130847178108525	6.889804934548238	35.87285808283452	9886.279785418476	0.025	9886.279785418476	0.35	Anderson：接受 2／丢弃 0／重启 0，末端深度 2	1213.6465740068222 1077.6833749450102 1024.3476272526107	484
4	7.142124178047197	18.403237511802672	35.87245956644446	26406.775741352612	0.025	26406.775741352612	0.35	Anderson：接受 3／丢弃 0／重启 0，末端深度 3	1213.6160484937755 1077.713638586944 1024.3657586495117	515
5	1.0152613625236881	3.853193561413491	35.8724451932298	5528.938994028455	0.025	5528.938994028455	0.35	Anderson：接受 4／丢弃 0／重启 0，末端深度 4	1213.6114193285678 1077.7179488567851 1024.3681991167816	544
6	0.8579807397863988	1.8271411248376808	35.8724384589311	2621.7603022608737	0.025	2621.7603022608737	0.35	Anderson：接受 5／丢弃 0／重启 0，末端深度 4	1213.6075780202555 1077.7218542124997 1024.3703782552675	572
7	0.062394257357482275	0.13854251309589927	35.872443074186954	198.79433657549788	0.025	198.79433657549788	0.35	Anderson：接受 6／丢弃 0／重启 0，末端深度 4	1213.60740220569 1077.7225163585294 1024.3707949147724	600
8	0.02286753010821485	0.06106958598525125	35.87244215371082	87.62860762427978	0.025	87.62860762427978	0.35	Anderson：接受 7／丢弃 0／重启 0，末端深度 4	1213.607513621749 1077.723163768774 1024.3711833033751	625
9	0.01912063217605464	0.06441538786566525	35.87244295871646	92.42949307498692	0.025	92.42949307498692	0.35	Anderson：接受 8／丢弃 0／重启 0，末端深度 4	1213.6074203245532 1077.7225819559847 1024.3708316638815	648
10	0.02688686519672956	0.061315310514828525	35.872443240852434	87.98119984953715	0.025	87.98119984953715	0.35	Anderson：接受 9／丢弃 0／重启 0，末端深度 4	1213.607544557531 1077.7233002146845 1024.3712757076864	672
11	0.007247145581231962	0.07439631894931154	35.87244243909714	106.7511067675956	0.025	106.7511067675956	0.35	Anderson：接受 10／丢弃 0／重启 0，末端深度 4	1213.6075824009959 1077.7235171159125 1024.3714090087078	698
12	0.09015008715527983	0.074413237892486	35.87243645786581	129.3561309259536	0.025	129.3561309259536	0.35	Anderson：接受 11／丢弃 0／重启 0，末端深度 4	1213.6080044749883 1077.7263593697296 1024.3731432670243	719
13	0.06461002695209572	0.0625048138058446	35.872432566880946	92.70875339933656	0.025	92.70875339933656	0.35	Anderson：接受 12／丢弃 0／重启 0，末端深度 4	1213.608323867493 1077.7284307512032 1024.3744081315006	743
14	0.07199812802923589	0.0608732609737217	35.87242824214051	103.30990725188838	0.025	103.30990725188838	0.35	Anderson：接受 13／丢弃 0／重启 0，末端深度 4	1213.6086774398825 1077.730739878545 1024.3758113295667	768
15	0.3027614328073014	0.058936297504715185	35.872446747507304	434.4317350231572	0.025	434.4317350231572	0.35	Anderson：接受 14／丢弃 0／重启 0，末端深度 4	1213.6071859685815 1077.721029964674 1024.369911072471	792
16	0.008228707036550986	0.06772518346383549	35.872445842143584	97.17871903822707	0.025	97.17871903822707	0.35	Anderson：接受 15／丢弃 0／重启 0，末端深度 4	1213.6071969375282 1077.7211838705352 1024.3698295520296	820
17	0.1302596339644424	0.07017777335499886	35.872438383861116	186.9092277317505	0.025	186.9092277317505	0.35	Anderson：接受 16／丢弃 0／重启 0，末端深度 4	1213.607837874326 1077.7254089193093 1024.37238038905	845
18	0.4633067091469911	0.06169826718405602	35.872412027036525	664.7971666164494	0.025	664.7971666164494	0.35	Anderson：接受 17／丢弃 0／重启 0，末端深度 4	1213.6100909535676 1077.7404047835078 1024.381158704734	868
19	0.422106572957091	0.03450275877344211	35.8723879021912	605.6788288472535	0.025	605.6788288472535	0.35	Anderson：接受 18／丢弃 0／重启 0，末端深度 4	1213.612151234875 1077.7540883749407 1024.389130001658	893
20	0.12787943651642308	0.01142864631538032	35.872380948534925	183.49359448804466	0.025	183.49359448804466	0.35	Anderson：接受 19／丢弃 0／重启 0，末端深度 4	1213.6127749740785 1077.7582320831038 1024.3915526786018	919
21	0.0014354557854403538	0.004377788166721075	35.87238103626665	6.281667408507105	0.025	6.281667408507105	0.35	Anderson：接受 19／丢弃 1／重启 0，末端深度 3	1213.612781568861 1077.7582753112931 1024.3915665521226	942
22	0.0013900123383336904	0.0042247288433827634	35.87238106380241	6.062043318442548	0.025	6.062043318442548	0.35	Anderson：接受 19／丢弃 2／重启 0，末端深度 3	1213.612789691807 1077.7583190431906 1024.3915812720643	966
23	0.0013583811546595825	0.004118247269616404	35.87238105983924	5.909253414172887	0.025	5.909253414172887	0.35	Anderson：接受 19／丢弃 3／重启 1，末端深度 0	1213.6127953621274 1077.7583603431024 1024.3915941259627	991
24	0.0013313014255800226	0.004029315815614609	35.872381042050215	5.781646091059464	0.025	5.781646091059464	0.35	Anderson：接受 19／丢弃 3／重启 1，末端深度 0	1213.6128014482408 1077.7584012547952 1024.3916070458044	1014
25	0.026533584458775294	0.003948341967543456	35.872380538274165	38.07291354998499	0.025	38.07291354998499	0.35	Anderson：接受 20／丢弃 3／重启 1，末端深度 1	1213.612958154625 1077.7592423416113 1024.3918875739382	1041
26	0.024676636094454807	0.0024092058304177044	35.87237977667663	35.408386463645165	0.025	35.408386463645165	0.35	Anderson：接受 21／丢弃 3／重启 1，末端深度 2	1213.6130641955888 1077.759996050211 1024.3921195860148	1068
27	0.021696888061114805	0.0010146829058612639	35.872379054499255	31.132759713253986	0.025	31.132759713253986	0.35	Anderson：接受 22／丢弃 3／重启 1，末端深度 3	1213.6131444892662 1077.7606489820469 1024.392311749275	1088
28	0.001489247495555901	0.00016679196551194764	35.8723791591403	2.1369140328952554	0.025	2.1369140328952554	0.35	Anderson：接受 23／丢弃 3／重启 1，末端深度 4	1213.6131614605158 1077.7607010201693 1024.3923273630214	1109
29	0.00019269230870122556	0.00021650738631251443	35.87237920531273	0.31066540250214614	0.025	0.31066540250214614	0.35	Anderson：接受 24／丢弃 3／重启 1，末端深度 4	1213.6131638068648 1077.7606973316713 1024.3923246437614	1130
