# G2 耦合逐轮探针　2026-09-23 10:47:52　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6　args mode=long max=110 aadepth=6
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 110，AA 深度 6，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
1	69.4	66.08579602750592	0	2370.7212442482896	0	35.87338561014774	0.35	0	0	0	0	34.82041579397787	30.791368907877768	-0.10116563613811176	1213.7559726084332	1149.591118411785	1083.9144247175786	1077.5914909277178	1147.7066679278528	1053.6145791677648	1024.2927937578545	1076.9529438949755	1047.123804898306	0.5194794145990382	12.248070389300475	3.331580400821528	-0.10116563613811176
2	74.0	29.65950599123198	66.08579602750592	1063.9707385308648	2370.6852442711547	35.872840864085816	0.35	1	0	0	1	6.852857312689139	2.789254338752926	-0.1058998627325252	1213.619174291573	1149.2227076754602	1112.8205250518918	1077.7057868987672	1118.0471619366208	1064.2236591894339	1024.3619730616551	1066.136700907007	1047.210745661247	0.48638783760733717	1.9478023778367806	0.08022101807276404	-0.1058998627325252
3	78.7	5.813409177019821	6.872703268862779	208.54361463502735	246.54352349189978	35.87286019009157	0.35	2	0	0	2	12.299657111406532	7.567453802025057	-0.10224086896324247	1213.6459974909576	1149.2488475253176	1107.1383398234314	1077.6824081706181	1123.8605711136406	1062.1455110201398	1024.3465998762922	1068.2640456269617	1047.2076611892824	0.48327273916617947	3.9487738738059206	0.718334005190404	-0.10224086896324247
4	83.2	6.994073170020556	18.38683269193075	250.89471198131403	659.5811882930324	35.87247457701056	0.35	3	0	0	3	5.7468326382741	2.730792829726397	-0.09720241019758472	1213.6164919716343	1149.0417895035166	1113.876320812734	1077.7135798173158	1116.86649794362	1064.6533983222025	1024.364535262855	1065.74827293979	1047.2692071702736	0.4497970765916473	1.5410517674946156	-0.03696667288581164	-0.09720241019758472
5	87.8	1.194596713383362	4.136299100560336	42.85311272850415	148.37918910148508	35.872451554914015	0.35	4	0	0	4	5.413605622117075	2.7271183056327573	-0.16305576057744686	1213.6111273317574	1149.0317623313051	1115.0060378222956	1077.7187750918424	1115.6719012302367	1065.0829070184204	1024.367097459312	1065.32745918268	1047.2728816943672	0.449519088245617	1.1312124076461676	-0.16305576057744686	-0.09730445578324082
6	92.6	0.41781186569687634	1.7473666012942886	14.987933628144438	62.682314205110714	35.872446090409085	0.35	5	0	0	5	5.412975658672622	2.7262461227014683	-0.1917941252098524	1213.6084450118192	1149.0314401649412	1115.382237106181	1077.7213727307744	1115.2540893645398	1065.234236435341	1024.3696596627542	1065.1883132440244	1047.2737538772985	0.4501798175583354	1.031911109103065	-0.1917941252098524	-0.09785945547337854
7	97.0	0.2748515632570161	0.9312554390730838	9.85959754412934	33.40640937689004	35.87244484729215	0.35	6	0	0	6	5.412601737059276	2.726047710442117	-0.16247017444549744	1213.6084450118192	1149.0310896974338	1115.6193058673744	1077.7213727286762	1114.9792378012828	1065.3335384656111	1024.369659660917	1065.1003578415498	1047.2739522895579	0.4502161760936844	1.113219649108364	-0.16247017444549744	-0.09782526649124967
8	101.5	0.19648803276299986	0.40770718613975987	7.048506555914372	14.625454456382762	35.872447073741874	0.35	7	0	0	6	5.413055840329889	2.726403071816776	-0.1429261623713388	1213.6084450118192	1149.0315268521738	1115.7750460720767	1077.723970369449	1114.7827497685198	1065.401806747357	1024.369659659702	1065.039735606083	1047.2735969281832	0.4501940273382496	1.1659997951628718	-0.1429261623713388	-0.09788473295623944
9	106.0	0.017175619472027392	0.0572478323526866	0.6161314124621975	2.053619542823767	35.87244194980235	0.35	8	0	0	6	5.413398135761327	2.7255852452360614	-0.14288929153435886	1213.6084450118192	1149.0319018519224	1115.7586552171858	1077.7239703695923	1114.7655741490478	1065.4039408467982	1024.3722218670705	1065.0416305392484	1047.274414754764	0.4502750348774225	1.160377328124701	-0.14288929153435886	-0.09844335722174928
10	110.4	0.011602462422160897	0.06305319983198387	0.4162086416015823	2.2618721522922587	35.87244038874169	0.35	9	0	0	6	5.413241079855425	2.725336085855588	-0.14270804925471703	1213.6084450118192	1149.0317292842137	1115.7470527547637	1077.7239703696923	1114.7570842410828	1065.404549893424	1024.3722218675498	1065.0433750150364	1047.2746639141444	0.45023578005679643	1.1564012267398933	-0.14270804925471703	-0.0984058094553205
11	114.7	0.005798368108344221	0.06446001391350364	0.20800165194174577	2.3123384248237038	35.87244687732367	0.35	10	0	0	6	5.414234571157067	2.726371721578971	-0.14268499989988193	1213.6084450118192	1149.0328159197911	1115.752851122872	1077.723970369635	1114.7602067388034	1065.404637920741	1024.3722218673038	1065.0425217641673	1047.273628278421	0.45046357225103206	1.1583816151890869	-0.14268499989988193	-0.0985720337192026
12	119.3	0.0189460354640687	0.07000865400641487	0.6796408371397565	2.5113824106465232	35.8724567167997	0.35	11	0	0	6	5.414091657248491	2.7279421888511024	-0.1427169711813741	1213.6084450118192	1149.0326597413027	1115.771797158336	1077.7239703694686	1114.778854112433	1065.4025100949102	1024.3696596598365	1065.0402601211727	1047.272057811149	0.45043135578577637	1.1648806099228777	-0.1427169711813741	-0.09813094996973057
13	124.2	0.03213596715363565	0.06966961955504303	1.152796228360389	2.4992207102523913	35.87246099826715	0.35	12	0	0	6	5.413929909280569	2.7286255485084894	-0.14307778368953064	1213.6084450118192	1149.032482983163	1115.8039331254897	1077.7213727270337	1114.8108571814387	1065.3992252076923	1024.3696596586478	1065.0369877022235	1047.2713744514915	0.4503949111787082	1.176540665881377	-0.14307778368953064	-0.09824161293033308
14	128.8	0.0005569066638599907	0.06651087860927873	0.019977612549737716	2.3859088953779484	35.87246094573614	0.35	13	0	0	6	5.413758064519243	2.7286171641171677	-0.1429110136787377	1213.6084450118192	1149.0322951869164	1115.8039547620365	1077.7213727270378	1114.8107481878933	1065.3997821143562	1024.3696596586415	1065.037496026454	1047.2713828358828	0.45035616617303587	1.1765567123940452	-0.1429110136787377	-0.09824026669866986
15	133.4	0.003050481172522268	0.06639981386115323	0.10942826890956557	2.3819247770460827	35.872461661215766	0.35	14	0	0	6	5.41367524494467	2.7287313608860586	-0.1425783528028114	1213.6084450118192	1149.0322644555986	1115.807005243209	1077.7213727270105	1114.811295622774	1065.4009025196774	1024.3696596585228	1065.0377038369138	1047.271268639114	0.4504617683245099	1.1775945120986466	-0.1425783528028114	-0.0982564646249071
16	138.2	0.008040211297611677	0.0679853368158092	0.28842217850543134	2.4388014475024855	35.87246252982261	0.35	15	0	0	6	5.413318939399687	2.7288699981149875	-0.14270759779634687	1213.6084450118192	1149.0318153056728	1115.8150454545066	1077.7213727269418	1114.818093359113	1065.4004698828903	1024.3696596581794	1065.036819041026	1047.271130001885	0.450257187129435	1.1803612549034586	-0.14270759779634687	-0.09827846059498073
17	142.9	0.044712985874639344	0.06969286722869583	1.6039654743288543	2.5000556472614375	35.87247514236359	0.35	16	0	0	6	5.411664568177002	2.7308830678816776	-0.14395748720404333	1213.6057626918807	1149.030433427499	1115.8578684469708	1077.7213727266922	1114.8628063449876	1065.3962370006625	1024.36965965651	1065.0333016578516	1047.2691169321183	0.450811282228966	1.1957313921734438	-0.14395748720404333	-0.09860411852465072
18	147.4	0.023488365846105808	0.07020180551990052	0.84258595167799	2.5183129171715173	35.87248075062167	0.35	17	0	0	6	5.411314214416279	2.7317781932470098	-0.14397172580119366	1213.6057626918807	1149.0300505555629	1115.8812365959818	1077.718775084341	1114.8862947108337	1065.3941022550007	1024.3696596557252	1065.0312857767738	1047.268221806753	0.4507323058939746	1.2043880953028796	-0.14397172580119366	-0.09874544177236627
19	152.0	0.14977170330826084	0.07127602560535706	5.372676819897773	2.556845132462484	35.87244253235008	0.35	18	0	0	6	5.413114831652365	2.7256782249032767	-0.1400884650666249	1213.6084450118192	1149.0315913212403	1115.733271556325	1077.723970369817	1114.7365230075254	1065.4134209615272	1024.372221868161	1065.049846954997	1047.2743217750967	0.4502073379486993	1.1516739940341483	-0.1400884650666249	-0.09846075091139363
20	156.6	0.07463942287949976	0.06509124090575824	2.6774993632662496	2.334982631909463	35.87245533220278	0.35	19	0	0	6	5.4151319881343625	2.7277211952045946	-0.14528490556436024	1213.6084450118192	1149.0337966309228	1115.8038317865535	1077.721372727026	1114.811162430405	1065.391743022973	1024.3696596588125	1065.0295414568625	1047.2722788047954	0.4506658640489207	1.1765059332137469	-0.14528490556436024	-0.09809561902359823
