# G2 耦合逐轮探针　2026-09-23 10:47:52　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6　args mode=long max=110 aadepth=6
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 110，AA 深度 6，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
# 结束：Converged False　CoupleRounds 110　单元 4164　耗时 566 s
# 判据：最热铂 5.4187139085317995　管根 2.7151977896214703　净流入 -0.10231723140251021
# 放大：闭式 32.61125169943893　雅可比 34.62337058804575　用 35.872376869382826　认证误差 NaN
# 注：★ 停机放大口径：max(闭式 32.6 × 1.1, 实测雅可比 34.6) = 35.9；量雅可比用时 16.3 s
# 注：★ Anderson：接受 109／丢弃 0／重启 0，末端深度 6
# 注：★ 外层耦合 110 轮未收敛（**剩余误差估计 0.0 K**，步长 0.0 K，真残差 0.000 K，**容差 0.000 K**，ω=0.35）—— 本次结果的每个数都不可用。
# 离线判停（生产口径 max(δ,真残差)×放大 < 0.025）：第 70 轮；记录到第 110 轮
轮	δ K	真残差 K	δ/δ前	max(δ,res)×amp	放大	ω	AA接受/丢弃/重启/深度	ΔI 各段 A（相对上一轮）	最热铂	管根	净流入	|最热铂−末轮|	|管根−末轮|
1	6.61e+01	0.00e+00	nan	2370.7212	35.87	0.35	0/0/0/0		34.8204	30.7914	-0.1012	29.4017	28.0762
2	2.97e+01	6.61e+01	0.449	2370.6852	35.87	0.35	1/0/0/1	-0.1368,+0.1143,+0.0692	6.8529	2.7893	-0.1059	1.4341	0.0741
3	5.81e+00	6.87e+00	0.196	246.5435	35.87	0.35	2/0/0/2	+0.0268,-0.0234,-0.0154	12.2997	7.5675	-0.1022	6.8809	4.8523
4	6.99e+00	1.84e+01	1.203	659.5812	35.87	0.35	3/0/0/3	-0.0295,+0.0312,+0.0179	5.7468	2.7308	-0.0972	0.3281	0.0156
5	1.19e+00	4.14e+00	0.171	148.3792	35.87	0.35	4/0/0/4	-0.0054,+0.0052,+0.0026	5.4136	2.7271	-0.1631	0.0051	0.0119
6	4.18e-01	1.75e+00	0.350	62.6823	35.87	0.35	5/0/0/5	-0.0027,+0.0026,+0.0026	5.4130	2.7262	-0.1918	0.0057	0.0110
7	2.75e-01	9.31e-01	0.658	33.4064	35.87	0.35	6/0/0/6	+0.0000,-0.0000,-0.0000	5.4126	2.7260	-0.1625	0.0061	0.0108
8	1.96e-01	4.08e-01	0.715	14.6255	35.87	0.35	7/0/0/6	+0.0000,+0.0026,-0.0000	5.4131	2.7264	-0.1429	0.0057	0.0112
9	1.72e-02	5.72e-02	0.087	2.0536	35.87	0.35	8/0/0/6	+0.0000,+0.0000,+0.0026	5.4134	2.7256	-0.1429	0.0053	0.0104
10	1.16e-02	6.31e-02	0.676	2.2619	35.87	0.35	9/0/0/6	+0.0000,+0.0000,+0.0000	5.4132	2.7253	-0.1427	0.0055	0.0101
11	5.80e-03	6.45e-02	0.500	2.3123	35.87	0.35	10/0/0/6	+0.0000,-0.0000,-0.0000	5.4142	2.7264	-0.1427	0.0045	0.0112
12	1.89e-02	7.00e-02	3.267	2.5114	35.87	0.35	11/0/0/6	+0.0000,-0.0000,-0.0026	5.4141	2.7279	-0.1427	0.0046	0.0127
13	3.21e-02	6.97e-02	1.696	2.4992	35.87	0.35	12/0/0/6	+0.0000,-0.0026,-0.0000	5.4139	2.7286	-0.1431	0.0048	0.0134
14	5.57e-04	6.65e-02	0.017	2.3859	35.87	0.35	13/0/0/6	+0.0000,+0.0000,-0.0000	5.4138	2.7286	-0.1429	0.0050	0.0134
15	3.05e-03	6.64e-02	5.478	2.3819	35.87	0.35	14/0/0/6	+0.0000,-0.0000,-0.0000	5.4137	2.7287	-0.1426	0.0050	0.0135
16	8.04e-03	6.80e-02	2.636	2.4388	35.87	0.35	15/0/0/6	+0.0000,-0.0000,-0.0000	5.4133	2.7289	-0.1427	0.0054	0.0137
17	4.47e-02	6.97e-02	5.561	2.5001	35.87	0.35	16/0/0/6	-0.0027,-0.0000,-0.0000	5.4117	2.7309	-0.1440	0.0070	0.0157
18	2.35e-02	7.02e-02	0.525	2.5183	35.87	0.35	17/0/0/6	+0.0000,-0.0026,-0.0000	5.4113	2.7318	-0.1440	0.0074	0.0166
19	1.50e-01	7.13e-02	6.376	5.3727	35.87	0.35	18/0/0/6	+0.0027,+0.0052,+0.0026	5.4131	2.7257	-0.1401	0.0056	0.0105
20	7.46e-02	6.51e-02	0.498	2.6775	35.87	0.35	19/0/0/6	+0.0000,-0.0026,-0.0026	5.4151	2.7277	-0.1453	0.0036	0.0125
21	8.17e-03	6.70e-02	0.109	2.4047	35.87	0.35	20/0/0/6	+0.0000,-0.0000,-0.0000	5.4155	2.7271	-0.1477	0.0033	0.0119
22	1.14e-02	6.81e-02	1.395	2.4426	35.87	0.35	21/0/0/6	+0.0000,+0.0000,+0.0000	5.4154	2.7271	-0.1457	0.0033	0.0119
23	7.72e-03	6.61e-02	0.677	2.3719	35.87	0.35	22/0/0/6	+0.0000,-0.0000,-0.0000	5.4155	2.7269	-0.1478	0.0032	0.0117
24	1.27e-01	6.70e-02	16.396	4.5381	35.87	0.35	23/0/0/6	+0.0000,+0.0052,+0.0026	5.4152	2.7253	-0.1331	0.0035	0.0101
