# G2 耦合逐轮探针　2026-09-23 10:19:51　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6i　args mode=long max=80
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 80，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
1	87.3	66.08525409154845	0	2370.7019168149977	0	35.87338732980953	0.35	0	0	0	0	34.82019001234153	30.791096265884335	-0.10100988149234005	1213.7560769301272	1149.5909994535668	1083.914697359572	1077.591935206174	1147.7064132723795	1053.6147375457624	1024.2920505107043	1076.9532264227396	1047.1235304493894	0.519422241666446	12.24783909481986	3.331732376197653	-0.10100988149234005
2	93.0	29.650684724832672	66.08525409154845	1063.6544270190864	2370.6660985230715	35.87284532853529	0.35	1	0	0	1	6.860839873863142	2.789966877896404	-0.10570362091277047	1213.6188984089783	1149.2226119851994	1112.8121926708814	1077.705171288894	1118.0557285475468	1064.2207827534999	1024.3608270490524	1066.1400409768512	1047.2100331221036	0.48645440647762167	1.9509624434335158	0.08162148755163175	-0.10570362091277047
3	98.6	5.812244393597439	6.889788849828847	208.50181812737947	247.1564174564812	35.87285805756166	0.35	2	0	0	2	12.30666968940227	7.574628536376167	-0.10246268293711995	1213.646569603984	1149.249135989728	1107.1311650890802	1077.6833778596329	1123.8679729411442	1062.1430437910485	1024.347628913629	1068.2670039182165	1047.2080015467377	0.48326560897287585	3.9509446654533824	0.7187392872772786	-0.10246268293711995
4	104.6	7.135817939396929	18.401546227347353	255.9793420884315	660.1087270850868	35.87245978841006	0.35	3	0	0	3	5.6209308266556945	2.7284324423708313	-0.09715276588750203	1213.6160726387075	1149.0386771025649	1114.006332556036	1077.7136163552864	1116.7321550017473	1064.7018074702057	1024.3657452055625	1065.7000051196644	1047.2715675576292	0.44939824610882495	1.4950329175482413	-0.051504846356952724	-0.09715276588750203
5	109.9	1.020490301177233	3.8642236251296254	36.60748240543639	138.61915023045034	35.872445199338166	0.35	4	0	0	4	5.414441280822302	2.7261038993246984	-0.15881672895400822	1213.6114204533055	1149.03262899231	1114.9678181607958	1077.717947974941	1115.71166470057	1065.068931090794	1024.3681986375914	1065.342038141819	1047.2738961006753	0.4496061455718136	1.144970905763335	-0.15881672895400822	-0.097440266300013
6	115.5	0.8582861572144793	1.8276006833211795	30.78881734029194	65.56049300898506	35.872438441993935	0.35	5	0	0	4	5.411012121852536	2.7250253676154443	-0.14936361965140332	1213.6075777530157	1149.0294902953196	1115.7558590834178	1077.7218543914225	1114.8533785433556	1065.3788746909308	1024.3703784877032	1065.049683885376	1047.2749746323846	0.45015759690198864	1.160152809670532	-0.14936361965140332	-0.09785776053035415
7	120.7	0.0623144783112366	0.13836605880169373	2.2353725757316867	4.9635285673507905	35.87244307120521	0.35	6	0	0	4	5.412453368398019	2.7257642312883945	-0.14403270778582045	1213.6074022019259	1149.0310350319628	1115.7861453778933	1077.722516234404	1114.7910640650443	1065.3977830781378	1024.3707949700115	1065.034724003995	1047.2742357687116	0.45042248117067796	1.1704330936430287	-0.14403270778582045	-0.09808895944722572
8	126.1	0.022845305306418595	0.061080911307499264	0.8195168930545513	2.1911214574838045	35.872442152230754	0.35	7	0	0	4	5.412558040399745	2.725617554614246	-0.14349745417864457	1213.6075135119777	1149.0311308033965	1115.7633000725868	1077.7231632028183	1114.7735308190126	1065.4004245407082	1024.3711830622162	1065.0393093271869	1047.2743824453858	0.4504037445379138	1.1624096037705172	-0.14349745417864457	-0.09817028093668519
9	131.1	0.01896570005214926	0.06439689949934291	0.6803459931177068	2.3100741034136867	35.87244294948172	0.35	8	0	0	4	5.4124169411020375	2.725744803105272	-0.144084536841394	1213.6074210784348	1149.0310528616492	1115.782265772639	1077.7225863385797	1114.7902785685023	1065.397710321117	1024.3708346917672	1065.0357856034743	1047.2742551968947	0.4505348517483294	1.1690764002525542	-0.144084536841394	-0.09809496849223501
10	136.3	0.02655010239436706	0.06135698850039262	0.9524170415623442	2.2010250882918236	35.872443255224944	0.35	9	0	0	4	5.412959870503528	2.725793602326121	-0.14375245301437137	1213.6075437114457	1149.0315660657761	1115.7557156702446	1077.7232933339276	1114.7722628951133	1065.3997356067161	1024.3712717303881	1065.0409332833497	1047.2742063976739	0.450487731319646	1.15976838554208	-0.14375245301437137	-0.09822113211675193
11	142.5	0.003282131955074874	0.0744170640939501	0.11773809065271788	2.6695218712505224	35.87244274888758	0.35	10	0	0	4	5.412971805217239	2.725712786337226	-0.1436899822247682	1213.6075587399866	1149.0316373595324	1115.7524335382896	1077.7233884177958	1114.769612357871	1065.400068849093	1024.3713308929866	1065.0414948415246	1047.2742872136628	0.4506123433730366	1.1586115271801236	-0.1436899822247682	-0.09822311285306497
12	148.2	0.07895642201310693	0.07411497724729088	2.832359316165414	2.6586848912543783	35.87243752883377	0.35	11	0	0	4	5.413346044407035	2.7248796183739614	-0.14040615254510708	1213.6078978949913	1149.0319916007552	1115.6826146677254	1077.7258243175227	1114.6906559358579	1065.4142921558928	1024.3728129382794	1065.0523543216577	1047.275120381626	0.45057664417158966	1.1339747014827617	-0.14040615254510708	-0.09849224753564394
13	154.3	0.188016317351412	0.06100146933886208	6.744601427035825	2.188270693469582	35.87242597901662	0.35	12	0	0	4	5.414060585014795	2.7230361612430443	-0.13291091198385058	1213.6087685123578	1149.0325744025301	1115.5044990126405	1077.7317997590362	1114.5026396185065	1065.4473150843799	1024.3764415582136	1065.0817134649697	1047.276963838757	0.45031255230004125	1.071207113051655	-0.13291091198385058	-0.0991744215937373
14	159.8	0.17870609286978834	0.05790807537096043	6.410619202610726	2.0773025362363957	35.8724154261586	0.35	13	0	0	4	5.41475567462021	2.7213518262008165	-0.12624799345174587	1213.6096414428819	1149.0331953599698	1115.3257929197707	1077.7375556219192	1114.3272121866285	1065.4772150361769	1024.3799284741317	1065.112771721293	1047.2786481737992	0.45016756959999626	1.0082900966169248	-0.12624799345174587	-0.09984653907664487
15	165.1	0.08056903295664597	0.04488408115889797	2.89020619742528	1.6101006152201245	35.87242010190806	0.35	14	0	0	4	5.414436475545699	2.7220981198427125	-0.12925742636990234	1213.6092479877577	1149.032909023777	1115.4063619527274	1077.7349612234464	1114.4062767027704	1065.4637285402982	1024.3783571468437	1065.0987537955493	1047.2779018801573	0.4502315738623053	1.0366547992504493	-0.12925742636990234	-0.0995438017109091
16	170.4	0.5898475172232338	0.05081486253902767	21.15923792367336	1.8228503725567455	35.87238617750328	0.35	15	0	0	4	5.416986033156945	2.7166834582242245	-0.1067251269316168	1213.6121247309454	1149.035238297125	1114.8165144355041	1077.7540203298838	1113.8234258233774	1065.5643126296557	1024.3898748479137	1065.2017534178458	1047.2833165417758	0.4498120917365881	0.8290203760631756	-0.1067251269316168	-0.10178623871149686
17	176.2	0.2611903264034936	0.011765416916887261	9.369516134875955	0.4220533936085437	35.872370404720435	0.35	16	0	0	4	5.4182609750189386	2.7141659646435983	-0.1027406047989412	1213.6133928177228	1149.03643014951	1114.5559696549612	1077.7624979232503	1113.562235496974	1065.6109076635466	1024.3948992394967	1065.248048618974	1047.2858340353564	0.4496611952685087	0.7373132465217023	-0.0961336487502858	-0.1027406047989412
18	181.5	0.07418010454966861	0.003317724174394243	2.6610165282436102	0.11901464574379475	35.87237500402657	0.35	17	0	0	4	5.417953297466738	2.714900060180298	-0.1024567825592151	1213.6130311176362	1149.036151365045	1114.630077037109	1077.7600827866577	1113.6364156015236	1065.5985776313078	1024.393421766498	1065.2357631896389	1047.2850999398197	0.44971684188771743	0.7633948564441848	-0.0988629659781302	-0.1024567825592151
19	186.9	0.03214969347823171	0.00277938178533077	1.1532859273326062	0.0997030314418679	35.87237707611385	0.35	18	0	0	4	5.41781443116929	2.7152307860428664	-0.10233768836048564	1213.6128747042724	1149.0360244559688	1114.662145863104	1077.7590358597854	1113.6685652950018	1065.5934061070648	1024.392775655764	1065.2306291453433	1047.2847692139571	0.4497396110959515	0.7746821655748007	-0.09999074471465368	-0.10233768836048564
20	192.2	0.07534405344449624	0.0033564502505214477	2.702769987184402	0.12040383528435729	35.87237298263298	0.35	19	0	0	4	5.418175128288567	2.7145774254292974	-0.10260606479699236	1213.6132415593913	1149.0363603597962	1114.5868018096594	1077.7614688113233	1113.5934353111138	1065.6087976249337	1024.3941692417834	1065.246080927348	1047.2854225745707	0.4496941179281426	0.7481703933043884	-0.09634134319299227	-0.10260606479699236
21	197.5	0.017070166450139368	0.002200823575094546	0.6123473506246498	0.0789487606543176	35.872371392116705	0.35	20	0	0	4	5.418237192701099	2.7143235630574054	-0.10269264296001065	1213.6133241921502	1149.0364150590196	1114.569901987399	1077.7620424812471	1113.5763651446637	1065.608125889673	1024.39463404985	1065.2453434175472	1047.2856764369426	0.4496795466874127	0.7422171347829083	-0.0967817164620781	-0.10269264296001065
22	203.2	0.018166835101510515	0.0023485340957449807	0.651687471711035	0.0842474893690179	35.87237226900624	0.35	21	0	0	4	5.418155033646599	2.7144635234667476	-0.10264208577103963	1213.6132368753742	1149.036338212157	1114.587824270615	1077.7614682601895	1113.5945319797652	1065.6026516367137	1024.394361502694	1065.23996364726	1047.2855364765333	0.4496873627494154	0.7485307334466279	-0.09819959558911241	-0.10264208577103963
23	208.4	0.006764852139895083	0.002479216557503605	0.24267129652657404	0.08893538009965732	35.87237259709532	0.35	22	0	0	4	5.418194605491635	2.7145158897455985	-0.10263117171930236	1213.6132686681228	1149.0363764039955	1114.5812640371214	1077.7616506383804	1113.5879139213328	1065.6094164888536	1024.3942900801037	1065.2467046288434	1047.2854841102544	0.4496852840765839	0.74622967807271	-0.09623415349097487	-0.10263117171930236
24	213.8	0.01827921881886141	0.0021576926812940656	0.6557189882403837	0.07740156053342515	35.872374784625926	0.35	23	0	0	4	5.418213240298428	2.7148650414935673	-0.10252047112043426	1213.613274957952	1149.0363967036737	1114.5799230123891	1077.7615905764799	1113.586622914409	1065.6276816415732	1024.3936696060973	1065.2649838476623	1047.2851349585064	0.44969116292383704	0.7457809744597876	-0.09067699649383719	-0.10252047112043426
25	219.0	0.01665189490540797	0.001549496379766424	0.5973430567665106	0.05558411875622157	35.87237729758394	0.35	24	0	0	4	5.418165146657202	2.715266134648573	-0.10237603916489323	1213.6132433160133	1149.0363491725204	1114.5864843716492	1077.76127427743	1113.5932973536856	1065.6442944113162	1024.392902846985	1065.2816357425677	1047.2847338653514	0.44969125979878743	0.7481173962917722	-0.08551958633870783	-0.10237603916489323
26	224.6	0.005334570327249821	0.0011752355387670832	0.19136371779023925	0.04215849228360014	35.872376977152854	0.35	25	0	0	4	5.418144268485321	2.715214990641698	-0.10240170600506467	1213.613268917977	1149.036382065997	1114.581194321791	1077.7614500641205	1113.5879627833583	1065.644686526289	1024.393026512498	1065.2820105291712	1047.2847850093583	0.449801979429032	0.7462462459762337	-0.08547225765995346	-0.10240170600506467
27	230.5	0.010979351650121316	0.0014182442541823548	0.39385543772059545	0.050875792061869034	35.872376645869025	0.35	26	0	0	4	5.418276342750687	2.7151621144100773	-0.10242685805908416	1213.613321736018	1149.0364582328768	1114.5702526036775	1077.7617911291486	1113.5769834317082	1065.6492553962069	1024.3931464132827	1065.286562349635	1047.28483788559	0.4496892198357269	0.7424079799541886	-0.084232668923302	-0.10242685805908416
28	236.2	0.04784733360361315	0.0020569064176925167	1.716397781143946	0.07378613070889237	35.872381005873514	0.35	27	0	0	4	5.417971111073257	2.715858014550122	-0.10216378016196345	1213.6130906846454	1149.036160435477	1114.6179972549644	1077.7601663795217	1113.6248307653118	1065.6534644831981	1024.3917594582208	1065.2908179963883	1047.2841419854499	0.44969641602101446	0.7592277497288517	-0.08228236847189539	-0.10216378016196345
29	241.9	0.005289613930472115	0.0006929521146048501	0.1897510430539715	0.02485784185028221	35.87238039450558	0.35	28	0	0	4	5.417960261411281	2.715760434179174	-0.10219297336290051	1213.613087811349	1149.0361499702744	1114.618613893776	1077.7601767063795	1113.625400645842	1065.648190646145	1024.3919333791118	1065.2855283824579	1047.2842395658208	0.4496988182370077	0.759437294442876	-0.08388140940845232	-0.10219297336290051
30	247.4	0.0053430975399351155	0.0006811797688897059	0.1916696250086197	0.024435539477000383	35.87237993992287	0.35	29	0	0	4	5.417995259492955	2.715687878273002	-0.10222096291835205	1213.6131135605576	1149.0361841275082	1114.613289748723	1077.7603568886632	1113.6200575483022	1065.6479204775012	1024.39208105894	1065.2852502500843	1047.284312121727	0.44969781138122045	0.7575532869386188	-0.08403906089355741	-0.10222096291835205
31	252.6	0.00714361228801863	0.0003687414684918622	0.25625837090779474	0.013227633890539903	35.872379487559115	0.35	30	0	0	4	5.418045102285305	2.715615676496782	-0.10225077426650954	1213.6131480430154	1149.0362321849184	1114.6061520028138	1077.760590525081	1113.6129139360141	1065.6488799871881	1024.3922312869254	1065.2862059233867	1047.2843843235032	0.4496932754974168	0.7550410173069322	-0.08384788133058245	-0.10225077426650954
32	257.9	0.0018660817963791487	4.721992877421144E-05	0.0669407950658395	0.0016938912223630038	35.87237986873247	0.35	31	0	0	4	5.41802066513992	2.7156765155473295	-0.10223207951123228	1213.6131392826271	1149.036207804649	1114.6080065857966	1077.7605183089127	1113.6147800178105	1065.6506461843396	1024.392120029106	1065.287976302834	1047.2843234844527	0.44969464405908116	0.755701268615228	-0.08328153587738257	-0.10223207951123228
33	263.1	2.8808734896301758E-05	8.17459781501384E-05	0.0010334378810966853	0.0029324227791238332	35.87237984648017	0.35	31	1	0	3	5.418042557976605	2.7156729638570596	-0.10222934179927362	1213.6131389649008	1149.036231782321	1114.607989657895	1077.76051890255	1113.6147512090756	1065.6506317406083	1024.392120939534	1065.2879575538789	1047.284327036143	0.44969970335598974	0.7556906944786858	-0.08328798957406393	-0.10222934179927362
34	268.7	2.4222737692980445E-05	7.006278747212491E-05	0.0008689272474383865	0.002513318925286325	35.87237984623822	0.35	31	2	0	3	5.418053026154439	2.7156729252369587	-0.10223203067247155	1213.6131388747629	1149.0362432337506	1114.6079691125017	1077.7605196148866	1113.614726986338	1065.6506161346056	1024.392121980431	1065.2879406146662	1047.284327074763	0.4497020785727881	0.7556920814260081	-0.08328981448527263	-0.10223203067247155
35	273.9	0.0007604866125348053	6.608620515180519E-05	0.02728046453938022	0.00237066944568142	35.87237972335991	0.35	32	2	0	4	5.418065306861308	2.7156533126521936	-0.1022378614523051	1213.6131398755874	1149.0362564981046	1114.6077217541583	1077.76053214089	1113.6144762341323	1065.6498567719268	1024.3921554934263	1065.2871801280537	1047.2843466873478	0.44970451716159693	0.755600111172646	-0.08352481443327846	-0.1022378614523051
36	279.2	0.0003038407833173551	5.369618020267808E-05	0.010899491946414897	0.001926209764477339	35.87237969641032	0.35	33	2	0	4	5.418066169995427	2.7156490112147367	-0.10223949333574926	1213.6131413659014	1149.0362572025049	1114.607417913375	1077.7605423902025	1113.614173097526	1065.6498437480373	1024.39216381181	1065.2871672975405	1047.2843509887853	0.44970418254009026	0.7554969613613352	-0.08353440509089753	-0.10223949333574926
37	284.4	0.00018354992653257796	3.6334278320282465E-05	0.006584372650378565	0.001303397026426206	35.87237965584212	0.35	34	2	0	4	5.41806582945128	2.7156425361420133	-0.10224154650790009	1213.613142268949	1149.0362566868894	1114.6072369925673	1077.760549489059	1113.6139933539143	1065.6496601981107	1024.3921750519862	1065.2869841734844	1047.284357463858	0.449703795122949	0.7554291141742521	-0.08359290093823572	-0.10224154650790009
38	289.8	1.1403870757931145E-05	2.541402068345633E-05	0.00040908398135068786	0.0009116613984849421	35.872379653739834	0.35	35	2	0	4	5.418065872229363	2.715642200594175	-0.102239466754358	1213.6131423246713	1149.0362567272732	1114.6072255886966	1077.7605499229524	1113.6139819687348	1065.6496510521156	1024.3921756741374	1065.2869750337584	1047.2843577994058	0.4497038000235336	0.7554289610440211	-0.08359998187447593	-0.102239466754358
39	295.2	0.000145819400131586	2.4771166408754652E-05	0.005230888880343887	0.0008886006855313855	35.87237963963357	0.35	36	2	0	4	5.41806654390416	2.715639949097522	-0.1022424256128656	1213.6131430351782	1149.036257346025	1114.6070797692964	1077.7605548994773	1113.6138363992663	1065.6496343633776	1024.3921800388355	1065.286958408429	1047.2843600509025	0.4497036902266866	0.7553689798080466	-0.08360709779681434	-0.1022424256128656
40	300.8	9.469330234423978E-05	1.6702913853805512E-05	0.0033968740922041976	0.0005991732670601268	35.87237965210567	0.35	37	2	0	4	5.418066078967286	2.7156419397692844	-0.10224176955667295	1213.6131425743495	1149.0362569098188	1114.6071744625988	1077.7605515436412	1113.6139310102883	1065.6496668339976	1024.3921764292334	1065.2869908624195	1047.2843580602307	0.44970373936335983	0.7554109757406194	-0.08359407336928165	-0.10224176955667295
41	306.3	5.706232855118287E-05	2.196769742113247E-05	0.002046961513869899	0.0007880335820691819	35.87237965646367	0.35	38	2	0	4	5.418065821375421	2.715642635348331	-0.10223911491729157	1213.6131422961523	1149.0362566750437	1114.6072315249273	1077.760549656799	1113.6139880450578	1065.6496624523918	1024.3921751106263	1065.2869864838226	1047.2843573646517	0.449703790550972	0.7554310648867998	-0.08359402488236245	-0.10223911491729157
42	311.6	1.6414822084698244E-05	2.521251940379443E-05	0.0005888387298324258	0.0009044330681747148	35.872379657488715	0.35	39	2	0	4	5.418066757759107	2.7156427989484655	-0.10224053171297802	1213.6131423760753	1149.0362567503548	1114.6072151101052	1077.7605501288629	1113.6139716668727	1065.6496760353787	1024.392175048763	1065.2870000740377	1047.2843572010515	0.44970011497144063	0.7554167294276255	-0.0835869793640818	-0.10224053171297802
43	317.1	3.2082507459563203E-06	2.4436443482045433E-05	0.00011508758879518766	0.0008765933780653371	35.87237965743297	0.35	40	2	0	4	5.418065858656291	2.7156427900386007	-0.10224130093367667	1213.6131423609863	1149.0362567039547	1114.607218318356	1077.7605500317347	1113.613974867789	1065.6496743039615	1024.392175028181	1065.2869983409582	1047.2843572099614	0.44970376791295696	0.7554264273616643	-0.08358747847187975	-0.10224130093367667
44	322.9	1.2257071375643136E-06	2.4593315174570307E-05	4.396903178757931E-05	0.0008822207389780331	35.87237965747118	0.35	41	2	0	4	5.418011160588776	2.715642796149723	-0.10224145356993634	1213.61314236703	1149.0362567045047	1114.6072170926489	1077.7605500678242	1113.613973645949	1065.6496751753184	1024.3921750287006	1065.2869992132864	1047.2843572038503	0.44981571208702903	0.7554174922270777	-0.08359041156515082	-0.10224145356993634
45	328.1	9.745672514327453E-06	2.4530292648705654E-05	0.000349600464431484	0.0008799599709532748	35.87237965543416	0.35	42	2	0	4	5.418065895047221	2.7156424710392457	-0.10224085920859828	1213.613142414692	1149.036256735314	1114.6072073469763	1077.7605504482128	1113.6139639089145	1065.6496657092146	1024.392175619633	1065.286989750306	1047.2843575289608	0.4497037581425937	0.7554186818539146	-0.08359163219242276	-0.10224085920859828
46	333.5	5.881599690837902E-06	2.4060136638581753E-05	0.00021098697708836673	0.0008630943560499665	35.87237965498281	0.35	43	2	0	4	5.418066717285001	2.715642399000899	-0.1022416813570879	1213.613142412434	1149.0362566989681	1114.6072079293692	1077.760550462453	1113.6139644953628	1065.6496598276149	1024.3921758156664	1065.2869838715533	1047.284357600999	0.449700088694589	0.7554227511967564	-0.08359522171193105	-0.1022416813570879
47	338.2	1.3284688748171902E-05	2.418041140117566E-05	0.00047655339836133573	0.0008674088979759618	35.87237965412731	0.35	44	2	0	4	5.418065937475603	2.7156422624379957	-0.10224172133363914	1213.6131424768178	1149.0362567754566	1114.6071946446805	1077.7605508916974	1113.6139512242025	1065.649662543147	1024.3921760615344	1065.28698658794	1047.284357737562	0.4497037662821076	0.7554094653406211	-0.0835913866623287	-0.10224172133363914
48	343.6	8.210656687879236E-06	2.3281358153326437E-05	0.0002945357939255813	0.0008351577185633102	35.8723796551355	0.35	45	2	0	4	5.418065902902526	2.7156424233594407	-0.10223926614122794	1213.6131424367932	1149.0362567411348	1114.6072028553372	1077.760550607739	1113.6139594288325	1065.6496641112528	1024.3921757932296	1065.2869881557185	1047.2843575766406	0.449703757201988	0.7554123716249969	-0.08359398482144641	-0.10223926614122794
49	349.5	1.126197048506583E-06	2.3859815883042756E-05	4.039936809096503E-05	0.0008559083738675448	35.87237965552959	0.35	46	2	0	4	5.418010392861561	2.715642486259867	-0.10224169072272792	1213.6131424330351	1149.0362567176917	1114.607203697798	1077.7605505861582	1113.6139602720993	1065.6496629850558	1024.3921758123795	1065.2869870303407	1047.2843575137401	0.4498183582238737	0.7554212605601999	-0.08359406643480444	-0.10224169072272792
50	355.3	5.064841843704926E-07	2.395059664195287E-05	1.8168792951225863E-05	0.0008591648957149921	35.872379655463064	0.35	47	2	0	4	5.418065869587508	2.7156424756308297	-0.10224170078172955	1213.6131424350083	1149.0362567042016	1114.6072033468927	1077.7605506009447	1113.6139599214905	1065.6496624785716	1024.3921758397898	1065.286986524025	1047.2843575243692	0.44970375324611533	0.755412538932903	-0.08359448556164153	-0.10224170078172955
51	361.1	9.598304586688755E-07	2.394453804299701E-05	3.4431402618384246E-05	0.0008589475593564874	35.8723796556059	0.35	48	2	0	4	5.418065862717867	2.715642498440502	-0.10224171099578296	1213.613142439882	1149.0362566960953	1114.6072023870622	1077.7605506330378	1113.6139589635754	1065.649662513587	1024.392175863694	1065.286986559388	1047.2843575015595	0.44970374363586674	0.7554122127860525	-0.0835926756470383	-0.10224171099578296
52	367.8	5.2786533615289954E-06	2.3849634317230084E-05	0.00018935785745570748	0.0008555431368777514	35.872379655719385	0.35	49	2	0	4	5.41806587466931	2.715642516540129	-0.10223927656342417	1213.6131424657888	1149.0362567067432	1114.6071971084089	1077.7605508004808	1113.6139536899557	1065.64966417909	1024.3921759409882	1065.286988224615	1047.2843574834599	0.4497037516135943	0.7554189465757191	-0.08359404472158855	-0.10223927656342417
53	374.2	7.723273256488028E-06	2.3381750679618563E-05	0.0002770521904433787	0.0008387590374000284	35.87237965594933	0.35	50	2	0	4	5.418065873983551	2.7156425532341473	-0.10224178934017865	1213.6131425040749	1149.0362567014013	1114.6071893851356	1077.760551059128	1113.6139459696574	1065.6496642798304	1024.3921761383513	1065.2869883253068	1047.2843574467659	0.4497037425995687	0.7554076275403087	-0.08359645197981778	-0.10224178934017865
54	380.8	7.5459897743712645E-06	2.3061699039317318E-05	0.0002706926100671774	0.0008272780234527499	35.8723796560845	0.35	51	2	0	4	5.418066731544286	2.7156425748335096	-0.10223942256141937	1213.61314254116	1149.0362567134036	1114.6071818391458	1077.7605513043352	1113.6139384280582	1065.649665657291	1024.3921762849527	1065.2869897022338	1047.2843574251665	0.44970003272373765	0.7554135706133325	-0.08359380648530916	-0.10223942256141937
55	387.1	2.6460132403371972E-05	2.251044315926265E-05	0.0009491879153530659	0.0008075031632604876	35.87237965718211	0.35	52	2	0	4	5.418065913055216	2.715642750026973	-0.10224201325925776	1213.6131426719862	1149.0362567140012	1114.6071553790134	1077.7605521727705	1113.6139119822014	1065.6496690532765	1024.3921768515872	1065.2869930970508	1047.284357249973	0.44970367253366716	0.7554042560965424	-0.08359314042320797	-0.10224201325925776
56	393.6	3.1212825888360385E-06	2.086641939058609E-05	0.00011196783404278128	0.0007485281184564178	35.87237965676647	0.35	53	2	0	4	5.4180659305463905	2.7156426836745595	-0.10224059621156245	1213.6131426561703	1149.0362567361915	1114.607158500296	1077.7605520677234	1113.6139150986114	1065.6496690722072	1024.3921767691836	1065.2869931153969	1047.2843573163254	0.4497036852190856	0.7553967731649378	-0.08359541916909938	-0.10224059621156245
57	399.0	4.7482662466791226E-05	2.123600188497221E-05	0.001703316095056156	0.0007617859219797124	35.87237965536229	0.35	54	2	0	4	5.418065857717465	2.7156424595516455	-0.10223926727512984	1213.613142422143	1149.036256693895	1114.6072059829585	1077.7605505137303	1113.6139625601431	1065.6496622706845	1024.3921757787205	1065.2869863172932	1047.2843575404484	0.44970375159572246	0.7554134665548959	-0.08359269977924963	-0.10223926727512984
58	404.6	0.00016313368746523338	2.4009423214010894E-05	0.005851993572090609	0.0008612751449509067	35.8723796600121	0.35	55	2	0	4	5.418066152117262	2.715643201699095	-0.102240301025891	1213.6131432253674	1149.0362568882983	1114.607042849271	1077.760555849267	1113.6137994982582	1065.649686150489	1024.3921791625673	1065.2870101845424	1047.284356798301	0.4497035402054649	0.7553624030928975	-0.08358769291635319	-0.102240301025891
59	410.0	0.00028072966301806446	1.4452070217885193E-05	0.010070441055594783	0.0005184301498312436	35.872379667077674	0.35	56	2	0	4	5.418013768734454	2.715644329447514	-0.10224437528671675	1213.6131446015638	1149.0362575840616	1114.606762119608	1077.76056501841	1113.6135188882984	1065.6497287038796	1024.392184928352	1065.2870527142081	1047.2843556705525	0.44981190175960045	0.755265839611538	-0.08357723323652373	-0.10224437528671675
60	415.5	0.00029996869648130087	1.6814392438391224E-06	0.01076059096601641	6.031722692867255E-05	35.8723796590795	0.35	57	2	0	4	5.418066145811963	2.7156430528655164	-0.10224119328545851	1213.613143130145	1149.0362568956284	1114.6070620883045	1077.7605552193174	1113.6138187286194	1065.6496833963026	1024.392178760544	1065.2870074313444	1047.2843569471345	0.4497035666861568	0.7553714206317291	-0.08358975913882989	-0.10224119328545851
61	421.1	9.811024551709124E-05	1.559188376631937E-05	0.0035194479753192735	0.0005593179740155345	35.8723796558655	0.35	58	2	0	4	5.418066009431868	2.7156425398670763	-0.10224056239680018	1213.6131426463041	1149.0362568238877	1114.60716019855	1077.7605520109166	1113.6139167960168	1065.6496688595544	1024.3921767308557	1065.2869929022781	1047.284357460133	0.4497037069112331	0.7553973685668749	-0.08359301708613909	-0.10224056239680018
62	426.5	1.0677353657229105E-05	2.1335283236112446E-05	0.00038302208411364016	0.0007653473803143929	35.87237965601289	0.35	59	2	0	4	5.418011345146169	2.7156425633920662	-0.10223980637800897	1213.6131426985921	1149.036256853484	1114.6071495211963	1077.7605523604263	1113.613906123856	1065.6496703347166	1024.392176955148	1065.2869943766582	1047.284357436608	0.4498156389358666	0.7553935896309731	-0.08359067242634045	-0.10223980637800897
63	432.1	5.7401141475565964E-06	2.0651507156799198E-05	0.00020591155397236424	0.0007408187052060704	35.87237965642459	0.35	60	2	0	4	5.418065971757869	2.715642629111244	-0.10224108520815867	1213.613142728344	1149.0362567702161	1114.6071437810822	1077.7605525504816	1113.6139003856083	1065.6496709558896	1024.392177083334	1065.2869949974831	1047.2843573708888	0.4497036720461154	0.7553994371280309	-0.08359273359857154	-0.10224108520815867
