# G2 耦合逐轮探针　2026-09-23 10:19:51　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6i　args mode=long max=80
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 80，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
# 结束：Converged False　CoupleRounds 80　单元 4164　耗时 519 s
# 判据：最热铂 5.4180648405358625　管根 2.7156418490560554　净流入 -0.10223785388164891
# 放大：闭式 32.61125422867033　雅可比 34.621448983219494　用 35.87237965153737　认证误差 NaN
# 注：★ 停机放大口径：max(闭式 32.6 × 1.1, 实测雅可比 34.6) = 35.9；量雅可比用时 20.9 s
# 注：★ Anderson：接受 77／丢弃 2／重启 0，末端深度 4
# 注：★ 外层耦合 80 轮未收敛（**剩余误差估计 0.0 K**，步长 0.0 K，真残差 0.000 K，**容差 0.000 K**，ω=0.35）—— 本次结果的每个数都不可用。
# 离线判停（生产口径 max(δ,真残差)×放大 < 0.025）：第 33 轮；记录到第 80 轮
轮	δ K	真残差 K	δ/δ前	max(δ,res)×amp	放大	ω	AA接受/丢弃/重启/深度	ΔI 各段 A（相对上一轮）	最热铂	管根	净流入	|最热铂−末轮|	|管根−末轮|
1	6.61e+01	0.00e+00	nan	2370.7019	35.87	0.35	0/0/0/0		34.8202	30.7911	-0.1010	29.4021	28.0755
2	2.97e+01	6.61e+01	0.449	2370.6661	35.87	0.35	1/0/0/1	-0.1372,+0.1132,+0.0688	6.8608	2.7900	-0.1057	1.4428	0.0743
3	5.81e+00	6.89e+00	0.196	247.1564	35.87	0.35	2/0/0/2	+0.0277,-0.0218,-0.0132	12.3067	7.5746	-0.1025	6.8886	4.8590
4	7.14e+00	1.84e+01	1.228	660.1087	35.87	0.35	3/0/0/3	-0.0305,+0.0302,+0.0181	5.6209	2.7284	-0.0972	0.2029	0.0128
5	1.02e+00	3.86e+00	0.143	138.6192	35.87	0.35	4/0/0/4	-0.0047,+0.0043,+0.0025	5.4144	2.7261	-0.1588	0.0036	0.0105
6	8.58e-01	1.83e+00	0.841	65.5605	35.87	0.35	5/0/0/4	-0.0038,+0.0039,+0.0022	5.4110	2.7250	-0.1494	0.0071	0.0094
7	6.23e-02	1.38e-01	0.073	4.9635	35.87	0.35	6/0/0/4	-0.0002,+0.0007,+0.0004	5.4125	2.7258	-0.1440	0.0056	0.0101
8	2.28e-02	6.11e-02	0.367	2.1911	35.87	0.35	7/0/0/4	+0.0001,+0.0006,+0.0004	5.4126	2.7256	-0.1435	0.0055	0.0100
9	1.90e-02	6.44e-02	0.830	2.3101	35.87	0.35	8/0/0/4	-0.0001,-0.0006,-0.0003	5.4124	2.7257	-0.1441	0.0056	0.0101
10	2.66e-02	6.14e-02	1.400	2.2010	35.87	0.35	9/0/0/4	+0.0001,+0.0007,+0.0004	5.4130	2.7258	-0.1438	0.0051	0.0102
11	3.28e-03	7.44e-02	0.124	2.6695	35.87	0.35	10/0/0/4	+0.0000,+0.0001,+0.0001	5.4130	2.7257	-0.1437	0.0051	0.0101
12	7.90e-02	7.41e-02	24.056	2.8324	35.87	0.35	11/0/0/4	+0.0003,+0.0024,+0.0015	5.4133	2.7249	-0.1404	0.0047	0.0092
13	1.88e-01	6.10e-02	2.381	6.7446	35.87	0.35	12/0/0/4	+0.0009,+0.0060,+0.0036	5.4141	2.7230	-0.1329	0.0040	0.0074
14	1.79e-01	5.79e-02	0.950	6.4106	35.87	0.35	13/0/0/4	+0.0009,+0.0058,+0.0035	5.4148	2.7214	-0.1262	0.0033	0.0057
15	8.06e-02	4.49e-02	0.451	2.8902	35.87	0.35	14/0/0/4	-0.0004,-0.0026,-0.0016	5.4144	2.7221	-0.1293	0.0036	0.0065
16	5.90e-01	5.08e-02	7.321	21.1592	35.87	0.35	15/0/0/4	+0.0029,+0.0191,+0.0115	5.4170	2.7167	-0.1067	0.0011	0.0010
17	2.61e-01	1.18e-02	0.443	9.3695	35.87	0.35	16/0/0/4	+0.0013,+0.0085,+0.0050	5.4183	2.7142	-0.1027	0.0002	0.0015
18	7.42e-02	3.32e-03	0.284	2.6610	35.87	0.35	17/0/0/4	-0.0004,-0.0024,-0.0015	5.4180	2.7149	-0.1025	0.0001	0.0007
19	3.21e-02	2.78e-03	0.433	1.1533	35.87	0.35	18/0/0/4	-0.0002,-0.0010,-0.0006	5.4178	2.7152	-0.1023	0.0003	0.0004
20	7.53e-02	3.36e-03	2.344	2.7028	35.87	0.35	19/0/0/4	+0.0004,+0.0024,+0.0014	5.4182	2.7146	-0.1026	0.0001	0.0011
21	1.71e-02	2.20e-03	0.227	0.6123	35.87	0.35	20/0/0/4	+0.0001,+0.0006,+0.0005	5.4182	2.7143	-0.1027	0.0002	0.0013
22	1.82e-02	2.35e-03	1.064	0.6517	35.87	0.35	21/0/0/4	-0.0001,-0.0006,-0.0003	5.4182	2.7145	-0.1026	0.0001	0.0012
23	6.76e-03	2.48e-03	0.372	0.2427	35.87	0.35	22/0/0/4	+0.0000,+0.0002,-0.0001	5.4182	2.7145	-0.1026	0.0001	0.0011
24	1.83e-02	2.16e-03	2.702	0.6557	35.87	0.35	23/0/0/4	+0.0000,-0.0001,-0.0006	5.4182	2.7149	-0.1025	0.0001	0.0008
25	1.67e-02	1.55e-03	0.911	0.5973	35.87	0.35	24/0/0/4	-0.0000,-0.0003,-0.0008	5.4182	2.7153	-0.1024	0.0001	0.0004
26	5.33e-03	1.18e-03	0.320	0.1914	35.87	0.35	25/0/0/4	+0.0000,+0.0002,+0.0001	5.4181	2.7152	-0.1024	0.0001	0.0004
27	1.10e-02	1.42e-03	2.058	0.3939	35.87	0.35	26/0/0/4	+0.0001,+0.0003,+0.0001	5.4183	2.7152	-0.1024	0.0002	0.0005
28	4.78e-02	2.06e-03	4.358	1.7164	35.87	0.35	27/0/0/4	-0.0002,-0.0016,-0.0014	5.4180	2.7159	-0.1022	0.0001	0.0002
29	5.29e-03	6.93e-04	0.111	0.1898	35.87	0.35	28/0/0/4	-0.0000,+0.0000,+0.0002	5.4180	2.7158	-0.1022	0.0001	0.0001
30	5.34e-03	6.81e-04	1.010	0.1917	35.87	0.35	29/0/0/4	+0.0000,+0.0002,+0.0001	5.4180	2.7157	-0.1022	0.0001	0.0000
31	7.14e-03	3.69e-04	1.337	0.2563	35.87	0.35	30/0/0/4	+0.0000,+0.0002,+0.0002	5.4180	2.7156	-0.1023	0.0000	0.0000
32	1.87e-03	4.72e-05	0.261	0.0669	35.87	0.35	31/0/0/4	-0.0000,-0.0001,-0.0001	5.4180	2.7157	-0.1022	0.0000	0.0000
33	2.88e-05	8.17e-05	0.015	0.0029 ←停	35.87	0.35	31/1/0/3	-0.0000,+0.0000,+0.0000	5.4180	2.7157	-0.1022	0.0000	0.0000
34	2.42e-05	7.01e-05	0.841	0.0025	35.87	0.35	31/2/0/3	-0.0000,+0.0000,+0.0000	5.4181	2.7157	-0.1022	0.0000	0.0000
35	7.60e-04	6.61e-05	31.396	0.0273	35.87	0.35	32/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7157	-0.1022	0.0000	0.0000
36	3.04e-04	5.37e-05	0.400	0.0109	35.87	0.35	33/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
37	1.84e-04	3.63e-05	0.604	0.0066	35.87	0.35	34/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
38	1.14e-05	2.54e-05	0.062	0.0009	35.87	0.35	35/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
39	1.46e-04	2.48e-05	12.787	0.0052	35.87	0.35	36/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
40	9.47e-05	1.67e-05	0.649	0.0034	35.87	0.35	37/2/0/4	-0.0000,-0.0000,-0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
41	5.71e-05	2.20e-05	0.603	0.0020	35.87	0.35	38/2/0/4	-0.0000,-0.0000,-0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
42	1.64e-05	2.52e-05	0.288	0.0009	35.87	0.35	39/2/0/4	+0.0000,+0.0000,-0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
43	3.21e-06	2.44e-05	0.195	0.0009	35.87	0.35	40/2/0/4	-0.0000,-0.0000,-0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
44	1.23e-06	2.46e-05	0.382	0.0009	35.87	0.35	41/2/0/4	+0.0000,+0.0000,+0.0000	5.4180	2.7156	-0.1022	0.0001	0.0000
45	9.75e-06	2.45e-05	7.951	0.0009	35.87	0.35	42/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
46	5.88e-06	2.41e-05	0.604	0.0009	35.87	0.35	43/2/0/4	-0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
47	1.33e-05	2.42e-05	2.259	0.0009	35.87	0.35	44/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
48	8.21e-06	2.33e-05	0.618	0.0008	35.87	0.35	45/2/0/4	-0.0000,-0.0000,-0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
49	1.13e-06	2.39e-05	0.137	0.0009	35.87	0.35	46/2/0/4	-0.0000,-0.0000,+0.0000	5.4180	2.7156	-0.1022	0.0001	0.0000
50	5.06e-07	2.40e-05	0.450	0.0009	35.87	0.35	47/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
51	9.60e-07	2.39e-05	1.895	0.0009	35.87	0.35	48/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
52	5.28e-06	2.38e-05	5.500	0.0009	35.87	0.35	49/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
53	7.72e-06	2.34e-05	1.463	0.0008	35.87	0.35	50/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
54	7.55e-06	2.31e-05	0.977	0.0008	35.87	0.35	51/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
55	2.65e-05	2.25e-05	3.507	0.0009	35.87	0.35	52/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
56	3.12e-06	2.09e-05	0.118	0.0007	35.87	0.35	53/2/0/4	-0.0000,-0.0000,-0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
57	4.75e-05	2.12e-05	15.213	0.0017	35.87	0.35	54/2/0/4	-0.0000,-0.0000,-0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
58	1.63e-04	2.40e-05	3.436	0.0059	35.87	0.35	55/2/0/4	+0.0000,+0.0000,+0.0000	5.4181	2.7156	-0.1022	0.0000	0.0000
59	2.81e-04	1.45e-05	1.721	0.0101	35.87	0.35	56/2/0/4	+0.0000,+0.0000,+0.0000	5.4180	2.7156	-0.1022	0.0001	0.0000
