# G2 耦合逐轮探针　2026-09-23 10:33:35　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6　args mode=long max=130 secfloor=1
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 130，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
1	69.1	66.08579603241424	0	2370.7212445235405	0	35.87338561164841	0.35	0	0	0	0	34.82041602500976	30.791368912786083	-0.10116667681734745	1213.7559726084332	1149.5911153544316	1083.9144247126703	1077.5914909277196	1147.7066679229174	1053.6145792105817	1024.2927937578577	1076.9529439379633	1047.1238046587837	0.5194787826127926	12.248067388058079	3.3315814583533747	-0.10116667681734745
2	73.7	29.659548068119648	66.08579603241424	1063.972247743986	2370.685243991855	35.87284085719515	0.35	1	0	0	1	6.852818925687416	2.789253238976471	-0.10589808609016568	1213.619174291573	1149.2227062877796	1112.820566235301	1077.7057868987658	1118.0471198547978	1064.2236742786272	1024.3619730616538	1066.136685537269	1047.2107467610235	0.4862755708808085	1.9477830349272152	0.08021411357181492	-0.10589808609016568
3	78.6	5.813934093279158	6.8726189967223945	208.56244491291142	246.54050044500895	35.872860195303424	0.35	2	0	0	2	12.300111246129973	7.567924280652278	-0.10224100416070867	1213.6459974909576	1149.24890935093	1107.1378693448041	1077.682408170624	1123.861053948077	1062.1453384868805	1024.3465998762945	1068.2642218160822	1047.2076603574667	0.4833978465163433	3.9489317889492597	0.7183816290975613	-0.10224100416070867
4	83.1	7.0070447850521305	18.387794883067272	251.36003312666898	659.6156971615243	35.87247417954086	0.35	3	0	0	3	5.735129770957428	2.7307293902088077	-0.09719463128780748	1213.6164919716343	1149.041044456718	1113.8884110182014	1077.7135798172126	1116.8540091630248	1064.657871597486	1024.364535262756	1065.7437552839317	1047.2692706097912	0.4496433958867406	1.536767945085905	-0.03829460414779759	-0.09719463128780748
5	87.7	1.1752948553141778	4.111066218518545	42.16070801989505	147.47402467194613	35.87245177604791	0.35	4	0	0	4	5.4135467261739905	2.7271536005400776	-0.1623359970265334	1213.6111273317574	1149.0316381947227	1114.9994800367126	1077.7187750919034	1115.6787143077106	1065.0804646962756	1024.367097459377	1065.3299076083003	1047.27284639946	0.44938154735216024	1.1335493200251197	-0.1623359970265334	-0.09731284056999934
6	92.3	0.8283172998178543	1.7611033994646732	29.713765031887586	63.175081119347425	35.87244288924256	0.35	5	0	0	4	5.411393392827904	2.725735188469571	-0.14887180471495698	1213.6084450118192	1149.029711045333	1115.7595175151441	1077.7213727274493	1114.8503970078928	1065.379589969149	1024.3696596593763	1065.0479889567598	1047.2742648115304	0.44982317438171815	1.1613110785172447	-0.14887180471495698	-0.09777748939239553
7	96.8	0.058241356210601225	0.13133838084127092	2.0892600382863944	4.711429273601974	35.87244827767425	0.35	6	0	0	4	5.413164439231423	2.7265952301281686	-0.14366663833085563	1213.6084450118192	1149.0316464680786	1115.7870154902716	1077.7213727271928	1114.7921556516822	1065.3972221495917	1024.3696596595937	1065.0342601007656	1047.2734047698718	0.4502223741105391	1.1707420587393913	-0.14366663833085563	-0.09791318249058442
8	101.4	0.02254398366744681	0.05994968622667329	0.8087077356379437	2.1505416130417614	35.8724415155475	0.35	7	0	0	4	5.413425724145554	2.725515934293753	-0.1440460934445526	1213.6084450118192	1149.0319901612108	1115.7644715066042	1077.7239703695404	1114.7744189078862	1065.400028467549	1024.3722218668104	1065.0388116452898	1047.2744840657062	0.4504019035209943	1.1623762939565567	-0.1440460934445526	-0.09843469289400818
9	105.8	0.003466915278295346	0.0638378785245095	0.12436672381146524	2.290020715784908	35.872443895604896	0.35	8	0	0	4	5.413779575441595	2.725895812771114	-0.14427880680354094	1213.6084450118192	1149.0323784691552	1115.7679384218825	1077.723970369505	1114.776435913321	1065.3992405904064	1024.3722218666858	1065.0374915137413	1047.2741041872289	0.4504852837248419	1.1635569229142761	-0.14427880680354094	-0.0984956902009214
10	110.2	0.012915717921941905	0.06674845722568534	0.46331847883500704	2.394430867358112	35.87245259110971	0.35	9	0	0	4	5.413759557419326	2.7272836925085358	-0.14378291284104738	1213.6084450118192	1149.0322968184432	1115.7808541398044	1077.7213727272392	1114.788253427299	1065.3968294496156	1024.3696596598375	1065.034691969826	1047.2727163074915	0.45035650190932636	1.168623783219256	-0.14378291284104738	-0.09802345616074777
11	114.7	0.00897623668970482	0.06617956552008764	0.3219996337573503	2.3740233904627077	35.87245355580515	0.35	10	0	0	4	5.413700829782329	2.7274376664449846	-0.14414494824587173	1213.6084450118192	1149.0322326401902	1115.7898303764941	1077.721372727162	1114.794752142196	1065.3955975585836	1024.369659659491	1065.0325522241092	1047.272562333555	0.45034326500907096	1.1717029395795744	-0.14414494824587173	-0.09804916714453384
12	119.2	0.009284668540658458	0.06654952661961033	0.3330638200879004	2.387294652889881	35.87245130285285	0.35	11	0	0	4	5.413684221886115	2.7270780753685813	-0.14344568393305632	1213.6084450118192	1149.032214491609	1115.7815491512251	1077.7213727272351	1114.7854674736554	1065.3979606325718	1024.3696596598606	1065.0345508882422	1047.2729219246314	0.450339527314902	1.168862269556325	-0.14344568393305632	-0.09799071011003198
13	124.0	0.03336606659559038	0.06705796722599189	1.1969221801942802	2.4055328218441634	35.872438747468784	0.35	12	0	0	4	5.413520057599044	2.725074123940203	-0.1423213368877928	1213.6084450118192	1149.0320350895836	1115.751747726537	1077.7239703696514	1114.7521014070599	1065.4058595116967	1024.3722218675134	1065.0411372077442	1047.2749258760598	0.45030251579928593	1.158003128191978	-0.1423213368877928	-0.09836277559834279
14	128.5	0.052005978057877655	0.06915467803264619	1.865582165515846	2.4807481527626556	35.87245611340359	0.35	13	0	0	4	5.413753653109097	2.7278458816483635	-0.14496805960236103	1213.6084450118192	1149.0323501408152	1115.796878181723	1077.7213727270964	1114.8041073851177	1065.392836748129	1024.3696596591608	1065.0306329819507	1047.2721541183516	0.450479440108181	1.1741253019027302	-0.14496805960236103	-0.09811641589099893
15	133.0	0.08213406673098689	0.06663515499212735	2.946351772618287	2.3903675398515083	35.872469121350726	0.35	14	0	0	4	5.41239654148626	2.729922063017284	-0.14975377496652587	1213.6057626918807	1149.0312931105163	1115.8770812724379	1077.7187750843696	1114.8862414518487	1065.3745214946844	1024.3696596563186	1065.0130411244281	1047.2700779369827	0.45110053162847397	1.2029588226928472	-0.14975377496652587	-0.09844883175647716
16	137.6	0.0404884141310049	0.07303611825273038	1.4524190265052914	2.619985248844894	35.8724602501304	0.35	15	0	0	4	5.413881901775312	2.7285061395916728	-0.14743650489365895	1213.6084450118192	1149.0324295821847	1115.8390869298082	1077.7213727267244	1114.8457530377177	1065.384455650973	1024.3696596573204	1065.0220366808835	1047.2714938604083	0.4503802201609567	1.1886062903432015	-0.14743650489365895	-0.09822243837586449
17	142.1	0.01365252455616428	0.06840498541691886	0.4897496809466925	2.453855303118493	35.872462923025076	0.35	16	0	0	4	5.412284755328756	2.728932756791437	-0.1483794708668965	1213.6057626918807	1149.0311709492034	1115.85194517995	1077.7213727267385	1114.8594055622739	1065.381262293628	1024.3696596571199	1065.019119932732	1047.2710672432086	0.4510753349718981	1.1937031694568587	-0.1483794708668965	-0.09829094693994549
18	146.7	0.03900721588502165	0.06988028849787042	1.39928535692617	2.506778866788946	35.87247449422507	0.35	17	0	0	4	5.412630134575238	2.7307796195914307	-0.15106222779260373	1213.6057626918807	1149.0315492466248	1115.8841619264945	1077.7187750843036	1114.898412778159	1065.3701011955259	1024.3696596559616	1065.010567292587	1047.2692203804086	0.45115602665844234	1.2053830359111792	-0.15106222779260373	-0.09858743041996021
19	151.2	0.1625487843425617	0.07843559460525285	5.831021923590792	2.8136763592722493	35.87244252348432	0.35	18	0	0	4	5.41342710521144	2.7256768098066004	-0.14192299496958072	1213.6084450118192	1149.0319932851835	1115.7298521821415	1077.7239703698447	1114.7358639938163	1065.4072231227922	1024.372221868416	1065.0445611866771	1047.2743231901934	0.45040583668701994	1.1505010878087965	-0.14192299496958072	-0.09845811131023517
20	155.9	0.16566169137308862	0.06252890507516895	5.942691646899541	2.2430653629095136	35.87245547020244	0.35	19	0	0	4	5.412571756256511	2.7277432217010755	-0.1490707745285587	1213.6057626918807	1149.03142387741	1115.8955138735146	1077.718775084205	1114.9009243744163	1065.3768391405415	1024.3696596554446	1065.0141297177374	1047.272256778299	0.45101189858074114	1.209285316456005	-0.1490707745285587	-0.09809779122080403
21	160.5	0.19355436859154906	0.0715988282734088	6.943271756345869	2.5684262554016204	35.872462124572394	0.35	20	0	0	4	5.412939238794706	2.72880531837518	-0.1554041624415067	1213.6057626918807	1149.031826402262	1116.0890682421061	1077.7135797981914	1115.0907182885223	1065.34722254287	1024.3645352341973	1064.9830926513212	1047.2711946816248	0.4510985844667541	1.2769649440667492	-0.1554041624415067	-0.09688566227663255
22	165.0	0.7496428190363531	0.08615012736458993	26.891494544442143	3.0904126888134975	35.87240998187708	0.35	21	0	0	4	5.412591600772885	2.7204828677556634	-0.12555536924372712	1213.6084450118192	1149.0310204657876	1115.3394254230698	1077.7369585840638	1114.3411629619509	1065.479066177236	1024.3799085041574	1065.114786465221	1047.2795171322443	0.4500932689001514	1.0134074143196496	-0.12555536924372712	-0.09970374841454872
23	169.6	0.0024202874069487734	0.045224687476775216	0.08682155858998392	1.6223188379220688	35.87241678021983	0.35	22	0	0	4	5.413091047338412	2.7215679470796204	-0.12627458894988142	1213.6084450118192	1149.0315662634375	1115.3377295043267	1077.7369585840752	1114.3429197972323	1065.4766458898291	1024.3799085042078	1065.113629019857	1047.2784320529204	0.4502058263535677	1.0128258396890215	-0.12627458894988142	-0.09987639029285172
24	174.2	0.10902819054672364	0.041548611896359944	3.911103787176132	1.4904487777418034	35.872408480447476	0.35	23	0	0	4	5.415297376580611	2.7202432248543573	-0.12158393771865691	1213.6111273317574	1149.0335513268644	1115.22870131378	1077.7395562270563	1114.2345386405746	1065.4966208432197	1024.3824707149552	1065.1338394062448	1047.2797567751456	0.449776140197639	0.974124925103093	-0.12158393771865691	-0.10035769031880187
25	178.8	0.027081864151796253	0.03487366224021571	0.9714915309153788	1.2510020480302084	35.87240248566651	0.35	24	0	0	4	5.421337787023049	2.719286400767942	-0.11751067041454802	1213.6111273317574	1149.0401523625874	1115.2016194496282	1077.7421538693952	1114.2083318839157	1065.5124722040443	1024.3824707153963	1065.1498240562382	1047.280713599232	0.4511376465005792	0.9642066016925043	-0.11751067041454802	-0.10020307737728876
26	183.4	0.5784132457811211	0.03297091073136471	20.74905591805436	1.1827448202891655	35.87237337560224	0.35	25	0	0	4	5.419326079058237	2.714640147429691	-0.10222760995975601	1213.613809651696	1149.0375279005284	1114.623206203847	1077.7603373695006	1113.630618355107	1065.608834367666	1024.3927195653946	1065.2463642094285	1047.2853598525703	0.4497572103442929	0.7607879107299395	-0.09572674957512434	-0.10222760995975601
27	188.0	0.0007739135451174661	0.0022996571431121993	0.027762117500780076	0.0824941651704763	35.87237576590844	0.35	25	1	0	3	5.418937929838876	2.7150216641150564	-0.10228854720348898	1213.613809651696	1149.0371643694684	1114.6231372910847	1077.7603373695047	1113.630089981478	1065.6096082812112	1024.3927195653964	1065.2470003714468	1047.284978335885	0.4497968419227597	0.7607556884875983	-0.09550050907211077	-0.10228854720348898
28	192.3	0.05208272883396603	0.0021309391613613116	1.868331157187079	0.07644184777516913	35.87237456668432	0.35	26	1	0	4	5.420201904450096	2.7148302562322897	-0.10225580411684101	1213.613809651696	1149.0384850162989	1114.674937079098	1077.7577397268778	1113.682172710312	1065.6016511113448	1024.3927195633137	1065.2391565327632	1047.2851697437677	0.449954637763067	0.7791540064093446	-0.09723663651237029	-0.10225580411684101
29	196.7	0.17776733478990536	0.004196367568738424	6.3769363774752374	0.15053366825784778	35.87237433138001	0.35	27	1	0	4	5.4179206681690175	2.7147926985790036	-0.10294459723364803	1213.613809651696	1149.035992051277	1114.4979416643305	1077.7655326549343	1113.504405375522	1065.6352493449995	1024.3952817769446	1065.2724654043814	1047.285207301421	0.4494404392292051	0.7165861381557254	-0.08974565560290237	-0.10294459723364803
30	201.4	0.08047632961029194	0.00636417111445553	2.886877301453354	0.2282979507372704	35.8723778213185	0.35	28	1	0	4	5.418690151881492	2.715349727797502	-0.10233921618969193	1213.613809651696	1149.0368329518283	1114.5780678762337	1077.762935012062	1113.5848817051324	1065.6203780196884	1024.3927195670476	1065.257694914655	1047.2846502722025	0.44961387568453715	0.7446733044374418	-0.09293267303791616	-0.10233921618969193
