# G2 耦合逐轮探针　2026-09-23 10:33:35　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6　args mode=long max=130 secfloor=1
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 130，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
# 结束：Converged False　CoupleRounds 130　单元 4164　耗时 666 s
# 判据：最热铂 5.418687512250472　管根 2.7151887489001183　净流入 -0.10231484850236974
# 放大：闭式 32.61125164794557　雅可比 34.62337058804575　用 35.872376812740136　认证误差 NaN
# 注：★ 停机放大口径：max(闭式 32.6 × 1.1, 实测雅可比 34.6) = 35.9；量雅可比用时 16.4 s
# 注：★ Anderson：接受 128／丢弃 1／重启 0，末端深度 4
# 注：★ 外层耦合 130 轮未收敛（**剩余误差估计 0.0 K**，步长 0.0 K，真残差 0.000 K，**容差 0.000 K**，ω=0.35）—— 本次结果的每个数都不可用。
# 离线判停（生产口径 max(δ,真残差)×放大 < 0.025）：第 98 轮；记录到第 130 轮
轮	δ K	真残差 K	δ/δ前	max(δ,res)×amp	放大	ω	AA接受/丢弃/重启/深度	ΔI 各段 A（相对上一轮）	最热铂	管根	净流入	|最热铂−末轮|	|管根−末轮|
1	6.61e+01	0.00e+00	nan	2370.7212	35.87	0.35	0/0/0/0		34.8204	30.7914	-0.1012	29.4017	28.0762
2	2.97e+01	6.61e+01	0.449	2370.6852	35.87	0.35	1/0/0/1	-0.1368,+0.1143,+0.0692	6.8528	2.7893	-0.1059	1.4341	0.0741
3	5.81e+00	6.87e+00	0.196	246.5405	35.87	0.35	2/0/0/2	+0.0268,-0.0234,-0.0154	12.3001	7.5679	-0.1022	6.8814	4.8527
4	7.01e+00	1.84e+01	1.205	659.6157	35.87	0.35	3/0/0/3	-0.0295,+0.0312,+0.0179	5.7351	2.7307	-0.0972	0.3164	0.0155
5	1.18e+00	4.11e+00	0.168	147.4740	35.87	0.35	4/0/0/4	-0.0054,+0.0052,+0.0026	5.4135	2.7272	-0.1623	0.0051	0.0120
6	8.28e-01	1.76e+00	0.705	63.1751	35.87	0.35	5/0/0/4	-0.0027,+0.0026,+0.0026	5.4114	2.7257	-0.1489	0.0073	0.0105
7	5.82e-02	1.31e-01	0.070	4.7114	35.87	0.35	6/0/0/4	+0.0000,-0.0000,+0.0000	5.4132	2.7266	-0.1437	0.0055	0.0114
8	2.25e-02	5.99e-02	0.387	2.1505	35.87	0.35	7/0/0/4	+0.0000,+0.0026,+0.0026	5.4134	2.7255	-0.1440	0.0053	0.0103
9	3.47e-03	6.38e-02	0.154	2.2900	35.87	0.35	8/0/0/4	+0.0000,-0.0000,-0.0000	5.4138	2.7259	-0.1443	0.0049	0.0107
10	1.29e-02	6.67e-02	3.725	2.3944	35.87	0.35	9/0/0/4	+0.0000,-0.0026,-0.0026	5.4138	2.7273	-0.1438	0.0049	0.0121
11	8.98e-03	6.62e-02	0.695	2.3740	35.87	0.35	10/0/0/4	+0.0000,-0.0000,-0.0000	5.4137	2.7274	-0.1441	0.0050	0.0122
12	9.28e-03	6.65e-02	1.034	2.3873	35.87	0.35	11/0/0/4	+0.0000,+0.0000,+0.0000	5.4137	2.7271	-0.1434	0.0050	0.0119
13	3.34e-02	6.71e-02	3.594	2.4055	35.87	0.35	12/0/0/4	+0.0000,+0.0026,+0.0026	5.4135	2.7251	-0.1423	0.0052	0.0099
14	5.20e-02	6.92e-02	1.559	2.4807	35.87	0.35	13/0/0/4	+0.0000,-0.0026,-0.0026	5.4138	2.7278	-0.1450	0.0049	0.0127
15	8.21e-02	6.66e-02	1.579	2.9464	35.87	0.35	14/0/0/4	-0.0027,-0.0026,-0.0000	5.4124	2.7299	-0.1498	0.0063	0.0147
16	4.05e-02	7.30e-02	0.493	2.6200	35.87	0.35	15/0/0/4	+0.0027,+0.0026,+0.0000	5.4139	2.7285	-0.1474	0.0048	0.0133
17	1.37e-02	6.84e-02	0.337	2.4539	35.87	0.35	16/0/0/4	-0.0027,+0.0000,-0.0000	5.4123	2.7289	-0.1484	0.0064	0.0137
18	3.90e-02	6.99e-02	2.857	2.5068	35.87	0.35	17/0/0/4	+0.0000,-0.0026,-0.0000	5.4126	2.7308	-0.1511	0.0061	0.0156
19	1.63e-01	7.84e-02	4.167	5.8310	35.87	0.35	18/0/0/4	+0.0027,+0.0052,+0.0026	5.4134	2.7257	-0.1419	0.0053	0.0105
20	1.66e-01	6.25e-02	1.019	5.9427	35.87	0.35	19/0/0/4	-0.0027,-0.0052,-0.0026	5.4126	2.7277	-0.1491	0.0061	0.0126
21	1.94e-01	7.16e-02	1.168	6.9433	35.87	0.35	20/0/0/4	+0.0000,-0.0052,-0.0051	5.4129	2.7288	-0.1554	0.0057	0.0136
22	7.50e-01	8.62e-02	3.873	26.8915	35.87	0.35	21/0/0/4	+0.0027,+0.0234,+0.0154	5.4126	2.7205	-0.1256	0.0061	0.0053
23	2.42e-03	4.52e-02	0.003	1.6223	35.87	0.35	22/0/0/4	+0.0000,+0.0000,+0.0000	5.4131	2.7216	-0.1263	0.0056	0.0064
24	1.09e-01	4.15e-02	45.048	3.9111	35.87	0.35	23/0/0/4	+0.0027,+0.0026,+0.0026	5.4153	2.7202	-0.1216	0.0034	0.0051
25	2.71e-02	3.49e-02	0.248	1.2510	35.87	0.35	24/0/0/4	+0.0000,+0.0026,+0.0000	5.4213	2.7193	-0.1175	0.0027	0.0041
26	5.78e-01	3.30e-02	21.358	20.7491	35.87	0.35	25/0/0/4	+0.0027,+0.0182,+0.0102	5.4193	2.7146	-0.1022	0.0006	0.0005
27	7.74e-04	2.30e-03	0.001	0.0825	35.87	0.35	25/1/0/3	+0.0000,+0.0000,+0.0000	5.4189	2.7150	-0.1023	0.0003	0.0002
28	5.21e-02	2.13e-03	67.298	1.8683	35.87	0.35	26/1/0/4	+0.0000,-0.0026,-0.0000	5.4202	2.7148	-0.1023	0.0015	0.0004
29	1.78e-01	4.20e-03	3.413	6.3769	35.87	0.35	27/1/0/4	+0.0000,+0.0078,+0.0026	5.4179	2.7148	-0.1029	0.0008	0.0004
30	8.05e-02	6.36e-03	0.453	2.8869	35.87	0.35	28/1/0/4	+0.0000,-0.0026,-0.0026	5.4187	2.7153	-0.1023	0.0000	0.0002
31	3.47e-02	1.66e-03	0.431	1.2433	35.87	0.35	29/1/0/4	+0.0000,+0.0000,+0.0026	5.4189	2.7143	-0.1029	0.0002	0.0009
32	2.03e-02	3.61e-03	0.586	0.7282	35.87	0.35	30/1/0/4	+0.0000,-0.0000,-0.0000	5.4191	2.7146	-0.1029	0.0004	0.0006
33	1.53e-02	2.45e-03	0.751	0.5472	35.87	0.35	31/1/0/4	+0.0000,-0.0026,-0.0026	5.4187	2.7157	-0.1024	0.0001	0.0005
34	4.67e-03	1.60e-03	0.306	0.1676	35.87	0.35	32/1/0/4	+0.0000,+0.0026,+0.0000	5.4187	2.7155	-0.1024	0.0000	0.0003
35	1.27e-02	1.85e-03	2.720	0.4559	35.87	0.35	33/1/0/4	+0.0000,-0.0026,-0.0000	5.4188	2.7156	-0.1024	0.0001	0.0005
36	1.34e-02	1.61e-03	1.056	0.4814	35.87	0.35	34/1/0/4	+0.0000,+0.0026,+0.0000	5.4188	2.7155	-0.1024	0.0001	0.0003
37	1.16e-02	1.91e-03	0.861	0.4145	35.87	0.35	35/1/0/4	+0.0000,+0.0000,+0.0026	5.4188	2.7143	-0.1029	0.0001	0.0009
