# G2 耦合逐轮探针　2026-09-23 10:18:16　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6　args mode=long max=120 segfine=1
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 120，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.0005 A　Picard 0.0001 K　Bvp 5E-05 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
1	79.6	66.08528818170316	0	2370.7031188756273	0	35.87338701402526	0.35	0	0	0	0	34.82017600457789	30.79114870725789	-0.10098354924991455	1213.7561402534293	1149.5909432595995	1083.9146449181985	1077.5919779856335	1147.7063952017788	1053.6146865952776	1024.291993068162	1076.953255529164	1047.1235808468764	0.5193908171967418	12.24781080728028	3.331745291620178	-0.10098354924991455
2	86.0	29.64936709623771	66.08528818170316	1063.607139719714	2370.6672763822153	35.87284464681467	0.35	1	0	0	1	6.862053343872731	2.7898580732901337	-0.10569391557962117	1213.619006646577	1149.2226648111741	1112.810854907967	1077.7049751357106	1118.0570281055411	1064.2202924094568	1024.36085209646	1066.1405209221834	1047.2101419267099	0.4863157951904316	1.9514295177323724	0.08180482451838564	-0.10569391557962117
3	92.0	5.81138644601856	6.892456404475979	208.47104027114185	247.2521092877967	35.872857915681635	0.35	2	0	0	2	12.307071879524074	7.575133351530667	-0.10239654179880878	1213.6465004259462	1149.2491440429003	1107.1306602739257	1077.6832199338592	1123.8684145515597	1062.1428502131203	1024.347400565738	1068.2671739829045	1047.2080241911547	0.4832889220815011	3.951153498827675	0.7188829468275117	-0.10239654179880878
4	99.0	7.12634120080952	18.402503332465585	255.63939565793913	660.1430801503461	35.87246083991876	0.35	3	0	0	3	5.630227689458707	2.7286002722721605	-0.09715567154318439	1213.6163243266383	1149.0388383727236	1113.9966575610615	1077.713417463658	1116.7420733507502	1064.698216287864	1024.3656562271992	1065.7035818627353	1047.2713997277278	0.44924084065213243	1.4984230435474915	-0.05038079528945656	-0.09715567154318439
5	105.1	1.0350680934857337	3.8844092425958934	37.13042330562236	139.3432571031573	35.872445049079396	0.35	4	0	0	4	5.414376621197334	2.7260799166947436	-0.15931407264817876	1213.6112949767535	1149.032518485621	1114.9721977866125	1077.7179633289825	1115.7070052572644	1065.070567683711	1024.3682184250804	1065.340362974854	1047.2739200833053	0.4495106612052792	1.1434087437150715	-0.15931407264817876	-0.09744258747817253
6	112.2	0.8545892888091657	1.8182985683856714	30.65620139801014	65.22680291467141	35.87243814011321	0.35	5	0	0	4	5.411126123763779	2.724977184724821	-0.14922239160011247	1213.6076067868385	1149.0295521066923	1115.7568611632378	1077.7218597854394	1114.8524159684553	1065.3791759716441	1024.3701400732011	1065.0492597415982	1047.2750228152752	0.4500526107264444	1.160487812712602	-0.14922239160011247	-0.09778318389786604
7	118.7	0.061557297962281154	0.13628375247731128	2.2082106968705455	4.888831218915059	35.87244356020325	0.35	6	0	0	4	5.412728712553417	2.7258422797558524	-0.14395460672245236	1213.6076067868385	1149.0313632102757	1115.7860009895544	1077.722509195708	1114.790858670493	1065.3977851223099	1024.3704603491892	1065.0346974164077	1047.2741577202441	0.4505381030860908	1.1703245401507394	-0.14395460672245236	-0.0980110603249003
8	124.5	0.02332149627977742	0.06132227114403577	0.8365990234618781	2.1997796170587067	35.87244203483253	0.35	7	0	0	4	5.412573432263571	2.7255988167989926	-0.14344915502524977	1213.6076067868385	1149.031133742747	1115.7626794932746	1077.723158606449	1114.7726246039488	1065.4005098672742	1024.3711009017204	1065.039286987592	1047.274401183201	0.4503788297292443	1.1621654634164906	-0.14344915502524977	-0.09814506917697136
9	130.9	0.017593956035170777	0.06450177569377047	0.6311381849478485	2.3138362717230923	35.87244299611678	0.35	8	0	0	4	5.412661078926703	2.725752246475622	-0.14394742422352233	1213.6076067868385	1149.0312285891687	1115.7802734493098	1077.7225091957566	1114.7882156794383	1065.3980701644489	1024.3707806252166	1065.0361192794883	1047.2742477535244	0.4503947312774729	1.1683598270318512	-0.14394742422352233	-0.09808307999373068
10	137.3	0.027192334444862354	0.06153059492726243	0.9754554801176123	2.2072527880384016	35.872443467313715	0.35	9	0	0	4	5.412935756188062	2.7258274535734017	-0.14334663968663575	1213.6076067868385	1149.0315296953474	1115.753081114865	1077.723158606534	1114.766791357269	1065.4008669960556	1024.3711009020838	1065.04102549297	1047.2741725464266	0.4504605011055563	1.1588729750746352	-0.14334663968663575	-0.0981796412917204
11	142.8	0.00813817083894719	0.07125562487658499	0.2919360678113517	2.5561133266406157	35.87244278704753	0.35	10	0	0	4	5.412907807399279	2.7257188769528966	-0.14311482992453098	1213.6076067868385	1149.0314991522848	1115.74535948812	1077.7234833118723	1114.7586531864301	1065.4021681288996	1024.3714211782262	1065.042171998155	1047.274281123047	0.4504541988760698	1.1561533536366728	-0.14311482992453098	-0.09824875912338125
12	149.1	0.028739275451243884	0.06983899145348005	1.0309479724238924	2.50529512329715	35.8724413276491	0.35	11	0	0	4	5.412696288736697	2.7254859437377945	-0.1417986020563589	1213.6076067868385	1149.0312680021398	1115.7247406330143	1077.7244574278625	1114.729913910979	1065.4076522902767	1024.3717414550092	1065.044676554221	1047.2745140562622	0.45040652378169393	1.1488381628088986	-0.1417986020563589	-0.0982979076935984
