# G2 耦合逐轮探针　2026-09-23 10:18:16　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6　args mode=long max=120 segfine=1
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 120，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.0005 A　Picard 0.0001 K　Bvp 5E-05 K
# 结束：Converged False　CoupleRounds 120　单元 4164　耗时 758 s
# 判据：最热铂 5.418192863783133　管根 2.715282794364157　净流入 -0.10237415809193959
# 放大：闭式 32.6112521836013　雅可比 34.62285964772937　用 35.87237740196144　认证误差 NaN
# 注：★ 停机放大口径：max(闭式 32.6 × 1.1, 实测雅可比 34.6) = 35.9；量雅可比用时 18.6 s
# 注：★ Anderson：接受 119／丢弃 0／重启 0，末端深度 4
# 注：★ 外层耦合 120 轮未收敛（**剩余误差估计 0.1 K**，步长 0.0 K，真残差 0.001 K，**容差 0.000 K**，ω=0.35）—— 本次结果的每个数都不可用。
# 离线判停（生产口径 max(δ,真残差)×放大 < 0.025）：第 33 轮；记录到第 120 轮
轮	δ K	真残差 K	δ/δ前	max(δ,res)×amp	放大	ω	AA接受/丢弃/重启/深度	ΔI 各段 A（相对上一轮）	最热铂	管根	净流入	|最热铂−末轮|	|管根−末轮|
1	6.61e+01	0.00e+00	nan	2370.7031	35.87	0.35	0/0/0/0		34.8202	30.7911	-0.1010	29.4020	28.0759
2	2.96e+01	6.61e+01	0.449	2370.6673	35.87	0.35	1/0/0/1	-0.1371,+0.1130,+0.0689	6.8621	2.7899	-0.1057	1.4439	0.0746
3	5.81e+00	6.89e+00	0.196	247.2521	35.87	0.35	2/0/0/2	+0.0275,-0.0218,-0.0135	12.3071	7.5751	-0.1024	6.8889	4.8599
4	7.13e+00	1.84e+01	1.226	660.1431	35.87	0.35	3/0/0/3	-0.0302,+0.0302,+0.0183	5.6302	2.7286	-0.0972	0.2120	0.0133
5	1.04e+00	3.88e+00	0.145	139.3433	35.87	0.35	4/0/0/4	-0.0050,+0.0045,+0.0026	5.4144	2.7261	-0.1593	0.0038	0.0108
6	8.55e-01	1.82e+00	0.826	65.2268	35.87	0.35	5/0/0/4	-0.0037,+0.0039,+0.0019	5.4111	2.7250	-0.1492	0.0071	0.0097
7	6.16e-02	1.36e-01	0.072	4.8888	35.87	0.35	6/0/0/4	+0.0000,+0.0006,+0.0003	5.4127	2.7258	-0.1440	0.0055	0.0106
8	2.33e-02	6.13e-02	0.379	2.1998	35.87	0.35	7/0/0/4	+0.0000,+0.0006,+0.0006	5.4126	2.7256	-0.1434	0.0056	0.0103
9	1.76e-02	6.45e-02	0.754	2.3138	35.87	0.35	8/0/0/4	+0.0000,-0.0006,-0.0003	5.4127	2.7258	-0.1439	0.0055	0.0105
10	2.72e-02	6.15e-02	1.546	2.2073	35.87	0.35	9/0/0/4	+0.0000,+0.0006,+0.0003	5.4129	2.7258	-0.1433	0.0053	0.0105
11	8.14e-03	7.13e-02	0.299	2.5561	35.87	0.35	10/0/0/4	+0.0000,+0.0003,+0.0003	5.4129	2.7257	-0.1431	0.0053	0.0104
12	2.87e-02	6.98e-02	3.531	2.5053	35.87	0.35	11/0/0/4	+0.0000,+0.0010,+0.0003	5.4127	2.7255	-0.1418	0.0055	0.0102
13	4.84e-02	6.28e-02	1.684	2.2511	35.87	0.35	12/0/0/4	+0.0003,+0.0013,+0.0010	5.4130	2.7252	-0.1398	0.0052	0.0099
14	1.29e-01	6.90e-02	2.667	4.6297	35.87	0.35	13/0/0/4	+0.0007,+0.0042,+0.0026	5.4130	2.7238	-0.1350	0.0052	0.0085
