# G2 耦合逐轮探针　2026-09-23 10:07:21　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtMN　args mode=long max=120
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 120，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
1	71.1	66.0962985635731	0	2371.1673653836738	0	35.87443498221046	0.35	0	0	0	0	34.66581726499953	30.801871443944947	0.07041434966779095	1213.7613372483102	1149.3513329111997	1083.9039221815115	1077.594088572165	1147.6960323578955	1053.605800027417	1024.2953559699015	1076.9441307614188	1046.9563389691402	0.7611277971275165	12.68466816299363	3.69242003090824	0.07041434966779095
2	76.0	30.683344339357063	66.0962985635731	1100.7526092938958	2371.178066635939	35.87459688616723	0.35	1	0	0	1	5.739405933039734	3.0694974696764348	0.04622894598695092	1213.6218566115112	1148.8149299494858	1113.780003084957	1077.7135798198133	1117.0126880185385	1064.5643723637804	1024.369659681789	1065.7479863214517	1046.9305025303236	0.6940212742044701	2.0320154716632515	0.32605098370949637	0.04622894598695092
3	81.1	7.604573043609662	4.876484591958842	272.81059479074895	174.94166396864986	35.87454459655686	0.35	2	0	0	2	12.862610932191501	8.36137245933196	0.05171313271561927	1213.6567267707114	1148.878941352133	1106.3444211661244	1077.6850058230561	1124.6172610621481	1061.8422177060381	1024.35428651248	1068.5280665997534	1046.938846794514	0.6963389929112367	4.6488773675155075	1.1584541837082798	0.05171313271561927
4	86.3	8.230023522212377	19.961191391690818	295.2484680924063	716.0989472010356	35.87455944634266	0.35	3	0	0	3	5.153899956820169	3.063522938467031	0.04511302228835447	1213.6218566115112	1148.5738181871943	1114.2234587467055	1077.7213727442659	1116.3872375399358	1064.7549301985864	1024.3773463053312	1065.5474986882036	1046.936477061533	0.6442975489955591	1.8153916700553314	0.263204790163204	0.04511302228835447
5	91.1	1.1087417398287016	3.313057178601184	39.77562727977524	118.85448410464284	35.87456469882743	0.35	4	0	0	4	4.843191039436533	3.0643611208329276	0.044289456326530294	1213.619174291573	1148.5631661338566	1115.2471413754452	1077.7265680196142	1115.278495800107	1065.1397868706922	1024.379908503185	1065.1522507250718	1046.935638879167	0.6429387688931812	1.434443097864796	0.14466132956581546	0.044289456326530294
6	95.9	0.5405701926060829	1.121231742772352	19.392720564215427	40.2237011450561	35.87456509713075	0.35	5	0	0	4	4.845653068400907	3.0644246832598583	0.04358707842408939	1213.6164919716343	1148.5662835554485	1115.7050667802678	1077.7317632999393	1114.737925607501	1065.3192539971747	1024.382470706449	1064.9663985900802	1046.9355753167401	0.6444182519944011	1.580151838632741	0.192162226829396	0.04358707842408939
7	100.7	0.022073064136066023	0.09647782162028307	0.791861609004976	3.4611000353459898	35.874566581407386	0.35	6	0	0	4	4.85183777291968	3.064661539045119	0.04354820554063091	1213.6164919716343	1148.5730443981934	1115.6829937161317	1077.7317633000807	1114.7203118058237	1065.3161149251323	1024.3824707073531	1064.9649113722344	1046.9353384609549	0.6458123974877701	1.5725890050286078	0.19123236110021483	0.04354820554063091
8	105.2	0.01989475100981508	0.11669613829963055	0.7137155823522008	4.18642345730709	35.87456721625161	0.35	7	0	0	4	4.852040353559232	3.064762845117002	0.04353421352071378	1213.6164919716343	1148.5732658502184	1115.6742843487534	1077.7317633001535	1114.700417054814	1065.3169900234536	1024.3824707080266	1064.9616948053858	1046.935237154883	0.6458580617628753	1.569592746626862	0.1914914343079233	0.04353421352071378
9	109.8	0.045388705146251596	0.10077119368952481	1.6282998987140216	3.6151223955216807	35.87456160001282	0.35	8	0	0	4	4.851751977072581	3.063866621015677	0.04298711883963659	1213.6164919716343	1148.5729506117448	1115.6348623062495	1077.7343609426603	1114.6550283496676	1065.3139230449085	1024.385032916507	1064.9564320252985	1046.9361333789843	0.6457930681880755	1.5554354853819807	0.18938081108428279	0.04298711883963659
10	114.6	0.06690583389536187	0.09331664541196005	2.4002178623187884	3.3476943059965683	35.874567621003514	0.35	9	0	0	4	4.852336701480908	3.0648274350012343	0.043523818990777646	1213.6164919716343	1148.5736497574733	1115.7017681401448	1077.731763299907	1114.714492456519	1065.3206912692453	1024.3824707068916	1064.9605044934901	1046.9351725649988	0.6460493055393952	1.5790204224990467	0.19258267949547808	0.043523818990777646
11	119.5	0.02230153584650907	0.09784304457048165	0.8000579796407852	3.5100770233820593	35.87456869101779	0.35	10	0	0	4	4.851774641468637	3.0649981851754546	0.043494746255988426	1213.6164919716343	1148.5729753856072	1115.7240696759914	1077.7291656575671	1114.7314818981858	1065.3230054988865	1024.38247070618	1064.960925047691	1046.9350018148245	0.6457981655370582	1.5873053615988981	0.19387819804467515	0.043494746255988426
12	124.3	0.019846592503881766	0.09389433045430451	0.7119879437782973	3.368418596770444	35.87456857589234	0.35	11	0	0	4	4.852055487189318	3.0649798144768283	0.043497065356566056	1213.6164919716343	1148.5732823936366	1115.7414621644145	1077.729165657408	1114.7513284906897	1065.3241258175021	1024.3824707052268	1064.9629288203923	1046.9350201855232	0.6458614731506099	1.5932803537605749	0.19421096264603244	0.043497065356566056
13	129.3	0.015347846649319763	0.09738802281594872	0.5505973826047583	3.4937533378267385	35.874568933692174	0.35	12	0	0	4	4.852043597912825	3.0650369105710524	0.04348904454403546	1213.6164919716343	1148.5732693932193	1115.7274714770526	1077.7291656575326	1114.7359806440404	1065.323069568858	1024.382470705978	1064.9613797053735	1046.934963089429	0.6458587548114083	1.5884803057703143	0.193899495042904	0.04348904454403546
14	134.7	0.12054627974384857	0.09528173736680401	4.324545023187715	3.4181906236000454	35.87456230401333	0.35	13	0	0	4	4.851914714334043	3.0639789621884574	0.04296676999961273	1213.6164919716343	1148.5731285084787	1115.6079596298503	1077.7343609428963	1114.6154343642966	1065.3130016849736	1024.38503291816	1064.9509038745757	1046.9360210378115	0.6458297499820025	1.546207760103094	0.18910800544898354	0.04296676999961273
15	150.0	0.15720927602819756	0.08760101953998856	5.639811708666679	3.142646974623501	35.87454793478665	0.35	14	0	0	4	4.851715757515194	3.061685956269457	0.041952949378415774	1213.6164919716343	1148.5729709690668	1115.450750353822	1077.7395562285974	1114.4586920527347	1065.2997203321943	1024.390157338858	1064.9378053281866	1046.9383140437305	0.6459093322707091	1.4910180589959603	0.1827749769946188	0.041952949378415774
16	163.8	0.48530005802354026	0.07923070482797812	17.409901466512366	2.842362660732496	35.87450934462462	0.35	15	0	0	4	4.853303569768514	3.0555278161414208	0.03879566040169542	1213.619174291573	1148.574220188142	1114.9654502957985	1077.7551420856948	1113.973556139384	1065.257407781523	1024.405530601396	1064.8956563976303	1046.9444721838586	0.6452176544460966	1.3201190005535166	0.163045640876462	0.03879566040169542
17	173.2	0.08754113579766454	0.05253743783282516	3.140495375904219	1.8847548535033352	35.87451027780705	0.35	16	0	0	4	4.852391490213904	3.0556767342429794	0.03946278250935972	1213.619174291573	1148.573223142604	1115.0529914315962	1077.7525444427692	1114.0593024516734	1065.2668015246984	1024.402968390582	1064.9042847377807	1046.944323265757	0.645012049151283	1.3507668103261676	0.16702276709021957	0.03946278250935972
18	183.1	0.1526571686358693	0.055793124897263624	5.476499531730378	2.0015504355544853	35.87449957750353	0.35	17	0	0	4	4.852044460734305	3.053969197105289	0.03904594343997016	1213.619174291573	1148.572843790966	1114.9010121562499	1077.7577397284308	1113.9066452830375	1065.255108181038	1024.4055306044343	1064.8922598028128	1046.9460308028947	0.6449338514986868	1.2973932042472731	0.1617518677959569	0.03904594343997016
19	193.1	0.10532181503776883	0.04816714422736368	3.778368005376644	1.7279724679428448	35.87450523922044	0.35	18	0	0	4	4.852732811697251	3.0548726858291957	0.03959189385503209	1213.619174291573	1148.5735962605725	1115.0051327005788	1077.7551420853451	1114.0119670980753	1065.2639099355558	1024.402968392702	1064.9014653645959	1046.9451273141708	0.6450889914995899	1.3337236225295805	0.16556085834922368	0.03959189385503209
20	203.0	0.4821715951295573	0.05346657396444243	17.2976489027035	1.9180848349618174	35.874466844227314	0.35	19	0	0	4	4.856643046404088	3.0487456665443915	0.037122890316287196	1213.6218566115112	1148.5774442137827	1114.5229611054492	1077.7707279424121	1113.5308630404684	1065.2228861590258	1024.415779448423	1064.8607584663043	1046.9512543334556	0.6450453834365141	1.1639628902480057	0.1468015727667062	0.037122890316287196
21	212.0	0.5629222213033245	0.02789375314978315	20.19450239517248	1.0006719285116257	35.87440969805115	0.35	20	0	0	4	4.859739650046549	3.039626324668234	0.033748200599150596	1213.62453893145	1148.5804027114382	1113.9611801889691	1077.791509084525	1112.967940819165	1065.176127462695	1024.433714921016	1064.8134116925473	1046.9603736753318	0.6448181254730581	0.9657044582495146	0.12394426228223017	0.033748200599150596
