# G2 耦合逐轮探针　2026-09-23 10:07:21　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtMN　args mode=long max=120
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 120，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
# 离线判停（生产口径 max(δ,真残差)×放大 < 0.025）：第 60 轮；记录到第 73 轮
轮	δ K	真残差 K	δ/δ前	max(δ,res)×amp	放大	ω	AA接受/丢弃/重启/深度	ΔI 各段 A（相对上一轮）	最热铂	管根	净流入	|最热铂−末轮|	|管根−末轮|
1	6.61e+01	0.00e+00	nan	2371.1674	35.87	0.35	0/0/0/0		34.6658	30.8019	0.0704	29.8063	27.7616
2	3.07e+01	6.61e+01	0.464	2371.1781	35.87	0.35	1/0/0/1	-0.1395,+0.1195,+0.0743	5.7394	3.0695	0.0462	0.8799	0.0292
3	7.60e+00	4.88e+00	0.248	272.8106	35.87	0.35	2/0/0/2	+0.0349,-0.0286,-0.0154	12.8626	8.3614	0.0517	8.0031	5.3211
4	8.23e+00	2.00e+01	1.082	716.0989	35.87	0.35	3/0/0/3	-0.0349,+0.0364,+0.0231	5.1539	3.0635	0.0451	0.2944	0.0232
5	1.11e+00	3.31e+00	0.135	118.8545	35.87	0.35	4/0/0/4	-0.0027,+0.0052,+0.0026	4.8432	3.0644	0.0443	0.0163	0.0241
6	5.41e-01	1.12e+00	0.488	40.2237	35.87	0.35	5/0/0/4	-0.0027,+0.0052,+0.0026	4.8457	3.0644	0.0436	0.0139	0.0241
7	2.21e-02	9.65e-02	0.041	3.4611	35.87	0.35	6/0/0/4	+0.0000,+0.0000,+0.0000	4.8518	3.0647	0.0435	0.0077	0.0244
8	1.99e-02	1.17e-01	0.901	4.1864	35.87	0.35	7/0/0/4	+0.0000,+0.0000,+0.0000	4.8520	3.0648	0.0435	0.0075	0.0245
9	4.54e-02	1.01e-01	2.281	3.6151	35.87	0.35	8/0/0/4	+0.0000,+0.0026,+0.0026	4.8518	3.0639	0.0430	0.0078	0.0236
10	6.69e-02	9.33e-02	1.474	3.3477	35.87	0.35	9/0/0/4	+0.0000,-0.0026,-0.0026	4.8523	3.0648	0.0435	0.0072	0.0245
11	2.23e-02	9.78e-02	0.333	3.5101	35.87	0.35	10/0/0/4	+0.0000,-0.0026,-0.0000	4.8518	3.0650	0.0435	0.0078	0.0247
12	1.98e-02	9.39e-02	0.890	3.3684	35.87	0.35	11/0/0/4	+0.0000,-0.0000,-0.0000	4.8521	3.0650	0.0435	0.0075	0.0247
