# G2 耦合逐轮探针　2026-09-23 10:07:21　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtM　args mode=long max=90
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 90，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
1	68.6	66.12661322697909	0	2372.4162316494126	0	35.87687492033067	0.35	0	0	0	0	35.113792254603595	30.832186107350935	0.47070276304896996	1213.772066528064	1148.7272185523389	1083.8736075181055	1077.6044791469737	1147.665445189559	1053.581437535281	1024.3081670172935	1076.9197033165365	1046.5670210685087	1.3892768142202305	13.942884136952769	4.693791330011736	0.47070276304896996
2	73.4	31.784050310396196	66.12661322697909	1140.3732050651622	2372.5427416998855	35.878788069126585	0.35	1	0	0	1	5.302469890040584	3.7381799075258186	0.39908059271648655	1213.6352682112038	1147.7548711586587	1114.7388570544013	1077.7343609565323	1115.8813948791628	1064.8847290899275	1024.3927195565366	1065.3037401294278	1046.2618200924742	1.2313460049786866	2.910307769118216	1.1990465213171866	0.39908059271648655
3	78.1	5.586409851748158	2.8211784790380534	200.4330728170243	101.22019087838805	35.87869099047624	0.35	2	0	0	2	10.53455062529406	5.464319840228654	0.4049981746003285	1213.6594090906497	1147.8036688062075	1109.2414737852278	1077.7135798684276	1121.467804730911	1062.8685351358674	1024.3799085765945	1067.3423668038072	1046.2773056131327	1.2339131844514162	4.829858017733915	1.8093527139761205	0.4049981746003285
4	83.0	5.438191787516189	13.899722444260078	195.1198004922541	498.71559816033044	35.87953645551219	0.35	3	0	0	3	5.442247926101118	3.857553419179567	0.3765035690094917	1213.643315171019	1147.379993767343	1114.2335728269652	1077.7447515324384	1116.0296129433948	1064.6847675931688	1024.4055306102746	1065.3428779206233	1046.1424465808204	1.1516457644273284	2.956604124982043	1.205222270272576	0.3765035690094917
5	87.7	0.7113152550689392	3.02039467910231	25.521664996488255	108.37037531235546	35.879541194452166	0.35	4	0	0	4	4.776006633186171	3.8583092958433554	0.37569381694825643	1213.6406328510807	1147.380990640929	1114.8135566274564	1077.7473491694586	1115.3182976883259	1064.8928053332515	1024.4080928142275	1065.0785096632203	1046.1416907041566	1.1526823642271298	2.7126648297425304	1.1259533110859792	0.37569381694825643
6	92.4	0.7838706174754861	1.690012591384857	28.124920593528344	60.63688174438891	35.87954436167891	0.35	5	0	0	4	4.857894804232728	3.8588144787888723	0.3742392381702333	1213.637950531142	1147.377677412805	1115.4054529040095	1077.7551420907353	1114.5344270708504	1065.1029689293935	1024.4132172257068	1064.7853048213242	1046.1411855212111	1.152831576100056	2.741332083818054	1.1301739472020873	0.3742392381702333
7	97.2	0.10620350196177242	0.2739488204715599	3.810531235896754	9.829153635816038	35.8795253029259	0.35	6	0	0	4	4.8696297966814655	3.8557745595860524	0.37403996222033775	1213.637950531142	1147.3830135337817	1115.4179819516585	1077.7551420905788	1114.4282235688886	1065.104902088641	1024.4157794344205	1064.743864839833	1046.144225440414	1.1539303951806372	2.7456289344352443	1.1301548778411865	0.37403996222033775
8	101.8	0.060931460177243935	0.1663533380383342	2.186191313351645	5.968677289343537	35.87951621366398	0.35	7	0	0	4	4.812692181844113	3.854324792960142	0.37358539581539674	1213.637950531142	1147.3832209802235	1115.3570504914812	1077.7577397332757	1114.3682367593756	1065.0790665505901	1024.4183416444025	1064.7183557070023	1046.1456752070399	1.1539732877563664	2.7241023007663254	1.1213282043564818	0.37358539581539674
9	106.3	0.11842554781856052	0.16794810711758146	4.249049104873479	6.025893629865152	35.87949714518895	0.35	8	0	0	4	4.703028898806451	3.8512833066124585	0.3726998640261917	1213.637950531142	1147.3828651571655	1115.2396848254705	1077.762935018633	1114.249811211557	1065.0297342313697	1024.4234660641719	1064.6686321999819	1046.1487166933875	1.153900016515068	2.6825941005709666	1.1043658576276825	0.3726998640261917
10	111.0	0.10232464286104914	0.1811902542228836	3.671358671948893	6.501018645304537	35.87951610966659	0.35	9	0	0	4	4.7979312772085905	3.854308203241999	0.37358834369386285	1213.637950531142	1147.38316800453	1115.3412908338469	1077.7577397334185	1114.352135854418	1065.0722648335257	1024.4183416453707	1064.7114240253695	1046.145691796758	1.1539623836500614	2.7186978168276257	1.1193198626522434	0.37358834369386285
11	115.5	0.08188062434669519	0.16659289452559278	2.9378360942436568	5.977270233181444	35.879502845562165	0.35	10	0	0	4	4.728752498959921	3.852192535052154	0.3725536562564617	1213.637950531142	1147.3825070813205	1115.2671508076066	1077.7629350183888	1114.2702552300714	1065.0403228665382	1024.4234660627067	1064.6766184473672	1046.1478074649478	1.1538262769277832	2.692021513617745	1.1074892642753509	0.3725536562564617
12	120.2	0.09878916919774383	0.15986186253735468	3.544507958807849	5.735766872776179	35.87951986632153	0.35	11	0	0	4	4.814920539284913	3.8549074013571953	0.3734932408380431	1213.637950531142	1147.3824428358616	1115.3594296248543	1077.7577397332616	1114.3690443992691	1065.0800271593248	1024.4183416443138	1064.7187322683926	1046.1450925986428	1.153813045818956	2.724918186391159	1.1216118437968552	0.3734932408380431
13	124.9	0.051531179501125735	0.16598616118358223	1.8489144275154992	5.955505213567525	35.87952857696782	0.35	12	0	0	4	4.862201559591313	3.856296776883937	0.3739562236367864	1213.637950531142	1147.3823785383647	1115.4099098274223	1077.7577397328077	1114.4205755787702	1065.101713124767	1024.4157794346092	1064.7407672872187	1046.143703223116	1.1537996376118451	2.742229896474281	1.1286067390270147	0.3739562236367864
14	129.5	0.1190541345197289	0.1698460691739001	4.271603938789521	6.093993635734853	35.87950940151228	0.35	13	0	0	4	4.751785473398741	3.853238229688259	0.37307314601138397	1213.637950531142	1147.3825434335358	1115.2918814989926	1077.760337376019	1114.3015214442505	1065.0511088421968	1024.420903854732	1064.6897845744827	1046.1467617703117	1.1538337639656053	2.7011235280258554	1.1118750826699224	0.37307314601138397
15	134.4	2.289824925626135	0.16237877664593725	82.15701929247132	5.826015839154291	35.879170661925656	0.35	14	0	0	4	4.556535745110978	3.7992072620934323	0.3563249014683777	1213.6486798108958	1147.387264890453	1113.019837656164	1077.8434619449235	1112.0116965186244	1064.0774372214246	1024.5157056280011	1063.709063993936	1046.2007927379066	1.1514800747622205	1.8997916170575149	0.7832040166256709	0.3563249014683777
16	147.0	0.07644122606347992	0.049451978708930255	2.7426488498492048	1.7742966657309072	35.879184454362324	0.35	15	0	0	4	4.557914802987398	3.801407268890671	0.35665997224899465	1213.6486798108958	1147.3887737902246	1113.0943182301148	1077.8408643020775	1112.0881377446879	1064.1092307460046	1024.513143417008	1063.7416706442946	1046.1985927311093	1.1517906193528247	1.925919014257605	0.7937843997053367	0.35665997224899465
17	162.2	0.578300063743427	0.05156512145345005	20.748896653390414	1.8501111153808354	35.87911873825424	0.35	16	0	0	4	4.562201917587117	3.7909249647800607	0.3521578955336697	1213.6513621308345	1147.3930284745813	1112.5160181663714	1077.8616454444318	1111.5154551946316	1063.861149458915	1024.5362033093115	1063.4956608992234	1046.20907503522	1.1518352613685625	1.7222670442701116	0.7104188263294055	0.3521578955336697
18	170.9	0.07582579073186935	0.014039566712199303	2.720563702864322	0.5037274947282303	35.87913395436413	0.35	17	0	0	4	4.5631015088526965	3.793352055145533	0.35108365450499035	1213.6513621308345	1147.3940127697379	1112.4401923756395	1077.8642430872724	1111.4482405432948	1063.8282588290467	1024.5387655201	1063.4660917370034	1046.2066479448545	1.1520379479270313	1.695699930934494	0.6995183341061217	0.35108365450499035
19	180.4	0.09976439983279306	0.0021380355906330806	3.579458098725692	0.07671081892019527	35.87911223567654	0.35	18	0	0	4	4.562076079875851	3.789887730756618	0.35026348420667697	1213.6513621308345	1147.3928908848175	1112.342553389748	1077.8668407303321	1111.348476143462	1063.786381148015	1024.5438899391586	1063.423393121931	1046.2101122692434	1.1518071249538264	1.661652626146559	0.6853743722710478	0.35026348420667697
20	189.7	0.017354858449834865	0.005139064620379941	0.6226768905781948	0.18438506931925108	35.87911087711117	0.35	19	0	0	4	4.561849224311118	3.7896710260349664	0.3502982365046471	1213.6513621308345	1147.392642572199	1112.3251985312982	1077.8668407304913	1111.3318822224173	1063.7788150196525	1024.5438899402295	1063.4160861956316	1046.210328973965	1.1517557940343894	1.6557148493146372	0.6831454154101974	0.3502982365046471
21	197.7	0.07344200274792456	0.00524087602821055	2.635034434516542	0.1880380202697747	35.87912006649365	0.35	20	0	0	4	4.561715433807194	3.7911368185780248	0.3507518398333091	1213.6513621308345	1147.3924961915816	1112.3985347515932	1077.8642430876694	1111.4053242251653	1063.810212905552	1024.5413277293685	1063.4475403831232	1046.208863181422	1.151725821993054	1.6814461324105836	0.6936051967302194	0.3507518398333091
22	206.3	0.026695997407841787	0.0010771243801173114	0.9578291095094467	0.03864628356367847	35.879128053409616	0.35	21	0	0	4	4.561825722055801	3.7924108019392406	0.35123442713302616	1213.6513621308345	1147.3926168570165	1112.424888466559	1077.864243087426	1111.432020222573	1063.8213804064383	1024.5387655211146	1063.4587990367977	1046.2075891980608	1.1517504984984779	1.6904542311550792	0.6974892610530179	0.35123442713302616
23	214.0	0.002052018141057488	0.0008182155831946147	0.07362462203161044	0.029356861836529715	35.87912823892906	0.35	22	0	0	4	4.56181866581187	3.7924403936117415	0.35122985163276393	1213.6513621308345	1147.392609143364	1112.4228366741072	1077.8642430874456	1111.429968204432	1063.8204816998555	1024.5387655212414	1063.4579015970035	1046.2075596063883	1.151749079374775	1.6897521813149314	0.697224151464368	0.35122985163276393
