# G2 耦合逐轮探针　2026-09-23 10:07:21　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtM　args mode=long max=90
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 90，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
# 结束：Converged False　CoupleRounds 90　单元 4122　耗时 703 s
# 判据：最热铂 4.561870424537801　管根 3.7910947511845734　净流入 0.3507588541485021
# 放大：闭式 32.61738163886959　雅可比 34.62337058804575　用 35.87911980275655　认证误差 NaN
# 注：★ 停机放大口径：max(闭式 32.6 × 1.1, 实测雅可比 34.6) = 35.9；量雅可比用时 15.6 s
# 注：★ Anderson：接受 89／丢弃 0／重启 0，末端深度 4
# 注：★ 外层耦合 90 轮未收敛（**剩余误差估计 0.0 K**，步长 0.0 K，真残差 0.000 K，**容差 0.000 K**，ω=0.35）—— 本次结果的每个数都不可用。
# 离线判停（生产口径 max(δ,真残差)×放大 < 0.025）：第 29 轮；记录到第 90 轮
轮	δ K	真残差 K	δ/δ前	max(δ,res)×amp	放大	ω	AA接受/丢弃/重启/深度	ΔI 各段 A（相对上一轮）	最热铂	管根	净流入	|最热铂−末轮|	|管根−末轮|
1	6.61e+01	0.00e+00	nan	2372.4162	35.88	0.35	0/0/0/0		35.1138	30.8322	0.4707	30.5519	27.0411
2	3.18e+01	6.61e+01	0.481	2372.5427	35.88	0.35	1/0/0/1	-0.1368,+0.1299,+0.0846	5.3025	3.7382	0.3991	0.7406	0.0529
3	5.59e+00	2.82e+00	0.176	200.4331	35.88	0.35	2/0/0/2	+0.0241,-0.0208,-0.0128	10.5346	5.4643	0.4050	5.9727	1.6732
4	5.44e+00	1.39e+01	0.973	498.7156	35.88	0.35	3/0/0/3	-0.0161,+0.0312,+0.0256	5.4422	3.8576	0.3765	0.8804	0.0665
5	7.11e-01	3.02e+00	0.131	108.3704	35.88	0.35	4/0/0/4	-0.0027,+0.0026,+0.0026	4.7760	3.8583	0.3757	0.2141	0.0672
6	7.84e-01	1.69e+00	1.102	60.6369	35.88	0.35	5/0/0/4	-0.0027,+0.0078,+0.0051	4.8579	3.8588	0.3742	0.2960	0.0677
7	1.06e-01	2.74e-01	0.135	9.8292	35.88	0.35	6/0/0/4	+0.0000,-0.0000,+0.0026	4.8696	3.8558	0.3740	0.3078	0.0647
8	6.09e-02	1.66e-01	0.574	5.9687	35.88	0.35	7/0/0/4	+0.0000,+0.0026,+0.0026	4.8127	3.8543	0.3736	0.2508	0.0632
9	1.18e-01	1.68e-01	1.944	6.0259	35.88	0.35	8/0/0/4	+0.0000,+0.0052,+0.0051	4.7030	3.8513	0.3727	0.1412	0.0602
10	1.02e-01	1.81e-01	0.864	6.5010	35.88	0.35	9/0/0/4	+0.0000,-0.0052,-0.0051	4.7979	3.8543	0.3736	0.2361	0.0632
11	8.19e-02	1.67e-01	0.800	5.9773	35.88	0.35	10/0/0/4	+0.0000,+0.0052,+0.0051	4.7288	3.8522	0.3726	0.1669	0.0611
12	9.88e-02	1.60e-01	1.207	5.7358	35.88	0.35	11/0/0/4	+0.0000,-0.0052,-0.0051	4.8149	3.8549	0.3735	0.2531	0.0638
13	5.15e-02	1.66e-01	0.522	5.9555	35.88	0.35	12/0/0/4	+0.0000,-0.0000,-0.0026	4.8622	3.8563	0.3740	0.3003	0.0652
14	1.19e-01	1.70e-01	2.310	6.0940	35.88	0.35	13/0/0/4	+0.0000,+0.0026,+0.0051	4.7518	3.8532	0.3731	0.1899	0.0621
15	2.29e+00	1.62e-01	19.233	82.1570	35.88	0.35	14/0/0/4	+0.0107,+0.0831,+0.0948	4.5565	3.7992	0.3563	0.0053	0.0081
16	7.64e-02	4.95e-02	0.033	2.7426	35.88	0.35	15/0/0/4	+0.0000,-0.0026,-0.0026	4.5579	3.8014	0.3567	0.0040	0.0103
17	5.78e-01	5.16e-02	7.565	20.7489	35.88	0.35	16/0/0/4	+0.0027,+0.0208,+0.0231	4.5622	3.7909	0.3522	0.0003	0.0002
18	7.58e-02	1.40e-02	0.131	2.7206	35.88	0.35	17/0/0/4	+0.0000,+0.0026,+0.0026	4.5631	3.7934	0.3511	0.0012	0.0023
19	9.98e-02	2.14e-03	1.316	3.5795	35.88	0.35	18/0/0/4	+0.0000,+0.0026,+0.0051	4.5621	3.7899	0.3503	0.0002	0.0012
20	1.74e-02	5.14e-03	0.174	0.6227	35.88	0.35	19/0/0/4	+0.0000,+0.0000,+0.0000	4.5618	3.7897	0.3503	0.0000	0.0014
21	7.34e-02	5.24e-03	4.232	2.6350	35.88	0.35	20/0/0/4	+0.0000,-0.0026,-0.0026	4.5617	3.7911	0.3508	0.0002	0.0000
22	2.67e-02	1.08e-03	0.363	0.9578	35.88	0.35	21/0/0/4	+0.0000,-0.0000,-0.0026	4.5618	3.7924	0.3512	0.0000	0.0013
23	2.05e-03	8.18e-04	0.077	0.0736	35.88	0.35	22/0/0/4	+0.0000,+0.0000,+0.0000	4.5618	3.7924	0.3512	0.0001	0.0013
24	8.11e-03	7.28e-04	3.953	0.2910	35.88	0.35	23/0/0/4	+0.0000,+0.0000,+0.0026	4.5618	3.7913	0.3507	0.0001	0.0002
25	9.20e-03	5.45e-04	1.134	0.3301	35.88	0.35	24/0/0/4	+0.0000,+0.0000,+0.0000	4.5619	3.7914	0.3507	0.0000	0.0003
26	7.88e-03	2.87e-04	0.856	0.2826	35.88	0.35	25/0/0/4	+0.0000,-0.0000,-0.0000	4.5619	3.7914	0.3507	0.0000	0.0003
27	3.51e-03	4.68e-04	0.446	0.1261	35.88	0.35	26/0/0/4	+0.0000,-0.0000,-0.0026	4.5619	3.7927	0.3512	0.0000	0.0016
28	3.61e-03	5.39e-04	1.028	0.1297	35.88	0.35	27/0/0/4	+0.0000,+0.0000,+0.0026	4.5619	3.7916	0.3507	0.0000	0.0005
29	4.40e-04	4.25e-04	0.122	0.0158 ←停	35.88	0.35	28/0/0/4	+0.0000,-0.0000,+0.0000	4.5619	3.7917	0.3507	0.0000	0.0006
30	2.67e-04	4.10e-04	0.607	0.0147	35.88	0.35	29/0/0/4	+0.0000,+0.0000,+0.0000	4.5619	3.7917	0.3507	0.0000	0.0007
31	3.07e-03	4.01e-04	11.468	0.1101	35.88	0.35	30/0/0/4	+0.0000,-0.0000,-0.0000	4.5619	3.7918	0.3506	0.0000	0.0007
32	3.54e-03	4.69e-04	1.155	0.1271	35.88	0.35	31/0/0/4	+0.0000,+0.0000,+0.0000	4.5619	3.7917	0.3507	0.0000	0.0006
33	7.88e-03	3.98e-04	2.225	0.2828	35.88	0.35	32/0/0/4	+0.0000,+0.0000,+0.0000	4.5619	3.7911	0.3508	0.0000	0.0000
34	1.08e-03	3.65e-04	0.137	0.0387	35.88	0.35	33/0/0/4	+0.0000,+0.0000,+0.0000	4.5619	3.7911	0.3508	0.0000	0.0000
