# G2 耦合逐轮探针　2026-09-23 10:49:46　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtNF6　args mode=prod
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 0.1，FromMargin True，MaxRounds 600，AA 深度 4，ω0 0.35，κ 50
# 段解地板：旧值写死（电流 0.05 A　Picard 0.01 K　Bvp 0.005 K）
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
1	47.9	66.07777870048608	0	2154.937916737389	0	32.61214222265521	0.35	0	0	0	0	34.82395470907454	30.781203321842895	-0.10353465505717886	1213.7734076880333	1149.6018687058845	1083.9245903036135	1077.608375600471	1147.7091547645498	1053.6114043593652	1024.3043236830304	1076.962657504083	1047.1284595189948	0.5163537890897586	12.240305590887395	3.32779087055536	-0.10353465505717886
2	52.3	29.772378840494866	66.07777870048608	970.9284689168393	2154.909987099381	32.61171954443331	0.35	1	0	0	1	6.747804995733077	2.7973357812043105	-0.10269611422049223	1213.6017392119732	1149.2163538189066	1112.9401725929133	1077.6914998666723	1117.936775924055	1064.2676016917317	1024.3453187212833	1066.0979386783636	1047.2026642187957	0.49041960128456263	1.9178143970575299	0.07600947498057554	-0.10269611422049223
3	56.8	5.894409772594372	6.640199203356133	192.22677085248787	216.54823806330063	32.611708087590415	0.35	2	0	0	2	12.272515705326896	7.5268284751675765	-0.10237408313228455	1213.6446563309883	1149.2479647043874	1107.1789651502888	1077.6914999178002	1123.8311856966493	1062.1591865475964	1024.3453187715108	1068.2562466530264	1047.2046756231975	0.4835138834836521	3.9367343343417107	0.7141737139480211	-0.10237408313228455
4	61.1	7.544415690383403	18.315544157469276	246.0329874146275	597.2931808265312	32.61127137098728	0.35	3	0	0	3	5.400950113550834	2.7186515423400124	-0.10800313593955162	1213.6017392119732	1149.0193635965957	1114.4480942714945	1077.733062129143	1116.286770006266	1064.8660137317304	1024.3863140134022	1065.5404288805344	1047.28134845766	0.4497867317095502	1.341056405619689	-0.10800313593955162	-0.10113859865795957
5	65.4	1.0871315894830786	2.9502735001076417	35.45271155267548	96.21208362692559	32.61124218599234	0.35	4	0	0	4	5.397541488310708	2.7135275093521614	-0.19152605454324645	1213.6017392119732	1149.0156983839724	1115.4710659386387	1077.7330621200686	1115.1996384167828	1065.2575833640215	1024.3863140042943	1065.1595144246594	1047.2864724906478	0.4491427083172949	1.061214649584371	-0.19152605454324645	-0.10031793492412812
6	69.7	0.35386837063629173	0.7840755033380447	11.540087655355045	25.56967728047547	32.611243651431124	0.35	5	0	0	4	5.404120271104148	2.7137847983569827	-0.15398275957267415	1213.6017392119732	1149.0228877558766	1115.7742231369502	1077.7330621173262	1114.8457700461465	1065.384721607185	1024.3863140018227	1065.046072894021	1047.286215201643	0.4506255437316832	1.1651945046657055	-0.15398275957267415	-0.10035924200279123
7	74.1	0.05479635607230193	0.11880822877174069	1.786977591870257	3.8744846877183408	32.61124862960597	0.35	6	0	0	4	5.407065460287413	2.714658821628518	-0.14906189220564237	1213.6017392119732	1149.0261062942668	1115.7913371848717	1077.7330621171484	1114.7909736900742	1065.4013910505385	1024.3863140022108	1065.03641294431	1047.2853411783715	0.4512893832019985	1.171065247060706	-0.14906189220564237	-0.10049690946859484
8	78.6	0.02215063271296458	0.06795575076557725	0.7223597857210161	2.2161218687356983	32.611248404576045	0.35	7	0	0	4	5.407450950031034	2.7146193128126015	-0.14846197118917354	1213.6017392119732	1149.0264677885425	1115.7691865521588	1077.7330621173421	1114.777618281962	1065.403425511153	1024.3863140030255	1065.0416634261244	1047.2853806871874	0.45125200536601723	1.1634668235339853	-0.14846197118917354	-0.1004932495797202
9	83.0	0.00821201209555511	0.06261961274276473	0.2678039613424194	2.0421037079715902	32.611247794845895	0.35	8	0	0	4	5.406596715692785	2.7145122618487676	-0.14794820508399906	1213.6017392119732	1149.0255949071238	1115.7667218322413	1077.7330621173694	1114.7694062698665	1065.4051714671357	1024.3863140032602	1065.0413124526176	1047.2854877381512	0.4511865718435348	1.1626261335141823	-0.14794820508399906	-0.10047598485330124
10	87.3	0.01881797646819905	0.06423930952360024	0.6136777137618172	2.094924109863848	32.61124886615126	0.35	9	0	0	4	5.406255641858479	2.7147003519023656	-0.1474375155167563	1213.6017392119732	1149.0251615464467	1115.747903855773	1077.7330621175377	1114.753896693377	1065.4068869031298	1024.3863140040692	1065.0442436432415	1047.2852996480976	0.4509826088042287	1.1561726804967003	-0.1474375155167563	-0.10050626014784589
11	91.5	0.009328856796400942	0.06341506718490564	0.304225672611254	2.0680445513386796	32.611249079160885	0.35	10	0	0	4	5.40638304469735	2.7147377501755727	-0.14675218439650978	1213.6017392119732	1149.0253605422263	1115.7476401601475	1077.7330621175417	1114.7445678365807	1065.409222015038	1024.3863140042329	1065.043258721442	1047.2852622498244	0.45113556777287206	1.156075846673918	-0.14675218439650978	-0.10051226538813349
12	95.7	0.013019415784128796	0.0727336311072122	0.42457941437290525	2.371934579304283	32.61124933812199	0.35	11	0	0	4	5.405735216693074	2.714783216177466	-0.14620038257581908	1213.6017392119732	1149.0246525879268	1115.7445007329386	1077.7330621175763	1114.7315484207966	1065.4110716964121	1024.3863140045933	1065.0414917055787	1047.2852167838225	0.45098954875828445	1.1549989459027492	-0.14620038257581908	-0.10051684852532992
13	99.7	0.029704011533794983	0.08265978166468813	0.9686849582294949	2.695638838478719	32.61125040728584	0.35	12	0	0	4	5.406711499510493	2.7149709301602343	-0.14543470521211582	1213.6017392119732	1149.025659707689	1115.7147967214048	1077.7330621178296	1114.7090531446374	1065.4136832772651	1024.386314005785	1065.0467343282003	1047.2850290698398	0.4510853312189185	1.1448185660805241	-0.14543470521211582	-0.10054971656591115
14	103.7	0.1559642513404924	0.07380873765578144	5.086188210367152	2.406994731551362	32.61124370906812	0.35	13	0	0	4	5.405532938882061	2.713794918169242	-0.15046930727430313	1213.6017392119732	1149.0243717624687	1115.8707609727453	1077.7330621164613	1114.8639947297065	1065.3966259851973	1024.3863139986365	1065.0293244468248	1047.2862050818308	0.4508196864890567	1.198311101759884	-0.15046930727430313	-0.10035845564755869
15	107.7	1.1867287068696442	0.08306460140306626	38.70075607179508	2.7088439493307614	32.61129173649134	0.35	14	0	0	4	5.4053847070390475	2.722227117069906	-0.1256636673683983	1213.6017392119732	1149.0242097733637	1114.6840322658757	1077.774624401411	1113.6903220674146	1065.5138668933885	1024.386314050541	1065.1505237851325	1047.27777288293	0.4507862790704168	0.781211321720343	-0.1256636673683983	-0.10171482845202481
16	111.9	0.48291946179210754	0.006964579444684205	15.748619430759694	0.22712381638667642	32.61127512301282	0.35	15	0	0	4	5.407854481741424	2.719310285203619	-0.12928480194248676	1213.6017392119732	1149.0269694090907	1115.1552168061594	1077.7330621227775	1114.1732415292067	1065.468357502577	1024.3863140312533	1065.1102331024772	1047.2806897147964	0.4514700700443772	0.9529121158394973	-0.12928480194248676	-0.10124651998944556
17	116.3	0.4602436959849001	0.04172385688184477	15.009141018972146	1.360668831008965	32.61129082247022	0.35	16	0	0	4	5.407149818238167	2.7220666423609146	-0.12476228984127236	1213.6017392119732	1149.0261984587432	1114.7046605842024	1077.774624401211	1113.7129978332218	1065.516911265518	1024.3863140493506	1065.1544737190968	1047.277933357639	0.45130825856852896	0.7882729824734789	-0.12476228984127236	-0.10168699050010842
18	120.6	0.15183917987633322	0.00705720791256681	4.951670656258105	0.2301446132956647	32.61128425674478	0.35	17	0	0	4	5.40725296132473	2.720913897006767	-0.12846529499456044	1213.6017392119732	1149.026251422768	1114.8564997640788	1077.7746243998577	1113.8646459726856	1065.5043709583674	1024.3863140421981	1065.1419764642253	1047.2790861029932	0.45120737217430157	0.8403183879640896	-0.12846529499456044	-0.10150402819442925
19	124.7	0.07389004316337378	0.014899640252451718	2.4096494547133616	0.4858964546869028	32.61128768575128	0.35	18	0	0	4	5.407540437801117	2.721515928316876	-0.12482780821241572	1213.6017392119732	1149.026565581488	1114.7829712090784	1077.7746244005102	1113.7907559295222	1065.5166932736834	1024.3863140454976	1065.1542909445102	1047.2784840716831	0.45127217240727663	0.8151230796480697	-0.12482780821241572	-0.10159829327398276
20	128.7	0.08192265959496581	0.01028347473766189	2.671603707601471	0.3353573891765084	32.61129119599094	0.35	19	0	0	4	5.407331650803599	2.7221322214775228	-0.12281878581357288	1213.6017392119732	1149.026337416775	1114.7014039402811	1077.7746244012392	1113.7088332699273	1065.5234923892153	1024.3863140493556	1065.1608697863064	1047.2778677785225	0.45122511450987984	0.7871567490147089	-0.12281878581357288	-0.10169888644386102
21	132.8	0.037243726285396406	0.0067135456424693984	1.2145660629958503	0.2189374026979217	32.61129280375182	0.35	20	0	0	4	5.407391140639675	2.722414496157171	-0.12140486700636287	1213.6017392119732	1149.026401495647	1114.664185286911	1077.7746244015693	1113.6715895436419	1065.5282801776093	1024.3863140510632	1065.1656395554032	1047.2775855038428	0.4512346770762815	0.7744003852783261	-0.12140486700636287	-0.10174491654767667
22	136.8	0.01451496737558955	0.006427005848308909	0.4733518605202306	0.2095929737319068	32.611293451219666	0.35	21	0	0	4	5.407397167081626	2.722528172111879	-0.12029413321911073	1213.6017392119732	1149.026467173016	1114.6499799004544	1077.7746244016962	1113.6570745762663	1065.532049163421	1024.386314051668	1065.1693308447816	1047.2774718278881	0.45136052441713553	0.7695403136327749	-0.12029413321911073	-0.10176227665818037
23	140.8	0.021232332650242824	0.006216872752702329	0.6924138477981288	0.20274026669042103	32.61129425598981	0.35	22	0	0	4	5.407861278159089	2.722669465639001	-0.11908339347672797	1213.6017392119732	1149.0269162009376	1114.628747567804	1077.7746244018808	1113.6361636175154	1065.5361349332957	1024.3863140525916	1065.1735285384357	1047.277330534361	0.4513444964237085	0.7622547888844613	-0.11908339347672797	-0.10178352470235287
24	145.0	0.03930525883470182	0.006115380911978718	1.281795427878536	0.19943049670975305	32.61129594055401	0.35	23	0	0	4	5.4081420546301615	2.7229652245714533	-0.11765273701260451	1213.6017392119732	1149.0272230355909	1114.5894423089694	1077.77462440223	1113.597045982945	1065.540987223122	1024.386314054389	1065.1784438567192	1047.2770347754285	0.4514077753309158	0.7487887244145099	-0.11765273701260451	-0.10183074584096949
25	149.2	0.1276889058949564	0.005917588184274791	4.164101535590592	0.1929802583272406	32.61130249652386	0.35	24	0	0	4	5.405533045061247	2.7241162558179894	-0.11776244731590695	1213.6017392119732	1149.0243718815245	1114.4629502366088	1077.7746244033856	1113.46935707705	1065.5406031970765	1024.3863140607418	1065.1776279414507	1047.275883744182	0.4508197280801912	0.7054398903254275	-0.11776244731590695	-0.10201818294994486
26	153.2	0.08825394012092147	0.008358464264802024	2.878075578774927	0.2725803725434673	32.61129842850666	0.35	25	0	0	4	5.406055302433742	2.7234020343883003	-0.11995593877586483	1213.6017392119732	1149.0249426076339	1114.5509940267175	1077.7746244025966	1113.557611017171	1065.533190322003	1024.3863140565713	1065.170296061282	1047.2765979656117	0.45093742637734835	0.7356073519921421	-0.11995593877586483	-0.10190143033937753
27	157.5	0.12797572290878634	0.006175297574372962	4.173455190296797	0.2013845058078951	32.61130388981192	0.35	26	0	0	4	5.405489573878867	2.7243608751832653	-0.11433576032934882	1213.6017392119732	1149.024324378188	1114.4232505479908	1077.7746244037435	1113.4296352942622	1065.552216799144	1024.386314062394	1065.189234713541	1047.2756391248167	0.45080993903247135	0.6918309747685232	-0.11433576032934882	-0.10205753839144133
28	161.5	0.05701178329377399	0.010542698621293312	1.8592284799657686	0.34381112815576387	32.61130195464008	0.35	27	0	0	4	5.407461712342183	2.7240211173616444	-0.119824008419736	1213.6017392119732	1149.0264795489554	1114.4796025660132	1077.7746244032196	1113.486647077556	1065.533633205107	1024.3863140600401	1065.1708856437738	1047.2759788826384	0.4512544261265322	0.7111502740063751	-0.119824008419736	-0.10200290466034141
29	165.6	0.08189470089723727	0.007013550188275985	2.6706926412385092	0.22872098770211796	32.61129977859905	0.35	28	0	0	4	5.407463490676037	2.723639070151421	-0.1304035920111137	1213.6017392119732	1149.0264814935585	1114.5614972669105	1077.7746244024902	1113.568451606357	1065.497797891054	1024.386314056952	1065.135026191081	1047.2763609298486	0.4512548333027089	0.7392068658726882	-0.1304035920111137	-0.10194158193194482
30	169.8	0.09074412360473616	0.007864952193813224	2.959283550954712	0.25648629058975114	32.61129683553702	0.35	29	0	0	4	5.407464680490875	2.7231223565847813	-0.1036155529728865	1213.6017392119732	1149.026481858752	1114.523295648758	1077.774624402829	1113.530353542272	1065.588509287214	1024.386314056418	1065.2257703146856	1047.2768776434152	0.4512512449545114	0.7261236984146433	-0.1036155529728865	-0.10185865841592086
31	173.9	0.08085720481062708	0.00467659432979417	2.6368576529215133	0.15250976801644742	32.61128874164285	0.35	30	0	0	4	5.407479375665616	2.7217013108793253	-0.10163047074281327	1213.6017392119732	1149.0264988520453	1114.5992725347205	1077.77462440215	1113.6062250445802	1065.6693664920247	1024.3863140505196	1065.3065986226497	1047.2782986891207	0.4512584090889231	0.7521529877026973	-0.07973968912223454	-0.10163047074281327
32	178.1	0.01583831924244805	0.0008644217432447476	0.5165080042182871	0.028189907184698652	32.61128888184054	0.35	31	0	0	4	5.407461473111198	2.721725925450073	-0.10163442326938549	1213.6017392119732	1149.0264792940652	1114.6136451682326	1077.7746244020218	1113.6205494233711	1065.6535433343647	1024.3863140502322	1065.2907603034073	1047.27827407455	0.45125440274849593	0.757078868831598	-0.08440887389282811	-0.10163442326938549
33	182.1	0.0032962850357307616	0.00031969387760000245	0.10749610436680557	0.01042562947663899	32.61128913354864	0.35	32	0	0	4	5.407462929451867	2.7217701178828975	-0.1016388346314122	1213.6017392119732	1149.026480879351	1114.6103502040983	1077.7746244020486	1113.6172531383354	1065.6520106452053	1024.3863140504357	1065.289227001111	1047.278229882117	0.4512547018564859	0.7559581374545576	-0.08486334817941407	-0.1016388346314122
34	186.3	0.0022257042548972095	0.00014351380468724528	0.07258308489396866	0.004680170173620771	32.611289093896616	0.35	33	0	0	4	5.407464744526351	2.721763156166162	-0.10164039995902724	1213.6017392119732	1149.0264828635527	1114.6086141806643	1077.7746244020668	1113.6155262172451	1065.654233462493	1024.3863140504632	1065.2914527053658	1047.2782368438338	0.4512551135101228	0.7553631617539154	-0.08420469281464611	-0.10164039995902724
35	190.4	0.0014847141724203539	7.896682313912606E-05	0.0484184432936942	0.0025752099085927325	32.61128922529468	0.35	34	0	0	4	5.407464844061224	2.7217862257457455	-0.10164402928819669	1213.6017392119732	1149.026482971938	1114.6071306314973	1077.7746244020796	1113.6140415030727	1065.653105852568	1024.3863140505655	1065.2903246356532	1047.2782137742543	0.4512551356584267	0.7548461100622433	-0.08453808205207254	-0.10164402928819669
36	194.5	0.00013976967670714657	3.6747868989550625E-05	0.004558069353917286	0.001198395384529595	32.61128923884981	0.35	35	0	0	4	5.40741016797233	2.721788605606889	-0.10164355631655198	1213.6017392119732	1149.026482995091	1114.6070382897415	1077.774624402081	1113.6139489263428	1065.6529661641598	1024.3863140505723	1065.2901848659765	1047.278211394393	0.45136707982935576	0.7548192001917788	-0.08458114237140868	-0.10164355631655198
# 结束：Converged True　CoupleRounds 36　单元 4164　耗时 195 s
# 判据：最热铂 5.40741016797233　管根 2.721788605606889　净流入 -0.10164355631655198
# 注：外层耦合 36 轮收敛（剩余误差估计 0.005 K = 步长 0.000 × 放大 32.6，真残差 0.000 K，**容差 0.041 K** = min(上限 0.1, max(下限 0.02, 0.1 × 最小硬安全线温度裕度 0.407))，ω=0.35，ω 末值 0.35／放大 0 次／回退 0 次）　Anderson：接受 35／丢弃 0／重启 0，末端深度 4
