# G2 耦合逐轮探针　2026-09-23 10:49:46　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtNF6　args mode=prod
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 0.1，FromMargin True，MaxRounds 600，AA 深度 4，ω0 0.35，κ 50
# 段解地板：旧值写死（电流 0.05 A　Picard 0.01 K　Bvp 0.005 K）
# 结束：Converged True　CoupleRounds 36　单元 4164　耗时 195 s
# 判据：最热铂 5.40741016797233　管根 2.721788605606889　净流入 -0.10164355631655198
# 注：外层耦合 36 轮收敛（剩余误差估计 0.005 K = 步长 0.000 × 放大 32.6，真残差 0.000 K，**容差 0.041 K** = min(上限 0.1, max(下限 0.02, 0.1 × 最小硬安全线温度裕度 0.407))，ω=0.35，ω 末值 0.35／放大 0 次／回退 0 次）　Anderson：接受 35／丢弃 0／重启 0，末端深度 4
# 离线判停（生产口径 max(δ,真残差)×放大 < 0.025）：第 36 轮；记录到第 36 轮
轮	δ K	真残差 K	δ/δ前	max(δ,res)×amp	放大	ω	AA接受/丢弃/重启/深度	ΔI 各段 A（相对上一轮）	最热铂	管根	净流入	|最热铂−末轮|	|管根−末轮|
1	6.61e+01	0.00e+00	nan	2154.9379	32.61	0.35	0/0/0/0		34.8240	30.7812	-0.1035	29.4165	28.0594
2	2.98e+01	6.61e+01	0.451	2154.9100	32.61	0.35	1/0/0/1	-0.1717,+0.0831,+0.0410	6.7478	2.7973	-0.1027	1.3404	0.0755
3	5.89e+00	6.64e+00	0.198	216.5482	32.61	0.35	2/0/0/2	+0.0429,+0.0000,+0.0000	12.2725	7.5268	-0.1024	6.8651	4.8050
4	7.54e+00	1.83e+01	1.280	597.2932	32.61	0.35	3/0/0/3	-0.0429,+0.0416,+0.0410	5.4010	2.7187	-0.1080	0.0065	0.0031
5	1.09e+00	2.95e+00	0.144	96.2121	32.61	0.35	4/0/0/4	+0.0000,-0.0000,-0.0000	5.3975	2.7135	-0.1915	0.0099	0.0083
6	3.54e-01	7.84e-01	0.326	25.5697	32.61	0.35	5/0/0/4	+0.0000,-0.0000,-0.0000	5.4041	2.7138	-0.1540	0.0033	0.0080
7	5.48e-02	1.19e-01	0.155	3.8745	32.61	0.35	6/0/0/4	+0.0000,-0.0000,+0.0000	5.4071	2.7147	-0.1491	0.0003	0.0071
8	2.22e-02	6.80e-02	0.404	2.2161	32.61	0.35	7/0/0/4	+0.0000,+0.0000,+0.0000	5.4075	2.7146	-0.1485	0.0000	0.0072
9	8.21e-03	6.26e-02	0.371	2.0421	32.61	0.35	8/0/0/4	+0.0000,+0.0000,+0.0000	5.4066	2.7145	-0.1479	0.0008	0.0073
10	1.88e-02	6.42e-02	2.292	2.0949	32.61	0.35	9/0/0/4	+0.0000,+0.0000,+0.0000	5.4063	2.7147	-0.1474	0.0012	0.0071
