# G2 耦合逐轮探针　2026-09-23 10:25:53　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6x　args mode=long max=45
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 45，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
1	164.6	66.0962985635731	0	2371.1673653836738	0	35.87443498221046	0.35	0	0	0	0	34.66581726499953	30.801871443944947	0.07041434966779095	1213.7613372483102	1149.3513329111997	1083.9039221815115	1077.594088572165	1147.6960323578955	1053.605800027417	1024.2953559699015	1076.9441307614188	1046.9563389691402	0.7611277971275165	12.68466816299363	3.69242003090824	0.07041434966779095
2	169.5	30.683344339357063	66.0962985635731	1100.7526092938958	2371.178066635939	35.87459688616723	0.35	1	0	0	1	5.739405933039734	3.0694974696764348	0.04622894598695092	1213.6218566115112	1148.8149299494858	1113.780003084957	1077.7135798198133	1117.0126880185385	1064.5643723637804	1024.369659681789	1065.7479863214517	1046.9305025303236	0.6940212742044701	2.0320154716632515	0.32605098370949637	0.04622894598695092
3	174.6	7.604573043609662	4.876484591958842	272.81059479074895	174.94166396864986	35.87454459655686	0.35	2	0	0	2	12.862610932191501	8.36137245933196	0.05171313271561927	1213.6567267707114	1148.878941352133	1106.3444211661244	1077.6850058230561	1124.6172610621481	1061.8422177060381	1024.35428651248	1068.5280665997534	1046.938846794514	0.6963389929112367	4.6488773675155075	1.1584541837082798	0.05171313271561927
4	179.7	8.230023522212377	19.961191391690818	295.2484680924063	716.0989472010356	35.87455944634266	0.35	3	0	0	3	5.153899956820169	3.063522938467031	0.04511302228835447	1213.6218566115112	1148.5738181871943	1114.2234587467055	1077.7213727442659	1116.3872375399358	1064.7549301985864	1024.3773463053312	1065.5474986882036	1046.936477061533	0.6442975489955591	1.8153916700553314	0.263204790163204	0.04511302228835447
5	184.9	1.1087417398287016	3.313057178601184	39.77562727977524	118.85448410464284	35.87456469882743	0.35	4	0	0	4	4.843191039436533	3.0643611208329276	0.044289456326530294	1213.619174291573	1148.5631661338566	1115.2471413754452	1077.7265680196142	1115.278495800107	1065.1397868706922	1024.379908503185	1065.1522507250718	1046.935638879167	0.6429387688931812	1.434443097864796	0.14466132956581546	0.044289456326530294
6	190.2	0.5405701926060829	1.121231742772352	19.392720564215427	40.2237011450561	35.87456509713075	0.35	5	0	0	4	4.845653068400907	3.0644246832598583	0.04358707842408939	1213.6164919716343	1148.5662835554485	1115.7050667802678	1077.7317632999393	1114.737925607501	1065.3192539971747	1024.382470706449	1064.9663985900802	1046.9355753167401	0.6444182519944011	1.580151838632741	0.192162226829396	0.04358707842408939
7	195.0	0.022073064136066023	0.09647782162028307	0.791861609004976	3.4611000353459898	35.874566581407386	0.35	6	0	0	4	4.85183777291968	3.064661539045119	0.04354820554063091	1213.6164919716343	1148.5730443981934	1115.6829937161317	1077.7317633000807	1114.7203118058237	1065.3161149251323	1024.3824707073531	1064.9649113722344	1046.9353384609549	0.6458123974877701	1.5725890050286078	0.19123236110021483	0.04354820554063091
8	203.1	0.01989475100981508	0.11669613829963055	0.7137155823522008	4.18642345730709	35.87456721625161	0.35	7	0	0	4	4.852040353559232	3.064762845117002	0.04353421352071378	1213.6164919716343	1148.5732658502184	1115.6742843487534	1077.7317633001535	1114.700417054814	1065.3169900234536	1024.3824707080266	1064.9616948053858	1046.935237154883	0.6458580617628753	1.569592746626862	0.1914914343079233	0.04353421352071378
9	214.6	0.045388705146251596	0.10077119368952481	1.6282998987140216	3.6151223955216807	35.87456160001282	0.35	8	0	0	4	4.851751977072581	3.063866621015677	0.04298711883963659	1213.6164919716343	1148.5729506117448	1115.6348623062495	1077.7343609426603	1114.6550283496676	1065.3139230449085	1024.385032916507	1064.9564320252985	1046.9361333789843	0.6457930681880755	1.5554354853819807	0.18938081108428279	0.04298711883963659
10	225.9	0.06690583389536187	0.09331664541196005	2.4002178623187884	3.3476943059965683	35.874567621003514	0.35	9	0	0	4	4.852336701480908	3.0648274350012343	0.043523818990777646	1213.6164919716343	1148.5736497574733	1115.7017681401448	1077.731763299907	1114.714492456519	1065.3206912692453	1024.3824707068916	1064.9605044934901	1046.9351725649988	0.6460493055393952	1.5790204224990467	0.19258267949547808	0.043523818990777646
