# G2 耦合逐轮探针　2026-09-23 10:25:53　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6x　args mode=long max=45
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 45，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
# 结束：Converged False　CoupleRounds 45　单元 4164　耗时 449 s
# 判据：最热铂 4.858115968535003　管根 3.040709518638323　净流入 0.03426468946186481
# 放大：闭式 32.61310589623393　雅可比 34.62337058804575　用 35.87441648585733　认证误差 NaN
# 注：★ 停机放大口径：max(闭式 32.6 × 1.1, 实测雅可比 34.6) = 35.9；量雅可比用时 45.8 s
# 注：★ Anderson：接受 43／丢弃 1／重启 0，末端深度 4
# 注：★ 外层耦合 45 轮未收敛（**剩余误差估计 0.7 K**，步长 0.0 K，真残差 0.002 K，**容差 0.000 K**，ω=0.35）—— 本次结果的每个数都不可用。
# 离线判停（生产口径 max(δ,真残差)×放大 < 0.025）：第 None 轮；记录到第 45 轮
轮	δ K	真残差 K	δ/δ前	max(δ,res)×amp	放大	ω	AA接受/丢弃/重启/深度	ΔI 各段 A（相对上一轮）	最热铂	管根	净流入	|最热铂−末轮|	|管根−末轮|
1	6.61e+01	0.00e+00	nan	2371.1674	35.87	0.35	0/0/0/0		34.6658	30.8019	0.0704	29.8077	27.7612
2	3.07e+01	6.61e+01	0.464	2371.1781	35.87	0.35	1/0/0/1	-0.1395,+0.1195,+0.0743	5.7394	3.0695	0.0462	0.8813	0.0288
3	7.60e+00	4.88e+00	0.248	272.8106	35.87	0.35	2/0/0/2	+0.0349,-0.0286,-0.0154	12.8626	8.3614	0.0517	8.0045	5.3207
4	8.23e+00	2.00e+01	1.082	716.0989	35.87	0.35	3/0/0/3	-0.0349,+0.0364,+0.0231	5.1539	3.0635	0.0451	0.2958	0.0228
5	1.11e+00	3.31e+00	0.135	118.8545	35.87	0.35	4/0/0/4	-0.0027,+0.0052,+0.0026	4.8432	3.0644	0.0443	0.0149	0.0237
6	5.41e-01	1.12e+00	0.488	40.2237	35.87	0.35	5/0/0/4	-0.0027,+0.0052,+0.0026	4.8457	3.0644	0.0436	0.0125	0.0237
7	2.21e-02	9.65e-02	0.041	3.4611	35.87	0.35	6/0/0/4	+0.0000,+0.0000,+0.0000	4.8518	3.0647	0.0435	0.0063	0.0240
8	1.99e-02	1.17e-01	0.901	4.1864	35.87	0.35	7/0/0/4	+0.0000,+0.0000,+0.0000	4.8520	3.0648	0.0435	0.0061	0.0241
9	4.54e-02	1.01e-01	2.281	3.6151	35.87	0.35	8/0/0/4	+0.0000,+0.0026,+0.0026	4.8518	3.0639	0.0430	0.0064	0.0232
10	6.69e-02	9.33e-02	1.474	3.3477	35.87	0.35	9/0/0/4	+0.0000,-0.0026,-0.0026	4.8523	3.0648	0.0435	0.0058	0.0241
