# G2 耦合逐轮探针　2026-09-23 10:32:58　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6x　args mode=long max=45
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 45，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
1	116.8	66.09646451509502	0	2371.172386941957	0	35.87442088374382	0.35	0	0	0	0	34.66329120119417	30.80203739546687	0.06811493270551626	1213.7613372483102	1149.3533880820885	1083.9037562299895	1077.594088572144	1147.6958650256465	1053.6058050351244	1024.2953559698615	1076.9441357822018	1046.958588788579	0.7589187232359	12.69100267696985	3.6921335762984264	0.06811493270551626
2	126.7	30.509001561278183	66.09646451509502	1094.4973414377594	2371.1823064712544	35.87457096029284	0.35	1	0	0	1	5.893834310221337	3.0653603019684397	0.044221380606317515	1213.6218566115112	1148.8211092649262	1113.6097093209878	1077.7135798212948	1117.1868634643683	1064.502067564314	1024.3696596833056	1065.8116895386452	1046.9346396980316	0.692730044197778	2.0911072978280054	0.3426966754707946	0.044221380606317515
3	136.4	7.520953701177177	5.224976851515066	269.8106068626006	187.44353856741148	35.874520384345665	0.35	2	0	0	2	12.940112432289652	8.45002722197728	0.04966276440099775	1213.6567267707114	1148.8836811245471	1106.2557664034791	1077.6850058238647	1124.7078171655455	1061.8098508000503	1024.3542865132454	1068.5612582724127	1046.9427105191412	0.6946433005152497	4.681163377048467	1.1665715240008965	0.04966276440099775
4	146.0	8.31392536524254	20.142755902686986	298.25816195755885	722.611893704428	35.874529642094984	0.35	3	0	0	3	5.1512496298071255	3.0587668560590373	0.043203281089664536	1213.6218566115112	1148.578131426711	1114.216628126412	1077.7213727442913	1116.393891800303	1064.752723638545	1024.3773463053008	1065.5502285698751	1046.941233143941	0.6425925543643695	1.8167849827905143	0.2617983516180893	0.043203281089664536
5	155.5	1.1220268912138636	3.3267231026209174	40.25219366446825	119.34464641029213	35.874535610212924	0.35	4	0	0	4	4.827724008932819	3.0597192394470767	0.042358921485270526	1213.6164919716343	1148.5656218310828	1115.2531376876568	1077.726568019662	1115.2718649090891	1065.142372039427	1024.3799085034057	1065.1502033221072	1046.940280760553	0.6415713078131542	1.431707678014524	0.1417716594595492	0.042358921485270526
6	164.8	0.5373448354696393	1.1080274802648091	19.276996443676936	39.74997131570622	35.87453562632428	0.35	5	0	0	4	4.83157434437112	3.0597218130437795	0.04166722092323749	1213.6164919716343	1148.5698903796897	1115.7075723429357	1077.7317632998888	1114.7345200736195	1065.3206833747895	1024.3824707063482	1064.9656727820993	1046.9402781869562	0.6425676092760583	1.5799653213541487	0.19032726789765253	0.04166722092323749
7	173.9	0.024037713593315857	0.09017585110018445	0.8623418529006989	3.235016933817445	35.87453729960779	0.35	6	0	0	4	4.837941865965831	3.059988830723796	0.04162665388485294	1213.6164919716343	1148.576789534778	1115.6835346293424	1077.731763300043	1114.7193288873464	1065.3167527869475	1024.3824707072617	1064.9649957623765	1046.9400111692762	0.6438793416139914	1.5717143627210075	0.18916432608364006	0.04162665388485294
8	183.4	0.01950317548971725	0.11537524170535107	0.6996674091088866	4.139033486206141	35.87453794269428	0.35	7	0	0	4	4.83803591902938	3.060091452333154	0.041607832919753326	1213.6164919716343	1148.5768923271776	1115.6742671033383	1077.7317633001267	1114.6998257118566	1065.317456136968	1024.3824707079448	1064.9619557354063	1046.9399085476668	0.6439005696570677	1.5685419408915358	0.18937102120306165	0.041607832919753326
9	192.9	0.04451738574744013	0.10024687299323887	1.5970403926496501	3.5963096825879517	35.874532294194395	0.35	8	0	0	4	4.83797100805964	3.0591900776548755	0.04106120353062516	1213.6164919716343	1148.5768213825706	1115.6340887945096	1077.7343609426343	1114.6553083261092	1065.3141184653323	1024.3850329164266	1064.9570167311965	1046.9408099223451	0.6438859075655141	1.5541157853418133	0.18718393990245785	0.04106120353062516
10	202.6	0.06088905162437186	0.09457231010128453	2.1843666431654842	3.392738005294547	35.87453876997412	0.35	9	0	0	4	4.838891491470122	3.060223468085951	0.0415889625425024	1213.6164919716343	1148.5778870688089	1115.694977846134	1077.731763299932	1114.7060284708618	1065.3207050301896	1024.3824707071717	1064.9599072949852	1046.939776531914	0.6442176552293167	1.5756423619185975	0.19033515863094014	0.0415889625425024
