# G2 耦合逐轮探针　2026-09-23 10:32:58　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6x　args mode=long max=45
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 45，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
# 结束：Converged False　CoupleRounds 45　单元 4164　耗时 543 s
# 判据：最热铂 4.8455057471567216　管根 3.035412984585946　净流入 0.032438227312084345
# 放大：闭式 32.61307572297781　雅可比 34.62337058804575　用 35.87438329527559　认证误差 NaN
# 注：★ 停机放大口径：max(闭式 32.6 × 1.1, 实测雅可比 34.6) = 35.9；量雅可比用时 19.6 s
# 注：★ Anderson：接受 42／丢弃 2／重启 0，末端深度 4
# 注：★ 外层耦合 45 轮未收敛（**剩余误差估计 0.6 K**，步长 0.0 K，真残差 0.001 K，**容差 0.000 K**，ω=0.35）—— 本次结果的每个数都不可用。
# 离线判停（生产口径 max(δ,真残差)×放大 < 0.025）：第 None 轮；记录到第 45 轮
轮	δ K	真残差 K	δ/δ前	max(δ,res)×amp	放大	ω	AA接受/丢弃/重启/深度	ΔI 各段 A（相对上一轮）	最热铂	管根	净流入	|最热铂−末轮|	|管根−末轮|
1	6.61e+01	0.00e+00	nan	2371.1724	35.87	0.35	0/0/0/0		34.6633	30.8020	0.0681	29.8178	27.7666
2	3.05e+01	6.61e+01	0.462	2371.1823	35.87	0.35	1/0/0/1	-0.1395,+0.1195,+0.0743	5.8938	3.0654	0.0442	1.0483	0.0299
3	7.52e+00	5.22e+00	0.247	269.8106	35.87	0.35	2/0/0/2	+0.0349,-0.0286,-0.0154	12.9401	8.4500	0.0497	8.0946	5.4146
4	8.31e+00	2.01e+01	1.105	722.6119	35.87	0.35	3/0/0/3	-0.0349,+0.0364,+0.0231	5.1512	3.0588	0.0432	0.3057	0.0234
5	1.12e+00	3.33e+00	0.135	119.3446	35.87	0.35	4/0/0/4	-0.0054,+0.0052,+0.0026	4.8277	3.0597	0.0424	0.0178	0.0243
6	5.37e-01	1.11e+00	0.479	39.7500	35.87	0.35	5/0/0/4	+0.0000,+0.0052,+0.0026	4.8316	3.0597	0.0417	0.0139	0.0243
7	2.40e-02	9.02e-02	0.045	3.2350	35.87	0.35	6/0/0/4	+0.0000,+0.0000,+0.0000	4.8379	3.0600	0.0416	0.0076	0.0246
8	1.95e-02	1.15e-01	0.811	4.1390	35.87	0.35	7/0/0/4	+0.0000,+0.0000,+0.0000	4.8380	3.0601	0.0416	0.0075	0.0247
9	4.45e-02	1.00e-01	2.283	3.5963	35.87	0.35	8/0/0/4	+0.0000,+0.0026,+0.0026	4.8380	3.0592	0.0411	0.0075	0.0238
10	6.09e-02	9.46e-02	1.368	3.3927	35.87	0.35	9/0/0/4	+0.0000,-0.0026,-0.0026	4.8389	3.0602	0.0416	0.0066	0.0248
11	1.68e-02	9.58e-02	0.276	3.4359	35.87	0.35	10/0/0/4	+0.0000,-0.0000,-0.0000	4.8384	3.0603	0.0416	0.0072	0.0249
12	8.68e-03	9.32e-02	0.518	3.3422	35.87	0.35	11/0/0/4	+0.0000,-0.0000,-0.0000	4.8386	3.0603	0.0416	0.0069	0.0249
13	1.15e-02	9.55e-02	1.319	3.4256	35.87	0.35	12/0/0/4	+0.0000,-0.0026,-0.0000	4.8386	3.0604	0.0416	0.0069	0.0250
14	1.18e-01	9.50e-02	10.301	4.2322	35.87	0.35	13/0/0/4	+0.0000,+0.0052,+0.0026	4.8385	3.0593	0.0410	0.0070	0.0239
15	3.44e-01	8.83e-02	2.912	12.3245	35.87	0.35	14/0/0/4	+0.0000,+0.0104,+0.0102	4.8387	3.0550	0.0390	0.0068	0.0196
16	3.14e-02	7.40e-02	0.091	2.6562	35.87	0.35	15/0/0/4	+0.0000,-0.0000,-0.0000	4.8385	3.0548	0.0390	0.0070	0.0194
17	1.49e-01	7.41e-02	4.752	5.3509	35.87	0.35	16/0/0/4	+0.0027,+0.0052,+0.0026	4.8400	3.0534	0.0385	0.0055	0.0180
18	2.82e-01	6.49e-02	1.890	10.1133	35.87	0.35	17/0/0/4	+0.0000,+0.0104,+0.0077	4.8382	3.0499	0.0370	0.0073	0.0145
