# G2 耦合逐轮探针　2026-09-23 10:42:04　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6x　args mode=long max=45
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 45，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
轮	秒	步长δ	真残差	剩余估计δ×amp	resK×amp	放大	ω	AA接受	AA丢弃	AA重启	AA深度	最热铂	管根	净流入	I0	TA0	TB0	I1	TA1	TB1	I2	TA2	TB2	Q0	Q1	Q2	Q3
1	66.6	66.0852132556372	0	2370.698724435844	0	35.873361189972684	0.35	0	0	0	0	34.855247644810106	30.790786136009046	-0.10513451014976151	1213.7559726084332	1149.5983824342009	1083.9150074894474	1077.5914909276378	1147.707255483607	1053.6149054835373	1024.2927937576444	1076.9532713928272	1047.1277022330535	0.5123346689869056	12.224487575109956	3.3182796317245042	-0.10513451014976151
2	71.3	29.672974686739508	66.0852132556372	1064.4528963166008	2370.662105713971	35.872807076275095	0.35	1	0	0	1	6.890567439983897	2.7838616957228624	-0.1089365191274582	1213.619174291573	1149.234266533911	1112.8356814549547	1077.705786898532	1118.0342807968675	1064.2294817894904	1024.3594108545635	1066.1322345484173	1047.2161383042771	0.48015631199642494	1.9268354255302549	0.06802197317747725	-0.1089365191274582
3	76.0	5.851268717747871	6.843302531670361	209.9015235215983	245.4885763424127	35.87282239917167	0.35	2	0	0	2	12.371819831189441	7.589064517563429	-0.10586867428940112	1213.6459974909576	1149.2604161992183	1107.116729107893	1077.6824081707236	1123.8855495146154	1062.1378634599446	1024.346599876159	1068.2734465849935	1047.2136927310862	0.4770454504134831	3.9394545457691925	0.7092605455019145	-0.10586867428940112
4	81.0	7.176462660409015	18.433094048803014	257.437053807562	661.2396174874119	35.872415978388105	0.35	3	0	0	3	5.649349049247121	2.7214399677177425	-0.10030240142821183	1213.6164919716343	1149.0518425785017	1114.0335348117044	1077.7135798158201	1116.7090868542064	1064.7123263374988	1024.3645352609765	1065.6920972774196	1047.2785600322823	0.4432765429953582	1.4707786708532533	-0.06495084137535252	-0.10030240142821183
5	85.7	0.9973041635680602	3.8116808901570494	35.775694935292194	136.73414560816224	35.87240106097352	0.35	4	0	0	4	5.497153361616711	2.719059008317572	-0.16990349044837233	1213.6111273317574	1149.0461621790682	1114.9733634916483	1077.7187750920152	1115.7117826906383	1065.0715871677403	1024.3670974591287	1065.3426714319996	1047.2809409916824	0.4437829329252577	1.1288984597723533	-0.16990349044837233	-0.1006115866826117
6	90.6	0.8554718774125831	1.820980224939376	30.687822647686325	65.32291670054794	35.872392135791955	0.35	5	0	0	4	5.494428657242452	2.7176344641925425	-0.15976837958602672	1213.6084450118192	1149.0436114684921	1115.7600655391523	1077.721372727332	1114.8563108132257	1065.381105612084	1024.3696596588634	1065.051469046057	1047.2823655358075	0.4440957970354419	1.145496254824741	-0.15976837958602672	-0.10107577809074943
7	95.5	0.0610879249802565	0.1360068851051892	2.1913703408141907	4.878893075224955	35.87239772053867	0.35	6	0	0	4	5.4961208006029665	2.718525843747102	-0.15423360746881581	1213.6084450118192	1149.045461109015	1115.7900348872379	1077.7213727270537	1114.7952228882455	1065.3998606961081	1024.3696596590617	1065.0369164662372	1047.281474156253	0.4444770396136733	1.155769563289915	-0.15423360746881581	-0.1012165909489194
8	100.3	0.023210464955127463	0.059514061376830796	0.832615039444532	2.1349121035090506	35.87239812102935	0.35	7	0	0	4	5.496287133893475	2.718589765834622	-0.15395140783515948	1213.6084450118192	1149.0456429267033	1115.7668244222828	1077.7239703694072	1114.7771787079737	1065.4028835492218	1024.3696596596938	1065.0417839716524	1047.2814102341654	0.44451453331771407	1.1471771483812976	-0.15395140783515948	-0.10122850043098658
9	104.9	0.018349022518123093	0.0638100879200465	0.658223432979992	2.289020850456965	35.87239768929779	0.35	8	0	0	4	5.496193497803915	2.718520857360545	-0.15419863414599808	1213.6084450118192	1149.0455405723503	1115.7851734448009	1077.7213727270969	1114.7935335726265	1065.399987266795	1024.3696596592158	1065.0381934521108	1047.2814791426395	0.44449341848634916	1.1540943066751819	-0.15419863414599808	-0.10121807211247938
10	109.5	0.031549022703075025	0.06056888871444244	1.1317391461719142	2.1727513731061947	35.87239949786481	0.35	9	0	0	4	5.496634547018857	2.718809521920093	-0.1536140447500656	1213.6084450118192	1149.0460226740547	1115.7536244220978	1077.72397036952	1114.7679371113359	1065.4040364432112	1024.369659660204	1065.0443896067436	1047.28119047808	0.44459279827461295	1.1426523248315117	-0.1536140447500656	-0.10126440090231942
11	114.5	0.01433233376633325	0.07087331707862177	0.5141351011119409	2.5423954421121597	35.87239241662428	0.35	10	0	0	4	5.496471329264523	2.7176792874872717	-0.15333309842307682	1213.6084450118192	1149.0458442576587	1115.7427092700034	1077.72397036962	1114.7536047775695	1065.4069996409814	1024.372221867357	1065.0461500610845	1047.2823207125127	0.44455601233015707	1.1389020246708796	-0.15333309842307682	-0.10177279064490787
12	119.8	0.04486269561652989	0.06624768670394587	1.609332602817395	2.3764635764465716	35.87240090460432	0.35	11	0	0	4	5.496610051596008	2.7190340511970135	-0.15431065030662802	1213.6084450118192	1149.0459959019297	1115.78757196562	1077.7213727270682	1114.7929912796492	1065.3996085901683	1024.3696596591722	1065.0367393816912	1047.280965948803	0.4445872955572262	1.1549165142410158	-0.15431065030662802	-0.10129813043050453
13	124.8	0.036241204757061496	0.06476926479285794	1.3000591231856673	2.3234292060772708	35.87240357765299	0.35	12	0	0	4	5.494910598441493	2.719460695480848	-0.15629033201273096	1213.6057626918807	1149.0445658665471	1115.823813170377	1077.7213727268809	1114.8272355380723	1065.392891028012	1024.3696596579862	1065.0292710052793	1047.2805393045192	0.44513114530822645	1.1680233066130694	-0.15629033201273096	-0.10136805205992665
14	129.7	0.0092884514135676	0.06877782806350297	0.3331990728400131	2.4672259693617695	35.872403052387256	0.35	13	0	0	4	5.495023137737007	2.719376858013675	-0.15575693842382637	1213.6057626918807	1149.0446888760719	1115.8145247189634	1077.7213727269618	1114.8180714489044	1065.3947005799316	1024.369659658391	1065.0311187840648	1047.2806231419863	0.44515647637054273	1.1648479076622509	-0.15575693842382637	-0.10135545632394741
15	134.4	0.09066280320735132	0.06814709044510892	3.252291547722464	2.444599090429789	35.87239124169012	0.35	14	0	0	4	5.497044875056645	2.717491756463687	-0.15169275320228565	1213.6084450118192	1149.046531212127	1115.723861915756	1077.7239703697792	1114.7276107567268	1065.41256175067	1024.3722218682947	1065.0490366905528	1047.2825082435363	0.4448097801193448	1.1324415063767599	-0.15169275320228565	-0.10174268504040322
16	139.1	1.318114946143396	0.06296226716767706	47.28377910216158	2.2585996321779422	35.872272930753674	0.35	15	0	0	4	5.505438161528218	2.69860807035343	-0.10494069860160353	1213.613809651696	1149.0548488935956	1114.4057469696127	1077.7681302977553	1113.4141891577779	1065.6722205749193	1024.3952817797344	1065.3098641093063	1047.3013919296466	0.44484347104568545	0.6686789693316096	-0.09082970191881887	-0.10494069860160353
17	143.9	0.004648720644127025	0.013955626994174963	0.16676028879748697	0.5006203999026599	35.8722972541196	0.35	15	1	0	3	5.503285752306965	2.702490354630527	-0.10556430831060565	1213.613809651696	1149.0524977695682	1114.4103956902568	1077.7655326555823	1113.4177085330068	1065.6722540657534	1024.3952817798886	1065.309691228198	1047.2975096453695	0.44436238017135704	0.6708979773428373	-0.09020124123841403	-0.10556430831060565
18	148.6	0.564041792624721	0.012590532775220709	20.233504253170178	0.4516519906648163	35.872349385699366	0.35	16	1	0	4	5.499612307038433	2.7108111166039635	-0.11628150696576382	1213.6111273317574	1149.0488499930339	1114.9744374828815	1077.7473491556452	1113.98065199012	1065.5613092126007	1024.3850329311135	1065.1985134036745	1047.289188883396	0.44433694424821313	0.8692297510562187	-0.11628150696576382	-0.10413331114592944
19	153.2	0.315742611142241	0.019587930729130676	11.326423089726639	0.7026647118923202	35.87232983458201	0.35	17	1	0	4	5.501263531703216	2.707690551860196	-0.1057079517176218	1213.613809651696	1149.0502273111201	1114.6586948717393	1077.7577397269301	1113.6655939050202	1065.6249430136118	1024.392719563234	1065.2623642120561	1047.2923094481398	0.4437822389813543	0.7578396388708768	-0.10173419871881391	-0.1057079517176218
20	158.2	0.0007123771501937881	0.002078583896945929	0.02555462660467836	0.07456364278177777	35.87232773780957	0.35	17	2	0	3	5.501398842104891	2.70735588466232	-0.10565278956062812	1213.613809651696	1149.0503752140366	1114.6581683915783	1077.757739726931	1113.6649471682003	1065.625655390762	1024.392719563244	1065.2630263196584	1047.2926441153377	0.4438127148594307	0.7576593445904134	-0.10152347564573116	-0.10565278956062812
21	162.8	0.0006829875580933731	0.0020131871351622976	0.02450035279011787	0.07221770654460416	35.87232666216207	0.35	17	3	0	3	5.501408755164903	2.707184199810854	-0.10562755500516115	1213.613809651696	1149.0504460690363	1114.6576105714576	1077.7577397269383	1113.6643521480783	1065.62633837832	1024.392719563249	1065.2636937036941	1047.2928158001891	0.4439394845909096	0.7574770034361938	-0.10132350162639511	-0.10562755500516115
22	167.6	0.05310590710132601	0.001975955673515273	1.9050323400177358	0.07088212340118621	35.87232464333838	0.35	18	3	0	4	5.5015907716142465	2.7068619737694917	-0.10557497700238522	1213.613809651696	1149.0505850094783	1114.6045046643562	1077.760337369562	1113.6112523365982	1065.6383040967357	1024.3927195652514	1065.275614729816	1047.2931380262305	0.44385596825136325	0.7386489720659105	-0.09840707558039498	-0.10557497700238522
23	172.1	0.0597753027386716	0.0014470246937889897	2.1442792057164612	0.05190814297695877	35.872326989139964	0.35	19	3	0	4	5.501453311066825	2.707236388587262	-0.10563391719699912	1213.613809651696	1149.0504347514811	1114.5447293616176	1077.762935012248	1113.5516002038746	1065.6509052222423	1024.3927195675697	1065.2882345205678	1047.2927636114127	0.44382497951763583	0.7175452838956304	-0.09529519560531427	-0.10563391719699912
24	176.9	0.007985937610555993	0.004627213902949734	0.28647418337625336	0.16598894066021663	35.87232925506271	0.35	20	3	0	4	5.501291324389285	2.707598054041682	-0.10569283250099225	1213.613809651696	1149.0502576877072	1114.552715299228	1077.7629350121733	1113.5595810062234	1065.6494666253946	1024.3927195672154	1065.2868052082306	1047.2924019459583	0.4437884826947983	0.7202714884593947	-0.0957253123329614	-0.10569283250099225
