# G2 耦合逐轮探针　2026-09-23 10:42:04　树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/g2/wtF6x　args mode=long max=45
# 算例：R48LW08NavDesign.Build()，圆盘保温 20 mm，网格 判决 1.000/59.0，CoupleTolK 1E-12，FromMargin False，MaxRounds 45，AA 深度 4，ω0 0.35，κ 50
# 段解地板：电流 0.005 A　Picard 0.001 K　Bvp 0.0005 K
# 结束：Converged False　CoupleRounds 45　单元 4164　耗时 278 s
# 判据：最热铂 5.501445062701123　管根 2.7074473948723607　净流入 -0.1056697649743033
# 放大：闭式 32.61120755558676　雅可比 34.62337058804575　用 35.87232831114544　认证误差 NaN
# 注：★ 停机放大口径：max(闭式 32.6 × 1.1, 实测雅可比 34.6) = 35.9；量雅可比用时 15.2 s
# 注：★ Anderson：接受 41／丢弃 3／重启 0，末端深度 4
# 注：★ 外层耦合 45 轮未收敛（**剩余误差估计 0.1 K**，步长 0.0 K，真残差 0.003 K，**容差 0.000 K**，ω=0.35）—— 本次结果的每个数都不可用。
# 离线判停（生产口径 max(δ,真残差)×放大 < 0.025）：第 None 轮；记录到第 45 轮
轮	δ K	真残差 K	δ/δ前	max(δ,res)×amp	放大	ω	AA接受/丢弃/重启/深度	ΔI 各段 A（相对上一轮）	最热铂	管根	净流入	|最热铂−末轮|	|管根−末轮|
1	6.61e+01	0.00e+00	nan	2370.6987	35.87	0.35	0/0/0/0		34.8552	30.7908	-0.1051	29.3538	28.0833
2	2.97e+01	6.61e+01	0.449	2370.6621	35.87	0.35	1/0/0/1	-0.1368,+0.1143,+0.0666	6.8906	2.7839	-0.1089	1.3891	0.0764
3	5.85e+00	6.84e+00	0.197	245.4886	35.87	0.35	2/0/0/2	+0.0268,-0.0234,-0.0128	12.3718	7.5891	-0.1059	6.8704	4.8816
4	7.18e+00	1.84e+01	1.226	661.2396	35.87	0.35	3/0/0/3	-0.0295,+0.0312,+0.0179	5.6493	2.7214	-0.1003	0.1479	0.0140
5	9.97e-01	3.81e+00	0.139	136.7341	35.87	0.35	4/0/0/4	-0.0054,+0.0052,+0.0026	5.4972	2.7191	-0.1699	0.0043	0.0116
6	8.55e-01	1.82e+00	0.858	65.3229	35.87	0.35	5/0/0/4	-0.0027,+0.0026,+0.0026	5.4944	2.7176	-0.1598	0.0070	0.0102
7	6.11e-02	1.36e-01	0.071	4.8789	35.87	0.35	6/0/0/4	+0.0000,-0.0000,+0.0000	5.4961	2.7185	-0.1542	0.0053	0.0111
8	2.32e-02	5.95e-02	0.380	2.1349	35.87	0.35	7/0/0/4	+0.0000,+0.0026,+0.0000	5.4963	2.7186	-0.1540	0.0052	0.0111
9	1.83e-02	6.38e-02	0.791	2.2890	35.87	0.35	8/0/0/4	+0.0000,-0.0026,-0.0000	5.4962	2.7185	-0.1542	0.0053	0.0111
10	3.15e-02	6.06e-02	1.719	2.1728	35.87	0.35	9/0/0/4	+0.0000,+0.0026,+0.0000	5.4966	2.7188	-0.1536	0.0048	0.0114
11	1.43e-02	7.09e-02	0.454	2.5424	35.87	0.35	10/0/0/4	+0.0000,+0.0000,+0.0026	5.4965	2.7177	-0.1533	0.0050	0.0102
12	4.49e-02	6.62e-02	3.130	2.3765	35.87	0.35	11/0/0/4	+0.0000,-0.0026,-0.0026	5.4966	2.7190	-0.1543	0.0048	0.0116
13	3.62e-02	6.48e-02	0.808	2.3234	35.87	0.35	12/0/0/4	-0.0027,-0.0000,-0.0000	5.4949	2.7195	-0.1563	0.0065	0.0120
14	9.29e-03	6.88e-02	0.256	2.4672	35.87	0.35	13/0/0/4	+0.0000,+0.0000,+0.0000	5.4950	2.7194	-0.1558	0.0064	0.0119
15	9.07e-02	6.81e-02	9.761	3.2523	35.87	0.35	14/0/0/4	+0.0027,+0.0026,+0.0026	5.4970	2.7175	-0.1517	0.0044	0.0100
16	1.32e+00	6.30e-02	14.539	47.2838	35.87	0.35	15/0/0/4	+0.0054,+0.0442,+0.0231	5.5054	2.6986	-0.1049	0.0040	0.0088
