每 5 轮一格：δ = 该格末轮步长 K；res = 该格末轮真残差 K；翻 = 该 5 轮内段电流跨二分格的轮数（插值树电流连续，不计）
轮	M(09-18 网格) δ/res/翻	MN(N 网格, F6 前) δ/res/翻	F6(分支头) δ/res/翻	F6+电流插值(诊断) δ/res
5	7.1e-01/3.0e+00/3	1.1e+00/3.3e+00/3	1.2e+00/4.1e+00/3	1.0e+00/3.9e+00
10	1.0e-01/1.8e-01/5	6.7e-02/9.3e-02/3	1.2e-02/6.7e-02/3	2.7e-02/6.1e-02
15	2.3e+00/1.6e-01/5	1.6e-01/8.8e-02/3	5.4e-02/6.7e-02/3	8.1e-02/4.5e-02
20	1.7e-02/5.1e-03/4	4.8e-01/5.3e-02/5	3.3e-01/6.3e-02/5	7.5e-02/3.4e-03
25	9.2e-03/5.5e-04/3	1.2e-01/8.1e-03/5	5.1e-02/1.3e-02/3	1.7e-02/1.5e-03
30	2.7e-04/4.1e-04/2	9.4e-02/3.3e-03/3	6.3e-02/4.7e-03/5	5.3e-03/6.8e-04
35	4.4e-03/3.9e-04/0	1.6e-02/9.9e-04/3	1.2e-03/2.4e-03/3	7.6e-04/6.6e-05
40	7.5e-03/1.0e-03/0	7.3e-03/1.6e-03/2	5.1e-05/2.3e-03/0	9.5e-05/1.7e-05
45	2.2e-03/6.2e-04/0	1.8e-02/1.9e-03/1	7.2e-04/2.4e-03/2	9.7e-06/2.5e-05
50	3.9e-04/2.0e-05/0	4.4e-03/6.3e-04/1	1.4e-02/2.2e-03/2	5.1e-07/2.4e-05
55	4.8e-05/5.1e-06/0	2.2e-03/4.6e-04/0	9.7e-04/2.8e-03/2	2.6e-05/2.3e-05
60	2.9e-06/6.7e-06/0	5.9e-04/6.8e-04/0	1.6e-02/2.2e-03/1	3.0e-04/1.7e-06
65	1.9e-06/6.7e-06/0	3.8e-03/5.2e-04/0	3.7e-02/2.1e-03/3	1.4e-05/2.2e-05
70	2.3e-06/6.8e-06/0	2.5e-03/5.2e-04/2	6.6e-03/2.7e-03/2	1.8e-04/1.6e-05
75	1.3e-05/6.2e-06/0	—	4.1e-03/1.4e-03/1	2.6e-05/2.4e-05
80	2.3e-05/6.9e-06/0	—	1.0e-02/1.9e-03/3	2.3e-04/1.5e-05
85	5.0e-05/4.7e-06/0	—	1.2e-02/2.3e-03/3	—
90	1.8e-05/6.0e-06/0	—	9.2e-04/6.6e-04/2	—
95	—	—	5.8e-04/1.3e-03/0	—
100	—	—	1.9e-04/9.3e-04/0	—
105	—	—	1.7e-03/4.7e-04/0	—
110	—	—	4.1e-03/4.8e-04/0	—
115	—	—	4.2e-03/3.8e-04/0	—
120	—	—	6.9e-04/1.9e-04/0	—
125	—	—	3.9e-03/1.3e-04/0	—
130	—	—	6.7e-04/1.0e-04/0	—
135	—	—	6.7e-05/3.6e-05/0	—
140	—	—	2.4e-05/3.4e-05/0	—
145	—	—	4.4e-05/4.0e-05/0	—
150	—	—	1.1e-04/2.0e-05/0	—
155	—	—	1.2e-04/3.2e-05/0	—
160	—	—	4.5e-04/2.6e-05/0	—
165	—	—	3.5e-04/2.9e-05/0	—
170	—	—	6.6e-04/5.0e-05/0	—
停机轮（生产口径离线判停，与生产实跑轮数一致）：M 29（Windows 09-18 同为 29）、MN 60（01:43 实跑 60）、F6 119（09:17 实跑 119）、F6+插值 33
