# P1 收敛参照　开跑 2026-09-23 19:10:51（Linux 镜像，争用下）；网格经 BuildFromMaterialWith（AnchorsOf 锚点，规则 A 开 = 生产规则，与 Build 逐位同见自检）；粗区、细区半径、内带照 lc
例	r	hFine	规则A	Qtube	Qgen	格数	并格A	弧面数	最热格T
0	25.590	2	开	27.25095935499678	453.103104210397	912	24	100	1107.890084906239
0	25.590	2	关	26.648855708782918	453.7031866862643	936	0	100	1107.9401249390821
0	25.590	1	开	27.80245705631324	452.4852319149765	2904	56	204	1107.8851532619485
0	25.590	1	关	27.316051886398014	452.95923262537514	2960	0	204	1107.904373824476
0	25.590	0.5	开	28.02422629552153	452.4706626635096	9980	120	412	1107.8698423739029
0	25.590	0.5	关	27.754833460588312	452.7248169955732	10100	0	412	1107.8777397006565
0	25.590	0.25	开	27.97961084219299	452.2720581012457	36444	240	820	1107.8705344554505
0	25.590	0.25	关	27.85768033840071	452.38687011843643	36684	0	820	1107.8733178502598
0	25.800	2	开	27.316992226737344	451.4854620432277	904	24	100	1107.9321182081299
0	25.800	2	关	26.62436085319594	452.1745989997279	928	0	100	1107.9666497390308
0	25.800	1	开	27.736024960604436	451.0075502964082	2880	56	204	1107.8842286686013
0	25.800	1	关	27.286109169794965	451.4384662797454	2936	0	204	1107.9002016980653
0	25.800	0.5	开	27.928626253529508	451.0117260874342	9868	120	412	1107.85586391147
0	25.800	0.5	关	27.73357894448714	451.1974575347906	9988	0	412	1107.8600431954421
0	25.800	0.25	开	27.94280387688392	450.75799318154077	35904	244	828	1107.84586417033
0	25.800	0.25	关	27.823706994266804	450.8710078045355	36148	0	828	1107.847684443221
0	26.040	2	开	27.34070058440138	449.68579712884485	888	32	108	1107.9600849075564
0	26.040	2	关	26.440234179872043	450.5813044899306	920	0	108	1108.0376822171222
0	26.040	1	开	27.7336544910671	449.2270500084382	2832	64	212	1107.876174421368
0	26.040	1	关	27.20038202057517	449.7432021655546	2896	0	212	1107.8968929709097
0	26.040	0.5	开	27.93991078194136	449.22322751566526	9696	124	420	1107.834548907227
0	26.040	0.5	关	27.66796756228006	449.4794609061237	9820	0	420	1107.8380802039635
0	26.040	0.25	开	27.902744911214494	449.0160391583799	35268	244	836	1107.8215696679658
0	26.040	0.25	关	27.770844207329613	449.13978020275147	35512	0	836	1107.8234923432651
0	26.200	2	开	27.649623191250587	448.20174478859366	868	36	108	1107.8866475406496
0	26.200	2	关	26.390296747259914	449.43254576863006	904	0	108	1107.9702918321784
0	26.200	1	开	27.590463740516746	448.167789037525	2804	60	212	1107.8462594401167
0	26.200	1	关	27.170457648886902	448.5743535059992	2864	0	212	1107.856190845955
0	26.200	0.5	开	27.886622305808398	448.07370505499836	9584	120	420	1107.8151165545185
0	26.200	0.5	关	27.634012290929938	448.31721622810335	9704	0	420	1107.8169287166736
0	26.200	0.25	开	27.857079067724488	447.8642087713674	34868	240	836	1107.8140052973065
0	26.200	0.25	关	27.729189107260108	447.98486359082506	35108	0	836	1107.8150154962962
0	26.440	2	开	27.368067117726557	446.6721079876223	856	40	108	1107.8246841352222
0	26.440	2	关	26.320766922898468	447.696487231787	896	0	108	1107.8813128162244
0	26.440	1	开	27.715174896824017	446.2513860496869	2756	60	212	1107.809542190877
0	26.440	1	关	27.110704102733084	446.82526515782047	2816	0	212	1107.8177036174195
0	26.440	0.5	开	27.8123354574585	446.34923009398847	9448	120	420	1107.800797523858
0	26.440	0.5	关	27.55977966443191	446.5863424391243	9568	0	420	1107.801178822906
0	26.440	0.25	开	27.79256046995145	446.125237108688	34216	244	844	1107.8010054338142
0	26.440	0.25	关	27.647329113825947	446.26097513034534	34460	0	844	1107.8013932860242
1	25.590	2	开	17.52648730906934	968.0327035344466	1034	24	100	1234.123514052662
1	25.590	2	关	16.588363252176674	969.0984403351055	1058	0	100	1234.405624129258
1	25.590	1	开	18.379888820818373	966.764923536226	3348	56	204	1233.5891798447626
1	25.590	1	关	17.627767455491934	967.5563336888019	3404	0	204	1233.7223641085507
1	25.590	0.5	开	18.408258245230613	969.1239842772032	11646	120	412	1233.4585226376676
1	25.590	0.5	关	18.071887728212104	969.4478107153825	11766	0	412	1233.534394975848
1	25.590	0.25	开	18.37152062261688	966.7651602522411	42898	240	820	1233.468351509824
1	25.590	0.25	关	18.248562787295956	966.8821948772013	43138	0	820	1233.4956882988383
1	25.800	2	开	16.983109785367027	964.7014581710965	1026	24	100	1233.8581014773793
1	25.800	2	关	15.887544889537796	965.9451014290357	1050	0	100	1234.0907491612365
1	25.800	1	开	17.67590574378446	963.7139255035264	3324	56	204	1233.2524213563968
1	25.800	1	关	17.008774401904052	964.3860930028139	3380	0	204	1233.4117929358495
1	25.800	0.5	开	17.70138057614817	966.0651563837948	11534	120	412	1233.1372756417152
1	25.800	0.5	关	17.469243424077632	966.2942489691103	11654	0	412	1233.1869379873149
1	25.800	0.25	开	17.76205766248499	963.6169342207709	42358	244	828	1233.1153140239771
1	25.800	0.25	关	17.644436548208766	963.7312423561307	42602	0	828	1233.1396388670425
1	26.040	2	开	16.579857470045486	960.7716439669578	1010	32	108	1233.1230745688463
1	26.040	2	关	15.106422126442775	962.4262063375843	1042	0	108	1233.5273209905404
1	26.040	1	开	17.098334973504045	959.944238318924	3276	64	212	1232.7705523350933
1	26.040	1	关	16.29339821258222	960.7683280048763	3340	0	212	1232.9552162611446
1	26.040	0.5	开	17.067092256677203	962.374352790216	11362	124	420	1232.698725127012
1	26.040	0.5	关	16.735040401845623	962.6951354170396	11486	0	420	1232.7759921555141
1	26.040	0.25	开	17.046512347427424	960.0033602375463	41722	244	836	1232.7040298723532
1	26.040	0.25	关	16.910745601227745	960.1322894730849	41966	0	836	1232.7333191859555
1	26.200	2	开	16.81897232398407	957.6738600406676	994	32	108	1232.5068272471908
1	26.200	2	关	14.724793510507602	959.9574661308784	1026	0	108	1233.117266762621
1	26.200	1	开	16.461436540713425	957.7009484517088	3248	60	212	1232.5182240974214
1	26.200	1	关	15.826431269913565	958.3465701837713	3308	0	212	1232.64494681387
1	26.200	0.5	开	16.532934767896712	959.9849079249287	11250	120	420	1232.4458434950193
1	26.200	0.5	关	16.22391599426481	960.2993557861295	11370	0	420	1232.4922901566329
1	26.200	0.25	开	16.52629284465319	957.6080071955956	41322	240	836	1232.4363244698302
1	26.200	0.25	关	16.395861077352524	957.7342268860756	41562	0	836	1232.4635036403724
1	26.440	2	开	15.740004136889677	954.4388349188505	986	32	108	1232.2370853854536
1	26.440	2	关	14.041677850656008	956.2719390172856	1018	0	108	1232.7207174662292
1	26.440	1	开	15.981905120031062	953.7871239752079	3200	60	212	1232.030335771839
1	26.440	1	关	15.008609662591935	954.7639451754321	3260	0	212	1232.2561400282427
1	26.440	0.5	开	15.726782941885894	956.3923642266952	11114	120	420	1232.0317766269732
1	26.440	0.5	关	15.410197744475479	956.6975496795152	11234	0	420	1232.1053771936777
1	26.440	0.25	开	15.735778911932233	954.0003697343059	40670	244	844	1232.0166905039391
1	26.440	0.25	关	15.585559376205072	954.1426721833966	40914	0	844	1232.051249039757
# 耗时 2.57 min（争用下量得）；证据 收敛参照_本次开跑于2026-09-23_190914.tsv
