R48 V　跳变诊断 ⑪：**盘缘窄带那一排格在三档网格上各在哪里翻面**（W08，只量几何、不解场）
开跑 2026-09-18 16:04:59　编译运行目录 C:\Users\admin\AppData\Local\Temp\claude\D--WinForm-Pt-Optimize\7e065600-607b-4804-80c9-ea03a0587700\scratchpad\mirror（源码镜像自工作树 D:\WinForm\r48_U，逐字相同）　写码 2026-09-18 Opus 5
基准设计：deliverable/R48_L_端到端_细网格_W08_本次开跑于2026-09-17_093013.txt　§「旋钮终值（逐片）」表的 A 导航档四行

═══════ 判读（跑前写死，跑完不挪）═══════
　① 闭式预测「整排丢掉」= (栅格步 ÷ 2) ÷ (盘半径 − 舌半宽) < 0.25，即 盘半径 − 舌半宽 > 细区网格 ÷ 2。
　② 实测与预测**逐档一致** ⇒ 机理成立；有一档不一致 ⇒ 机理不成立，照印不一致的那一档。
　③ 盘半径 ≤ 舌半宽（舌半宽被夹成盘半径）⇒ 没有这条带，写「无带」，不算可信也不算不可信。

═══════ 口径 ═══════
网格：LineRunner.PlateMeshAnalytic（生产原样），细区尺寸由 Solver.ApplyCaseMesh 给；栅格步 = FlangeMesher.RasterStepFor(细区)。
「带」= z ∈ (舌半宽, 盘半径] 那一排格（两侧各一排）；只数**舌片那一段**（格心 x < 切点x）。
丢弃线 = BuildFromField 的 covered < 0.25 × 整格面积。

细区mm	盘半径	舌半宽实际	带宽	栅格步	预测覆盖率	预测整排丢?	实测带里舌段格数	实测留下	实测丢掉	网格体积 mm³	单元	一致?
2.000	28.00	28.000	0	0.5000	—	无带	0	0	0	16097.9	1050	无带
2.000	28.25	28.250	0	0.5000	—	无带	0	0	0	15968.4	1058	无带
2.000	28.50	28.500	0	0.5000	—	无带	0	0	0	15833.9	1148	无带
2.000	28.75	28.750	0	0.5000	—	无带	0	0	0	15782.5	1156	无带
2.000	29.00	29.000	0	0.5000	—	无带	0	0	0	15647.1	1156	无带
2.000	29.25	29.250	0	0.5000	—	无带	0	0	0	15515.6	1160	无带
2.000	29.50	29.500	0	0.5000	—	无带	0	0	0	15385.3	1166	无带
2.000	29.75	29.750	0	0.5000	—	无带	0	0	0	15333.4	1174	无带
2.000	30.00	30.000	0	0.5000	—	无带	0	0	0	15202.0	1096	无带
2.000	30.25	30.000	0.2500	0.5000	1.0000	留	80	80	0	15787.8	1218	一致
2.000	30.50	30.000	0.5000	0.5000	0.5000	留	78	78	0	15981.8	1216	一致
2.000	30.75	30.000	0.7500	0.5000	0.3333	留	78	78	0	16153.0	1246	一致
2.000	31.00	30.000	1.0000	0.5000	0.2500	留	76	74	2	16271.3	1230	一致
2.000	31.25	30.000	1.2500	0.5000	0.2000	丢	76	0	76	16284.1	1180	一致
2.000	31.50	30.000	1.5000	0.5000	0.1667	丢	76	0	76	16404.5	1194	一致
2.000	31.75	30.000	1.7500	0.5000	0.1429	丢	76	0	76	16532.5	1212	一致
2.000	32.00	30.000	2.0000	0.5000	0.1250	丢	76	0	76	16669.2	1226	一致
2.000	32.25	30.000	2.2500	0.5000	0.1111	丢	76	0	76	16798.9	1256	一致
2.000	32.50	30.000	2.5000	0.5000	0.1000	丢	76	0	76	16931.3	1286	一致
2.000	32.75	30.000	2.7500	0.5000	0.0909	丢	76	0	76	17064.3	1296	一致
2.000	33.00	30.000	3.0000	0.5000	0.0833	丢	76	0	76	17190.0	1310	一致
2.000	33.25	30.000	3.2500	0.5000	0.0769	丢	74	0	74	17328.9	1298	一致
2.000	33.50	30.000	3.5000	0.5000	0.0714	丢	74	0	74	17454.8	1312	一致
2.000	33.75	30.000	3.7500	0.5000	0.0667	丢	74	0	74	17604.5	1326	一致
2.000	34.00	30.000	4.0000	0.5000	0.0625	丢	74	0	74	17776.8	1344	一致
1.000	28.00	28.000	0	0.2500	—	无带	0	0	0	16097.2	3932	无带
1.000	28.25	28.250	0	0.2500	—	无带	0	0	0	15965.8	4122	无带
1.000	28.50	28.500	0	0.2500	—	无带	0	0	0	15835.3	4142	无带
1.000	28.75	28.750	0	0.2500	—	无带	0	0	0	15778.8	4162	无带
1.000	29.00	29.000	0	0.2500	—	无带	0	0	0	15648.9	4026	无带
1.000	29.25	29.250	0	0.2500	—	无带	0	0	0	15519.1	4220	无带
1.000	29.50	29.500	0	0.2500	—	无带	0	0	0	15386.1	4228	无带
1.000	29.75	29.750	0	0.2500	—	无带	0	0	0	15332.4	4260	无带
1.000	30.00	30.000	0	0.2500	—	无带	0	0	0	15202.8	4122	无带
1.000	30.25	30.000	0.2500	0.2500	0.5000	留	152	152	0	15726.3	4370	一致
1.000	30.50	30.000	0.5000	0.2500	0.2500	留	150	150	0	15921.4	4432	一致
1.000	30.75	30.000	0.7500	0.2500	0.1667	丢	148	0	148	16004.7	4308	一致
1.000	31.00	30.000	1.0000	0.2500	0.1250	丢	148	0	148	16143.9	4402	一致
1.000	31.25	30.000	1.2500	0.2500	0.1000	丢	148	0	148	16278.0	4498	一致
1.000	31.50	30.000	1.5000	0.2500	0.0833	丢	146	0	146	16415.0	4518	一致
1.000	31.75	30.000	1.7500	0.2500	0.0714	丢	146	0	146	16547.1	4598	一致
1.000	32.00	30.000	2.0000	0.2500	0.0625	丢	144	0	144	16678.8	4600	一致
1.000	32.25	30.000	2.2500	0.2500	0.0556	丢	144	0	144	16807.3	4690	一致
1.000	32.50	30.000	2.5000	0.2500	0.0500	丢	142	0	142	16936.2	4706	一致
1.000	32.75	30.000	2.7500	0.2500	0.0455	丢	142	0	142	17066.5	4772	一致
1.000	33.00	30.000	3.0000	0.2500	0.0417	丢	142	0	142	17180.0	4822	一致
1.000	33.25	30.000	3.2500	0.2500	0.0385	丢	140	0	140	17334.0	4868	一致
1.000	33.50	30.000	3.5000	0.2500	0.0357	丢	140	0	140	17473.9	4910	一致
1.000	33.75	30.000	3.7500	0.2500	0.0333	丢	140	0	140	17618.7	4982	一致
1.000	34.00	30.000	4.0000	0.2500	0.0313	丢	140	0	140	17780.3	5038	一致
0.500	28.00	28.000	0	0.1250	—	无带	0	0	0	16109.1	14920	无带
0.500	28.25	28.250	0	0.1250	—	无带	0	0	0	15978.1	15324	无带
0.500	28.50	28.500	0	0.1250	—	无带	0	0	0	15846.9	15088	无带
0.500	28.75	28.750	0	0.1250	—	无带	0	0	0	15790.6	15502	无带
0.500	29.00	29.000	0	0.1250	—	无带	0	0	0	15659.8	15278	无带
0.500	29.25	29.250	0	0.1250	—	无带	0	0	0	15528.9	15674	无带
0.500	29.50	29.500	0	0.1250	—	无带	0	0	0	15398.8	15452	无带
0.500	29.75	29.750	0	0.1250	—	无带	0	0	0	15342.5	15864	无带
0.500	30.00	30.000	0	0.1250	—	无带	0	0	0	15212.6	15646	无带
0.500	30.25	30.000	0.2500	0.1250	0.2500	留	294	294	0	15697.5	16396	一致
0.500	30.50	30.000	0.5000	0.1250	0.1250	丢	290	0	290	15860.4	16346	一致
0.500	30.75	30.000	0.7500	0.1250	0.0833	丢	290	0	290	16016.1	16772	一致
0.500	31.00	30.000	1.0000	0.1250	0.0625	丢	286	0	286	16153.9	16888	一致
