═══ 等面积孔形对比（面积都 ≈ 201 mm²，孔心 x=-50）═══
电流沿舌轴（x）流。转角 0° = 长轴顺着电流；90° = 横着挡电流。

孔形	面积 mm²	抽热 W	较基准	峰值 J	较基准	体积	每 1% 体积换到的抽热降
（无孔）	—	617.3	—	8.873	—	46919	—
圆 R8	201	603.6	-2.23 %	9.082	+2.4 %	46513	2.57
椭圆 2:1 顺流	201	605.6	-1.90 %	8.077	-9.0 %	46503	2.14
椭圆 2:1 横挡	201	601.7	-2.53 %	10.295	+16.0 %	46503	2.85
椭圆 3:1 顺流	201	605.2	-1.97 %	7.831	-11.7 %	46498	2.19
圆角三角 0°	201	603.2	-2.29 %	10.943	+23.3 %	46509	2.62
圆角三角 60°	201	603.2	-2.29 %	10.943	+23.3 %	46509	2.62
圆角三角 180°	201	603.2	-2.29 %	10.943	+23.3 %	46509	2.62
圆角方 0°	201	604.1	-2.13 %	9.308	+4.9 %	46504	2.41
圆角方 45°	201	606.0	-1.83 %	8.933	+0.7 %	46511	2.10
