═══ 舌片/圆盘 电流密度分布（Pt_Heater1 交接后的构型，1000 A）═══
几何：盘Ø120　舌长 199.5　舌端半宽 40　管孔 R26　板厚 2.00 mm　切点 x = -6.1

全板　　格子 23405　最小 0.003　P10 0.253　中位 4.908　P90 5.883　最大 9.189　A/mm²
　　低电流区（< 中位数一半 = 2.454）：5683 格 = 24.3 %　⇐ **开孔的余地就在这里**
舌片　　格子 18460　最小 1.088　P10 3.502　中位 5.071　P90 5.945　最大 9.189　A/mm²
　　低电流区（< 中位数一半 = 2.536）：808 格 = 4.4 %　⇐ **开孔的余地就在这里**
圆盘　　格子 4945　最小 0.003　P10 0.062　中位 0.278　P90 1.126　最大 2.579　A/mm²
　　低电流区（< 中位数一半 = 0.139）：1398 格 = 28.3 %　⇐ **开孔的余地就在这里**

沿舌轴分段（每 20 mm 一段，从舌端往圆盘）：
x 区间 mm	格子	最小 J	中位 J	最大 J	低区占比 %
-200–-180	1559	2.990	6.032	7.553	1.7
-180–-160	1720	4.073	5.830	6.908	0.0
-160–-140	1802	3.892	5.574	6.565	0.0
-140–-120	1884	3.695	5.329	6.241	0.0
-120–-100	1964	3.536	5.114	5.976	0.0
-100–-80	2046	3.244	4.926	5.704	0.0
-80–-60	2128	2.952	4.738	5.305	0.0
-60–-40	2208	2.407	4.533	5.746	0.0
-40–-20	2135	1.560	3.946	9.189	0.4
-20–1	1412	0.874	1.956	5.205	0.3
