═══ 等面积孔形对比（面积都 ≈ 201 mm²，孔心 x=-50）═══
电流沿舌轴（x）流。转角 0° = 长轴顺着电流；90° = 横着挡电流。

孔形	面积 mm²	抽热 W	较基准	峰值 J	较基准	体积	每 1% 体积换到的抽热降
（无孔）	—	617.2	—	8.898	—	47014	—
圆 R8	201	603.5	-2.22 %	8.863	-0.4 %	46610	2.58
椭圆 2:1 顺流	201	604.7	-2.03 %	8.225	-7.6 %	46610	2.36
椭圆 2:1 横挡	201	598.7	-3.00 %	11.466	+28.9 %	46609	3.48
椭圆 3:1 顺流	201	606.4	-1.76 %	7.953	-10.6 %	46604	2.01
圆角三角 0°	201	603.8	-2.17 %	9.631	+8.2 %	46611	2.53
圆角三角 60°	201	603.9	-2.17 %	9.618	+8.1 %	46611	2.53
圆角三角 180°	201	603.9	-2.17 %	9.618	+8.1 %	46611	2.53
圆角方 0°	201	601.7	-2.51 %	10.403	+16.9 %	46610	2.92
圆角方 45°	201	602.2	-2.44 %	9.325	+4.8 %	46597	2.75
