═══ 按场给的位置开槽：效果实测 ═══
槽开在**管孔外缘、背对舌片**那一侧 —— 位置由「导热÷电流」算出来的，不是拍的。

槽 (r内–r外, 张角)	抽热 W	较基准	峰值 J	较基准	体积 mm³	较基准	最高温 °C
（无槽·基准）	617.2	—	8.898	—	47014	—	1150
27–31 mm, 60°	564.6	-8.5 %	8.901	+0.0 %	46766	-0.5 %	1150
27–31 mm, 120°	482.4	-21.8 %	8.927	+0.3 %	46506	-1.1 %	1150
27–31 mm, 180°	388.0	-37.1 %	9.100	+2.3 %	46257	-1.6 %	1150
27–40 mm, 120°	453.1	-26.6 %	8.936	+0.4 %	45163	-3.9 %	1150
27–40 mm, 180°	356.7	-42.2 %	9.155	+2.9 %	44243	-5.9 %	1150
27–55 mm, 180°	328.2	-46.8 %	9.171	+3.1 %	39741	-15.5 %	1150

── 对照：把料挖在**舌片**上（场说不划算的地方）──
舌片圆孔 R6	616.0	-0.2 %	8.876	-0.3 %	46782	-0.5 %	1150
舌片圆孔 R10	614.4	-0.5 %	8.848	-0.6 %	46384	-1.3 %	1150
