# 左 = 鉑金热膨胀计算.xlsx 工作表「鉑金热膨胀计算」存储值；右 = JM 1960 p.139 表
curve_workbook,cell,T_degC,workbook_LtOverLo,JM_LtOverLo,delta_LtOverLo,workbook_eps_1e-3,JM_eps_1e-3,delta_eps_pct
Pt,C4,0,1.000000,1.00000,+0.000000,0.0000,0.0000,
Pt,C5,100,1.000900,1.00090,+0.000000,0.9000,0.9000,+0.000
Pt,C6,200,1.001800,1.00183,-0.000030,1.8000,1.8300,-1.639
Pt,C7,300,1.002800,1.00278,+0.000020,2.8000,2.7800,+0.719
Pt,C8,400,1.003800,1.00376,+0.000040,3.8000,3.7600,+1.064
Pt,C9,500,1.004800,1.00477,+0.000030,4.8000,4.7700,+0.629
Pt,C10,600,1.005800,1.00580,+0.000000,5.8000,5.8000,+0.000
Pt,C11,700,1.006900,1.00686,+0.000040,6.9000,6.8600,+0.583
Pt,C12,800,1.007900,1.00794,-0.000040,7.9000,7.9400,-0.504
Pt,C13,900,1.009100,1.00905,+0.000050,9.1000,9.0500,+0.552
Pt,C14,1000,1.010200,1.01019,+0.000010,10.2000,10.1900,+0.098
PtRh10,E4,0,1.000000,1.00000,+0.000000,0.0000,0.0000,
PtRh10,E5,100,1.001000,1.00100,+0.000000,1.0000,1.0000,+0.000
PtRh10,E6,200,1.002000,1.00200,+0.000000,2.0000,2.0000,+0.000
PtRh10,E7,300,1.003000,1.00300,+0.000000,3.0000,3.0000,+0.000
PtRh10,E8,400,1.004100,1.00410,+0.000000,4.1000,4.1000,+0.000
PtRh10,E9,500,1.005100,1.00510,+0.000000,5.1000,5.1000,+0.000
PtRh10,E10,600,1.006100,1.00610,+0.000000,6.1000,6.1000,+0.000
PtRh10,E11,700,1.007200,1.00720,+0.000000,7.2000,7.2000,+0.000
PtRh10,E12,800,1.008300,1.00830,+0.000000,8.3000,8.3000,+0.000
PtRh10,E13,900,1.009400,1.00940,+0.000000,9.4000,9.4000,+0.000
PtRh10,E14,1000,1.010600,1.01060,+0.000000,10.6000,10.6000,+0.000
PtRh10,E15,1100,1.011700,1.01170,+0.000000,11.7000,11.7000,+0.000
PtRh10,E16,1200,1.013100,1.01310,+0.000000,13.1000,13.1000,+0.000
PtRh10,E17,1300,1.014400,1.01440,+0.000000,14.4000,14.4000,+0.000
PtRh10,E18,1400,1.015800,1.01580,+0.000000,15.8000,15.8000,+0.000
PtRh10,E19,1500,1.017600,1.01760,+0.000000,17.6000,17.6000,+0.000
PtRh20,G4,0,1.000000,1.00000,+0.000000,0.0000,0.0000,
PtRh20,G5,100,1.000600,1.00063,-0.000030,0.6000,0.6300,-4.762
PtRh20,G6,200,1.001400,1.00140,+0.000000,1.4000,1.4000,+0.000
PtRh20,G7,300,1.002300,1.00230,+0.000000,2.3000,2.3000,+0.000
PtRh20,G8,400,1.003200,1.00320,+0.000000,3.2000,3.2000,+0.000
PtRh20,G9,500,1.004300,1.00430,+0.000000,4.3000,4.3000,+0.000
PtRh20,G10,600,1.005300,1.00530,+0.000000,5.3000,5.3000,+0.000
PtRh20,G11,700,1.006300,1.00630,+0.000000,6.3000,6.3000,+0.000
PtRh20,G12,800,1.007500,1.00750,+0.000000,7.5000,7.5000,+0.000
PtRh20,G13,900,1.008700,1.00870,+0.000000,8.7000,8.7000,+0.000
PtRh20,G14,1000,1.009900,1.00990,+0.000000,9.9000,9.9000,+0.000
PtRh20,G15,1100,1.011200,1.01120,+0.000000,11.2000,11.2000,+0.000
PtRh20,G16,1200,1.012500,1.01250,+0.000000,12.5000,12.5000,+0.000
PtRh20,G17,1300,1.013800,1.01380,+0.000000,13.8000,13.8000,+0.000
PtRh20,G18,1400,1.015700,1.01520,+0.000500,15.7000,15.2000,+3.289
PtRh20,G19,1500,1.016700,1.01670,+0.000000,16.7000,16.7000,+0.000
PtRh30,I4,0,1.000000,1.00000,+0.000000,0.0000,0.0000,
PtRh30,I5,100,1.000900,1.00092,-0.000020,0.9000,0.9200,-2.174
PtRh30,I6,200,1.001700,1.00170,+0.000000,1.7000,1.7000,+0.000
PtRh30,I7,300,1.002700,1.00270,+0.000000,2.7000,2.7000,+0.000
PtRh30,I8,400,1.003500,1.00350,+0.000000,3.5000,3.5000,+0.000
PtRh30,I9,500,1.004500,1.00450,+0.000000,4.5000,4.5000,+0.000
PtRh30,I10,600,1.005400,1.00540,+0.000000,5.4000,5.4000,+0.000
PtRh30,I11,700,1.006400,1.00640,+0.000000,6.4000,6.4000,+0.000
PtRh30,I12,800,1.007500,1.00750,+0.000000,7.5000,7.5000,+0.000
PtRh30,I13,900,1.008500,1.00850,+0.000000,8.5000,8.5000,+0.000
PtRh30,I14,1000,1.009700,1.00970,+0.000000,9.7000,9.7000,+0.000
PtRh30,I15,1100,1.010900,1.01090,+0.000000,10.9000,10.9000,+0.000
PtRh30,I16,1200,1.012100,1.01210,+0.000000,12.1000,12.1000,+0.000
PtRh30,I17,1300,1.013500,1.01350,+0.000000,13.5000,13.5000,+0.000
PtRh30,I18,1400,1.014900,1.01490,+0.000000,14.9000,14.9000,+0.000
PtRh30,I19,1500,1.016500,1.01650,+0.000000,16.5000,16.5000,+0.000
PtRh95,K4,0,1.000000,1.00000,+0.000000,0.0000,0.0000,
PtRh95,K5,100,1.001000,1.00095,+0.000050,1.0000,0.9500,+5.263
PtRh95,K6,200,1.001800,1.00180,+0.000000,1.8000,1.8000,+0.000
