# X14 = 工作簿 X14:X16 单元格公式 alpha_mean(T)=8.722923+2.337597e-3*T-1.636835e-6*T^2+7.798529e-10*T^3 (x1e-6/K)
T_degC,X14_alpha_mean_1e-6,X14_eps_1e-3,X14_LtOverLo,JM_Pt_alpha_mean_1e-6,JM_Pt_eps_1e-3,delta_alpha_pct
100,8.941094,0.8941,1.000894,9.0000,0.900,-0.655
200,9.131208,1.8262,1.001826,9.1500,1.830,-0.205
300,9.297943,2.7894,1.002789,9.2667,2.780,+0.338
400,9.445979,3.7784,1.003778,9.4000,3.760,+0.489
500,9.579994,4.7900,1.004790,9.5400,4.770,+0.419
600,9.704669,5.8228,1.005823,9.6667,5.800,+0.393
700,9.824681,6.8773,1.006877,9.8000,6.860,+0.252
800,9.944711,7.9558,1.007956,9.9250,7.940,+0.199
900,10.069437,9.0625,1.009062,10.0556,9.050,+0.138
1000,10.203538,10.2035,1.010204,10.1900,10.190,+0.133
1100,10.351694,11.3869,1.011387,,,
1200,10.518583,12.6223,1.012622,,,
1300,10.708885,13.9216,1.013922,,,
1400,10.927279,15.2982,1.015298,,,
1500,11.178443,16.7677,1.016768,,,
1150,10.432504,11.9974,1.011997,,,

# 当地 alpha（x1e-6/K）= (eps2-eps1)/(T2-T1)
interval,ZGSPt,ZGSPtRh10,X14_Pt,JM_10Rh,JM_20Rh,JM_30Rh,JM_95Rh,JM_Rh
1000-1200,12.600,13.000,12.094,12.500,13.000,12.000,14.000,13.500
1200-1300,11.900,13.600,12.993,13.000,13.000,14.000,18.000,15.000
1000-1300,12.367,13.200,12.393,12.667,13.000,12.667,15.333,14.000
1000-1500,,,13.128,14.000,13.600,13.600,16.800,14.600
1300-1500,,,14.231,16.000,14.500,15.000,19.000,15.500
