# 出处,"Barter & Darling, Thermal Expansion of Rhodium-Platinum Alloys, Platinum Metals Rev., 1960, 4 (4), 138-140；表在 p.139"
# 量,Lt/Lo（0 °C 为基准的长度比，无量纲）；ε=(Lt/Lo-1) 亦列出，单位 1e-3 in/in 与 %
# 样品,1/8 in 直径拉丝棒，竖挂于对开管式电阻炉，标距 3 in，空气中（p.139 左栏）
# 精度,望远显微镜 ±0.0001 in / 3 in 标距 ⇒ ±3.3e-5 in/in（p.138 右栏末–p.139 左栏）
# 状态,硬拉态装炉 → 原位退火有永久缩短；表中曲线取「1500 °C 保温约 1 h 后的冷却曲线」（p.139 左栏 Experimental Results）
# 栏别,Platinum 栏 = 参考文献 2（Holborn/Scheel/Henning 1919，只到 1000 °C）；Rhodium 栏 = 参考文献 1（Ebert 1938）；10/20/30/95 % Rh 四栏 = 本文实测

T_degC,Platinum(Ref.2)_LtOverLo,10%Rh_LtOverLo,20%Rh_LtOverLo,30%Rh_LtOverLo,95%Rh_LtOverLo,Rhodium(Ref.1)_LtOverLo,Platinum(Ref.2)_eps_1e-3,10%Rh_eps_1e-3,20%Rh_eps_1e-3,30%Rh_eps_1e-3,95%Rh_eps_1e-3,Rhodium(Ref.1)_eps_1e-3,Platinum(Ref.2)_alpha_mean_1e-6_per_K,10%Rh_alpha_mean_1e-6_per_K,20%Rh_alpha_mean_1e-6_per_K,30%Rh_alpha_mean_1e-6_per_K,95%Rh_alpha_mean_1e-6_per_K,Rhodium(Ref.1)_alpha_mean_1e-6_per_K
0,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,
100,1.00090,1.00100,1.00063,1.00092,1.00095,1.00085,0.900,1.000,0.630,0.920,0.950,0.850,9.0000,10.0000,6.3000,9.2000,9.5000,8.5000
200,1.00183,1.00200,1.00140,1.00170,1.00180,1.00180,1.830,2.000,1.400,1.700,1.800,1.800,9.1500,10.0000,7.0000,8.5000,9.0000,9.0000
300,1.00278,1.00300,1.00230,1.00270,1.00270,1.00280,2.780,3.000,2.300,2.700,2.700,2.800,9.2667,10.0000,7.6667,9.0000,9.0000,9.3333
400,1.00376,1.00410,1.00320,1.00350,1.00360,1.00385,3.760,4.100,3.200,3.500,3.600,3.850,9.4000,10.2500,8.0000,8.7500,9.0000,9.6250
500,1.00477,1.00510,1.00430,1.00450,1.00450,1.00490,4.770,5.100,4.300,4.500,4.500,4.900,9.5400,10.2000,8.6000,9.0000,9.0000,9.8000
600,1.00580,1.00610,1.00530,1.00540,1.00540,1.00600,5.800,6.100,5.300,5.400,5.400,6.000,9.6667,10.1667,8.8333,9.0000,9.0000,10.0000
700,1.00686,1.00720,1.00630,1.00640,1.00650,1.00710,6.860,7.200,6.300,6.400,6.500,7.100,9.8000,10.2857,9.0000,9.1429,9.2857,10.1429
800,1.00794,1.00830,1.00750,1.00750,1.00760,1.00825,7.940,8.300,7.500,7.500,7.600,8.250,9.9250,10.3750,9.3750,9.3750,9.5000,10.3125
900,1.00905,1.00940,1.00870,1.00850,1.00870,1.00950,9.050,9.400,8.700,8.500,8.700,9.500,10.0556,10.4444,9.6667,9.4444,9.6667,10.5556
1000,1.01019,1.01060,1.00990,1.00970,1.01000,1.01080,10.190,10.600,9.900,9.700,10.000,10.800,10.1900,10.6000,9.9000,9.7000,10.0000,10.8000
1100,,1.01170,1.01120,1.01090,1.01130,1.01210,,11.700,11.200,10.900,11.300,12.100,,10.6364,10.1818,9.9091,10.2727,11.0000
1200,,1.01310,1.01250,1.01210,1.01280,1.01350,,13.100,12.500,12.100,12.800,13.500,,10.9167,10.4167,10.0833,10.6667,11.2500
1300,,1.01440,1.01380,1.01350,1.01460,1.01500,,14.400,13.800,13.500,14.600,15.000,,11.0769,10.6154,10.3846,11.2308,11.5385
1400,,1.01580,1.01520,1.01490,1.01640,1.01650,,15.800,15.200,14.900,16.400,16.500,,11.2857,10.8571,10.6429,11.7143,11.7857
1500,,1.01760,1.01670,1.01650,1.01840,1.01810,,17.600,16.700,16.500,18.400,18.100,,11.7333,11.1333,11.0000,12.2667,12.0667
