网格修复 门 带格恒 0 + 电功率闭合　W08 片0　等温 1214 A／1150 °C
开跑 2026-09-18 20:06:46　工作树 C:\Users\admin\AppData\Local\Temp\claude\D--WinForm-Pt-Optimize\7e065600-607b-4804-80c9-ea03a0587700\scratchpad\r48N_pre　写码 2026-09-18，Fable 5.1
门槛（跑前写死）：舌段带格数 = 0；P_gen/P_net ∈ [0.99, 1.01]；体积 ≤ 0.1 %。
R	w	档	细区mm	细区半径	节点	单元	V_ref	V_mesh	ΔV%	环内V_ref	环内V_mesh(份额)	Δ环内%	环内V_mesh(格心)	Δ环内格心%	跨环格体积最大误差%	舌区V_ref	舌区V_mesh	Δ舌区%	带格	舌中格长宽比	最小覆盖率	孔面数	孔面总长	R_mesh µΩ	P_net W	P_gen W	闭合	Jmax	守恒误差	CG轮	收敛	备注	判读
30.50	30.00	导航	2.000	60.93	59×33	1216	15867.88	15981.80	+0.718	1104.82	1076.92	-2.525	1039.93	-5.873	133.964	15501.15	15629.11	+0.825	38	22.0	0.2969	104	207.000	315.4332	464.884	463.904	0.9979	15.41	2.6e-9	124	是		**带格 38；体积 +0.718 %**
30.50	30.00	判决	1.000	60.93	113×63	4432	15867.88	15921.41	+0.337	1104.82	1087.37	-1.579	1083.82	-1.901	169.510	15501.15	15565.53	+0.415	74	11.0	0.2500	208	207.000	317.0812	467.313	463.159	0.9911	16.24	8.2e-10	248	是		**带格 74；体积 +0.337 %**
30.75	30.00	导航	2.000	61.36	60×33	1246	16024.58	16152.99	+0.801	1151.81	1138.10	-1.190	1155.57	+0.327	199.390	15628.33	15768.53	+0.897	38	14.7	0.2500	104	205.500	319.2900	470.568	464.745	0.9876	15.28	2.1e-9	124	是		**带格 38；闭合 0.9876；体积 +0.801 %**
30.75	30.00	判决	1.000	61.36	113×63	4308	16024.58	16004.68	-0.124	1151.81	1131.96	-1.724	1130.80	-1.824	13.961	15628.33	15619.72	-0.055	0	6.4	0.2813	208	207.500	326.3948	481.039	482.476	1.0030	16.56	3.5e-9	245	是		**体积 -0.124 %**
31.00	30.00	导航	2.000	61.73	59×33	1230	16160.23	16271.27	+0.687	1200.07	1183.47	-1.384	1175.84	-2.020	21.515	15734.87	15859.69	+0.793	36	12.8	0.2500	104	207.620	319.8653	471.416	463.171	0.9825	15.59	3.6e-9	124	是		**带格 36；闭合 0.9825；体积 +0.687 %**
31.00	30.00	判决	1.000	61.73	114×63	4402	16160.23	16143.93	-0.101	1200.07	1183.81	-1.355	1176.94	-1.928	14.272	15734.87	15729.17	-0.036	0	5.5	0.2558	208	207.620	330.6455	487.304	488.599	1.0027	16.76	8.4e-9	239	是		**体积 -0.101 %**
31.01	30.00	导航	2.000	61.75	59×33	1158	16165.37	16138.34	-0.167	1202.03	1187.19	-1.235	1179.95	-1.837	14.840	15738.82	15722.56	-0.103	0	6.4	0.2750	104	207.700	329.6258	485.801	488.186	1.0049	15.95	1.9e-9	120	是		**体积 -0.167 %**
31.01	30.00	判决	1.000	61.75	115×65	4416	16165.37	16151.83	-0.084	1202.03	1188.53	-1.123	1171.79	-2.515	66.709	15738.82	15734.88	-0.025	0	5.5	0.2561	208	207.700	330.9973	487.823	488.964	1.0023	16.75	1.0e-8	239	是		过
31.25	30.00	导航	2.000	62.06	60×33	1180	16297.11	16284.10	-0.080	1263.58	1250.58	-1.029	1220.75	-3.390	10.912	15828.09	15826.39	-0.011	0	6.4	0.2500	104	205.500	334.3693	492.792	494.055	1.0026	15.54	3.2e-9	120	是		过
31.25	30.00	判决	1.000	62.06	116×65	4498	16297.11	16278.04	-0.117	1263.58	1244.59	-1.503	1235.11	-2.253	109.550	15828.09	15820.39	-0.049	0	5.5	0.2813	208	207.500	334.1369	492.450	493.887	1.0029	16.57	1.3e-8	240	是		**体积 -0.117 %**
