网格修复 门(b) 连续性　W08 片0　盘径 30.00～31.50 每 0.01（舌半宽 30，舌长按搜形状规则）　导航 vs 判决网格，等温电流场
开跑 2026-09-18 20:04:05　工作树 C:\Users\admin\AppData\Local\Temp\claude\D--WinForm-Pt-Optimize\7e065600-607b-4804-80c9-ea03a0587700\scratchpad\r48N_pre　写码 2026-09-18，Fable 5.1
门槛（跑前写死）：相邻两点 |ΔV_mesh − ΔV_ref| ≤ 一格体积（= 最大格面积 × 板厚）；网格误差 e = (R_导航 − R_判决)/R_判决 的相邻变化 |Δe| ≤ 0.2 %，且 |e| ≤ 1 %（网格审计 ② 的坏带线）；舌段带格数恒 0；电流场须收敛。
⚠ 第一版曾直接判相邻 R_mesh 变化 ≤ 0.2 %：舌长 = √(R²−w²) + 压接 + 自由段在 R = w 处有 √ 奇点（R 30.00 → 30.01 舌长 +0.77 mm、电阻真变 +0.5 %），那是几何不是网格 ⇒ 改判网格误差的连续性，门槛数不变（2026-09-18 Fable 5.1）。
R	档	细区mm	细区半径	节点	单元	V_ref	V_mesh	ΔV%	环内V_ref	环内V_mesh(份额)	Δ环内%	环内V_mesh(格心)	Δ环内格心%	跨环格体积最大误差%	舌区V_ref	舌区V_mesh	Δ舌区%	带格	舌中格长宽比	最小覆盖率	孔面数	孔面总长	R_mesh µΩ	P_net W	P_gen W	闭合	Jmax	守恒误差	CG轮	收敛	备注	判决R_mesh µΩ	判决单元	e%	Δe%	ΔV_mesh−ΔV_ref	一格体积	判读
30.00	导航	2.000	59.00	57×31	1096	15220.46	15202.03	-0.121	1038.30	1019.88	-1.775	1049.33	+1.061	11.239	14929.43	14918.73	-0.072	0	5.5	0.2813	104	208.000	299.5024	441.405	443.339	1.0044	16.33	2.6e-9	115	是		300.5303	4122	-0.342	—	—	—	过
30.01	导航	2.000	59.27	59×33	1198	15307.48	15298.97	-0.056	1032.86	1021.69	-1.081	1013.64	-1.861	58.411	15010.58	15008.82	-0.012	40	1100.0	0.2531	104	205.549	303.3449	447.069	448.380	1.0029	15.54	5.5e-9	124	是		303.1064	4268	+0.079	0.421	9.913	16.060	**网格误差台阶 Δe +0.421 %；带格 40/77**
30.02	导航	2.000	59.38	59×33	1200	15343.93	15337.64	-0.041	1032.09	1014.49	-1.706	978.62	-5.181	71.177	15044.17	15044.99	+0.005	40	550.0	0.2643	104	206.191	303.3163	447.026	449.350	1.0052	15.55	1.1e-9	125	是		304.8117	4294	-0.491	-0.569	2.230	16.060	**网格误差台阶 Δe -0.569 %；带格 40/77**
30.03	导航	2.000	59.47	59×33	1202	15372.06	15358.78	-0.086	1032.07	1012.97	-1.851	1005.25	-2.599	68.198	15069.94	15063.62	-0.042	40	366.7	0.2647	104	206.684	304.0590	448.121	450.581	1.0055	15.42	9.1e-10	125	是		305.9340	4320	-0.613	-0.122	-6.985	16.060	**带格 40/77**
30.04	导航	2.000	59.54	58×33	1172	15395.89	15393.95	-0.013	1032.47	1007.86	-2.384	1023.65	-0.855	69.404	15091.66	15097.97	+0.042	39	275.0	0.2813	104	207.099	304.4279	448.665	451.366	1.0060	15.58	3.7e-10	124	是		306.0967	4262	-0.545	0.068	11.326	16.060	**带格 39/76**
30.05	导航	2.000	59.61	58×33	1176	15416.98	15426.33	+0.061	1033.10	1014.06	-1.843	1017.12	-1.547	51.502	15110.80	15128.43	+0.117	39	220.0	0.2759	104	207.466	305.0899	449.640	452.413	1.0062	15.78	2.6e-9	124	是		306.5963	4272	-0.491	0.054	11.300	16.060	**带格 39/76**
30.06	导航	2.000	59.66	58×33	1182	15436.11	15441.69	+0.036	1033.92	1023.51	-1.007	1028.66	-0.509	70.742	15128.10	15140.44	+0.082	39	183.3	0.2617	104	207.797	306.6728	451.973	453.638	1.0037	16.31	3.0e-10	125	是		307.4655	4286	-0.258	0.233	-3.770	16.060	**网格误差台阶 Δe +0.233 %；带格 39/76**
30.07	导航	2.000	59.72	58×33	1182	15453.77	15475.20	+0.139	1034.86	1016.59	-1.766	1038.41	+0.344	49.882	15144.00	15174.05	+0.198	39	157.1	0.3125	104	208.101	306.5797	451.836	453.852	1.0045	16.31	2.4e-10	125	是		307.8473	4290	-0.412	-0.154	15.853	16.060	**带格 39/76**
30.08	导航	2.000	59.77	58×33	1184	15470.25	15498.86	+0.185	1035.92	1019.09	-1.625	1040.13	+0.406	49.877	15158.80	15196.39	+0.248	39	137.5	0.2524	104	208.385	307.3877	453.027	454.616	1.0035	17.14	3.8e-12	125	是		308.5333	4300	-0.371	0.040	7.173	16.060	**带格 39/76**
30.09	导航	2.000	59.81	58×33	1186	15485.78	15514.03	+0.182	1037.05	1023.38	-1.318	1025.98	-1.067	58.541	15172.70	15208.76	+0.238	39	122.2	0.2878	102	204.651	308.8235	455.143	456.042	1.0020	15.34	9.2e-10	125	是		309.2292	4324	-0.131	0.240	-0.358	16.060	**网格误差台阶 Δe +0.240 %；带格 39/76**
30.10	导航	2.000	59.86	58×33	1186	15500.50	15517.00	+0.106	1038.25	1022.50	-1.517	1006.18	-3.089	71.807	15185.84	15209.53	+0.156	39	110.0	0.3125	102	204.903	308.7293	455.004	456.363	1.0030	15.33	9.3e-10	125	是		309.1555	4326	-0.138	-0.007	-11.758	16.060	**带格 39/76**
30.11	导航	2.000	59.90	59×33	1196	15514.56	15557.28	+0.275	1039.52	1019.84	-1.893	1014.78	-2.380	537.092	15198.34	15247.94	+0.326	39	100.0	0.3125	104	205.143	308.6353	454.866	456.661	1.0039	15.33	8.2e-10	125	是		309.2964	4328	-0.214	-0.076	26.229	16.060	**体积台阶；带格 39/76**
30.12	导航	2.000	59.94	59×33	1198	15528.01	15579.15	+0.329	1040.83	1023.80	-1.637	1014.64	-2.516	367.269	15210.27	15268.99	+0.386	39	91.7	0.2845	104	205.372	309.3594	455.933	457.546	1.0035	15.08	5.4e-10	125	是		309.7938	4338	-0.140	0.073	8.419	16.060	**带格 39/76**
30.13	导航	2.000	59.98	59×33	1202	15540.95	15598.63	+0.371	1042.18	1031.57	-1.018	1017.72	-2.347	325.222	15221.72	15287.18	+0.430	39	84.6	0.2557	104	205.592	309.9351	456.781	458.160	1.0030	15.49	8.0e-10	125	是		309.7278	4340	+0.067	0.207	6.541	16.060	**网格误差台阶 Δe +0.207 %；带格 39/76**
30.14	导航	2.000	60.02	59×33	1202	15553.43	15601.43	+0.309	1043.59	1030.59	-1.246	1027.69	-1.524	363.873	15232.73	15288.07	+0.363	39	78.6	0.2690	104	205.803	309.8407	456.642	458.378	1.0038	15.49	8.2e-10	125	是		310.5655	4356	-0.233	-0.300	-9.682	16.060	**网格误差台阶 Δe -0.300 %；带格 39/76**
30.15	导航	2.000	60.05	59×33	1202	15565.49	15630.51	+0.418	1045.02	1024.94	-1.921	1016.16	-2.761	318.711	15243.36	15317.44	+0.486	39	73.3	0.2817	104	206.007	309.7464	456.503	458.583	1.0046	15.49	7.6e-10	125	是		310.7018	4358	-0.307	-0.074	17.024	16.060	**体积台阶；带格 39/76**
30.16	导航	2.000	60.09	59×33	1204	15577.18	15650.72	+0.472	1046.48	1029.19	-1.652	1014.34	-3.071	261.357	15253.63	15336.17	+0.541	39	68.7	0.2664	104	206.205	309.7175	456.460	458.796	1.0051	15.50	6.2e-10	125	是		311.2080	4306	-0.479	-0.171	8.522	16.060	**带格 39/75**
