网格修复 门(c) 一致门　W08　盘径 28～34 每 0.25（舌半宽 30，舌长按搜形状规则；其余旋钮 = A 导航档终值）　导航 vs 判决整线解（带玻璃稳态 ②）
开跑 2026-09-18 20:20:10　工作树 C:\Users\admin\AppData\Local\Temp\claude\D--WinForm-Pt-Optimize\7e065600-607b-4804-80c9-ea03a0587700\scratchpad\r48N_pre　写码 2026-09-18，Fable 5.1　并发 6 条整线解，每点解完即落盘（C:\Users\admin\AppData\Local\Temp\网格修复_门c_2026-09-18_195938_进行中.log）
门槛（跑前写死）：同一几何 导航 − 判决：|Δ最热铂| ≤ 2 K、|Δ管根| ≤ 2 K、|Δ净流入| ≤ 1 W；判不了不当过。改前在 30.75／31.00 是 19～26 K（诊断 §0.-12 ②、网格审计_3）。
基准设计：deliverable/R48_L_端到端_细网格_W08_本次开跑于2026-09-17_093013.txt　§「旋钮终值（逐片）」表的 A 导航档四行

标签	R	w	档	细区mm	细区半径	单元	最热铂高出热偶读数K	管根低于热偶读数K	管孔净流入W	铂重g	片0发热W	片0抽热W	耦合轮	耗时s
c	28.00	30.00	导航	2.000	59.0	1050	-30.702	54.921	12.102	4352.6	352.362	17.993	25	112
c	29.00	30.00	导航	2.000	59.0	1156	-22.167	35.915	9.453	4297.0	367.908	13.355	25	113
c	31.00	30.00	导航	2.000	61.7	1230	0.903	18.587	2.757	4370.5	404.113	7.947	26	117
c	33.00	30.00	导航	2.000	63.8	1310	54.828	-3.596	-14.453	4462.0	469.936	-3.424	39	133
c	30.00	30.00	导航	2.000	59.0	1096	-9.460	19.922	6.257	4245.2	384.949	8.527	36	147
c	32.00	30.00	导航	2.000	62.9	1226	42.369	-2.900	-11.340	4410.3	453.781	-2.432	50	162
c	29.00	30.00	判决	1.000	59.0	4026	-22.420	34.836	9.230	4297.2	368.532	13.026	23	137
c	28.00	30.00	判决	1.000	59.0	3932	-30.351	54.008	11.844	4352.6	352.941	17.668	28	157
c	31.00	30.00	判决	1.000	61.7	4402	27.429	0.178	-7.191	4355.6	433.509	-0.530	32	158
c	33.00	30.00	判决	1.000	63.8	4822	54.627	-4.128	-14.935	4460.8	470.347	-3.744	29	157
c	30.00	30.00	判决	1.000	59.0	4122	-9.260	19.004	5.792	4245.3	385.523	8.132	29	161
c	32.00	30.00	判决	1.000	62.9	4600	43.168	-3.451	-11.868	4411.4	454.508	-2.848	31	159
c	29.25	30.00	导航	2.000	59.0	1160	-19.389	31.248	8.577	4283.0	372.623	11.924	23	105
c	33.25	30.00	导航	2.000	64.0	1298	58.386	-3.453	-15.417	4475.2	474.678	-3.546	31	112
c	28.25	30.00	导航	2.000	59.0	1058	-28.320	50.656	11.339	4338.9	356.659	16.708	36	147
c	31.25	30.00	导航	2.000	62.1	1180	32.533	-0.836	-8.401	4370.9	440.022	-1.123	48	156
c	30.25	30.00	导航	2.000	60.4	1218	3.540	13.278	1.649	4313.8	404.420	5.695	32	137
c	32.25	30.00	导航	2.000	63.1	1256	46.563	-3.142	-12.285	4423.0	458.328	-2.789	36	126
c	29.25	30.00	判决	1.000	59.0	4220	-19.678	30.281	8.388	4283.5	373.231	11.646	31	178
c	28.25	30.00	判决	1.000	59.0	4122	-28.041	49.615	11.020	4338.6	357.291	16.322	26	157
c	33.25	30.00	判决	1.000	64.0	4868	58.404	-4.229	-15.969	4475.9	474.680	-4.017	42	219
c	30.25	30.00	判决	1.000	60.4	4370	3.110	12.406	1.315	4306.7	403.156	5.318	29	178
c	29.50	30.00	导航	2.000	59.0	1166	-16.578	26.687	7.707	4269.2	377.444	10.528	38	157
c	28.50	30.00	导航	2.000	59.0	1148	-25.533	44.949	10.435	4321.4	361.095	15.296	31	133
c	32.25	30.00	判决	1.000	63.1	4690	46.124	-3.663	-12.635	4424.0	458.534	-3.092	56	269
c	30.50	30.00	导航	2.000	60.9	1216	3.286	14.360	1.648	4336.6	405.745	6.150	25	113
c	31.25	30.00	判决	1.000	62.1	4498	31.582	-1.040	-8.487	4370.3	439.236	-1.236	70	312
c	33.50	30.00	导航	2.000	64.2	1312	60.796	-3.785	-16.155	4486.9	477.978	-3.799	47	154
c	32.50	30.00	导航	2.000	63.4	1286	49.094	-3.467	-13.116	4435.7	462.779	-3.051	40	133
c	29.50	30.00	判决	1.000	59.0	4228	-16.630	25.439	7.444	4269.4	378.081	10.136	33	180
c	28.50	30.00	判决	1.000	59.0	4142	-25.638	43.917	10.217	4321.6	361.709	14.984	30	166
c	31.50	30.00	导航	2.000	62.4	1194	34.351	-1.082	-8.982	4383.4	443.765	-1.220	50	158
