网格修复 门 带格恒 0 + 电功率闭合　W08 片0　等温 1214 A／1150 °C
开跑 2026-09-18 19:55:10　工作树 D:\WinForm\r48_N　写码 2026-09-18，Fable 5.1
门槛（跑前写死）：舌段带格数 = 0；P_gen/P_net ∈ [0.99, 1.01]；体积 ≤ 0.1 %。
R	w	档	细区mm	细区半径	节点	单元	V_ref	V_mesh	ΔV%	环内V_ref	环内V_mesh(份额)	Δ环内%	环内V_mesh(格心)	Δ环内格心%	跨环格体积最大误差%	舌区V_ref	舌区V_mesh	Δ舌区%	带格	舌中格长宽比	最小覆盖率	孔面数	孔面总长	R_mesh µΩ	P_net W	P_gen W	闭合	Jmax	守恒误差	CG轮	收敛	备注	判读
30.50	30.00	导航	2.000	60.93	59×33	1166	15867.88	15868.06	+0.001	1104.82	1104.98	+0.015	1073.42	-2.842	3.704	15501.15	15501.19	+0.000	0	5.5	0.0005	102	162.106	320.1218	471.794	475.778	1.0084	15.15	4.2e-9	119	是		过
30.50	30.00	判决	1.000	60.93	113×63	4338	15867.88	15868.06	+0.001	1104.82	1105.00	+0.017	1101.84	-0.270	3.394	15501.15	15501.19	+0.000	0	5.5	0.0004	206	162.106	321.8201	474.297	476.435	1.0045	15.63	3.5e-9	244	是		过
30.75	30.00	导航	2.000	61.36	60×33	1196	16024.58	16024.78	+0.001	1151.81	1152.00	+0.016	1181.42	+2.571	0.335	15628.33	15628.37	+0.000	0	5.5	0.0013	102	162.106	325.2159	479.302	483.325	1.0084	14.67	4.1e-10	121	是		过
30.75	30.00	判决	1.000	61.36	113×63	4366	16024.58	16024.78	+0.001	1151.81	1152.01	+0.018	1153.00	+0.103	1.200	15628.33	15628.37	+0.000	0	6.4	0.0026	206	162.106	326.5558	481.277	483.322	1.0043	15.75	3.0e-9	245	是		过
31.00	30.00	导航	2.000	61.73	59×33	1184	16160.23	16160.45	+0.001	1200.07	1200.30	+0.018	1203.40	+0.277	0.335	15734.87	15734.91	+0.000	0	6.4	0.0015	100	162.106	330.3980	486.939	489.889	1.0061	14.95	8.7e-10	119	是		过
31.00	30.00	判决	1.000	61.73	114×63	4450	16160.23	16160.45	+0.001	1200.07	1200.30	+0.019	1199.34	-0.061	0.335	15734.87	15734.91	+0.000	0	5.5	0.0029	204	162.106	330.9549	487.760	489.481	1.0035	15.10	7.9e-9	239	是		过
31.01	30.00	导航	2.000	61.75	59×33	1184	16165.37	16165.57	+0.001	1202.03	1202.24	+0.017	1208.51	+0.539	0.335	15738.82	15738.86	+0.000	0	6.4	0.0015	100	162.106	330.4300	486.986	489.952	1.0061	14.86	8.9e-10	119	是		过
31.01	30.00	判决	1.000	61.75	114×63	4454	16165.37	16165.57	+0.001	1202.03	1202.24	+0.018	1192.27	-0.812	0.403	15738.82	15738.86	+0.000	0	5.5	0.0030	204	162.106	331.2753	488.232	489.912	1.0034	15.72	8.1e-9	239	是		过
31.25	30.00	导航	2.000	62.06	60×33	1208	16297.11	16297.32	+0.001	1263.58	1263.79	+0.016	1242.83	-1.643	43.753	15828.09	15828.14	+0.000	0	6.4	0.0000	102	162.106	332.9524	490.704	494.732	1.0082	14.67	3.1e-9	120	是		过
31.25	30.00	判决	1.000	62.06	116×65	4552	16297.11	16297.32	+0.001	1263.58	1263.80	+0.017	1259.07	-0.357	34.979	15828.09	15828.14	+0.000	0	5.5	0.0001	206	162.106	334.2952	492.683	494.733	1.0042	15.75	1.1e-8	240	是		过
