网格修复 门(b) 连续性　W08 片0　管内径 49.00～51.00 每 0.05（盘径 30、舌半宽 30）　导航 vs 判决网格，等温电流场
开跑 2026-09-23 03:47:04　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtW1　写码 2026-09-18，Fable 5.1；本根扫描 2026-09-19 Fable 5.1 加（复核第 5 条），门槛与盘径那根同一份
门槛（跑前写死）：相邻两点 |ΔV_mesh − ΔV_ref| ≤ 一格体积（= 最大格面积 × 板厚）；网格误差 e = (R_导航 − R_判决)/R_判决 的相邻变化 |Δe| ≤ 0.2 %，且 |e| ≤ 1 %（网格审计 ② 的坏带线）；舌段带格数恒 0；电流场须收敛。
⚠ 第一版曾直接判相邻 R_mesh 变化 ≤ 0.2 %：舌长 = √(R²−w²) + 压接 + 自由段在 R = w 处有 √ 奇点（R 30.00 → 30.01 舌长 +0.77 mm、电阻真变 +0.5 %），那是几何不是网格 ⇒ 改判网格误差的连续性，门槛数不变（2026-09-18 Fable 5.1）。
孔径	档	细区mm	细区半径	节点	单元	V_ref	V_mesh	ΔV%	环内V_ref	环内V_mesh(份额)	Δ环内%	环内V_mesh(格心)	Δ环内格心%	跨环格体积最大误差%	舌区V_ref	舌区V_mesh	Δ舌区%	带格	舌中格长宽比	最小覆盖率	孔面数	孔面总长	R_mesh µΩ	P_net W	P_gen W	闭合	Jmax	守恒误差	CG轮	收敛	备注	判决R_mesh µΩ	判决单元	e%	Δe%	ΔV_mesh−ΔV_ref	一格体积	判读
49.00	导航	2.000	59.00	57×31	1124	15338.97	15339.12	+0.001	1156.81	1156.95	+0.012	1194.08	+3.222	0.329	15010.90	15010.93	+0.000	0	5.5	0.0180	100	158.965	301.1928	443.897	447.816	1.0088	13.95	4.7e-10	116	是		302.5627	4228	-0.453	—	—	—	过
49.05	导航	2.000	59.00	57×31	1124	15329.51	15329.55	+0.000	1147.36	1147.38	+0.002	1184.51	+3.238	0.332	15006.86	15006.90	+0.000	0	5.5	0.0180	100	159.122	301.1516	443.836	447.733	1.0088	14.00	5.5e-10	116	是		302.3867	4220	-0.408	0.044	-0.115	16.280	过
49.10	导航	2.000	59.00	57×31	1124	15323.91	15324.06	+0.001	1141.75	1141.89	+0.013	1179.02	+3.265	0.332	15002.82	15002.86	+0.000	0	5.5	0.0180	100	159.279	301.1100	443.775	447.648	1.0087	14.04	6.2e-10	116	是		302.3461	4220	-0.409	-0.000	0.110	16.280	过
49.15	导航	2.000	59.00	57×31	1124	15318.52	15318.57	+0.000	1136.37	1136.40	+0.002	1173.53	+3.270	0.332	14998.78	14998.82	+0.000	0	5.5	0.0180	100	159.436	301.0689	443.714	447.565	1.0087	14.08	7.0e-10	116	是		302.3058	4220	-0.409	-0.000	-0.106	16.280	过
49.20	导航	2.000	59.00	57×31	1124	15313.02	15313.06	+0.000	1130.86	1130.89	+0.003	1168.02	+3.286	0.332	14994.73	14994.77	+0.000	0	5.5	0.0180	100	159.593	301.0277	443.653	447.481	1.0086	14.13	7.8e-10	116	是		302.2656	4220	-0.410	-0.000	0.002	16.280	过
49.25	导航	2.000	59.00	57×31	1124	15307.62	15307.56	-+0.000	1125.47	1125.39	-0.007	1162.52	+3.292	0.332	14990.68	14990.72	+0.000	0	5.5	0.0180	100	159.750	300.9866	443.593	447.397	1.0086	14.17	8.6e-10	116	是		302.2255	4220	-0.410	-0.000	-0.103	16.280	过
49.30	导航	2.000	59.00	57×31	1124	15301.88	15302.04	+0.001	1119.72	1119.87	+0.014	1157.00	+3.330	0.332	14986.63	14986.66	+0.000	0	5.5	0.0180	100	159.907	300.9453	443.532	447.312	1.0085	14.22	9.4e-10	116	是		302.1857	4220	-0.410	-0.001	0.220	16.280	过
49.35	导航	2.000	59.00	57×31	1124	15296.47	15296.53	+0.000	1114.31	1114.36	+0.004	1151.49	+3.336	0.332	14982.57	14982.60	+0.000	0	5.5	0.0180	100	160.064	300.6077	443.034	446.205	1.0072	14.15	1.3e-9	116	是		302.0644	4220	-0.482	-0.072	-0.099	16.280	过
49.40	导航	2.000	59.00	57×31	1124	15290.94	15291.00	+0.000	1108.78	1108.83	+0.005	1145.96	+3.354	0.332	14978.50	14978.54	+0.000	0	5.5	0.0180	100	160.221	300.5681	442.976	446.131	1.0071	14.20	1.4e-9	116	是		301.6547	4196	-0.360	0.122	0.006	16.280	过
49.45	导航	2.000	59.00	57×31	1124	15285.31	15285.47	+0.001	1103.16	1103.30	+0.013	1140.43	+3.379	0.332	14974.44	14974.47	+0.000	0	5.5	0.0180	100	160.378	300.5286	442.918	446.057	1.0071	14.24	1.4e-9	116	是		301.6143	4196	-0.360	0.000	0.101	16.280	过
49.50	导航	2.000	59.00	57×31	1124	15279.88	15279.94	+0.000	1097.72	1097.77	+0.005	1134.90	+3.387	0.332	14970.36	14970.40	+0.000	0	5.5	0.0180	100	160.535	300.4890	442.860	445.983	1.0071	14.29	1.5e-9	116	是		301.5740	4196	-0.360	0.000	-0.110	16.280	过
49.55	导航	2.000	59.00	57×31	1124	15274.24	15274.40	+0.001	1092.09	1092.23	+0.013	1129.36	+3.413	0.332	14966.29	14966.32	+0.000	0	5.5	0.0180	100	160.692	300.4495	442.801	445.908	1.0070	14.33	1.6e-9	116	是		301.4174	4188	-0.321	0.039	0.103	16.280	过
49.60	导航	2.000	59.00	57×31	1124	15268.91	15268.86	-+0.000	1086.76	1086.69	-0.007	1123.82	+3.410	0.332	14962.21	14962.24	+0.000	0	5.5	0.0180	100	160.850	300.4099	442.743	445.833	1.0070	14.38	1.6e-9	116	是		301.3770	4188	-0.321	0.000	-0.220	16.280	过
49.65	导航	2.000	59.00	57×31	1116	15263.25	15263.30	+0.000	1081.10	1081.14	+0.003	1118.26	+3.438	0.332	14958.13	14958.16	+0.000	0	5.5	0.0180	100	161.007	300.0033	442.144	445.468	1.0075	14.27	4.6e-10	115	是		301.2348	4180	-0.409	-0.088	0.116	16.280	过
