网格修复 门(b) 连续性　W08 片0　盘径 30.00～31.50 每 0.01（舌半宽 30，舌长按搜形状规则）　导航 vs 判决网格，等温电流场
开跑 2026-09-23 14:53:36　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC4　写码 2026-09-18，Fable 5.1
门槛（跑前写死）：相邻两点 |ΔV_mesh − ΔV_ref| ≤ 一格体积（= 最大格面积 × 板厚）；网格误差 e = (R_导航 − R_判决)/R_判决 的相邻变化 |Δe| ≤ 0.2 %，且 |e| ≤ 1 %（网格审计 ② 的坏带线）；舌段带格数恒 0；电流场须收敛。
⚠ 第一版曾直接判相邻 R_mesh 变化 ≤ 0.2 %：舌长 = √(R²−w²) + 压接 + 自由段在 R = w 处有 √ 奇点（R 30.00 → 30.01 舌长 +0.77 mm、电阻真变 +0.5 %），那是几何不是网格 ⇒ 改判网格误差的连续性，门槛数不变（2026-09-18 Fable 5.1）。
盘径	档	细区mm	细区半径	节点	单元	V_ref	V_mesh	ΔV%	环内V_ref	环内V_mesh(份额)	Δ环内%	环内V_mesh(格心)	Δ环内格心%	跨环格体积最大误差%	舌区V_ref	舌区V_mesh	Δ舌区%	带格	舌中格长宽比	最小覆盖率	孔面数	孔面总长	R_mesh µΩ	P_net W	P_gen W	闭合	Jmax	守恒误差	CG轮	收敛	备注	判决R_mesh µΩ	判决单元	e%	Δe%	ΔV_mesh−ΔV_ref	一格体积	判读
30.00	导航	2.000	40.00	50×31	906	15220.46	15220.62	+0.001	1038.30	1038.45	+0.014	1075.58	+3.590	0.335	14929.43	14929.46	+0.000	0	5.5	0.0180	100	162.106	302.3263	445.567	445.597	1.0001	14.42	1.2e-8	103	是		302.0899	3204	+0.078	—	—	—	过
30.01	导航	2.000	40.01	50×31	888	15307.48	15307.63	+0.001	1032.86	1033.03	+0.017	1032.67	-0.019	0.335	15010.58	15010.59	+0.000	0	5.5	0.0193	102	162.106	305.1581	449.741	449.819	1.0002	14.06	1.9e-9	104	是		305.0365	3190	+0.040	-0.038	-0.014	16.060	过
30.02	导航	2.000	40.02	50×31	892	15343.93	15344.08	+0.001	1032.09	1032.26	+0.016	1004.16	-2.707	0.335	15044.17	15044.19	+0.000	0	5.5	0.0207	102	162.106	306.5197	451.748	451.948	1.0004	14.06	1.6e-9	104	是		306.3158	3146	+0.067	0.027	0.009	16.060	过
30.03	导航	2.000	40.03	50×31	892	15372.06	15372.22	+0.001	1032.07	1032.24	+0.016	1032.30	+0.022	0.335	15069.94	15069.97	+0.000	0	5.5	0.0222	102	162.106	307.3252	452.935	452.969	1.0001	13.90	1.0e-9	104	是		307.3456	3168	-0.007	-0.073	0.011	16.060	过
30.04	导航	2.000	40.04	50×31	898	15395.89	15396.05	+0.001	1032.47	1032.64	+0.017	1056.13	+2.292	0.335	15091.66	15091.69	+0.000	0	5.5	0.0237	102	162.106	308.1456	454.144	454.122	1.0000	13.94	2.4e-10	105	是		308.0967	3186	+0.016	0.023	-0.001	16.060	过
30.05	导航	2.000	40.05	50×31	902	15416.98	15417.14	+0.001	1033.10	1033.28	+0.017	1044.74	+1.126	0.335	15110.80	15110.83	+0.000	0	5.5	0.0253	102	162.106	308.9928	455.392	455.443	1.0001	14.11	1.1e-9	105	是		308.7674	3198	+0.073	0.057	-0.002	16.060	过
30.06	导航	2.000	40.06	50×31	906	15436.11	15436.27	+0.001	1033.92	1034.10	+0.017	1047.63	+1.326	0.335	15128.10	15128.13	+0.000	0	5.5	0.0269	100	162.106	309.7030	456.439	456.533	1.0002	14.49	7.6e-10	105	是		309.4307	3208	+0.088	0.015	0.004	16.060	过
30.07	导航	2.000	40.07	50×31	910	15453.77	15453.93	+0.001	1034.86	1035.02	+0.015	1065.29	+2.941	1.365	15144.00	15144.03	+0.000	0	5.5	0.0013	100	162.106	310.2374	457.227	457.224	1.0000	14.38	1.1e-10	105	是		309.9942	3212	+0.078	-0.010	0.001	16.060	过
30.08	导航	2.000	40.08	49×31	880	15470.25	15470.42	+0.001	1035.92	1036.09	+0.016	1065.54	+2.859	1.079	15158.80	15158.83	+0.000	0	5.5	0.0017	100	162.106	310.7494	457.981	457.892	0.9998	14.31	4.6e-9	105	是		310.5496	3216	+0.064	-0.014	-0.001	16.060	过
30.09	导航	2.000	40.09	49×31	884	15485.78	15485.95	+0.001	1037.05	1037.22	+0.017	1048.59	+1.113	0.819	15172.70	15172.73	+0.000	0	5.5	0.0021	100	162.106	311.2433	458.709	458.867	1.0003	14.24	4.5e-9	106	是		311.1167	3234	+0.041	-0.024	-0.001	16.060	过
