网格修复 门(b) 连续性　W08 片0　舌半宽 28.00～30.00 每 0.05（盘径 30，舌长按搜形状规则）　导航 vs 判决网格，等温电流场
开跑 2026-09-23 03:03:28　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtW3　写码 2026-09-18，Fable 5.1；本根扫描 2026-09-19 Fable 5.1 加（复核第 5 条），门槛与盘径那根同一份
门槛（跑前写死）：相邻两点 |ΔV_mesh − ΔV_ref| ≤ 一格体积（= 最大格面积 × 板厚）；网格误差 e = (R_导航 − R_判决)/R_判决 的相邻变化 |Δe| ≤ 0.2 %，且 |e| ≤ 1 %（网格审计 ② 的坏带线）；舌段带格数恒 0；电流场须收敛。
⚠ 第一版曾直接判相邻 R_mesh 变化 ≤ 0.2 %：舌长 = √(R²−w²) + 压接 + 自由段在 R = w 处有 √ 奇点（R 30.00 → 30.01 舌长 +0.77 mm、电阻真变 +0.5 %），那是几何不是网格 ⇒ 改判网格误差的连续性，门槛数不变（2026-09-18 Fable 5.1）。
舌半宽	档	细区mm	细区半径	节点	单元	V_ref	V_mesh	ΔV%	环内V_ref	环内V_mesh(份额)	Δ环内%	环内V_mesh(格心)	Δ环内格心%	跨环格体积最大误差%	舌区V_ref	舌区V_mesh	Δ舌区%	带格	舌中格长宽比	最小覆盖率	孔面数	孔面总长	R_mesh µΩ	P_net W	P_gen W	闭合	Jmax	守恒误差	CG轮	收敛	备注	判决R_mesh µΩ	判决单元	e%	Δe%	ΔV_mesh−ΔV_ref	一格体积	判读
28.00	导航	2.000	62.77	60×31	1116	16278.76	16278.97	+0.001	962.11	962.34	+0.024	967.42	+0.552	0.347	15913.85	15913.89	+0.000	0	5.5	0.0022	102	162.106	339.8339	500.846	504.856	1.0080	14.35	7.4e-9	117	是		341.1617	4098	-0.389	—	—	—	过
28.05	导航	2.000	62.72	60×31	1116	16294.85	16295.07	+0.001	963.74	963.97	+0.024	953.56	-1.056	0.347	15930.89	15930.93	+0.000	0	6.4	0.0022	102	162.106	339.0716	499.722	503.603	1.0078	14.53	1.4e-9	120	是		340.1700	4148	-0.323	0.066	0.006	19.207	过
28.10	导航	2.000	62.68	60×31	1114	16237.22	16237.43	+0.001	962.62	962.84	+0.022	954.10	-0.885	0.346	15874.22	15874.26	+0.000	0	6.4	0.0022	102	162.106	339.3477	500.129	504.056	1.0079	13.71	8.0e-10	120	是		340.7049	4144	-0.398	-0.075	-0.003	19.675	过
28.15	导航	2.000	62.63	59×31	1106	16252.74	16252.97	+0.001	964.28	964.51	+0.024	957.11	-0.743	0.346	15890.73	15890.77	+0.000	0	6.4	0.0021	100	162.106	338.3108	498.601	501.866	1.0065	13.81	4.0e-10	120	是		339.6273	4136	-0.388	0.011	0.011	20.143	过
28.20	导航	2.000	62.58	59×31	1102	16268.04	16268.25	+0.001	965.98	966.18	+0.021	959.87	-0.633	0.346	15907.00	15907.04	+0.000	0	6.4	0.0021	100	162.106	337.2108	496.980	500.350	1.0068	13.87	1.4e-9	119	是		338.3978	4110	-0.351	0.037	-0.016	20.612	过
28.25	导航	2.000	62.53	59×31	1100	16209.34	16209.55	+0.001	964.88	965.03	+0.016	976.77	+1.233	0.345	15849.30	15849.34	+0.000	0	6.4	0.0021	100	162.106	338.0065	498.153	501.369	1.0065	14.15	1.1e-9	119	是		339.0692	4296	-0.313	0.037	-0.002	21.080	过
28.30	导航	2.000	62.48	59×31	1100	16224.01	16224.23	+0.001	966.59	966.82	+0.024	978.98	+1.282	0.345	15864.98	15865.02	+0.000	0	6.4	0.0020	100	162.106	337.2365	497.018	500.060	1.0061	14.37	9.0e-10	119	是		338.0529	4288	-0.241	0.072	0.006	21.549	过
28.35	导航	2.000	62.43	59×31	1100	16238.40	16238.62	+0.001	968.33	968.54	+0.022	963.70	-0.478	0.345	15880.40	15880.43	+0.000	0	6.4	0.0020	100	162.106	336.5015	495.935	498.828	1.0058	14.64	7.3e-10	119	是		337.0192	4284	-0.154	0.088	0.004	22.017	过
28.40	导航	2.000	62.38	59×31	1092	16178.56	16178.78	+0.001	967.25	967.44	+0.020	962.49	-0.491	0.344	15821.60	15821.63	+0.000	0	6.4	0.0020	102	162.106	335.1778	493.984	498.036	1.0082	14.71	4.1e-11	119	是		337.1395	4268	-0.582	-0.428	-0.001	22.486	**网格误差台阶 Δe -0.428 %**
28.45	导航	2.000	62.33	59×31	1092	16192.28	16192.49	+0.001	969.04	969.26	+0.023	1001.89	+3.390	0.344	15836.37	15836.41	+0.000	0	6.4	0.0019	102	162.106	334.4200	492.867	496.835	1.0081	14.91	5.8e-11	119	是		336.0961	4264	-0.499	0.083	-0.012	22.954	过
28.50	导航	2.000	62.28	59×33	1184	16131.61	16131.81	+0.001	967.97	968.19	+0.022	974.71	+0.696	0.344	15776.76	15776.80	+0.000	0	25.7	0.0019	102	162.106	334.6464	493.201	497.380	1.0085	14.55	6.3e-10	127	是		336.5804	4254	-0.575	-0.076	0.001	18.738	过
28.55	导航	2.000	62.22	59×33	1184	16144.59	16144.80	+0.001	969.79	970.01	+0.022	957.88	-1.228	0.344	15790.84	15790.88	+0.000	0	23.3	0.0019	102	162.106	333.8767	492.066	496.132	1.0083	14.76	8.0e-10	127	是		335.3372	4290	-0.436	0.139	0.004	18.738	过
28.60	导航	2.000	62.17	59×33	1182	16157.23	16157.44	+0.001	971.65	971.87	+0.022	940.70	-3.186	0.344	15804.59	15804.62	+0.000	0	21.4	0.0018	102	162.106	332.5742	490.146	494.343	1.0086	14.22	7.4e-10	126	是		334.2850	4280	-0.512	-0.076	-0.005	18.738	过
28.65	导航	2.000	62.11	59×33	1182	16095.24	16095.44	+0.001	970.63	970.84	+0.022	971.34	+0.074	0.343	15743.72	15743.75	+0.000	0	19.7	0.0018	102	162.106	333.3645	491.311	495.388	1.0083	14.52	9.1e-10	125	是		334.9710	4276	-0.480	0.032	-0.008	18.738	过
28.70	导航	2.000	62.06	59×33	1180	16107.05	16107.26	+0.001	972.53	972.73	+0.021	976.37	+0.396	0.343	15756.68	15756.71	+0.000	0	18.3	0.0018	102	162.106	332.1402	489.507	493.459	1.0081	14.49	6.2e-10	124	是		333.4760	4266	-0.401	0.079	0.005	18.738	过
28.75	导航	2.000	62.00	59×33	1180	16118.45	16118.66	+0.001	974.47	974.68	+0.022	975.48	+0.104	0.343	15769.25	15769.29	+0.000	0	17.1	0.0017	102	162.106	331.3561	488.351	492.143	1.0078	14.73	4.3e-10	124	是		332.3245	4254	-0.291	0.109	0.003	18.738	过
28.80	导航	2.000	61.94	58×33	1170	16054.98	16055.19	+0.001	973.49	973.70	+0.022	971.21	-0.234	0.342	15706.97	15707.01	+0.000	0	16.0	0.0017	100	162.106	331.3278	488.310	491.560	1.0067	13.88	5.4e-10	123	是		332.6523	4226	-0.398	-0.107	-0.002	18.738	过
28.85	导航	2.000	61.88	58×33	1166	16065.44	16065.65	+0.001	975.49	975.67	+0.018	969.43	-0.622	0.342	15718.64	15718.68	+0.000	0	15.1	0.0017	100	162.106	330.1877	486.629	489.964	1.0069	14.01	3.7e-10	123	是		331.3936	4204	-0.364	0.034	0.003	18.738	过
28.90	导航	2.000	61.82	58×33	1164	16075.41	16075.62	+0.001	977.54	977.74	+0.020	1000.92	+2.391	0.342	15729.85	15729.89	+0.000	0	14.3	0.0016	100	162.106	329.3867	485.449	488.570	1.0064	14.29	3.8e-10	123	是		330.3244	4198	-0.284	0.080	-0.009	18.738	过
28.95	导航	2.000	61.75	58×33	1164	16010.27	16010.47	+0.001	976.63	976.84	+0.021	995.03	+1.884	0.341	15665.97	15666.00	+0.000	0	13.5	0.0016	100	162.106	330.1576	486.585	489.506	1.0060	14.66	4.1e-10	123	是		330.9864	4194	-0.250	0.033	-0.002	18.738	过
29.00	导航	2.000	61.69	59×33	1188	16019.10	16019.31	+0.001	978.75	978.96	+0.022	991.70	+1.324	0.341	15676.12	15676.15	+0.000	0	11.0	0.0015	102	162.106	327.6025	482.819	486.924	1.0085	14.84	2.6e-9	122	是		329.3335	4180	-0.526	-0.275	0.009	16.060	**网格误差台阶 Δe -0.275 %**
29.05	导航	2.000	61.62	59×33	1186	15952.68	15952.87	+0.001	977.89	978.09	+0.020	1001.42	+2.406	0.340	15611.00	15611.04	+0.000	0	10.5	0.0015	102	162.106	328.0418	483.467	487.404	1.0081	15.08	2.6e-9	122	是		329.7338	4174	-0.513	0.012	-0.014	16.060	过
29.10	导航	2.000	61.55	59×33	1180	15960.26	15960.45	+0.001	980.12	980.29	+0.018	980.15	+0.004	0.340	15619.94	15619.98	+0.000	0	10.0	0.0015	102	162.106	326.6595	481.429	485.566	1.0086	14.72	1.0e-9	120	是		328.2991	4158	-0.499	0.014	-0.004	16.060	过
29.15	导航	2.000	61.48	59×33	1178	15967.14	15967.33	+0.001	982.39	982.58	+0.019	958.20	-2.463	0.340	15628.23	15628.26	+0.000	0	9.6	0.0014	102	162.106	325.3191	479.454	483.692	1.0088	14.26	7.2e-11	120	是		327.0322	4138	-0.524	-0.024	0.005	16.060	过
29.20	导航	2.000	61.41	59×33	1178	15898.47	15898.66	+0.001	981.65	981.84	+0.019	982.56	+0.093	0.339	15561.00	15561.03	+0.000	0	9.2	0.0014	102	162.106	326.0563	480.540	484.622	1.0085	14.64	2.3e-9	119	是		327.6612	4132	-0.490	0.034	-0.009	16.060	过
29.25	导航	2.000	61.33	59×33	1176	15903.76	15903.95	+0.001	984.04	984.21	+0.017	975.78	-0.839	0.339	15567.78	15567.81	+0.000	0	8.8	0.0013	102	162.106	324.7755	478.653	482.562	1.0082	14.69	2.7e-10	119	是		325.8822	4294	-0.340	0.150	0.007	16.060	过
29.30	导航	2.000	61.25	58×33	1166	15908.16	15908.35	+0.001	986.51	986.71	+0.020	968.12	-1.864	0.339	15573.72	15573.75	+0.000	0	8.5	0.0013	100	162.106	323.1193	476.212	479.494	1.0069	13.86	2.2e-9	117	是		324.5001	4282	-0.426	-0.086	0.004	16.060	过
29.35	导航	2.000	61.17	58×33	1162	15836.69	15836.87	+0.001	985.94	986.14	+0.020	989.58	+0.370	0.338	15503.83	15503.86	+0.000	0	8.1	0.0012	100	162.106	323.4655	476.722	480.065	1.0070	14.15	8.1e-10	116	是		324.6848	4256	-0.376	0.050	-0.012	16.060	过
29.40	导航	2.000	61.09	58×33	1160	15838.98	15839.17	+0.001	988.58	988.71	+0.013	1012.99	+2.470	0.338	15507.77	15507.81	+0.000	0	7.9	0.0012	100	162.106	322.5915	475.434	478.490	1.0064	14.54	1.7e-9	115	是		323.4348	4306	-0.261	0.115	0.004	16.060	过
29.45	导航	2.000	61.00	58×33	1154	15840.05	15840.24	+0.001	991.34	991.49	+0.015	1002.06	+1.081	0.338	15510.56	15510.60	+0.000	0	7.6	0.0011	102	162.106	319.9761	471.579	475.715	1.0088	14.84	3.1e-9	115	是		321.7160	4294	-0.541	-0.280	-0.004	16.060	**网格误差台阶 Δe -0.280 %**
29.50	导航	2.000	60.91	58×33	1146	15764.79	15764.97	+0.001	991.01	991.21	+0.020	1015.36	+2.457	0.337	15437.10	15437.13	+0.000	0	7.3	0.0011	102	162.106	319.7432	471.236	475.497	1.0090	14.56	1.8e-9	116	是		321.7792	4280	-0.633	-0.092	-0.005	16.060	过
29.55	导航	2.000	60.81	58×31	1132	15762.84	15763.03	+0.001	994.01	994.20	+0.019	985.41	-0.865	0.340	15437.05	15437.08	+0.000	0	5.5	0.0180	102	162.106	318.8403	469.906	473.976	1.0087	14.95	3.2e-9	117	是		320.1711	4250	-0.416	0.217	0.006	16.060	**网格误差台阶 Δe +0.217 %**
29.60	导航	2.000	60.71	58×31	1130	15759.03	15759.22	+0.001	997.18	997.38	+0.019	1003.03	+0.586	0.339	15435.23	15435.27	+0.000	0	5.5	0.0180	102	162.106	317.3880	467.765	471.848	1.0087	14.65	3.3e-10	118	是		318.9842	4242	-0.500	-0.085	0.002	16.060	过
29.65	导航	2.000	60.60	59×31	1158	15678.09	15678.27	+0.001	997.27	997.46	+0.019	998.63	+0.136	0.338	15356.41	15356.44	+0.000	0	5.5	0.0180	102	162.106	317.5298	467.974	471.817	1.0082	14.92	1.2e-9	119	是		318.5054	4284	-0.306	0.194	-0.006	16.060	过
29.70	导航	2.000	60.48	58×31	1146	15669.37	15669.54	+0.001	1000.87	1001.04	+0.017	994.82	-0.604	0.338	15349.97	15350.00	+0.000	0	5.5	0.0180	100	162.106	315.3576	464.773	468.149	1.0073	14.14	2.3e-9	119	是		316.5806	4248	-0.386	-0.080	-0.003	16.060	过
29.75	导航	2.000	60.35	58×31	1146	15657.24	15657.41	+0.001	1004.79	1004.97	+0.018	1020.41	+1.555	0.338	15340.32	15340.35	+0.000	0	5.5	0.0180	100	162.106	314.3239	463.249	466.201	1.0064	14.76	2.4e-9	119	是		315.1641	4238	-0.267	0.120	-0.006	16.060	过
29.80	导航	2.000	60.21	58×31	1132	15565.86	15566.03	+0.001	1005.72	1005.91	+0.019	1021.65	+1.584	0.336	15251.68	15251.71	+0.000	0	5.5	0.0180	102	162.106	312.1397	460.030	464.304	1.0093	14.59	2.3e-9	118	是		314.1783	4194	-0.649	-0.382	-0.000	16.060	**网格误差台阶 Δe -0.382 %**
29.85	导航	2.000	60.05	58×31	1130	15543.06	15543.23	+0.001	1010.59	1010.77	+0.018	971.10	-3.908	0.336	15231.98	15232.01	+0.000	0	5.5	0.0180	102	162.106	310.4622	457.558	461.752	1.0092	14.52	1.3e-9	118	是		312.1717	4224	-0.548	0.101	-0.004	16.060	过
29.90	导航	2.000	59.86	57×31	1120	15435.97	15436.13	+0.001	1012.88	1013.06	+0.018	1004.46	-0.832	0.335	15128.57	15128.60	+0.000	0	5.5	0.0180	100	162.106	309.4301	456.037	459.351	1.0073	14.01	2.6e-9	117	是		310.8212	4192	-0.448	0.100	-0.001	16.060	过
29.95	导航	2.000	59.61	57×31	1112	15384.83	15384.99	+0.001	1020.33	1020.48	+0.015	1023.55	+0.315	0.335	15082.23	15082.26	+0.000	0	5.5	0.0180	102	162.106	306.3037	451.429	455.155	1.0083	15.66	1.1e-9	116	是		307.6692	4150	-0.444	0.004	-0.006	16.060	过
30.00	导航	2.000	59.00	57×31	1116	15220.46	15220.62	+0.001	1038.30	1038.45	+0.014	1075.58	+3.590	0.335	14929.43	14929.46	+0.000	0	5.5	0.0180	100	162.106	299.7156	441.720	444.842	1.0071	14.58	1.4e-9	115	是		300.6779	4164	-0.320	0.124	-0.006	16.060	过
── 不过 5 点：舌半宽28.40: 网格误差台阶 Δe -0.428 %　舌半宽29.00: 网格误差台阶 Δe -0.275 %　舌半宽29.45: 网格误差台阶 Δe -0.280 %　舌半宽29.55: 网格误差台阶 Δe +0.217 %　舌半宽29.80: 网格误差台阶 Δe -0.382 %　总耗时 78 s　2026-09-18，Fable 5.1
