网格修复 门(c) 一致门　W08　盘径 28～34 每 0.25（舌半宽 30，舌长按搜形状规则；其余旋钮 = A 导航档终值）　导航 vs 判决整线解（带玻璃稳态 ②）
开跑 2026-09-18 20:25:24　工作树 D:\WinForm\r48_N　写码 2026-09-18，Fable 5.1　并发 6 条整线解，每点解完即落盘（C:\Users\admin\AppData\Local\Temp\网格修复_门c_2026-09-18_195938_进行中.log）
门槛（跑前写死）：同一几何 导航 − 判决：|Δ最热铂| ≤ 2 K、|Δ管根| ≤ 2 K、|Δ净流入| ≤ 1 W；判不了不当过。改前在 30.75／31.00 是 19～26 K（诊断 §0.-12 ②、网格审计_3）。
基准设计：deliverable/R48_L_端到端_细网格_W08_本次开跑于2026-09-17_093013.txt　§「旋钮终值（逐片）」表的 A 导航档四行

标签	R	w	档	细区mm	细区半径	单元	最热铂高出热偶读数K	管根低于热偶读数K	管孔净流入W	铂重g	片0发热W	片0抽热W	耦合轮	耗时s
c	29.00	30.00	导航	2.000	59.0	1182	-22.774	33.979	9.138	4299.5	369.453	12.826	24	137
c	33.00	30.00	导航	2.000	63.8	1344	55.235	-3.906	-15.090	4464.8	471.296	-3.728	32	144
c	30.00	30.00	导航	2.000	59.0	1116	-9.091	18.376	5.449	4247.4	386.568	7.868	30	160
c	28.00	30.00	导航	2.000	59.0	1070	-30.478	53.120	11.767	4354.9	353.869	17.476	36	184
c	32.00	30.00	导航	2.000	62.9	1258	43.976	-3.610	-12.151	4413.4	455.545	-3.037	47	194
c	31.00	30.00	导航	2.000	61.7	1184	28.180	-0.398	-7.747	4357.6	435.377	-0.976	58	231
c	33.00	30.00	判决	1.000	63.8	4886	55.276	-4.313	-15.407	4464.8	471.270	-3.977	25	184
c	30.00	30.00	判决	1.000	59.0	4164	-8.787	18.109	5.311	4247.4	386.510	7.754	24	183
c	28.00	30.00	判决	1.000	59.0	3980	-30.356	52.845	11.700	4354.9	353.880	17.378	21	165
c	29.00	30.00	判决	1.000	59.0	4066	-22.486	33.613	9.051	4299.5	369.475	12.701	44	288
c	32.00	30.00	判决	1.000	62.9	4648	42.759	-3.430	-12.023	4413.4	454.850	-2.914	37	240
c	31.00	30.00	判决	1.000	61.7	4450	27.639	-0.204	-7.592	4357.6	434.460	-0.835	37	229
c	33.25	30.00	导航	2.000	64.0	1326	56.892	-3.649	-15.709	4477.8	474.723	-3.739	35	159
c	30.25	30.00	导航	2.000	60.4	1150	9.614	7.160	-1.462	4300.1	410.648	2.920	40	190
c	28.25	30.00	导航	2.000	59.0	1070	-28.258	48.775	10.957	4341.0	358.188	16.146	43	215
c	29.25	30.00	导航	2.000	59.0	1186	-20.068	29.331	8.285	4285.6	374.207	11.413	25	141
c	32.25	30.00	导航	2.000	63.1	1274	46.693	-4.237	-13.188	4426.1	460.221	-3.509	40	173
c	31.25	30.00	导航	2.000	62.1	1208	32.011	-1.179	-8.787	4372.5	440.552	-1.423	52	212
c	30.25	30.00	判决	1.000	60.4	4266	9.806	7.109	-1.491	4300.1	410.360	2.896	32	217
c	33.25	30.00	判决	1.000	64.0	4930	57.987	-4.271	-16.214	4477.8	475.029	-4.127	44	274
c	29.25	30.00	判决	1.000	59.0	4268	-19.756	28.938	8.191	4285.6	374.190	11.289	33	227
c	28.25	30.00	判决	1.000	59.0	4170	-28.078	48.488	10.883	4341.0	358.203	16.042	39	262
c	32.25	30.00	判决	1.000	63.1	4754	46.341	-4.067	-13.084	4426.1	459.520	-3.416	38	244
c	33.50	30.00	导航	2.000	64.2	1346	61.554	-4.339	-17.128	4491.8	479.271	-4.345	30	132
c	30.50	30.00	导航	2.000	60.9	1166	17.050	4.413	-3.621	4323.3	419.875	1.653	32	158
c	31.25	30.00	判决	1.000	62.1	4552	32.152	-1.348	-8.881	4372.5	440.146	-1.494	42	255
c	28.50	30.00	导航	2.000	59.0	1170	-25.989	43.059	10.146	4324.0	362.619	14.795	30	162
c	29.50	30.00	导航	2.000	59.0	1186	-17.298	24.604	7.416	4271.8	379.049	9.980	43	207
c	32.50	30.00	导航	2.000	63.4	1310	49.445	-4.182	-13.806	4438.4	463.952	-3.622	44	183
c	31.50	30.00	导航	2.000	62.4	1222	35.015	-1.330	-9.447	4386.7	444.968	-1.522	40	164
c	28.50	30.00	判决	1.000	59.0	4196	-25.753	42.707	10.067	4324.0	362.635	14.684	28	193
c	29.50	30.00	判决	1.000	59.0	4284	-16.895	24.214	7.319	4271.8	379.064	9.848	30	204
c	33.50	30.00	判决	1.000	64.2	4974	60.534	-4.274	-17.045	4491.8	478.709	-4.284	70	392
c	32.50	30.00	判决	1.000	63.4	4760	50.003	-4.399	-13.941	4438.4	463.771	-3.740	46	271
c	31.50	30.00	判决	1.000	62.4	4578	36.317	-2.383	-10.137	4386.7	445.549	-2.146	41	238
c	28.75	30.00	导航	2.000	59.0	1178	-25.395	38.546	9.982	4313.3	364.852	14.209	32	165
c	30.50	30.00	判决	1.000	60.9	4338	17.667	3.610	-4.130	4323.3	420.334	1.181	82	457
c	29.75	30.00	导航	2.000	59.0	1116	-13.745	21.828	7.152	4261.2	381.531	9.338	37	183
c	33.75	30.00	导航	2.000	64.4	1354	62.362	-3.045	-16.975	4505.9	481.515	-3.749	37	156
c	32.75	30.00	导航	2.000	63.6	1326	53.120	-4.344	-14.652	4451.4	467.992	-3.850	45	183
c	31.75	30.00	导航	2.000	62.6	1242	38.057	-2.094	-10.545	4400.3	449.920	-2.044	48	191
c	29.75	30.00	判决	1.000	59.0	4310	-13.387	21.587	7.020	4261.2	381.474	9.227	28	194
c	28.75	30.00	判决	1.000	59.0	4212	-25.048	38.204	9.895	4313.3	364.871	14.094	39	248
c	30.75	30.00	导航	2.000	61.4	1196	22.983	1.679	-5.855	4341.7	428.060	0.189	71	279
c	32.75	30.00	判决	1.000	63.6	4814	52.027	-4.179	-14.508	4451.4	467.311	-3.738	25	170
c	33.75	30.00	判决	1.000	64.4	5054	63.251	-3.865	-17.608	4505.9	481.973	-4.229	38	233
c	34.00	30.00	导航	2.000	64.6	1366	64.950	-3.451	-18.153	4519.6	485.717	-4.174	27	119
c	31.75	30.00	判决	1.000	62.6	4644	39.800	-3.007	-11.141	4400.3	450.373	-2.585	37	218
c	34.00	30.00	判决	1.000	64.6	5098	65.760	-3.723	-18.402	4519.6	485.553	-4.346	29	187
c	30.75	30.00	判决	1.000	61.4	4366	23.003	1.602	-5.911	4341.7	427.747	0.158	74	392

并发自检（R30 导航 串行 vs 并发）：逐位相同 ⇒ 并发没有串味　串行 串行自检	30.00	30.00	导航	2.000	59.0	1116	-9.091	18.376	5.449	4247.4	386.568	7.868	30	157

═══════ 对拍：导航 − 判决 ═══════
── 不过 0/25 点　总耗时 35.5 分钟　2026-09-18，Fable 5.1
出处：整线解 = LineRunner.Run；网格 = Solver.ApplyCaseMesh（导航 FineMm = 0 只统一细区半径；判决 FineMm = 1.0）；读数 = LineResult.ValueOf。每个数出自本次运行。
